"","GSM565276","GSM565277","GSM565278","GSM565279","GSM565280","GSM814482","GSM814483","GSM814484","GSM814485","GSM1070753","GSM1070754","GSM1070757","GSM1070758","GSM1070761","GSM1070762","GSM1215107","GSM1215109","GSM1215111","GSM1215113","GSM2080663","GSM2080664"
"2531",1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1
"107",1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1
"23498",1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0
"112",1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1
"55268",1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0
"51166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2030",1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1
"883",0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0
"1644",0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1
"4129",1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0
"9154",0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0
"64078",1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1
"4128",1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0
"9153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10165",0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0
"55315",1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1
"8604",1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0
"245972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2572",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9114",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"11164",0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1
"2571",0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1
"952",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"51380",1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0
"1375",1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
"533",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2805",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"50617",1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0
"1374",1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0
"2806",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8659",0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1
"126129",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"10312",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6817",1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0
"535",0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1
