"","Transcriptomics","Proteomics","Final"
"314",0,NA,0
"26",0,2,1
"8639",1,NA,0
"1591",0,NA,0
"1594",1,2,2
"10993",0,2,1
"6818",0,1,0
"89874",0,NA,0
"3945",2,2,2
"3948",0,NA,0
"55293",0,1,0
"160287",0,NA,0
"92483",0,NA,0
"3939",2,2,2
"9194",1,1,1
"6566",2,0,1
"9123",1,0,0
"57835",0,NA,0
"8671",0,2,1
"1738",2,2,2
"4967",2,2,2
"1743",2,2,2
"8050",2,1,2
"128",2,2,2
"137872",0,NA,0
"130",0,NA,0
"127",0,2,1
"131",0,NA,0
"126",0,NA,0
"124",0,NA,0
"125",0,NA,0
"1312",1,2,2
"117247",1,2,2
"220",0,NA,0
"221",0,1,0
"218",0,NA,0
"222",0,NA,0
"3242",0,NA,0
"18",1,1,1
"2531",2,1,2
"23498",0,1,0
"55268",0,1,0
"883",1,1,1
"51166",0,NA,0
"1644",0,NA,0
"4128",0,1,0
"4129",0,1,0
"8604",0,2,1
"10165",0,1,0
"2572",0,NA,0
"2571",0,NA,0
"51380",0,NA,0
"2805",2,2,2
"2806",2,2,2
"8659",1,1,1
"6817",1,0,0
"6799",1,NA,0
"6822",0,NA,0
"6573",1,0,0
"316",0,NA,0
"6570",0,NA,0
"6571",0,2,1
"2348",0,NA,0
"2352",0,2,1
"4125",2,1,2
"53947",0,NA,0
"51146",0,NA,0
"28",0,NA,0
"206358",0,2,1
"6538",0,NA,0
"6529",0,NA,0
"6539",0,2,1
"6540",0,NA,0
"3032",2,2,2
"10449",2,2,2
"38",2,2,2
"3030",2,2,2
"39",2,2,2
"30",1,2,2
"32",0,NA,0
"9197",1,1,1
"79611",0,NA,0
"84532",1,0,0
"64841",1,1,1
"55577",1,2,2
"5238",0,1,0
"9487",1,NA,0
"162417",0,NA,0
"43",0,NA,0
"6572",0,NA,0
"47",2,2,2
"54187",2,1,2
"26503",1,1,1
"54",0,2,1
"140838",1,1,1
"51205",1,1,1
"36",1,2,2
"34",2,2,2
"35",0,2,1
"84129",0,NA,0
"28976",1,2,2
"80724",1,0,0
"27034",0,0,0
"3712",1,2,2
"134526",0,NA,0
"51",1,1,1
"95",1,1,1
"50",2,2,2
"48",1,1,1
"8309",0,NA,0
"52",2,2,2
"55",0,0,0
"788",2,2,2
"55902",1,1,1
"65985",0,1,0
"438",0,NA,0
"1571",0,NA,0
"100",2,2,2
"3177",1,NA,0
"205",0,2,1
"204",2,2,2
"26289",0,1,0
"50808",2,2,2
"262",2,2,2
"113",2,0,1
"109",1,NA,0
"115",0,NA,0
"112",0,2,1
"107",0,NA,0
"114",0,NA,0
"55811",0,NA,0
"196883",1,NA,0
"111",0,NA,0
"108",0,NA,0
"2030",1,0,0
"9154",0,NA,0
"64078",0,2,1
"9153",0,NA,0
"55315",1,2,2
"11164",2,2,2
"952",1,1,1
"1375",0,NA,0
"1374",1,1,1
"126129",0,NA,0
"1376",0,1,0
"9061",2,1,2
"9060",0,1,0
"158",1,2,2
"10331",0,NA,0
"374907",0,2,1
"10678",2,2,2
"79369",1,NA,0
"11041",1,2,2
"93010",0,NA,0
"79814",0,1,0
"56894",1,1,1
"10555",0,0,0
"137964",1,0,0
"56895",0,1,0
"55326",2,0,1
"129642",1,1,1
"64850",0,NA,0
"64902",0,NA,0
"189",0,NA,0
"3074",2,1,2
"3073",0,1,0
"10606",2,2,2
