"","GSM2859423","GSM2859451","GSM2859480","GSM2859515"
"8706",0,1,1,0
"10317",1,1,1,1
"84002",0,1,0,0
"3141",1,0,0,1
"140679",1,1,1,1
"8424",1,1,1,1
"53630",1,1,1,1
"635",1,1,1,1
"23743",1,1,1,1
"10599",1,1,1,1
"1244",0,1,0,1
"8714",0,0,0,1
"28234",1,1,1,1
"645",0,1,1,0
"644",1,1,1,1
"9488",0,0,1,1
"10380",1,1,0,0
"686",0,0,1,0
"8884",1,1,1,1
"80704",1,1,1,1
"51733",1,0,0,1
"7108",0,1,0,1
"50814",1,0,1,1
"3295",0,1,0,1
"6307",1,1,1,1
"493",1,1,1,1
"492",1,1,1,1
"491",0,0,1,0
"490",1,1,1,1
"847",1,1,1,1
"6543",1,1,1,1
"6547",1,1,1,1
"6546",1,1,1,1
"166785",0,1,0,1
"2538",1,1,1,1
"92579",1,0,1,0
"1373",0,0,0,1
"873",1,1,0,1
"10423",0,0,1,0
"8760",1,1,1,1
"1040",1,1,1,0
"56994",0,0,1,1
"10390",1,1,1,1
"64781",1,1,1,1
"10087",0,1,0,0
"6565",0,1,0,0
"9023",0,0,0,1
"1103",1,1,1,1
"162466",1,0,1,1
"9468",1,1,1,1
"5130",1,1,0,0
"6579",1,1,1,1
"6555",1,1,1,1
"6554",1,0,0,1
"55349",1,0,1,1
"1120",0,0,1,0
"1119",1,0,0,1
"60482",1,1,1,1
"6582",1,1,1,1
"6584",0,0,1,1
"6820",1,1,0,0
"10948",1,1,1,1
"19",0,1,0,1
"1118",1,1,1,1
"27159",1,1,1,1
"54682",1,0,0,0
"9058",1,1,1,1
"6576",1,1,1,1
"1159",1,1,1,1
"548596",1,1,1,1
"1160",1,1,0,0
"1158",0,0,0,1
"1152",1,1,0,0
"5172",1,1,1,1
"65010",1,0,1,1
"54675",1,0,1,1
"10559",0,1,1,0
"55907",1,1,1,1
"8034",0,0,1,1
"8824",1,1,1,1
"51805",1,0,1,0
"51004",1,0,0,1
"10229",1,0,0,1
"2650",1,1,0,0
"9245",1,0,0,0
"51301",1,1,1,1
"192134",1,1,1,1
"386757",1,1,1,1
"6535",1,1,1,0
"1384",1,0,1,1
"6583",0,1,0,1
"1431",1,1,1,1
"54677",1,0,1,1
"8140",1,0,1,1
"23428",1,1,0,0
"1036",1,0,1,1
"23657",0,1,1,0
"57379",0,0,1,0
"978",1,1,1,1
"7371",1,0,1,0
"83549",0,0,1,1
"51727",1,1,1,1
"129607",1,0,1,0
"160851",0,1,1,0
"8526",1,0,1,0
"1606",1,1,1,1
"8527",1,1,1,1
"1607",1,1,1,1
"1608",1,1,1,1
"1609",0,1,1,0
"8525",1,1,1,1
"9162",1,1,1,1
"1610",1,1,1,1
"51022",1,0,1,1
"2745",0,0,1,1
"8528",1,1,1,1
"10455",1,1,0,0
"1632",1,0,1,1
"1633",1,1,1,1
"1638",1,0,0,1
"6319",1,0,1,0
"9415",1,0,0,1
"3992",0,1,1,0
"8694",1,0,1,0
"84649",0,0,0,1
"1716",1,1,1,1
"6513",1,1,1,1
"6517",1,1,1,1
"6515",1,1,1,1
"1718",1,0,0,1
"1581",1,1,1,1
"1717",1,1,0,1
"8560",1,1,1,1
"123099",0,0,0,1
"11309",1,1,1,1
"6783",1,1,1,1
"1723",0,0,1,1
"1809",1,1,1,1
"1808",1,1,1,1
"1807",1,1,1,1
"23539",1,1,1,1
"2224",0,0,1,1
"29958",1,1,0,1
"60386",0,1,1,0
"84920",1,0,0,1
"79087",0,1,1,1
"26002",0,0,0,1
"1621",0,1,1,1
"7299",1,1,1,1
"6530",1,1,1,1
"6581",0,0,1,0
"669",1,1,1,1
"5224",1,1,1,1
"5223",1,1,1,1
"4597",1,0,0,1
"51071",1,1,1,0
"1806",1,1,1,1
"7083",0,1,1,1
"7084",0,1,0,0
"1854",1,0,1,0
"3704",1,1,1,1
"10682",1,1,1,1
"1892",1,1,1,1
"549",1,0,1,1
"1962",1,0,1,0
"1891",1,1,1,1
"11001",1,0,0,1
"28231",0,1,1,0
"53919",1,1,1,1
"10257",1,0,1,0
"28232",0,0,1,1
"2109",0,0,1,1
"2108",1,1,1,1
"2110",0,0,1,1
"55500",1,1,1,1
"55224",0,1,1,0
"8790",1,0,0,1
"51086",1,1,1,1
"2181",0,1,0,1
"2180",1,0,1,0
"2182",1,1,0,1
"81616",0,1,0,0
"51703",1,1,1,1
"23305",0,1,0,1
"116285",0,1,0,0
"5167",1,1,0,0
"5169",1,0,1,0
"6785",0,1,1,0
"60481",1,1,1,1
"54898",1,1,1,1
"79071",0,1,0,1
"1579",1,0,0,0
"2194",1,0,1,0
"10999",1,1,0,1
"376497",0,1,1,0
"230",1,1,0,1
"226",0,1,1,0
"229",1,1,1,1
"5208",1,0,1,1
"5207",1,1,0,0
"2203",0,1,1,1
"5210",0,1,1,0
"5209",1,0,1,1
"8789",1,1,1,1
"2235",1,0,0,1
"10840",1,1,1,1
"79901",1,0,1,1
"197258",0,1,0,1
"125061",0,0,1,1
"1719",0,1,1,0
"2356",1,1,1,1
"155184",1,1,1,1
"29988",1,0,1,0
"66035",1,0,1,0
"6518",1,1,1,1
"6514",1,1,1,1
"160428",0,0,1,0
"25902",1,0,0,1
"4522",1,0,0,1
"2519",1,0,0,0
"2517",0,1,1,0
"2184",1,0,0,1
"2271",1,1,1,1
"2523",1,1,1,1
"2525",1,1,1,1
"10690",1,1,1,1
"2683",1,1,1,1
"9334",1,1,1,0
"8704",1,1,0,0
"8703",1,1,1,1
"2820",0,1,1,1
"5832",1,1,1,1
"9563",0,1,0,0
"2539",1,0,1,1
"2542",0,1,0,1
"2593",0,1,0,1
"9514",1,0,0,0
"5476",1,1,1,1
"2720",1,1,1,1
"2588",1,0,0,1
"2581",0,1,1,0
"2583",1,1,1,1
"55454",1,1,1,1
"55790",1,1,1,1
"79586",0,1,1,0
"337876",0,0,1,0
"22856",0,1,1,0
"63917",1,0,1,0
"11226",0,1,1,0
"55568",0,1,1,0
"2589",1,1,0,1
"51809",1,0,1,0
"8693",0,1,1,0
"2591",1,0,1,0
"117248",1,0,0,0
"26290",0,1,1,1
"114805",1,1,1,1
"79695",0,1,0,1
"50614",1,0,0,1
"79623",1,1,1,1
"2590",0,0,1,0
"11227",0,1,0,0
"81031",1,1,1,1
"126792",1,0,1,0
"11285",1,0,1,0
"8972",1,1,1,1
"175",1,1,1,1
"26301",0,1,0,0
"4329",0,1,1,0
"7915",1,0,1,1
"2731",0,0,0,1
"275",1,1,0,0
"2653",0,1,0,0
"2651",0,0,1,1
"55343",1,1,1,1
"8836",1,0,1,0
"79017",0,1,0,1
"8908",1,1,1,1
"2992",1,1,1,1
"2997",1,1,1,1
"2998",1,1,1,1
"2687",1,1,1,1
"6472",1,1,1,1
"6470",1,0,0,1
"2717",1,1,0,0
"2632",1,1,0,1
"2990",1,1,1,1
"8372",1,0,0,1
"26035",0,1,1,1
"54480",1,1,1,1
"2131",1,1,0,0
"2132",1,0,1,0
"27087",1,0,0,1
"26229",1,1,1,1
"135152",1,0,1,0
"4669",0,1,1,0
"64579",1,1,1,1
"9348",1,1,1,1
"8509",1,1,0,1
"3340",1,1,1,1
"2137",1,0,0,0
"2135",1,0,1,0
"2134",1,1,1,1
"144195",0,1,1,0
"154091",1,1,1,1
"11182",0,1,1,1
"56606",0,0,1,1
"6523",1,1,1,1
"178",0,1,1,1
"5837",1,0,0,1
"5834",1,1,1,1
"5836",0,1,0,0
"2729",0,1,1,0
"2730",1,0,1,0
"2746",1,1,1,1
"2747",1,0,1,0
"10841",1,1,0,0
"27165",1,0,1,0
"2744",1,1,1,1
"79751",1,0,1,1
"83733",1,0,0,0
"2639",1,1,1,1
"57084",1,1,1,1
"57030",1,1,1,1
"246213",1,1,1,1
"51179",1,1,1,1
"54363",1,1,1,1
"2628",0,1,0,0
"9380",1,1,1,0
"2712",1,1,1,1
"2713",0,0,1,0
