"","GSM900567","GSM900568","GSM900569","GSM900560","GSM900561","GSM900562","GSM1293941","GSM1293942","GSM1293943","GSM1293948","GSM1293949","GSM1293950","GSM2151972","GSM2151974","GSM2151976"
"54187",1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"26503",1,1,0,1,1,1,1,0,0,0,1,1,1,1,0
"54",0,1,1,1,0,1,0,0,0,1,0,1,1,1,0
"140838",1,1,0,0,0,1,1,1,1,1,0,0,1,0,0
"51205",0,1,0,1,1,0,0,0,0,0,1,1,1,0,1
"36",0,1,1,0,0,1,1,0,0,1,1,1,1,0,1
"34",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"35",0,0,1,0,0,1,1,1,1,0,0,0,1,1,0
"84129",1,0,1,1,1,0,0,0,0,1,1,1,0,0,0
"28976",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"80724",0,1,1,0,1,1,0,0,0,0,1,1,1,0,1
"27034",1,1,0,1,1,0,0,0,0,0,1,1,1,1,0
"3712",0,0,1,1,0,1,1,1,1,0,0,0,1,0,0
"134526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",0,1,0,0,1,0,1,1,1,1,0,0,0,1,1
"95",1,0,0,1,0,1,1,1,1,1,0,0,1,1,1
"50",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"48",1,1,0,0,1,1,0,0,0,0,1,1,0,1,0
"8309",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"788",1,1,0,1,0,0,1,1,0,1,0,0,1,0,1
"55902",0,1,0,0,0,1,1,0,1,1,0,0,0,1,0
"65985",0,0,1,1,1,0,1,0,0,1,0,0,0,1,0
"438",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1571",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"100",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3177",1,0,0,0,0,1,1,1,1,0,0,0,1,0,1
"205",1,0,0,1,1,0,1,1,0,1,0,0,1,0,0
"204",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"26289",1,0,0,0,0,1,0,0,0,0,1,1,0,1,1
"50808",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"262",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"113",1,1,1,1,1,1,0,1,0,0,1,1,1,1,1
"109",0,0,1,1,1,0,1,1,1,1,0,0,1,0,0
"115",1,1,0,1,0,0,1,0,0,0,1,0,1,0,0
"112",1,0,0,0,1,0,1,1,0,0,1,0,1,0,1
"107",1,1,0,0,0,1,0,1,0,0,0,1,1,0,0
"114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55811",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"196883",1,1,0,0,1,1,0,0,0,0,1,1,0,0,1
"111",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"108",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"2030",1,0,0,0,1,1,1,1,1,1,0,0,1,1,0
"9154",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64078",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55315",1,0,0,0,0,1,1,1,0,0,0,0,0,1,0
"11164",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"952",0,1,1,0,1,1,1,1,1,1,0,0,0,1,0
"1375",0,0,1,1,1,0,0,0,0,0,1,1,1,1,1
"1374",1,1,0,0,1,0,0,0,0,0,1,1,1,0,0
"126129",1,1,0,1,1,0,0,0,1,1,0,1,0,1,0
"1376",1,1,0,0,1,1,1,1,0,1,0,1,0,1,0
"9061",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"9060",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10331",1,1,0,1,1,0,1,1,0,1,0,0,1,1,1
"374907",0,1,1,1,1,0,0,1,0,1,1,1,1,0,1
"10678",1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"79369",1,0,0,0,1,1,0,1,1,0,0,1,0,1,0
"11041",0,1,1,1,1,0,1,0,0,1,0,0,1,1,0
"93010",0,0,1,1,1,0,1,0,1,0,1,0,1,0,0
"79814",0,1,0,1,0,0,1,1,1,1,0,0,1,0,0
"56894",1,0,1,0,1,1,0,0,0,1,0,0,1,0,1
"10555",1,0,0,0,0,1,1,1,1,1,0,0,0,1,1
"137964",1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
"56895",0,0,1,1,0,0,1,1,0,0,1,0,1,0,0
"55326",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"129642",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64850",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64902",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
"189",0,1,1,1,1,0,1,1,1,0,0,0,1,1,0
"3074",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3073",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"10606",1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"8402",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"1468",0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
"64849",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1645",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
