"","Transcriptomics","Final"
"23539",0,0
"2224",2,1
"29958",0,0
"60386",2,1
"84920",0,0
"79087",0,0
"26002",0,0
"1621",0,0
"7299",0,0
"6530",0,0
"6581",0,0
"669",0,0
"5224",0,0
"5223",2,1
"4597",0,0
"51071",0,0
"1806",1,1
"7083",0,0
"7084",0,0
"1854",2,1
"3704",2,1
"10682",0,0
"1892",0,0
"549",2,1
"1962",0,0
"1891",0,0
"11001",2,1
"28231",2,1
"53919",0,0
"10257",0,0
"28232",1,1
"2109",0,0
"2108",1,1
"2110",1,1
"55500",2,1
"55224",0,0
"8790",0,0
"51086",0,0
"2181",0,0
"2180",2,1
"2182",0,0
"81616",1,1
"51703",2,1
"23305",2,1
"116285",0,0
"5167",0,0
"5169",0,0
"6785",0,0
"60481",2,1
"54898",0,0
"79071",0,0
"1579",0,0
"2194",1,1
"10999",1,1
"376497",0,0
"230",1,1
"226",2,1
"229",0,0
"5208",0,0
"5207",0,0
"2203",1,1
"5210",0,0
"5209",2,1
"8789",1,1
"2235",1,1
"10840",0,0
"79901",0,0
"197258",0,0
"125061",1,1
"1719",0,0
"2356",2,1
"155184",-1,0
"29988",0,0
"66035",1,1
"6518",0,0
"6514",0,0
"160428",0,0
"25902",2,1
"4522",2,1
"2519",1,1
"2517",0,0
"2184",1,1
"2271",0,0
"2523",1,1
"2525",0,0
"10690",0,0
"2683",0,0
"9334",2,1
"8704",1,1
"8703",0,0
"2820",0,0
"5832",2,1
"9563",1,1
"2539",1,1
"2542",0,0
"2593",0,0
"9514",0,0
"5476",0,0
"2720",0,0
"2588",0,0
"2581",0,0
"2583",0,0
"55454",2,1
"55790",0,0
"79586",0,0
"337876",0,0
"22856",2,1
"63917",2,1
"11226",0,0
"55568",0,0
"2589",2,1
"51809",2,1
"8693",1,1
"2591",0,0
"117248",0,0
"26290",1,1
"114805",0,0
"79695",0,0
"50614",0,0
"79623",0,0
"2590",0,0
"11227",0,0
"81031",0,0
"126792",2,1
"11285",0,0
"8972",0,0
"175",1,1
"26301",0,0
"4329",0,0
"7915",0,0
"2731",0,0
"275",1,1
"2653",0,0
"2651",0,0
"55343",0,0
"8836",0,0
"79017",2,1
"8908",0,0
"2992",2,1
"2997",1,1
"2998",0,0
"2687",1,1
"6472",2,1
"6470",0,0
"2717",2,1
"2632",2,1
"2990",2,1
"8372",1,1
"26035",0,0
"54480",2,1
"2131",0,0
"2132",0,0
"27087",0,0
"26229",0,0
"135152",0,0
"4669",0,0
"64579",0,0
"9348",0,0
"8509",2,1
"3340",1,1
"2137",1,1
"2135",2,1
"2134",1,1
"144195",2,1
"154091",0,0
"11182",1,1
"56606",0,0
"6523",1,1
"178",2,1
"5837",0,0
"5834",1,1
"5836",0,0
"2729",0,0
"2730",2,1
"2746",2,1
"2747",0,0
"10841",0,0
"27165",0,0
"2744",2,1
"79751",0,0
"83733",0,0
"2639",2,1
"57084",0,0
"57030",0,0
"246213",0,0
"51179",0,0
"54363",0,0
"2628",0,0
"9380",0,0
"2712",0,0
"2713",0,0
"2710",0,0
"3029",0,0
"6536",0,0
"5226",0,0
"27232",0,0
"57678",0,0
"80055",1,1
"54965",0,0
"93183",0,0
"2936",2,1
"2876",1,1
"7001",2,1
"5052",2,1
"2879",2,1
"2877",0,0
"257202",-1,0
"2878",0,0
"2882",0,0
"10935",2,1
"2937",1,1
"2678",0,0
"2679",0,0
"2983",0,0
"4881",1,1
"3000",0,0
"2974",0,0
"4882",0,0
"2986",0,0
"2982",0,0
"2984",0,0
"2977",0,0
"9615",0,0
"763",0,0
"11238",1,1
"23556",1,1
"55650",2,1
"53905",0,0
"50506",0,0
"343",0,0
"5281",0,0
"84720",0,0
"54872",1,1
"80235",0,0
"128869",0,0
"10026",0,0
"51604",2,1
"94005",0,0
"8733",2,1
"3028",2,1
"3033",0,0
"3037",0,0
"3038",0,0
"3036",0,0
"27235",0,0
"6522",0,0
"83697",0,0
"6521",0,0
"6508",0,0
"2645",0,0
"3098",2,1
"3099",2,1
"80201",0,0
"3101",1,1
"3081",0,0
"11112",0,0
"3067",0,0
"496",0,0
"495",1,1
"8942",0,0
"3157",2,1
"3158",0,0
"54511",0,0
"3155",1,1
"3162",0,0
"26062",0,0
"197257",0,0
"6448",0,0
"3290",0,0
"3291",0,0
"3292",0,0
"3294",0,0
"51478",0,0
"3283",0,0
"3284",0,0
"80270",0,0
"57026",2,1
"3419",2,1
"3421",1,1
"3420",2,1
"3417",1,1
"3418",1,1
"7173",0,0
"3425",0,0
"587",0,0
"8501",0,0
"55586",1,1
"114134",0,0
"6526",2,1
"3422",2,1
"91734",1,1
"160728",0,0
"8801",0,0
"8802",0,0
"8803",2,1
"9990",2,1
"6560",0,0
"57468",0,0
"3795",1,1
"84679",0,0
"23315",0,0
"8564",0,0
"3938",1,1
"53",0,0
"3931",0,0
"387775",-1,0
"124637",2,1
"366",0,0
"11283",0,0
"4047",1,1
"1178",0,0
"5321",0,0
"29124",0,0
"51268",0,0
"4023",0,0
"1056",0,0
"3990",0,0
"80339",1,1
"11343",0,0
"50487",0,0
"9227",0,0
"6309",0,0
"4048",2,1
"4258",1,1
