"","x"
"27087",0
"4758",1
"80270",2
"57026",0
"5476",2
"135152",0
"2588",1
"26229",1
"2581",1
"4669",0
"3421",3
"2583",0
"55454",2
"3420",3
"3340",0
"8509",1
"9348",0
"55790",3
"64579",0
"3419",3
"79586",0
"3417",0
"2137",0
"3418",3
"22856",1
"337876",0
"7173",0
"2135",0
"2134",0
"55568",0
"56606",2
"2590",1
"154091",0
"3425",0
"2591",0
"144195",0
"11182",1
"114805",0
"6523",0
"587",2
"8693",0
"63917",0
"50614",0
"8501",0
"2589",2
"178",1
"51809",1
"55586",1
"114134",1
"117248",0
"11227",0
"6526",0
"11226",1
"79695",0
"79623",0
"3422",2
"91734",0
"26290",0
"81031",0
"126792",1
"5837",0
"5836",0
"5834",2
"160728",0
"8801",3
"11285",0
"8802",3
"2729",1
"8972",0
"2618",2
"2730",2
"8803",3
"10723",1
"9990",2
"2746",3
"6560",0
"2747",2
"5019",3
"10841",0
"57468",0
"3795",0
"1629",1
"27165",0
"594",1
"2744",3
"8564",0
"3938",0
"593",2
"26873",1
"79751",0
"83733",0
"4942",2
"2639",1
"53",2
"3931",0
"7372",0
"57084",0
"1811",0
"246213",0
"57030",0
"387775",0
"10861",0
"1836",0
"124637",0
"51179",1
"54363",0
"366",1
"1583",1
"2628",0
"1584",0
"1585",1
"11283",1
"9380",3
"1586",0
"2713",0
"4047",1
"1588",0
"29124",0
"5321",0
"2710",1
"1576",0
"2712",1
"1178",1
"51268",0
"1056",0
"3029",3
"6536",0
"1589",0
"1593",0
"3990",0
"1548",0
"80339",0
"4023",1
"5226",3
"1553",1
"11343",0
"1562",0
"27232",0
"1558",0
"57678",0
"50487",1
"284098",0
"1559",0
"93183",1
"9227",1
"1565",1
"54965",0
"1572",0
"51302",0
"2936",3
"6309",0
"64816",0
"4048",3
"1577",0
"4056",2
"5052",3
"7001",3
"1551",0
"4259",3
"10858",0
"2876",3
"66002",2
"8529",0
"2879",3
"4258",0
"4051",0
"9420",1
"1582",0
"2877",0
"5831",0
"2878",0
"2954",1
"257202",0
"2882",1
"5048",3
"2548",1
"10935",3
"5051",0
"5050",3
"2937",2
"5049",3
"64087",2
"7941",1
"56922",2
"23417",1
"2678",1
"347734",2
"57194",0
"5337",0
"4357",0
"5338",2
"2679",0
"4190",3
"130013",0
"4191",3
"4200",3
"4881",0
"5091",1
"4882",0
"2984",0
"2974",0
"2982",1
"2986",0
"4199",0
"10873",0
"3620",0
"2983",0
"3000",1
"1557",0
"1545",0
"5244",0
"2977",0
"1543",0
"1544",0
"9615",0
"4144",3
"4143",3
"5150",1
"27430",3
"4548",2
"763",0
"5143",0
"11238",1
"4598",0
"5137",0
"3636",1
"5151",0
"23556",0
"55650",0
"3635",3
"3633",0
"8867",1
"5140",1
"27124",0
"53905",0
"50506",0
"5142",1
"343",0
"5281",0
"3632",0
"10846",0
"84720",1
"56623",0
"5141",1
"8622",0
"3628",1
"3707",0
"80235",0
"5144",0
"3706",1
"5153",0
