"gene","gene_symbol","reaction","pathways"
"ENSG00000147576","ADHFE1","MAR03905","Glycolysis / Gluconeogenesis"
"ENSG00000172955","ADH6","MAR03905","Glycolysis / Gluconeogenesis"
"ENSG00000180011","ZADH2","MAR03905","Glycolysis / Gluconeogenesis"
"ENSG00000187758","ADH1A","MAR03905","Glycolysis / Gluconeogenesis"
"ENSG00000196344","ADH7","MAR03905","Glycolysis / Gluconeogenesis"
"ENSG00000196616","ADH1B","MAR03905","Glycolysis / Gluconeogenesis"
"ENSG00000197894","ADH5","MAR03905","Glycolysis / Gluconeogenesis"
"ENSG00000198099","ADH4","MAR03905","Glycolysis / Gluconeogenesis"
"ENSG00000248144","ADH1C","MAR03905","Glycolysis / Gluconeogenesis"
"ENSG00000117448","AKR1A1","MAR03907","Glycolysis / Gluconeogenesis"
"ENSG00000131069","ACSS2","MAR04097","Glycolysis / Gluconeogenesis"
"ENSG00000111058","ACSS3","MAR04099","Glycolysis / Gluconeogenesis"
"ENSG00000154930","ACSS1","MAR04099","Glycolysis / Gluconeogenesis"
"ENSG00000131069","ACSS2","MAR04108","Glycolysis / Gluconeogenesis"
"ENSG00000131069","ACSS2","MAR04133","Glycolysis / Gluconeogenesis"
"ENSG00000091140","DLD","MAR04137","Glycolysis / Gluconeogenesis"
"ENSG00000110435","PDHX","MAR04137","Glycolysis / Gluconeogenesis"
"ENSG00000131828","PDHA1","MAR04137","Glycolysis / Gluconeogenesis"
"ENSG00000163114","PDHA2","MAR04137","Glycolysis / Gluconeogenesis"
"ENSG00000150768","DLAT","MAR04137","Glycolysis / Gluconeogenesis"
"ENSG00000168291","PDHB","MAR04137","Glycolysis / Gluconeogenesis"
"ENSG00000111716","LDHB","MAR04281","Glycolysis / Gluconeogenesis"
"ENSG00000134333","LDHA","MAR04281","Glycolysis / Gluconeogenesis"
"ENSG00000151116","UEVLD","MAR04281","Glycolysis / Gluconeogenesis"
"ENSG00000166796","LDHC","MAR04281","Glycolysis / Gluconeogenesis"
"ENSG00000166800","LDHAL6A","MAR04281","Glycolysis / Gluconeogenesis"
"ENSG00000171989","LDHAL6B","MAR04281","Glycolysis / Gluconeogenesis"
"ENSG00000111716","LDHB","MAR04388","Glycolysis / Gluconeogenesis"
"ENSG00000134333","LDHA","MAR04388","Glycolysis / Gluconeogenesis"
"ENSG00000151116","UEVLD","MAR04388","Glycolysis / Gluconeogenesis"
"ENSG00000166796","LDHC","MAR04388","Glycolysis / Gluconeogenesis"
"ENSG00000166800","LDHAL6A","MAR04388","Glycolysis / Gluconeogenesis"
"ENSG00000171989","LDHAL6B","MAR04388","Glycolysis / Gluconeogenesis"
"ENSG00000006534","ALDH3B1","MAR04283","Glycolysis / Gluconeogenesis"
"ENSG00000108602","ALDH3A1","MAR04283","Glycolysis / Gluconeogenesis"
"ENSG00000132746","ALDH3B2","MAR04283","Glycolysis / Gluconeogenesis"
"ENSG00000184254","ALDH1A3","MAR04283","Glycolysis / Gluconeogenesis"
"ENSG00000072210","ALDH3A2","MAR08357","Glycolysis / Gluconeogenesis"
"ENSG00000111275","ALDH2","MAR08357","Glycolysis / Gluconeogenesis"
"ENSG00000137124","ALDH1B1","MAR08357","Glycolysis / Gluconeogenesis"
"ENSG00000143149","ALDH9A1","MAR08357","Glycolysis / Gluconeogenesis"
"ENSG00000164904","ALDH7A1","MAR08357","Glycolysis / Gluconeogenesis"
"ENSG00000067057","PFKP","MAR04379","Glycolysis / Gluconeogenesis"
"ENSG00000141959","PFKL","MAR04379","Glycolysis / Gluconeogenesis"
"ENSG00000152556","PFKM","MAR04379","Glycolysis / Gluconeogenesis"
"ENSG00000067057","PFKP","MAR04301","Glycolysis / Gluconeogenesis"
"ENSG00000141959","PFKL","MAR04301","Glycolysis / Gluconeogenesis"
"ENSG00000152556","PFKM","MAR04301","Glycolysis / Gluconeogenesis"
"ENSG00000160226","CFAP410","MAR04301","Glycolysis / Gluconeogenesis"
"ENSG00000109107","ALDOC","MAR04355","Glycolysis / Gluconeogenesis"
"ENSG00000136872","ALDOB","MAR04355","Glycolysis / Gluconeogenesis"
"ENSG00000149925","ALDOA","MAR04355","Glycolysis / Gluconeogenesis"
"ENSG00000285043","AC093512.2","MAR04355","Glycolysis / Gluconeogenesis"
"ENSG00000067225","PKM","MAR04358","Glycolysis / Gluconeogenesis"
"ENSG00000121900","TMEM54","MAR04358","Glycolysis / Gluconeogenesis"
"ENSG00000143627","PKLR","MAR04358","Glycolysis / Gluconeogenesis"
"ENSG00000143630","HCN3","MAR04358","Glycolysis / Gluconeogenesis"
"ENSG00000180011","ZADH2","MAR04360","Glycolysis / Gluconeogenesis"
"ENSG00000074800","ENO1","MAR04363","Glycolysis / Gluconeogenesis"
"ENSG00000108515","ENO3","MAR04363","Glycolysis / Gluconeogenesis"
"ENSG00000111674","ENO2","MAR04363","Glycolysis / Gluconeogenesis"
"ENSG00000164708","PGAM2","MAR04365","Glycolysis / Gluconeogenesis"
"ENSG00000171314","PGAM1","MAR04365","Glycolysis / Gluconeogenesis"
"ENSG00000172331","BPGM","MAR04365","Glycolysis / Gluconeogenesis"
"ENSG00000226784","PGAM4","MAR04365","Glycolysis / Gluconeogenesis"
"ENSG00000096006","CRISP3","MAR04368","Glycolysis / Gluconeogenesis"
"ENSG00000102144","PGK1","MAR04368","Glycolysis / Gluconeogenesis"
"ENSG00000154305","MIA3","MAR04368","Glycolysis / Gluconeogenesis"
"ENSG00000170950","PGK2","MAR04368","Glycolysis / Gluconeogenesis"
"ENSG00000119640","ACYP1","MAR04370","Glycolysis / Gluconeogenesis"
"ENSG00000170634","ACYP2","MAR04370","Glycolysis / Gluconeogenesis"
"ENSG00000164708","PGAM2","MAR04371","Glycolysis / Gluconeogenesis"
"ENSG00000171314","PGAM1","MAR04371","Glycolysis / Gluconeogenesis"
"ENSG00000172331","BPGM","MAR04371","Glycolysis / Gluconeogenesis"
"ENSG00000226784","PGAM4","MAR04371","Glycolysis / Gluconeogenesis"
"ENSG00000172331","BPGM","MAR04372","Glycolysis / Gluconeogenesis"
"ENSG00000105679","GAPDHS","MAR04373","Glycolysis / Gluconeogenesis"
"ENSG00000111640","GAPDH","MAR04373","Glycolysis / Gluconeogenesis"
"ENSG00000109107","ALDOC","MAR04375","Glycolysis / Gluconeogenesis"
"ENSG00000136872","ALDOB","MAR04375","Glycolysis / Gluconeogenesis"
"ENSG00000149925","ALDOA","MAR04375","Glycolysis / Gluconeogenesis"
"ENSG00000285043","AC093512.2","MAR04375","Glycolysis / Gluconeogenesis"
"ENSG00000130957","FBP2","MAR04377","Glycolysis / Gluconeogenesis"
"ENSG00000165140","FBP1","MAR04377","Glycolysis / Gluconeogenesis"
"ENSG00000105220","GPI","MAR04381","Glycolysis / Gluconeogenesis"
"ENSG00000111669","TPI1","MAR04391","Glycolysis / Gluconeogenesis"
"ENSG00000106633","GCK","MAR04394","Glycolysis / Gluconeogenesis"
"ENSG00000156510","HKDC1","MAR04394","Glycolysis / Gluconeogenesis"
"ENSG00000156515","HK1","MAR04394","Glycolysis / Gluconeogenesis"
"ENSG00000159322","ADPGK","MAR04394","Glycolysis / Gluconeogenesis"
"ENSG00000159399","HK2","MAR04394","Glycolysis / Gluconeogenesis"
"ENSG00000160883","HK3","MAR04394","Glycolysis / Gluconeogenesis"
"ENSG00000079739","PGM1","MAR04396","Glycolysis / Gluconeogenesis"
"ENSG00000154330","PGM5","MAR04396","Glycolysis / Gluconeogenesis"
"ENSG00000169299","PGM2","MAR04396","Glycolysis / Gluconeogenesis"
"ENSG00000131482","G6PC","MAR04521","Glycolysis / Gluconeogenesis"
"ENSG00000141349","G6PC3","MAR04521","Glycolysis / Gluconeogenesis"
"ENSG00000152254","G6PC2","MAR04521","Glycolysis / Gluconeogenesis"
"ENSG00000131828","PDHA1","MAR06410","Glycolysis / Gluconeogenesis"
"ENSG00000168291","PDHB","MAR06410","Glycolysis / Gluconeogenesis"
"ENSG00000163114","PDHA2","MAR06410","Glycolysis / Gluconeogenesis"
"ENSG00000168291","PDHB","MAR06410","Glycolysis / Gluconeogenesis"
"ENSG00000091140","DLD","MAR06412","Glycolysis / Gluconeogenesis"
"ENSG00000131828","PDHA1","MAR06412","Glycolysis / Gluconeogenesis"
"ENSG00000150768","DLAT","MAR06412","Glycolysis / Gluconeogenesis"
"ENSG00000168291","PDHB","MAR06412","Glycolysis / Gluconeogenesis"
"ENSG00000091140","DLD","MAR06412","Glycolysis / Gluconeogenesis"
"ENSG00000150768","DLAT","MAR06412","Glycolysis / Gluconeogenesis"
"ENSG00000163114","PDHA2","MAR06412","Glycolysis / Gluconeogenesis"
"ENSG00000168291","PDHB","MAR06412","Glycolysis / Gluconeogenesis"
"ENSG00000143891","GALM","MAR07745","Glycolysis / Gluconeogenesis"
"ENSG00000159322","ADPGK","MAR07747","Glycolysis / Gluconeogenesis"
"ENSG00000121691","CAT","MAR08360","Glycolysis / Gluconeogenesis"
"ENSG00000130649","CYP2E1","MAR08757","Glycolysis / Gluconeogenesis"
"ENSG00000092529","CAPN3","MAR03989","Starch and sucrose metabolism"
"ENSG00000171298","GAA","MAR03989","Starch and sucrose metabolism"
"ENSG00000214013","GANC","MAR03989","Starch and sucrose metabolism"
"ENSG00000257335","MGAM","MAR03989","Starch and sucrose metabolism"
"ENSG00000109814","UGDH","MAR04122","Starch and sucrose metabolism"
"ENSG00000118094","TREH","MAR04837","Starch and sucrose metabolism"
"ENSG00000142102","PGGHG","MAR04837","Starch and sucrose metabolism"
"ENSG00000056998","GYG2","MAR05395","Starch and sucrose metabolism"
"ENSG00000163754","GYG1","MAR05395","Starch and sucrose metabolism"
"ENSG00000056998","GYG2","MAR05396","Starch and sucrose metabolism"
"ENSG00000104812","GYS1","MAR05396","Starch and sucrose metabolism"
"ENSG00000111713","GYS2","MAR05396","Starch and sucrose metabolism"
"ENSG00000163754","GYG1","MAR05396","Starch and sucrose metabolism"
"ENSG00000104812","GYS1","MAR09727","Starch and sucrose metabolism"
"ENSG00000111713","GYS2","MAR09727","Starch and sucrose metabolism"
"ENSG00000119938","PPP1R3C","MAR09727","Starch and sucrose metabolism"
"ENSG00000173281","PPP1R3B","MAR09727","Starch and sucrose metabolism"
"ENSG00000114480","GBE1","MAR05397","Starch and sucrose metabolism"
"ENSG00000068976","PYGM","MAR05398","Starch and sucrose metabolism"
"ENSG00000100504","PYGL","MAR05398","Starch and sucrose metabolism"
"ENSG00000100994","PYGB","MAR05398","Starch and sucrose metabolism"
"ENSG00000162688","AGL","MAR05399","Starch and sucrose metabolism"
"ENSG00000162688","AGL","MAR05400","Starch and sucrose metabolism"
"ENSG00000068976","PYGM","MAR05401","Starch and sucrose metabolism"
"ENSG00000100504","PYGL","MAR05401","Starch and sucrose metabolism"
"ENSG00000100994","PYGB","MAR05401","Starch and sucrose metabolism"
"ENSG00000120563","LYZL1","MAR08568","Starch and sucrose metabolism"
"ENSG00000174876","AMY1B","MAR08568","Starch and sucrose metabolism"
"ENSG00000187733","AMY1C","MAR08568","Starch and sucrose metabolism"
"ENSG00000237763","AMY1A","MAR08568","Starch and sucrose metabolism"
"ENSG00000240038","AMY2B","MAR08568","Starch and sucrose metabolism"
"ENSG00000243480","AMY2A","MAR08568","Starch and sucrose metabolism"
"ENSG00000120563","LYZL1","MAR08569","Starch and sucrose metabolism"
"ENSG00000174876","AMY1B","MAR08569","Starch and sucrose metabolism"
"ENSG00000187733","AMY1C","MAR08569","Starch and sucrose metabolism"
"ENSG00000237763","AMY1A","MAR08569","Starch and sucrose metabolism"
"ENSG00000240038","AMY2B","MAR08569","Starch and sucrose metabolism"
"ENSG00000243480","AMY2A","MAR08569","Starch and sucrose metabolism"
"ENSG00000120563","LYZL1","MAR08570","Starch and sucrose metabolism"
"ENSG00000174876","AMY1B","MAR08570","Starch and sucrose metabolism"
"ENSG00000187733","AMY1C","MAR08570","Starch and sucrose metabolism"
"ENSG00000237763","AMY1A","MAR08570","Starch and sucrose metabolism"
"ENSG00000240038","AMY2B","MAR08570","Starch and sucrose metabolism"
"ENSG00000243480","AMY2A","MAR08570","Starch and sucrose metabolism"
"ENSG00000120563","LYZL1","MAR08571","Starch and sucrose metabolism"
"ENSG00000174876","AMY1B","MAR08571","Starch and sucrose metabolism"
"ENSG00000187733","AMY1C","MAR08571","Starch and sucrose metabolism"
"ENSG00000237763","AMY1A","MAR08571","Starch and sucrose metabolism"
"ENSG00000240038","AMY2B","MAR08571","Starch and sucrose metabolism"
"ENSG00000243480","AMY2A","MAR08571","Starch and sucrose metabolism"
"ENSG00000120563","LYZL1","MAR08572","Starch and sucrose metabolism"
"ENSG00000174876","AMY1B","MAR08572","Starch and sucrose metabolism"
"ENSG00000187733","AMY1C","MAR08572","Starch and sucrose metabolism"
"ENSG00000237763","AMY1A","MAR08572","Starch and sucrose metabolism"
"ENSG00000240038","AMY2B","MAR08572","Starch and sucrose metabolism"
"ENSG00000243480","AMY2A","MAR08572","Starch and sucrose metabolism"
"ENSG00000120563","LYZL1","MAR08573","Starch and sucrose metabolism"
"ENSG00000174876","AMY1B","MAR08573","Starch and sucrose metabolism"
"ENSG00000187733","AMY1C","MAR08573","Starch and sucrose metabolism"
"ENSG00000237763","AMY1A","MAR08573","Starch and sucrose metabolism"
"ENSG00000240038","AMY2B","MAR08573","Starch and sucrose metabolism"
"ENSG00000243480","AMY2A","MAR08573","Starch and sucrose metabolism"
"ENSG00000120563","LYZL1","MAR08574","Starch and sucrose metabolism"
"ENSG00000174876","AMY1B","MAR08574","Starch and sucrose metabolism"
"ENSG00000187733","AMY1C","MAR08574","Starch and sucrose metabolism"
"ENSG00000237763","AMY1A","MAR08574","Starch and sucrose metabolism"
"ENSG00000240038","AMY2B","MAR08574","Starch and sucrose metabolism"
"ENSG00000243480","AMY2A","MAR08574","Starch and sucrose metabolism"
"ENSG00000120563","LYZL1","MAR08575","Starch and sucrose metabolism"
"ENSG00000174876","AMY1B","MAR08575","Starch and sucrose metabolism"
"ENSG00000187733","AMY1C","MAR08575","Starch and sucrose metabolism"
"ENSG00000237763","AMY1A","MAR08575","Starch and sucrose metabolism"
"ENSG00000240038","AMY2B","MAR08575","Starch and sucrose metabolism"
"ENSG00000243480","AMY2A","MAR08575","Starch and sucrose metabolism"
"ENSG00000120563","LYZL1","MAR08576","Starch and sucrose metabolism"
"ENSG00000174876","AMY1B","MAR08576","Starch and sucrose metabolism"
"ENSG00000187733","AMY1C","MAR08576","Starch and sucrose metabolism"
"ENSG00000237763","AMY1A","MAR08576","Starch and sucrose metabolism"
"ENSG00000240038","AMY2B","MAR08576","Starch and sucrose metabolism"
"ENSG00000243480","AMY2A","MAR08576","Starch and sucrose metabolism"
"ENSG00000120563","LYZL1","MAR08577","Starch and sucrose metabolism"
"ENSG00000174876","AMY1B","MAR08577","Starch and sucrose metabolism"
"ENSG00000187733","AMY1C","MAR08577","Starch and sucrose metabolism"
"ENSG00000237763","AMY1A","MAR08577","Starch and sucrose metabolism"
"ENSG00000240038","AMY2B","MAR08577","Starch and sucrose metabolism"
"ENSG00000243480","AMY2A","MAR08577","Starch and sucrose metabolism"
"ENSG00000120563","LYZL1","MAR08578","Starch and sucrose metabolism"
"ENSG00000174876","AMY1B","MAR08578","Starch and sucrose metabolism"
"ENSG00000187733","AMY1C","MAR08578","Starch and sucrose metabolism"
"ENSG00000237763","AMY1A","MAR08578","Starch and sucrose metabolism"
"ENSG00000240038","AMY2B","MAR08578","Starch and sucrose metabolism"
"ENSG00000243480","AMY2A","MAR08578","Starch and sucrose metabolism"
"ENSG00000120563","LYZL1","MAR08579","Starch and sucrose metabolism"
"ENSG00000174876","AMY1B","MAR08579","Starch and sucrose metabolism"
"ENSG00000187733","AMY1C","MAR08579","Starch and sucrose metabolism"
"ENSG00000237763","AMY1A","MAR08579","Starch and sucrose metabolism"
"ENSG00000240038","AMY2B","MAR08579","Starch and sucrose metabolism"
"ENSG00000243480","AMY2A","MAR08579","Starch and sucrose metabolism"
"ENSG00000120563","LYZL1","MAR08581","Starch and sucrose metabolism"
"ENSG00000174876","AMY1B","MAR08581","Starch and sucrose metabolism"
"ENSG00000187733","AMY1C","MAR08581","Starch and sucrose metabolism"
"ENSG00000237763","AMY1A","MAR08581","Starch and sucrose metabolism"
"ENSG00000240038","AMY2B","MAR08581","Starch and sucrose metabolism"
"ENSG00000243480","AMY2A","MAR08581","Starch and sucrose metabolism"
"ENSG00000214013","GANC","MAR08591","Starch and sucrose metabolism"
"ENSG00000257335","MGAM","MAR08591","Starch and sucrose metabolism"
"ENSG00000171298","GAA","MAR08592","Starch and sucrose metabolism"
"ENSG00000120563","LYZL1","MAR08580","Starch and sucrose metabolism"
"ENSG00000174876","AMY1B","MAR08580","Starch and sucrose metabolism"
"ENSG00000187733","AMY1C","MAR08580","Starch and sucrose metabolism"
"ENSG00000237763","AMY1A","MAR08580","Starch and sucrose metabolism"
"ENSG00000240038","AMY2B","MAR08580","Starch and sucrose metabolism"
"ENSG00000243480","AMY2A","MAR08580","Starch and sucrose metabolism"
"ENSG00000120563","LYZL1","MAR08582","Starch and sucrose metabolism"
"ENSG00000174876","AMY1B","MAR08582","Starch and sucrose metabolism"
"ENSG00000187733","AMY1C","MAR08582","Starch and sucrose metabolism"
"ENSG00000237763","AMY1A","MAR08582","Starch and sucrose metabolism"
"ENSG00000240038","AMY2B","MAR08582","Starch and sucrose metabolism"
"ENSG00000243480","AMY2A","MAR08582","Starch and sucrose metabolism"
"ENSG00000214013","GANC","MAR08587","Starch and sucrose metabolism"
"ENSG00000257335","MGAM","MAR08587","Starch and sucrose metabolism"
"ENSG00000171298","GAA","MAR08589","Starch and sucrose metabolism"
"ENSG00000257335","MGAM","MAR08583","Starch and sucrose metabolism"
"ENSG00000090402","SI","MAR08584","Starch and sucrose metabolism"
"ENSG00000165434","PGM2L1","MAR08585","Starch and sucrose metabolism"
"ENSG00000169764","UGP2","MAR03944","Galactose metabolism"
"ENSG00000117308","GALE","MAR04128","Galactose metabolism"
"ENSG00000108479","GALK1","MAR04130","Galactose metabolism"
"ENSG00000156958","GALK2","MAR04130","Galactose metabolism"
"ENSG00000213930","GALT","MAR04131","Galactose metabolism"
"ENSG00000213930","GALT","MAR04132","Galactose metabolism"
"ENSG00000090402","SI","MAR04303","Galactose metabolism"
"ENSG00000171298","GAA","MAR04303","Galactose metabolism"
"ENSG00000214013","GANC","MAR04303","Galactose metabolism"
"ENSG00000257335","MGAM","MAR04303","Galactose metabolism"
"ENSG00000108479","GALK1","MAR04414","Galactose metabolism"
"ENSG00000156958","GALK2","MAR04414","Galactose metabolism"
"ENSG00000166262","FAM227B","MAR04414","Galactose metabolism"
"ENSG00000115850","LCT","MAR04415","Galactose metabolism"
"ENSG00000163521","GLB1L","MAR04415","Galactose metabolism"
"ENSG00000170266","GLB1","MAR04415","Galactose metabolism"
"ENSG00000188167","TMPPE","MAR04415","Galactose metabolism"
"ENSG00000102393","GLA","MAR04416","Galactose metabolism"
"ENSG00000170266","GLB1","MAR04416","Galactose metabolism"
"ENSG00000241343","RPL36A","MAR04416","Galactose metabolism"
"ENSG00000067057","PFKP","MAR04774","Galactose metabolism"
"ENSG00000141959","PFKL","MAR04774","Galactose metabolism"
"ENSG00000152556","PFKM","MAR04774","Galactose metabolism"
"ENSG00000067057","PFKP","MAR04775","Galactose metabolism"
"ENSG00000141959","PFKL","MAR04775","Galactose metabolism"
"ENSG00000152556","PFKM","MAR04775","Galactose metabolism"
"ENSG00000115850","LCT","MAR04832","Galactose metabolism"
"ENSG00000163521","GLB1L","MAR04832","Galactose metabolism"
"ENSG00000170266","GLB1","MAR04832","Galactose metabolism"
"ENSG00000188167","TMPPE","MAR04832","Galactose metabolism"
"ENSG00000086062","B4GALT1","MAR07674","Galactose metabolism"
"ENSG00000117411","B4GALT2","MAR07674","Galactose metabolism"
"ENSG00000167531","LALBA","MAR07674","Galactose metabolism"
"ENSG00000138030","KHK","MAR08761","Galactose metabolism"
"ENSG00000109107","ALDOC","MAR08762","Galactose metabolism"
"ENSG00000136872","ALDOB","MAR08762","Galactose metabolism"
"ENSG00000149925","ALDOA","MAR08762","Galactose metabolism"
"ENSG00000285043","AC093512.2","MAR08762","Galactose metabolism"
"ENSG00000115850","LCT","MAR08764","Galactose metabolism"
"ENSG00000085662","AKR1B1","MAR08766","Galactose metabolism"
"ENSG00000198074","AKR1B10","MAR08766","Galactose metabolism"
"ENSG00000213930","GALT","MAR08767","Galactose metabolism"
"ENSG00000114268","PFKFB4","MAR04297","Fructose and mannose metabolism"
"ENSG00000123836","PFKFB2","MAR04297","Fructose and mannose metabolism"
"ENSG00000158571","PFKFB1","MAR04297","Fructose and mannose metabolism"
"ENSG00000170525","PFKFB3","MAR04297","Fructose and mannose metabolism"
"ENSG00000140263","SORD","MAR04315","Fructose and mannose metabolism"
"ENSG00000085662","AKR1B1","MAR04316","Fructose and mannose metabolism"
"ENSG00000198074","AKR1B10","MAR04316","Fructose and mannose metabolism"
"ENSG00000156510","HKDC1","MAR04319","Fructose and mannose metabolism"
"ENSG00000156515","HK1","MAR04319","Fructose and mannose metabolism"
"ENSG00000159399","HK2","MAR04319","Fructose and mannose metabolism"
"ENSG00000160883","HK3","MAR04319","Fructose and mannose metabolism"
"ENSG00000178802","MPI","MAR04383","Fructose and mannose metabolism"
"ENSG00000100413","POLR3H","MAR04385","Fructose and mannose metabolism"
"ENSG00000100417","PMM1","MAR04385","Fructose and mannose metabolism"
"ENSG00000140650","PMM2","MAR04385","Fructose and mannose metabolism"
"ENSG00000144591","GMPPA","MAR04386","Fructose and mannose metabolism"
"ENSG00000164068","RNF123","MAR04386","Fructose and mannose metabolism"
"ENSG00000173540","GMPPB","MAR04386","Fructose and mannose metabolism"
"ENSG00000176020","AMIGO3","MAR04386","Fructose and mannose metabolism"
"ENSG00000144591","GMPPA","MAR04387","Fructose and mannose metabolism"
"ENSG00000173540","GMPPB","MAR04387","Fructose and mannose metabolism"
"ENSG00000176020","AMIGO3","MAR04387","Fructose and mannose metabolism"
"ENSG00000112699","GMDS","MAR04399","Fructose and mannose metabolism"
"ENSG00000104522","TSTA3","MAR04400","Fructose and mannose metabolism"
"ENSG00000116783","TNNI3K","MAR04401","Fructose and mannose metabolism"
"ENSG00000254685","FPGT","MAR04401","Fructose and mannose metabolism"
"ENSG00000259030","FPGT-TNNI3K","MAR04401","Fructose and mannose metabolism"
"ENSG00000157353","FUK","MAR04402","Fructose and mannose metabolism"
"ENSG00000156510","HKDC1","MAR04490","Fructose and mannose metabolism"
"ENSG00000156515","HK1","MAR04490","Fructose and mannose metabolism"
"ENSG00000159399","HK2","MAR04490","Fructose and mannose metabolism"
"ENSG00000160883","HK3","MAR04490","Fructose and mannose metabolism"
"ENSG00000078237","TIGAR","MAR04706","Fructose and mannose metabolism"
"ENSG00000108813","DLX4","MAR04706","Fructose and mannose metabolism"
"ENSG00000114268","PFKFB4","MAR04706","Fructose and mannose metabolism"
"ENSG00000123836","PFKFB2","MAR04706","Fructose and mannose metabolism"
"ENSG00000158571","PFKFB1","MAR04706","Fructose and mannose metabolism"
"ENSG00000170525","PFKFB3","MAR04706","Fructose and mannose metabolism"
"ENSG00000104522","TSTA3","MAR08768","Fructose and mannose metabolism"
"ENSG00000169738","DCXR","MAR04590","Pentose and glucuronate interconversions"
"ENSG00000115425","PECR","MAR04591","Pentose and glucuronate interconversions"
"ENSG00000116353","MECR","MAR04591","Pentose and glucuronate interconversions"
"ENSG00000085662","AKR1B1","MAR04592","Pentose and glucuronate interconversions"
"ENSG00000198074","AKR1B10","MAR04592","Pentose and glucuronate interconversions"
"ENSG00000140263","SORD","MAR04593","Pentose and glucuronate interconversions"
"ENSG00000093217","XYLB","MAR04595","Pentose and glucuronate interconversions"
"ENSG00000053371","AKR7A2","MAR08341","Pentose and glucuronate interconversions"
"ENSG00000085662","AKR1B1","MAR08341","Pentose and glucuronate interconversions"
"ENSG00000117448","AKR1A1","MAR08341","Pentose and glucuronate interconversions"
"ENSG00000117448","AKR1A1","MAR08344","Pentose and glucuronate interconversions"
"ENSG00000165475","CRYL1","MAR08352","Pentose and glucuronate interconversions"
"ENSG00000171174","RBKS","MAR08726","Pentose and glucuronate interconversions"
"ENSG00000120697","ALG5","MAR08727","Pentose and glucuronate interconversions"
"ENSG00000115652","UXS1","MAR08729","Pentose and glucuronate interconversions"
"ENSG00000117448","AKR1A1","MAR06537","Pentose and glucuronate interconversions"
"ENSG00000006534","ALDH3B1","MAR01568","Pyruvate metabolism"
"ENSG00000108602","ALDH3A1","MAR01568","Pyruvate metabolism"
"ENSG00000132746","ALDH3B2","MAR01568","Pyruvate metabolism"
"ENSG00000184254","ALDH1A3","MAR01568","Pyruvate metabolism"
"ENSG00000124767","GLO1","MAR03853","Pyruvate metabolism"
"ENSG00000167699","GLOD4","MAR03853","Pyruvate metabolism"
"ENSG00000085662","AKR1B1","MAR03854","Pyruvate metabolism"
"ENSG00000198074","AKR1B10","MAR03854","Pyruvate metabolism"
"ENSG00000085662","AKR1B1","MAR03855","Pyruvate metabolism"
"ENSG00000198074","AKR1B10","MAR03855","Pyruvate metabolism"
"ENSG00000063854","HAGH","MAR03857","Pyruvate metabolism"
"ENSG00000103253","HAGHL","MAR03857","Pyruvate metabolism"
"ENSG00000166816","LDHD","MAR03859","Pyruvate metabolism"
"ENSG00000182224","CYB5D1","MAR03859","Pyruvate metabolism"
"ENSG00000082212","ME2","MAR04087","Pyruvate metabolism"
"ENSG00000151376","ME3","MAR04087","Pyruvate metabolism"
"ENSG00000013392","RWDD2A","MAR04089","Pyruvate metabolism"
"ENSG00000065833","ME1","MAR04089","Pyruvate metabolism"
"ENSG00000082212","ME2","MAR04091","Pyruvate metabolism"
"ENSG00000151376","ME3","MAR04091","Pyruvate metabolism"
"ENSG00000172497","ACOT12","MAR04093","Pyruvate metabolism"
"ENSG00000172497","ACOT12","MAR04095","Pyruvate metabolism"
"ENSG00000124253","PCK1","MAR04101","Pyruvate metabolism"
"ENSG00000100889","PCK2","MAR04103","Pyruvate metabolism"
"ENSG00000173599","PC","MAR04143","Pyruvate metabolism"
"ENSG00000067225","PKM","MAR04193","Pyruvate metabolism"
"ENSG00000143627","PKLR","MAR04193","Pyruvate metabolism"
"ENSG00000053371","AKR7A2","MAR08497","Pyruvate metabolism"
"ENSG00000085662","AKR1B1","MAR08497","Pyruvate metabolism"
"ENSG00000117448","AKR1A1","MAR08497","Pyruvate metabolism"
"ENSG00000130649","CYP2E1","MAR08498","Pyruvate metabolism"
"ENSG00000130649","CYP2E1","MAR08499","Pyruvate metabolism"
"ENSG00000053371","AKR7A2","MAR08500","Pyruvate metabolism"
"ENSG00000085662","AKR1B1","MAR08500","Pyruvate metabolism"
"ENSG00000117448","AKR1A1","MAR08500","Pyruvate metabolism"
"ENSG00000137106","GRHPR","MAR08501","Pyruvate metabolism"
"ENSG00000147576","ADHFE1","MAR08502","Pyruvate metabolism"
"ENSG00000172955","ADH6","MAR08502","Pyruvate metabolism"
"ENSG00000187758","ADH1A","MAR08502","Pyruvate metabolism"
"ENSG00000196344","ADH7","MAR08502","Pyruvate metabolism"
"ENSG00000196616","ADH1B","MAR08502","Pyruvate metabolism"
"ENSG00000197894","ADH5","MAR08502","Pyruvate metabolism"
"ENSG00000198099","ADH4","MAR08502","Pyruvate metabolism"
"ENSG00000248144","ADH1C","MAR08502","Pyruvate metabolism"
"ENSG00000006534","ALDH3B1","MAR08503","Pyruvate metabolism"
"ENSG00000072210","ALDH3A2","MAR08503","Pyruvate metabolism"
"ENSG00000108602","ALDH3A1","MAR08503","Pyruvate metabolism"
"ENSG00000132746","ALDH3B2","MAR08503","Pyruvate metabolism"
"ENSG00000143149","ALDH9A1","MAR08503","Pyruvate metabolism"
