"","GSM2579317","GSM2579321","GSM2579325","GSM2579329","GSM2579333","GSM2579337"
"501",0,1,0,1,1,0
"217",1,0,1,0,0,0
"219",0,0,1,1,1,0
"239",1,1,0,1,0,0
"247",1,1,1,1,1,1
"246",0,0,1,0,0,0
"231",1,1,1,1,1,1
"8574",1,1,1,1,1,1
"23600",0,0,1,0,1,1
"115286",1,0,0,1,0,0
"271",0,0,1,1,1,1
"272",0,1,1,1,0,0
"270",1,1,1,1,1,1
"290",0,0,1,0,0,0
"278",1,1,1,1,1,1
"277",1,1,1,1,1,1
"279",0,0,0,1,0,0
"280",0,0,0,1,1,1
"6519",0,1,1,1,0,1
"276",1,1,1,1,1,1
"11136",1,1,1,1,1,1
"10998",0,1,1,1,0,1
"113451",1,1,0,1,1,0
"9057",1,0,0,1,1,1
"384",0,0,1,0,1,1
"445",1,1,1,1,1,1
"83884",0,0,0,0,0,1
"10166",0,1,0,0,1,1
"410",1,1,1,1,1,1
"427",1,0,1,0,0,0
"9963",0,0,0,1,1,1
"9962",0,1,0,1,0,1
"80150",1,0,1,0,0,1
"440",1,0,0,0,1,0
"790",1,1,0,0,0,0
"6505",0,1,0,0,0,0
"6512",0,1,1,0,0,0
"6511",1,1,1,1,1,1
"6507",1,1,1,1,1,1
"6506",1,0,0,1,1,1
"9296",1,1,1,1,1,1
"51606",1,1,1,1,1,1
"533",1,1,1,1,1,1
"90423",1,1,0,1,1,0
"528",1,1,0,0,0,1
"525",1,1,1,1,1,1
"10312",1,1,1,1,1,1
"127124",0,0,0,0,0,1
"245973",1,0,0,1,0,1
"50617",1,0,0,0,0,0
"9114",1,1,1,1,1,1
"23545",0,0,1,0,1,1
"8992",1,1,1,1,1,1
"535",1,0,1,1,0,1
"527",0,0,1,0,1,0
"526",1,1,1,0,1,1
"523",0,1,1,0,0,1
"529",1,1,1,1,1,1
"9550",1,1,1,1,1,1
"51382",1,1,1,1,1,1
"245972",1,1,1,1,1,1
"957",1,1,1,0,0,1
"956",0,0,1,0,0,0
"955",0,1,0,0,1,0
"953",1,0,1,0,1,1
"954",0,0,0,1,0,0
"377841",0,0,0,0,0,1
"293",1,1,1,1,1,1
"291",0,1,1,0,0,0
"292",1,1,1,1,1,1
"4126",0,1,1,0,1,0
"8706",0,0,0,0,0,1
"10317",1,1,1,1,1,1
