"","GSM2579316","GSM2579320","GSM2579324","GSM2579328","GSM2579332","GSM2579336"
"501",0,0,1,0,0,1
"217",1,0,1,0,0,1
"219",0,0,1,1,0,0
"239",1,1,1,1,0,0
"247",0,0,1,0,0,0
"246",0,0,0,1,0,1
"231",1,1,1,1,1,1
"8574",1,1,1,1,1,1
"23600",1,1,0,1,1,0
"115286",1,1,0,1,0,0
"271",0,1,0,1,0,1
"272",0,0,0,0,1,1
"270",1,1,1,1,1,1
"290",0,0,0,1,0,0
"278",1,1,1,1,1,1
"277",1,1,1,1,1,1
"279",1,1,1,1,1,1
"280",0,1,0,0,0,1
"6519",1,1,0,0,0,0
"276",1,1,1,1,1,1
"11136",0,0,0,0,0,1
"10998",0,1,0,1,1,0
"113451",1,1,0,1,1,0
"9057",0,1,0,1,1,1
"384",1,1,0,0,0,1
"445",1,0,0,0,0,0
"83884",0,0,0,0,0,1
"10166",0,1,1,1,0,1
"410",1,1,1,1,1,1
"427",1,0,1,0,1,0
"9963",0,0,1,0,0,1
"9962",1,1,0,0,1,1
"80150",1,0,0,1,0,1
"440",0,1,0,0,1,1
"790",0,0,1,1,0,1
"6505",1,0,0,0,0,1
"6512",0,0,0,1,0,0
"6511",1,1,1,1,1,1
"6507",1,1,1,1,1,1
"6506",0,1,0,0,1,1
"9296",1,1,1,1,1,1
"51606",1,1,1,1,1,1
"533",1,1,1,1,1,1
"90423",0,0,0,1,1,1
"528",1,0,1,1,0,0
"525",1,1,1,1,1,1
"10312",1,1,1,1,1,1
"127124",1,1,1,1,1,1
"245973",0,1,0,0,0,0
"50617",0,0,0,0,1,1
"9114",1,1,1,1,1,1
"23545",1,1,0,1,0,1
"8992",1,1,1,1,1,1
"535",0,1,1,1,0,1
"527",1,0,0,0,1,1
"526",1,1,1,1,1,1
"523",0,1,0,0,1,1
"529",1,1,1,1,1,1
"9550",1,1,1,1,1,1
"51382",0,1,1,1,1,1
"245972",1,1,1,1,1,1
"957",1,1,0,1,0,1
"956",1,1,1,1,1,1
"955",1,1,1,1,1,1
"953",0,0,0,0,1,1
"954",1,0,1,0,0,0
"377841",1,1,1,1,1,1
"293",1,1,1,1,1,1
"291",0,1,1,0,0,1
"292",1,1,1,1,1,1
"4126",1,0,1,0,1,1
"8706",0,0,0,1,0,0
"10317",0,0,1,0,1,0
"84002",0,0,0,0,1,1
"3141",1,0,1,0,0,1
"140679",0,0,0,1,0,0
"8424",1,1,1,1,1,1
"53630",1,1,1,1,1,1
"635",1,1,1,1,1,1
"23743",1,1,1,1,1,1
"10599",1,0,0,0,0,0
"1244",1,0,1,0,0,1
"8714",0,0,0,1,0,0
"28234",1,1,1,1,1,1
"645",1,0,1,0,0,1
"644",1,1,1,1,1,1
"9488",1,0,1,1,1,0
"10380",0,1,0,1,1,0
"686",1,0,0,0,0,0
"8884",0,1,0,1,0,0
"80704",0,0,0,0,1,0
"51733",0,0,1,0,1,0
"7108",0,0,0,1,1,1
"50814",0,1,1,0,0,1
"3295",1,1,0,1,0,0
"6307",1,1,1,1,1,1
"493",0,0,0,1,1,1
"492",1,1,1,1,1,1
"491",0,0,1,0,0,0
"490",1,1,1,1,1,1
"847",1,1,1,1,1,1
"6543",1,1,1,1,1,1
"6547",1,1,1,1,1,1
"6546",1,1,0,0,0,0
"166785",0,0,1,0,1,1
"2538",1,1,1,1,1,1
"92579",0,1,0,1,0,0
"1373",0,1,0,0,0,1
"873",1,1,1,1,1,1
"10423",1,1,1,1,1,1
"8760",1,1,1,1,1,1
"1040",0,0,1,0,0,0
"56994",0,0,0,1,1,1
"10390",0,1,0,0,0,1
"64781",1,1,1,1,1,1
"10087",0,0,0,1,1,0
"6565",1,0,0,0,1,0
"9023",1,1,0,0,1,0
"1103",0,0,1,0,0,0
"162466",0,0,0,0,0,1
"9468",1,1,1,1,1,1
"5130",1,1,0,0,1,1
"6579",1,1,1,1,1,1
"6555",1,1,1,1,1,1
"6554",1,0,0,1,1,0
"55349",1,0,0,1,0,0
"1120",1,0,1,1,0,0
"1119",0,1,0,1,1,0
"60482",1,1,1,1,1,1
"6582",0,0,1,0,0,0
"6584",1,1,0,1,0,1
"6820",0,1,0,0,1,1
"10948",1,1,1,1,1,1
"19",0,1,0,1,1,0
"1118",0,0,0,0,1,0
"27159",1,1,1,1,1,1
"54682",0,0,0,0,0,1
"9058",1,1,1,1,1,1
"6576",1,1,1,1,1,1
