"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs"
"ABHD5",42,4,7,0,1,0,1,17,3,0,0,0,9,3,0,0,1,1,92,3,1,0,2
"TCAIM",9,0,0,0,0,0,0,8,0,0,0,0,1,0,1,0,0,0,76,3,0,1,1
"ZNF445",1,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,32,0,0,0,1
"ZNF852",0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,7,0,0,0,0
"ZNF197",6,0,0,0,0,0,0,11,0,0,0,0,0,1,1,0,0,0,18,0,0,0,0
"ZNF35",1,0,2,0,0,0,0,3,6,0,0,0,1,0,0,0,0,0,11,0,0,0,3
"ZNF502",0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0
"ZNF501",0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0
"KIAA1143",23,5,3,0,5,0,0,27,20,1,3,2,22,10,1,3,0,3,110,3,1,0,6
"KIF15",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,0,0,0,0
"TMEM42",24,1,1,2,0,0,2,22,2,1,1,0,9,7,3,2,1,0,91,1,4,1,3
"ZDHHC3",12,0,5,1,3,0,0,25,10,0,1,2,10,7,3,1,0,2,352,1,0,0,7
"EXOSC7",37,1,8,1,3,3,0,55,16,0,2,0,11,2,7,2,3,0,247,10,0,3,14
"CDCP1",9,0,3,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,165,0,1,0,0
"LARS2",1,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,1,41,0,0,0,1
"LIMD1",6,0,0,0,0,0,0,2,1,0,0,0,2,1,1,0,0,0,48,2,1,0,1
"SACM1L",5,0,0,1,3,1,0,8,10,0,3,0,6,1,2,2,0,1,42,2,1,2,0
"LZTFL1",2,2,2,0,0,0,0,12,1,0,1,0,4,4,1,3,0,1,36,7,0,1,3
"FYCO1",0,0,0,0,0,0,0,3,1,1,1,0,4,1,1,0,0,0,24,2,0,0,2
"CXCR6",2,11,0,7,16,4,0,0,93,0,0,0,56,34,0,5,6,4,2,0,0,35,0
"CCR1",24,0,0,4,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,6,0,0
"CCR2",4,0,0,0,1,0,0,0,1,0,0,0,7,2,0,0,0,0,0,0,2,0,0
"CCR5",3,0,1,0,0,2,0,0,21,0,0,0,26,5,0,2,0,2,0,0,1,2,0
"CCRL2",79,0,16,0,0,0,0,4,13,0,2,0,2,0,0,0,0,1,55,1,9,2,2
"LRRC2",0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,25,0,0,0,1
"TDGF1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,1
"ALS2CL",0,0,0,0,0,0,0,26,0,0,0,0,1,0,0,0,0,0,38,0,0,0,2
"CCDC12",58,13,8,5,19,2,1,78,57,2,13,3,78,26,6,1,5,6,692,14,3,10,36
"NBEAL2",1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,39,0,0,2,1
"SETD2",9,1,0,3,0,0,0,8,1,0,0,0,13,0,1,1,0,1,80,3,1,3,2
"KIF9",8,3,0,1,1,0,0,9,2,0,4,1,6,2,0,0,0,0,202,1,2,0,6
"KLHL18",15,0,1,0,1,0,0,7,1,2,0,1,14,2,0,0,1,2,18,1,0,1,0
"RP11-708J19.1",2,0,0,0,0,0,1,6,0,0,1,0,1,2,1,0,0,0,45,3,1,0,0
"PTPN23",5,0,0,0,1,0,0,10,2,0,0,0,2,0,0,0,0,0,46,0,0,0,1
"SCAP",11,2,1,0,0,0,1,15,4,0,1,0,5,2,1,0,0,0,134,2,0,1,6
"ELP6",21,0,0,0,1,2,1,30,5,0,0,0,10,2,1,1,1,1,134,2,1,0,5
"SMARCC1",6,0,1,0,2,0,1,12,8,0,2,0,6,2,0,0,0,0,118,1,0,3,0
"DHX30",18,1,5,0,1,0,1,16,2,0,2,2,11,5,1,1,0,0,157,5,1,1,4
"MAP4",18,4,1,0,3,0,0,26,6,0,2,0,4,6,1,0,0,0,103,0,0,2,6
"CDC25A",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0
"ZNF589",5,0,2,0,0,0,0,1,1,0,0,1,3,0,0,0,0,0,2,0,0,0,0
"NME6",10,1,3,0,0,0,0,13,1,0,0,0,4,1,0,0,0,2,89,1,0,0,0
"PLXNB1",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,106,0,0,0,0
"CCDC51",12,0,0,0,0,0,0,12,3,0,0,0,0,0,3,0,0,0,134,0,0,0,2
"TMA7",365,63,75,17,65,18,6,517,241,7,41,25,406,154,24,55,14,25,3991,99,29,58,103
"ATRIP",1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,9,0,0,0,3
"TREX1",31,1,2,0,0,0,0,22,11,0,1,0,5,2,1,0,0,0,138,4,3,0,12
"SHISA5",53,6,4,4,11,2,0,126,31,0,2,3,52,13,3,2,2,2,217,4,0,7,36
"PFKFB4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
"UQCRC1",185,1,26,3,6,2,2,90,33,0,5,0,28,13,16,1,0,1,2714,13,10,6,17
"SLC26A6",2,1,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,170,2,0,0,1
"NCKIPSD",6,0,2,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,53,0,0,0,0
"IP6K2",23,6,1,0,2,1,0,107,16,0,16,0,22,5,12,2,2,2,602,4,3,3,13
"PRKAR2A",18,0,5,0,0,0,0,7,5,0,0,0,11,5,3,3,0,0,188,1,2,2,9
"SLC25A20",13,1,1,0,3,0,0,9,3,0,0,1,3,0,0,0,0,0,100,3,1,0,0
"ARIH2OS",3,0,1,0,0,0,0,11,4,0,0,1,7,0,0,0,0,1,38,1,1,1,0
"ARIH2",20,0,3,0,1,0,0,24,3,0,1,1,17,1,1,1,0,0,146,7,0,2,3
"P4HTM",8,1,2,1,2,1,1,34,9,0,0,1,26,4,3,6,0,0,190,3,0,5,3
"WDR6",13,1,2,0,1,0,0,10,7,0,1,0,12,2,2,2,1,0,125,2,0,1,1
"DALRD3",4,0,2,0,2,0,0,29,13,1,2,1,8,1,2,2,0,0,108,7,0,2,5
"NDUFAF3",183,7,16,2,9,0,3,234,55,1,26,0,90,31,7,7,2,6,907,48,11,13,43
"IMPDH2",62,4,9,1,4,4,4,137,27,1,8,1,56,2,6,6,3,1,1266,11,3,5,12
"QRICH1",7,0,1,0,3,1,0,14,7,0,0,0,8,1,0,0,0,0,74,5,1,0,4
"QARS",63,5,19,2,1,0,0,65,19,0,8,6,18,5,2,1,1,9,759,4,2,1,9
"USP19",11,2,0,0,1,0,0,8,1,0,1,0,4,1,0,0,0,1,71,0,0,1,1
"LAMB2",20,0,0,0,0,0,0,31,0,0,0,0,0,0,2,0,0,0,11,0,0,0,13
"CCDC71",5,0,0,0,1,1,0,16,3,1,0,0,4,1,5,3,0,0,54,1,0,0,1
"KLHDC8B",46,0,0,0,0,0,0,11,2,0,1,0,2,1,0,0,0,0,5,0,0,0,12
"C3orf62",11,0,0,0,0,0,0,5,1,0,0,1,2,0,0,2,0,0,17,0,0,0,0
"USP4",11,6,0,1,3,0,0,20,2,0,2,0,6,6,0,0,0,0,72,2,1,0,10
"GPX1",2485,10,298,5,7,2,3,298,43,2,67,10,130,23,10,8,4,4,1423,47,90,36,103
"RHOA",628,18,56,8,15,4,1,315,94,0,34,8,128,46,10,7,3,4,1256,29,31,28,90
"TCTA",20,3,1,0,1,0,0,19,12,0,0,0,6,5,1,0,0,2,105,0,3,1,3
"AMT",9,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,172,0,0,1,2
"NICN1",1,0,0,0,0,0,0,5,3,0,0,0,1,0,0,0,0,0,23,0,0,0,2
"DAG1",5,0,0,0,0,0,0,7,1,0,0,0,0,1,2,0,0,0,133,1,0,1,2
"APEH",39,0,1,0,1,0,0,27,11,0,0,0,11,2,1,0,0,0,326,5,3,2,5
"MST1",0,0,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,54,1,0,0,2
"RNF123",2,0,0,0,1,2,0,2,1,0,0,0,1,0,0,0,1,0,28,0,0,0,0
"GMPPB",0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,8,0,0,0,0
"IP6K1",10,1,1,0,3,0,2,20,8,0,1,0,16,3,0,1,0,0,63,5,0,2,3
"FAM212A",0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,5
"UBA7",18,0,4,0,1,0,0,21,9,0,7,0,10,0,1,2,0,0,104,0,0,2,2
"TRAIP",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0
"MST1R",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,73,0,0,0,2
"MON1A",4,0,1,1,0,0,0,8,1,0,0,0,2,0,1,0,0,0,27,0,0,0,4
"RBM6",10,3,1,1,3,0,0,29,7,1,5,0,6,11,7,4,0,4,178,4,0,0,10
"RBM5",5,0,3,4,4,0,0,21,17,1,5,0,17,12,2,0,1,2,166,1,0,3,14
"SEMA3F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6
"GNAI2",152,3,18,2,3,0,0,34,15,2,3,2,25,10,7,1,3,3,34,13,4,2,28
"SEMA3B-AS1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"SEMA3B",0,0,0,0,0,0,7,11,0,0,0,0,0,0,0,0,0,0,106,0,0,0,2
"IFRD2",29,4,3,1,0,0,0,23,13,0,4,1,17,6,1,0,3,1,290,3,0,2,19
"HYAL3",3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,1,1,0
"NAT6",2,0,0,0,0,1,0,3,1,0,4,0,7,0,0,0,0,3,15,2,2,0,4
"HYAL1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,1
"HYAL2",27,0,0,0,0,0,0,15,1,0,0,0,1,2,1,0,0,0,93,0,0,0,56
"TUSC2",55,1,5,1,2,0,2,32,24,0,2,2,26,19,2,3,0,3,258,8,3,11,15
"RASSF1",32,2,0,1,9,0,0,24,45,2,9,3,14,7,0,2,3,0,112,7,1,8,5
"NPRL2",13,3,1,3,1,0,0,24,15,0,4,0,8,0,4,2,0,1,167,6,0,2,5
"CYB561D2",65,8,8,0,7,1,0,36,23,1,17,1,28,6,1,1,2,0,292,10,5,2,8
"TMEM115",15,0,2,0,3,0,0,46,4,0,2,0,8,1,1,0,0,1,128,2,0,0,3
"C3orf18",2,0,0,0,0,0,0,9,0,0,0,0,6,2,0,0,0,0,0,0,0,1,0
"HEMK1",14,0,3,0,1,0,0,13,5,0,0,0,6,7,1,0,1,1,88,2,0,0,1
"CISH",6,1,0,0,1,0,0,3,11,0,0,0,8,0,0,0,1,0,62,2,0,0,1
"MAPKAPK3",33,3,4,0,2,1,0,10,9,0,2,0,27,6,0,0,2,0,94,5,1,7,0
"RP11-804H8.6",2,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"MANF",183,12,14,5,5,0,1,124,39,6,10,1,60,24,2,3,1,2,619,209,13,11,17
"RBM15B",14,1,0,0,0,0,0,12,4,2,0,0,3,1,2,0,2,0,61,1,0,1,1
"VPRBP",5,0,1,0,0,0,0,2,0,0,0,0,4,0,0,0,1,0,36,1,0,0,1
"RAD54L2",4,0,1,0,0,0,0,9,0,0,0,0,1,1,0,0,0,0,14,0,0,2,0
"TEX264",124,14,11,0,11,0,3,93,24,0,8,3,48,22,4,0,2,2,667,30,8,15,21
"RRP9",18,0,4,1,1,0,0,13,8,0,0,0,9,1,1,0,0,1,141,2,0,0,4
"PARP3",2,0,2,0,0,0,0,10,1,0,1,0,3,0,1,0,0,0,60,0,0,1,0
"PCBP4",0,2,0,0,0,0,1,19,5,0,0,0,2,7,2,0,0,1,32,1,0,0,4
"ABHD14B",22,7,7,1,7,0,0,92,28,0,10,8,44,18,2,6,3,1,538,3,0,4,11
"ABHD14A",26,8,3,2,4,3,2,53,19,1,6,0,39,16,3,2,2,2,134,13,1,2,5
"ACY1",2,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,46,1,0,0,0
"RPL29",1681,155,350,53,161,50,9,2080,655,32,230,109,1914,416,79,175,47,60,18264,472,82,227,301
"DUSP7",2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,10,0,0,0,2
"POC1A",8,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0
"ALAS1",40,0,1,3,0,0,2,45,6,0,5,0,8,2,1,0,4,0,269,0,1,0,6
"TWF2",85,3,27,2,4,1,0,57,28,0,1,1,39,19,5,4,1,5,204,7,5,9,10
"PPM1M",9,2,4,0,1,0,0,9,1,0,0,0,6,2,0,0,0,0,6,0,1,0,0
"WDR82",20,1,2,0,1,0,1,18,13,0,0,1,7,3,0,0,0,1,121,0,1,2,1
"GLYCTK",3,0,6,1,1,0,0,0,6,0,0,1,3,0,0,0,0,0,108,0,0,0,7
"DNAH1",1,0,1,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,13,1,0,0,0
"BAP1",5,0,3,0,0,0,0,7,1,0,0,0,3,1,2,0,0,0,83,0,1,1,0
"PHF7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,59,1,0,1,1
"NISCH",42,0,6,0,3,0,0,14,0,0,0,0,5,1,2,0,0,0,49,0,0,2,0
"STAB1",248,0,15,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,4,0,5
"NT5DC2",6,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,30,4,0,0,0
"SMIM4",47,1,2,0,1,0,0,3,4,0,1,1,4,1,2,0,0,0,146,3,0,0,1
"PBRM1",15,0,0,0,3,0,0,10,7,0,1,0,6,2,4,0,0,1,97,4,0,0,4
"GNL3",53,5,12,1,4,1,0,35,14,1,7,9,60,12,0,4,2,3,429,25,2,0,6
"GLT8D1",16,3,1,0,3,0,2,70,9,0,5,1,13,9,2,2,0,4,87,20,0,2,12
"SPCS1",253,15,21,14,31,12,1,331,96,1,44,7,201,65,18,32,7,10,1586,281,15,29,65
"NEK4",4,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,15,1,0,1,0
"TMEM110",12,0,0,0,0,0,0,2,0,0,1,0,3,3,0,1,0,0,2,2,1,0,0
"SFMBT1",4,0,0,1,0,0,0,1,1,0,0,0,6,0,0,0,1,0,53,0,0,0,0
"RFT1",10,1,4,0,0,1,2,16,7,0,4,1,8,1,7,0,0,1,57,1,0,0,2
"PRKCD",33,0,5,0,0,0,0,2,1,1,2,0,8,1,0,0,0,0,175,7,3,0,0
"TKT",177,1,22,1,2,0,0,51,14,2,7,2,34,5,1,4,1,4,835,10,10,4,11
"DCP1A",20,4,2,1,1,0,1,13,6,0,10,3,19,4,0,3,2,0,112,1,2,0,13
"CACNA1D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
"CHDH",1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,114,0,0,0,0
"IL17RB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0
"ACTR8",3,2,3,0,0,0,0,6,2,1,0,0,4,0,0,0,1,0,37,2,1,2,2
"SELK",914,79,182,30,62,13,2,209,177,9,139,7,560,175,10,57,25,29,1128,342,83,67,72
"CACNA2D3",15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WNT5A",0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"CCDC66",1,1,1,0,0,0,0,8,4,0,0,0,8,0,0,1,0,0,34,0,0,1,2
"FAM208A",3,0,0,0,0,1,0,5,3,0,0,1,4,0,1,0,0,1,32,0,0,1,1
"ARHGEF3",0,2,0,3,3,3,0,1,18,0,1,0,17,6,0,1,4,3,5,0,0,2,3
"APPL1",31,0,7,2,0,0,1,25,4,0,3,0,10,2,4,1,0,1,128,5,1,0,9
"PDE12",6,1,2,0,1,0,0,4,7,0,3,0,6,1,1,2,0,0,56,1,0,1,1
"ARF4",122,4,15,0,6,3,3,212,14,6,7,6,87,22,11,6,3,3,979,84,6,8,37
"DENND6A",5,0,0,0,1,0,0,4,3,0,0,0,0,1,0,0,0,0,19,0,0,0,1
"SLMAP",8,0,1,1,4,0,0,20,3,0,0,0,9,1,2,1,0,0,67,1,2,1,1
"FLNB",3,1,0,0,0,0,0,5,0,1,0,1,3,0,1,0,0,0,634,0,0,0,5
"DNASE1L3",3132,0,258,0,0,0,0,1,1,0,0,2,0,1,0,2,0,0,4,3,19,1,1
"ABHD6",9,0,1,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,49,0,0,0,1
"RPP14",15,0,2,1,2,0,0,11,2,0,0,0,9,6,0,2,1,2,98,3,1,3,7
"PXK",9,0,1,1,0,0,0,42,11,0,0,0,9,2,4,0,0,0,12,0,0,1,2
"PDHB",69,2,10,0,14,1,0,120,35,1,7,1,26,16,8,5,2,2,719,17,1,6,26
"KCTD6",5,0,3,0,1,0,1,6,0,0,0,0,3,3,1,0,0,0,31,4,0,0,1
"ACOX2",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0
"FAM107A",0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
"FAM3D",1,0,0,0,0,0,0,1,6,0,0,0,0,1,0,0,0,0,4081,1,1,0,7
"FHIT",13,1,1,0,0,0,1,21,0,0,2,0,2,0,1,0,0,0,81,0,1,0,2
"PTPRG",0,0,0,0,0,0,0,13,0,0,0,0,0,0,2,0,0,0,15,0,0,0,3
"C3orf14",13,0,0,0,3,0,1,8,1,0,0,0,2,0,0,0,0,0,44,0,0,1,1
"THOC7",68,10,4,4,6,0,0,55,33,0,14,3,38,10,6,2,1,5,564,7,4,11,8
"ATXN7",2,3,0,0,1,1,0,9,7,2,0,0,10,1,0,0,0,0,45,0,0,4,0
"PSMD6-AS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"PSMD6",74,8,10,3,6,3,5,49,35,1,1,3,37,10,3,5,1,0,293,11,0,8,15
"PRICKLE2",0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ADAMTS9-AS2",0,0,0,0,0,0,0,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
"MAGI1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,9
"SLC25A26",11,1,0,0,1,0,0,31,14,2,8,0,12,7,0,2,0,0,149,4,0,2,7
"LRIG1",1,1,0,0,0,0,0,6,3,0,0,0,2,2,0,0,0,0,97,0,0,0,6
"KBTBD8",2,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,1,1,0
"SUCLG2",35,4,3,0,4,0,1,111,22,1,2,0,34,15,4,4,4,1,1752,8,3,6,12
"FAM19A1",0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"EOGT",2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,7
"TMF1",11,3,2,0,4,2,0,8,3,0,3,3,18,6,0,3,0,0,101,8,1,8,5
"UBA3",30,7,5,0,3,0,0,33,18,0,5,1,19,4,3,2,0,0,114,9,3,2,10
"ARL6IP5",209,19,30,4,29,7,4,190,133,5,40,8,218,72,13,18,10,15,587,13,7,30,29
"LMOD3",0,0,0,0,0,0,0,1,3,0,1,0,10,0,0,0,0,0,6,3,0,2,0
"FRMD4B",65,3,7,3,5,2,0,2,9,0,3,0,23,7,0,0,0,4,49,0,3,6,3
"MITF",35,0,2,0,0,0,0,23,0,0,27,0,0,0,0,0,0,0,3,1,0,0,1
"FOXP1",74,15,8,2,9,2,1,72,38,3,11,5,52,15,9,5,3,7,1115,10,2,6,24
"EIF4E3",1,1,0,0,0,0,0,5,2,0,0,0,3,0,0,0,1,0,29,1,0,0,0
"LINC00877",14,0,4,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,1,4,0,0
"RYBP",12,0,0,0,0,0,0,4,4,0,2,1,7,2,1,1,0,0,78,3,2,2,3
"SHQ1",0,0,0,0,1,0,0,4,3,2,2,0,3,0,1,0,0,0,42,0,0,3,1
"GXYLT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"PPP4R2",10,6,2,0,1,0,0,18,15,2,1,0,23,5,2,2,0,2,177,1,1,2,8
"EBLN2",0,1,0,0,0,2,0,1,1,0,0,0,3,0,0,0,0,0,21,0,0,0,2
"PDZRN3",0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"RP11-803B1.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"ZNF717",5,0,0,0,0,0,0,4,0,0,1,0,4,0,1,0,0,0,27,1,0,0,0
"ROBO1",0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"GBE1",4,0,1,0,0,0,0,26,4,0,8,0,3,0,1,0,0,0,32,0,0,0,2
"CHMP2B",74,4,11,0,4,1,0,59,18,2,5,6,40,4,2,4,1,1,563,8,8,4,23
"CGGBP1",35,2,0,6,8,5,0,55,35,2,10,3,56,17,1,1,1,5,202,12,2,5,12
"RP11-159G9.5",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
"ZNF654",1,0,0,0,1,0,0,3,0,0,0,0,2,2,0,0,0,0,14,0,0,1,0
"C3orf38",17,9,0,0,3,0,0,41,8,0,0,0,10,7,1,2,0,1,73,5,2,8,7
"PROS1",10,0,0,0,0,0,0,98,0,0,3,0,0,0,0,0,0,0,13,0,0,0,13
"ARL13B",12,0,0,1,0,0,0,27,7,0,3,0,2,0,0,2,0,0,12,1,1,0,9
"STX19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"DHFRL1",1,1,0,0,0,0,0,6,5,0,0,0,3,0,0,0,0,0,28,0,0,0,0
"NSUN3",5,1,0,0,0,1,0,8,4,0,3,0,1,0,0,1,0,0,53,2,0,6,0
"MTRNR2L12",1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1
"ARL6",2,1,0,0,0,0,0,2,1,0,1,0,2,0,1,1,0,0,2,0,1,0,2
"CRYBG3",1,0,0,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,11,1,0,0,7
"MINA",10,0,1,0,0,0,0,56,1,1,0,0,6,1,1,0,0,0,74,5,0,0,4
"CLDND1",24,9,9,8,8,1,0,58,46,0,3,1,147,31,4,5,5,3,95,10,2,12,18
"CPOX",1,0,0,1,1,0,0,0,6,0,0,0,4,3,1,1,0,0,8,0,0,0,2
"GPR15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ST3GAL6",30,0,5,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,2,2,1,0,0
"DCBLD2",2,0,0,0,0,0,0,7,1,0,0,0,0,0,1,0,0,0,22,0,0,0,1
"CMSS1",32,1,1,0,0,3,1,20,14,0,3,0,10,1,0,3,3,0,104,14,0,0,9
"FILIP1L",26,0,0,0,0,0,0,124,0,0,3,0,0,0,7,0,0,0,10,1,3,0,4
"TBC1D23",5,4,0,0,3,0,0,22,2,0,3,0,10,0,1,0,0,0,48,3,0,0,4
"NIT2",72,3,7,0,3,0,4,64,23,3,5,1,20,4,5,1,2,0,363,8,2,4,6
"TOMM70A",8,0,0,0,0,0,0,13,1,0,0,0,6,1,0,0,0,3,90,0,0,0,2
"LNP1",0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,6,0,0,0,1
"TMEM45A",1,0,0,0,0,0,2,62,0,0,1,0,0,0,5,0,0,0,2,12,0,0,1
"TFG",52,2,1,0,4,0,0,81,17,0,15,0,31,10,7,3,1,1,519,23,5,4,16
"ABI3BP",0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SENP7",1,1,0,0,0,0,0,12,3,0,0,0,5,1,0,0,0,0,9,0,0,0,2
"TRMT10C",10,2,1,0,5,2,2,22,12,3,6,1,26,21,2,4,2,0,187,6,0,4,9
"PCNP",72,11,9,5,17,1,0,180,42,0,12,4,72,29,12,8,2,6,346,9,5,9,21
"ZBTB11",4,0,0,1,0,0,0,2,0,0,1,0,0,3,0,1,0,2,14,0,0,0,0
"ZBTB11-AS1",1,0,0,0,0,0,0,2,3,0,0,0,1,4,0,0,0,2,11,0,1,0,2
"RPL24",819,85,192,42,101,41,6,1461,361,21,196,55,983,227,54,98,37,39,8328,320,60,134,246
"CEP97",1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7,0,0,0,0
"NXPE3",7,2,0,0,0,0,0,2,5,2,0,2,5,2,0,0,1,0,5,2,0,0,1
"NFKBIZ",133,8,42,2,5,0,0,20,19,8,152,3,91,10,2,1,9,2,229,12,15,12,19
"ALCAM",4,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,20,1,1,0,0
"CBLB",5,4,1,0,3,0,0,5,20,0,1,0,12,6,0,0,1,2,28,0,0,1,0
"BBX",32,3,5,2,4,2,1,70,18,0,4,3,28,10,6,8,0,0,138,11,2,6,12
"CD47",144,15,17,3,10,3,0,96,28,6,21,5,115,23,1,8,2,2,587,22,20,12,17
"IFT57",18,1,5,0,0,0,0,85,4,3,1,2,24,4,0,0,1,1,412,7,1,1,7
"HHLA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0
"MYH15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
"KIAA1524",5,0,0,0,0,0,0,1,1,0,0,0,1,3,0,0,0,0,13,0,0,0,0
"DZIP3",5,0,3,0,2,0,1,15,7,0,0,1,3,3,0,1,0,3,17,2,0,3,0
"RETNLB",0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,805,0,0,0,0
"TRAT1",0,23,0,4,23,2,0,1,54,0,0,0,162,33,0,20,1,9,1,0,0,7,0
"PVRL3",0,0,0,2,0,0,0,4,10,1,0,0,1,0,0,0,0,1,87,0,0,0,0
"CD96",0,11,0,1,8,3,0,0,92,2,0,0,82,21,0,1,3,4,1,1,0,5,0
"ABHD10",16,4,3,0,0,0,0,12,3,0,0,0,11,0,1,1,1,4,79,5,0,2,0
"C3orf52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0
"GCSAM",5,0,0,0,4,0,0,0,0,0,0,0,10,3,0,0,0,0,0,2,0,0,0
"RP11-757F18.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"CD200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,7
