"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs"
"CTH",0,2,0,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0,46,1,0,0,4
"ZRANB2",18,1,7,1,4,0,1,37,13,0,9,0,25,8,4,5,0,1,212,5,1,0,10
"NEGR1",0,0,0,0,0,0,0,81,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"LRRIQ3",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,12,1,0,0,0
"FPGT",9,0,1,0,0,1,0,7,3,0,0,1,5,0,0,0,0,0,54,0,0,0,0
"CRYZ",8,0,0,0,0,1,0,9,1,0,1,1,7,3,2,1,0,1,33,0,2,1,2
"TYW3",19,4,2,0,0,0,1,16,11,1,3,1,14,3,0,3,0,1,70,2,1,1,8
"ACADM",37,2,3,3,3,1,0,30,15,0,5,3,19,5,1,3,5,0,379,12,1,4,8
"RABGGTB",42,0,8,0,2,1,0,36,8,0,9,1,14,3,1,1,3,0,256,11,4,0,12
"PIGK",27,0,2,0,2,0,1,51,11,0,2,1,14,7,2,1,1,1,60,5,5,0,5
"ZZZ3",3,0,0,0,0,0,0,8,3,0,2,0,2,0,0,1,0,0,20,0,0,0,2
"USP33",6,0,4,0,0,0,1,17,11,0,1,2,8,3,1,0,0,0,76,0,0,0,1
"FAM73A",7,0,0,0,0,0,0,4,1,0,0,0,1,1,0,1,0,0,16,0,0,0,1
"NEXN",0,0,0,0,0,0,0,52,0,0,0,1,2,0,20,0,0,0,0,1,0,0,0
"FUBP1",10,1,1,0,2,0,0,22,13,0,4,0,23,3,0,2,0,0,161,14,2,7,6
"DNAJB4",13,3,0,1,1,1,2,27,3,0,26,1,20,7,0,3,2,0,54,24,1,5,19
"GIPC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,4
"RP11-386I14.4",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"IFI44L",9,0,0,1,3,0,0,27,0,2,0,2,27,1,0,0,0,0,4,0,0,0,9
"IFI44",9,0,0,0,3,0,0,25,0,0,0,0,13,0,2,4,0,0,2,0,4,1,8
"RP5-887A10.1",1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,11,0,0,0
"RP11-475O6.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTLL7",0,0,0,0,0,0,2,14,1,0,0,1,0,0,9,0,0,1,14,3,0,0,1
"RP11-486G15.2",2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRKACB",16,1,1,1,2,0,0,1,11,0,2,1,11,8,0,0,0,3,99,0,0,0,0
"SAMD13",0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,101,0,0,0,0
"RPF1",35,10,2,6,1,0,0,50,12,0,9,1,35,20,1,5,0,1,216,6,0,0,5
"GNG5",343,11,53,3,12,1,4,200,64,3,27,3,84,29,17,6,5,7,2282,26,26,23,87
"CTBS",27,1,6,0,1,0,0,33,2,0,0,0,10,0,2,3,3,0,89,6,2,1,5
"SSX2IP",0,0,0,0,0,0,0,3,0,0,0,0,6,0,1,0,0,0,21,0,0,0,0
"MCOLN2",6,4,0,0,0,0,0,0,2,0,0,0,3,5,0,1,0,0,66,0,4,0,0
"MCOLN3",0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0
"SYDE2",0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,18,0,0,0,0
"C1orf52",21,0,2,1,4,1,3,25,12,1,3,2,20,7,2,2,1,1,133,12,1,6,13
"BCL10",6,2,2,0,1,0,0,6,3,0,0,2,9,4,1,1,0,0,139,0,0,1,9
"RP11-131L23.1",1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,16,0,0,1,0
"DDAH1",0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,131,0,0,0,0
"CYR61",0,0,0,0,0,0,26,539,0,0,1,0,0,0,2,0,0,0,37,0,0,0,6
"ZNHIT6",3,0,0,0,0,0,0,6,0,0,0,1,2,0,0,0,0,0,31,0,0,0,2
"ODF2L",14,7,1,0,7,0,0,65,26,1,0,0,89,19,6,5,1,0,151,4,0,10,6
"CLCA1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1108,0,0,0,0
"CLCA4",1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1013,0,0,0,0
"RP4-612B15.3",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0
"SH3GLB1",88,5,18,2,7,1,0,63,23,1,3,1,34,13,4,1,1,0,427,22,2,6,20
"SEP15",163,12,23,10,16,3,3,185,42,2,20,5,151,41,13,11,4,5,857,47,1,26,39
"HS2ST1",5,0,1,1,0,0,0,14,1,0,0,0,2,0,0,0,0,0,24,2,0,0,4
"LMO4",44,2,11,0,5,0,2,61,11,0,41,0,36,8,6,2,3,4,110,22,3,1,9
"PKN2",3,0,1,0,2,0,2,21,2,0,1,0,2,0,5,0,0,0,148,3,1,0,2
"GTF2B",109,9,38,6,21,0,0,43,24,2,23,6,87,29,4,11,5,7,240,26,5,16,11
"CCBL2",8,1,4,0,1,0,1,31,4,0,0,0,12,5,2,0,0,0,88,2,0,0,2
"RBMXL1",13,2,0,2,0,1,0,15,4,0,5,0,12,2,0,0,0,1,79,0,0,1,4
"GBP3",8,2,0,2,2,1,0,57,16,0,0,0,0,1,3,0,1,0,118,1,0,3,7
"GBP1",86,8,12,14,16,2,6,153,41,0,6,1,58,14,6,4,2,4,59,6,76,9,33
"GBP2",50,7,8,8,11,3,9,245,62,0,7,0,100,20,11,14,5,2,174,5,18,27,27
"GBP4",30,4,6,0,1,1,1,59,12,0,1,0,18,3,1,1,1,0,14,3,9,3,13
