"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Vascular ECs"
"AP006222.2",28,0,9,4,0,0,0,72,4,0,0,0,5,0,14,9,7,0,0,4,166,0,1,2,0,21
"RP11-206L10.9",1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,8,0,0,0,0,0
"LINC00115",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,1,19,0,0,0,0,0
"FAM41C",7,0,0,0,0,0,0,3,1,0,0,0,1,1,2,1,0,0,0,0,14,0,0,0,0,3
"RP11-54O7.3",0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SAMD11",0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
"NOC2L",13,2,7,2,2,3,3,51,13,0,0,0,6,3,50,19,3,4,2,10,569,2,1,1,4,16
"KLHL17",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,1,0
"PLEKHN1",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,0,0,0
"RP11-54O7.17",5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
"HES4",59,1,16,4,0,0,3,60,2,0,0,0,3,0,29,5,6,1,0,4,240,9,0,4,2,27
"ISG15",114,15,32,25,5,4,2,258,54,7,16,5,3,3,363,144,17,18,6,44,2169,6,11,9,47,247
"AGRN",1,0,1,0,0,0,0,11,1,0,0,0,0,0,1,0,0,0,0,0,108,0,0,0,0,17
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
"C1orf159",1,0,0,0,0,0,0,4,2,0,0,0,0,0,3,1,1,0,1,1,126,0,0,0,0,8
"RP11-465B22.8",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0
"TTLL10",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,39,0,0,0,0,4
"TNFRSF18",3,4,3,26,1,0,0,5,46,2,2,11,3,0,77,20,1,4,12,33,3,0,13,5,103,12
"TNFRSF4",6,0,3,1,0,0,0,6,2,0,0,6,6,0,123,6,0,16,5,4,4,0,10,0,202,88
"SDF4",46,5,14,7,0,1,4,181,21,2,2,1,5,2,72,26,10,3,4,18,1755,3,13,2,19,87
"B3GALT6",2,0,3,2,0,0,0,7,2,0,1,0,0,0,6,2,0,1,0,0,46,0,0,0,0,2
"FAM132A",0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,2,380,0,0,0,0,12
"UBE2J2",28,6,6,5,0,0,3,60,17,0,0,1,2,0,48,23,5,1,3,12,653,1,0,1,6,33
"ACAP3",5,0,0,0,0,0,0,11,0,0,0,0,0,0,9,3,2,0,0,0,183,0,1,0,1,4
"PUSL1",10,0,5,1,0,0,0,17,6,0,0,0,1,0,15,5,1,0,0,4,192,0,0,1,1,9
"CPSF3L",10,7,3,3,2,0,0,80,11,1,1,0,0,1,47,21,7,5,3,14,876,1,4,1,7,25
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0
"DVL1",1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,0,224,0,0,0,0,6
"MXRA8",0,0,0,0,0,0,13,239,0,0,0,0,0,0,2,0,23,0,0,0,0,2,0,0,0,1
"AURKAIP1",126,13,52,17,1,2,7,237,41,3,5,2,14,4,180,87,20,22,7,40,7956,6,20,7,23,120
"CCNL2",8,2,1,2,0,0,0,58,7,1,0,0,5,0,18,14,4,1,0,2,448,2,0,1,3,24
"MRPL20",113,8,29,26,2,2,7,160,39,3,7,2,11,1,142,79,14,17,8,44,2668,4,15,6,16,71
"RP4-758J18.13",0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0
"ANKRD65",1,0,0,0,0,0,1,40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37
"VWA1",0,0,0,0,0,0,8,44,0,0,0,0,0,0,0,0,3,0,0,0,48,0,0,0,0,264
"ATAD3C",1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,11,0,2,0,0,1
"ATAD3B",5,1,2,1,0,0,0,5,2,0,0,0,0,1,5,1,2,1,0,0,195,0,0,1,1,6
"ATAD3A",2,1,0,2,0,0,0,12,4,1,1,0,0,0,8,2,0,0,0,1,297,0,2,0,0,8
"SSU72",78,12,38,15,0,3,6,128,32,6,5,1,13,3,152,97,11,16,9,43,2379,2,10,4,24,88
"AL645728.1",0,0,0,1,0,0,0,3,1,0,0,0,0,0,8,2,0,0,0,0,20,0,0,0,0,2
"C1orf233",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,1,0,0
"RP11-345P4.9",4,0,2,1,0,0,0,9,1,0,0,0,0,1,1,6,0,2,0,0,52,0,0,0,0,2
"MIB2",3,5,3,3,3,1,0,23,25,1,0,0,2,0,45,22,0,6,5,11,438,0,4,0,3,5
"MMP23B",1,0,0,2,0,0,0,111,6,0,0,0,0,0,4,7,9,1,1,8,20,0,0,0,0,0
"CDK11B",3,1,3,3,0,0,0,19,1,0,0,0,2,0,7,7,1,0,1,1,412,0,1,1,3,9
"SLC35E2B",5,0,1,0,0,0,0,26,4,0,0,0,0,0,9,11,2,2,0,4,242,0,0,0,1,7
"CDK11A",2,1,1,0,0,0,0,6,2,0,0,0,0,0,8,6,0,2,0,2,99,0,2,0,0,3
"SLC35E2",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,18,0,0,0,0,0
"NADK",31,0,7,1,0,0,0,7,1,1,0,0,1,0,8,6,0,1,2,1,613,0,0,0,0,15
"GNB1",36,7,10,2,0,0,1,39,4,0,1,1,8,0,24,13,3,4,2,6,888,1,0,2,1,23
"TMEM52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,89,0,2,0,1,2
"PRKCZ",2,3,2,3,0,0,3,14,1,0,0,0,1,0,12,7,0,2,0,6,433,0,0,0,1,7
"SKI",3,1,0,0,0,0,0,24,4,0,0,0,1,0,8,6,2,1,1,2,100,1,0,0,2,13
"MORN1",0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,38,0,0,0,0,0
"RER1",119,6,16,15,2,0,4,174,32,3,2,2,7,2,122,63,14,9,1,34,2995,1,11,3,17,57
"PEX10",4,2,3,0,0,0,1,9,3,0,0,0,1,0,3,2,2,0,0,1,178,0,2,0,0,9
"PLCH2",0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,1,0,0,8,0,0,0,1,0
"PANK4",5,1,1,3,0,0,0,19,1,0,0,0,1,0,10,6,1,0,0,1,128,0,0,1,3,7
"HES5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
"RP3-395M20.12",29,4,3,1,0,0,0,1,3,0,0,0,2,0,16,11,0,0,0,3,146,3,1,0,0,4
"RP3-395M20.8",1,1,3,1,0,0,1,2,5,0,0,0,0,0,4,7,2,1,0,1,381,0,0,0,1,7
"TNFRSF14",77,6,17,3,1,3,0,100,10,2,1,0,8,0,100,43,0,12,2,8,1153,1,5,1,18,26
"RP3-395M20.9",0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,1,1,0,0,85,0,1,0,1,0
"FAM213B",10,0,1,0,0,1,0,10,4,1,0,1,0,0,9,5,1,1,0,4,545,0,1,1,1,10
"MMEL1",0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,322,0,0,0,0,1
"ARHGEF16",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,563,0,0,0,0,0
"MEGF6",1,1,0,0,0,0,3,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1
"TPRG1L",4,0,3,0,0,0,1,13,2,0,1,0,0,0,4,4,0,1,0,2,457,0,0,0,1,7
"WRAP73",7,1,3,2,0,0,0,26,6,0,0,0,2,0,20,9,0,2,1,2,263,0,1,1,6,20
"TP73-AS1",0,0,0,0,0,1,0,13,1,0,0,0,1,1,1,2,1,0,1,0,20,0,0,0,0,2
"SMIM1",1,0,0,0,0,0,0,10,1,0,0,0,2,0,0,2,0,0,0,2,15,0,0,0,0,1
"LRRC47",4,2,1,1,0,0,2,17,7,1,0,1,0,0,21,7,2,2,0,2,288,0,2,0,1,11
"CEP104",2,0,0,2,0,0,0,8,2,1,0,0,0,0,9,4,0,1,0,2,114,0,1,0,0,2
"DFFB",1,1,0,0,0,1,0,1,0,0,0,0,0,0,2,2,1,0,1,2,30,0,2,0,0,0
"C1orf174",3,1,2,3,1,0,0,17,5,1,1,0,5,0,17,10,3,1,0,7,210,0,0,1,0,10
"NPHP4",0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,1,0,0,0,39,0,0,0,0,1
"KCNAB2",30,3,4,1,0,0,0,5,2,1,0,0,0,1,34,15,0,4,3,10,5,0,0,1,3,2
"RPL22",366,99,282,102,15,15,12,1239,300,27,31,10,103,35,1654,665,57,171,29,243,19262,13,58,29,149,396
"RP1-120G22.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,29,0,0,0,0,1
"RNF207",0,0,0,1,0,0,0,5,1,0,0,0,0,0,10,1,0,1,0,1,98,0,1,0,0,6
"ICMT",12,2,1,0,1,1,0,23,4,0,1,0,0,0,15,6,2,1,1,2,286,0,0,1,0,9
"GPR153",2,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0
"ACOT7",13,3,3,2,0,0,1,40,7,0,0,0,28,0,23,11,1,0,1,5,987,0,0,8,1,5
"RP1-202O8.3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2
"HES2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,244,0,0,0,0,0
"ESPN",0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,1,0,0,994,0,0,0,0,0
"TNFRSF25",0,4,0,3,1,1,0,0,2,7,5,5,0,0,97,14,0,8,1,3,192,0,0,0,11,6
"PLEKHG5",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,2
"NOL9",1,1,0,1,0,0,0,9,4,0,0,0,0,0,1,4,3,0,0,0,115,0,0,0,0,3
"ZBTB48",1,4,1,0,0,0,0,14,5,0,0,0,10,0,9,4,3,0,0,3,171,0,0,0,1,6
"KLHL21",7,2,0,0,0,0,0,10,0,0,0,1,0,0,4,4,1,0,0,1,62,0,1,0,0,6
"PHF13",0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,1,31,0,0,0,0,1
"THAP3",0,0,1,3,0,0,0,35,3,1,0,0,0,0,7,9,3,1,0,1,158,0,1,1,0,11
"DNAJC11",7,0,0,0,0,0,0,11,1,0,0,0,0,0,2,1,0,0,0,3,393,0,0,1,0,6
"RP11-312B8.1",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
"CAMTA1",45,2,17,4,0,1,2,129,9,1,2,2,4,0,43,24,11,8,3,13,2294,2,5,3,6,99
"VAMP3",27,2,8,2,0,0,1,48,9,0,0,0,3,0,9,12,9,0,1,3,508,1,1,0,3,48
"PER3",1,0,2,1,0,0,0,5,3,0,0,0,0,0,1,1,1,0,0,0,33,0,0,0,1,1
"TNFRSF9",2,3,0,0,0,0,0,0,1,0,0,0,4,0,0,2,0,1,1,0,0,0,0,0,16,2
"PARK7",196,30,93,35,13,7,12,847,90,5,8,3,37,7,370,229,46,29,15,87,5728,10,30,16,48,204
"ERRFI1",2,0,0,0,0,0,0,8,2,1,0,0,0,0,12,2,1,0,0,1,140,0,0,1,0,4
"RERE",3,0,1,0,0,0,0,16,1,0,0,0,1,0,4,3,4,0,0,1,425,0,0,0,0,7
"ENO1",278,50,176,67,6,8,19,467,168,7,20,11,42,2,579,309,52,57,18,129,8804,3,11,52,100,153
"ENO1-AS1",1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,8,0,0,0,0,1
"SLC2A5",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0
"GPR157",0,0,3,1,0,0,0,4,1,0,0,0,0,0,1,3,0,0,0,0,33,0,0,0,0,0
"RP3-510D11.2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,1,0
"H6PD",3,0,2,0,0,0,1,20,1,0,0,0,0,0,5,3,3,0,0,2,187,1,0,1,0,7
"SPSB1",1,1,0,0,0,0,0,16,0,0,0,0,0,0,7,4,2,2,1,0,170,0,0,0,4,1
"SLC25A33",17,0,7,3,0,0,3,11,2,0,0,0,1,0,19,13,0,2,0,3,514,1,3,0,2,11
"TMEM201",1,0,0,0,0,0,0,3,1,0,0,1,0,0,2,0,0,0,0,0,47,0,0,0,1,1
"PIK3CD",12,0,3,0,0,0,0,2,5,0,0,0,3,0,14,12,0,3,1,3,1,0,0,1,1,0
"CLSTN1",3,0,0,1,1,0,2,42,6,2,0,0,2,0,19,8,1,1,1,2,902,1,1,1,5,30
"CTNNBIP1",39,2,13,4,0,0,3,34,8,0,0,0,1,0,20,13,1,4,0,11,510,1,1,3,1,37
"LZIC",7,0,4,2,0,0,1,23,6,0,0,0,4,0,29,7,2,0,1,4,357,0,2,0,2,6
"NMNAT1",0,0,0,0,0,0,0,12,0,0,0,1,0,0,2,0,0,0,0,1,141,0,0,0,0,2
"RBP7",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,185
"UBE4B",2,1,4,7,0,0,0,10,4,0,0,0,1,1,13,8,0,1,0,4,121,0,1,0,1,2
"KIF1B",9,0,0,0,0,0,0,3,1,0,0,0,0,0,4,1,0,1,0,0,115,0,0,0,0,7
"PGD",47,2,8,4,0,0,0,47,4,0,1,0,4,0,15,10,1,1,1,2,781,1,0,1,4,9
"APITD1",11,1,1,0,0,0,1,6,0,0,0,1,1,0,1,3,0,1,0,1,249,0,1,1,0,21
"CORT",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"DFFA",14,2,5,1,0,0,2,25,10,1,1,0,0,1,21,6,3,0,0,6,315,0,2,2,3,34
"PEX14",1,0,2,1,1,1,1,15,3,0,0,0,0,0,14,5,3,1,0,3,139,0,1,0,0,10
"CASZ1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,225,0,0,0,0,5
"TARDBP",11,3,4,1,0,1,3,36,9,1,1,1,1,0,29,12,2,3,3,10,410,0,2,1,4,13
"RP4-635E18.8",0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,1,0,0,0,0,29,0,0,0,0,2
"SRM",46,3,20,5,2,0,0,120,27,2,1,4,4,0,78,32,13,7,3,14,561,3,18,5,9,35
"EXOSC10",5,0,0,2,0,0,2,21,5,0,0,0,3,0,14,8,3,1,0,2,360,2,0,0,0,10
"RP4-635E18.6",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
"MTOR",2,0,0,0,0,0,0,11,0,0,0,0,0,0,2,2,1,0,0,1,119,0,0,0,0,5
"UBIAD1",4,3,1,1,3,0,0,14,2,1,0,0,1,0,23,10,2,1,0,1,154,0,1,1,1,8
"FBXO2",0,0,0,3,0,0,0,2,3,1,0,0,1,0,1,10,2,0,0,7,1,0,0,2,0,0
"FBXO44",3,0,0,3,0,0,1,17,7,0,0,0,1,1,10,6,1,3,0,8,22,1,0,1,1,1
"FBXO6",10,0,9,5,0,0,0,19,17,0,0,0,0,1,13,11,0,0,0,12,102,0,0,1,1,6
"MAD2L2",32,10,22,11,1,1,1,69,23,0,0,0,2,0,41,30,7,3,2,8,121,0,4,7,5,27
"AGTRAP",13,2,4,5,0,1,0,114,12,0,0,0,5,0,17,32,7,0,4,11,285,0,0,1,6,36
"C1orf167",0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1
"MTHFR",9,0,0,0,0,0,0,22,2,0,0,0,0,0,2,3,1,0,0,1,142,1,0,0,0,5
"CLCN6",1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,42,0,0,0,0,0
"NPPA-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
"KIAA2013",9,0,2,0,0,0,0,14,3,0,0,0,1,0,7,5,2,1,0,1,758,0,0,0,1,8
"PLOD1",5,0,3,0,0,0,1,86,3,0,0,0,0,0,2,0,2,0,0,0,110,0,0,0,0,25
"MFN2",2,0,0,0,0,0,0,8,1,0,0,0,1,1,5,5,0,0,0,1,200,0,0,0,1,4
"MIIP",14,3,8,1,0,0,4,30,9,0,0,0,4,0,24,15,2,3,1,5,240,0,2,1,6,5
"TNFRSF1B",42,6,13,4,2,2,0,15,15,1,1,0,0,0,58,39,0,7,1,10,23,0,1,1,24,22
"VPS13D",3,0,0,0,0,0,1,6,0,0,0,0,1,0,4,3,0,1,0,1,162,0,0,0,0,1
"DHRS3",20,1,0,6,0,2,1,10,8,0,0,0,1,0,3,11,0,0,1,5,546,0,0,1,0,12
"PDPN",9,0,0,0,0,0,2,134,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"PRDM2",4,1,2,1,0,0,0,12,7,0,0,0,1,0,17,8,0,1,0,7,67,0,0,0,1,4
"KAZN",0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,4
"TMEM51",21,0,6,0,0,0,0,35,0,0,0,0,0,0,1,1,0,0,0,0,227,0,0,0,0,3
"EFHD2",80,1,29,6,0,0,0,15,10,0,2,2,0,0,28,22,1,5,3,14,1406,1,0,1,6,9
"CASP9",9,0,2,1,0,0,0,5,0,0,0,0,0,0,7,1,0,1,0,2,61,0,0,1,2,7
"DNAJC16",1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,69,0,0,0,0,0
"RP4-680D5.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
"AGMAT",0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,462,0,0,1,1,0
"DDI2",5,1,0,0,0,0,0,5,0,0,0,0,0,0,3,1,0,0,1,0,72,0,0,0,0,0
"PLEKHM2",11,0,2,0,0,0,1,13,0,0,0,0,0,0,5,2,1,0,0,1,165,1,0,0,0,9
"SLC25A34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,1
"TMEM82",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,375,0,0,0,0,0
"FBLIM1",1,0,0,0,0,0,0,132,1,0,0,0,0,0,1,0,6,1,0,0,827,1,0,0,0,2
"SPEN",2,0,5,0,1,0,0,8,2,0,0,0,2,0,4,7,0,3,0,1,101,0,1,1,1,2
"ZBTB17",1,0,0,2,1,0,0,14,1,0,0,0,0,1,8,9,0,2,1,3,129,1,0,0,0,12
"EPHA2",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,4
"RP11-276H7.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
"ARHGEF19",0,0,1,0,0,0,0,6,0,0,0,0,0,0,10,8,0,2,1,5,53,0,0,0,0,4
"RSG1",0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,41,0,0,0,0,1
"FBXO42",6,1,1,1,1,0,0,8,6,0,1,0,0,0,4,7,2,0,0,3,80,0,0,0,2,5
"SZRD1",26,9,7,9,1,0,1,62,8,0,0,2,1,1,44,42,5,2,1,15,686,0,4,2,7,32
"NECAP2",50,6,11,6,0,2,0,66,9,2,2,2,5,0,80,36,3,7,7,16,361,0,0,2,11,62
"RP4-798A10.2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,5,0,0,0,0,0
"RP4-798A10.7",0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,14,0,0,0,0,1
"NBPF1",10,0,0,1,0,0,0,34,0,0,0,0,0,0,1,3,1,0,0,1,321,0,0,1,0,9
"CROCC",0,0,0,1,0,0,0,5,3,0,0,0,1,0,6,4,1,1,0,0,32,0,0,0,1,1
"RP11-108M9.4",10,0,3,0,0,0,1,17,1,0,0,0,0,0,4,4,1,2,0,0,242,0,1,0,0,10
"RP11-108M9.6",0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,2,0,0,0,0,13,0,0,0,0,0
"MFAP2",0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1
"ATP13A2",13,0,2,1,0,0,0,3,2,0,0,0,1,0,7,2,0,0,1,0,284,0,1,0,0,8
"SDHB",71,5,26,6,0,1,4,123,27,1,1,1,5,0,69,55,13,9,0,18,4074,4,4,3,12,55
"PADI2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866,0,0,0,0,0
"RCC2",16,0,3,0,0,0,0,17,2,0,1,0,2,0,4,4,1,1,0,2,345,0,0,0,0,8
"ARHGEF10L",1,0,2,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,631,0,0,0,0,0
"ALDH4A1",0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,66,0,0,0,0,0
"IFFO2",1,2,0,0,0,1,0,1,0,1,1,0,0,0,6,4,0,1,1,0,27,1,0,0,0,0
"UBR4",7,0,1,0,0,0,1,11,2,0,0,0,1,0,3,3,0,1,0,2,156,0,0,0,0,1
"RP1-43E13.2",3,0,0,0,0,0,0,3,0,0,0,0,0,0,5,2,0,1,0,2,25,0,1,0,0,2
"EMC1",4,0,1,0,0,0,1,16,2,0,1,0,1,0,8,4,1,1,0,2,168,0,1,0,0,6
"MRTO4",11,0,5,2,0,0,1,26,12,0,0,2,0,1,24,11,0,1,1,6,383,1,1,1,3,14
"AKR7A3",0,1,1,1,0,0,0,13,2,0,0,0,0,0,1,2,1,0,0,2,3142,0,0,0,0,1
"AKR7A2",61,2,23,7,0,1,5,311,26,0,1,2,2,0,74,39,31,7,2,6,2622,0,5,9,7,50
"PQLC2",4,0,2,0,0,0,0,22,1,0,0,0,0,0,5,4,2,0,0,3,103,0,0,0,0,3
"CAPZB",385,53,107,39,5,8,6,721,83,9,9,3,25,7,470,232,61,38,19,81,3518,10,4,15,45,156
"MINOS1",145,18,44,25,1,3,3,307,47,4,4,3,14,1,199,124,60,14,9,40,9129,3,11,6,16,114
"MINOS1-NBL1",2,0,2,0,0,0,0,3,1,0,0,0,0,0,4,1,0,0,0,2,193,0,0,0,0,7
"NBL1",9,6,0,7,0,0,0,745,15,0,0,4,0,0,56,39,74,5,5,15,4169,4,0,4,0,30
"TMCO4",3,1,0,1,1,0,0,13,2,0,0,0,1,0,2,5,0,1,0,2,226,0,1,0,0,4
"RNF186",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1068,0,0,1,0,0
"RP11-91K11.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0
"OTUD3",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,31,0,0,0,0,0
"PLA2G2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3086,0,0,0,0,0
"UBXN10",0,2,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,27,0,0,0,0,0
"CAMK2N1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1490,0,0,0,0,0
"MUL1",2,0,2,2,0,0,1,18,7,0,1,0,0,0,15,10,1,1,1,4,165,0,2,0,1,4
"CDA",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,552,0,0,1,1,13
"PINK1",8,0,1,0,0,0,0,36,4,0,0,0,0,1,7,2,0,1,0,3,628,1,0,0,2,37
"PINK1-AS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
"DDOST",67,9,41,8,0,3,2,177,32,1,2,3,13,1,108,70,10,10,5,26,2137,0,17,4,6,53
"KIF17",4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"HP1BP3",12,6,4,3,1,1,0,61,14,3,2,0,2,1,47,21,4,3,4,9,462,1,2,3,6,20
"EIF4G3",1,0,2,1,1,0,0,16,1,0,0,0,0,0,3,7,0,0,0,1,199,0,0,1,0,10
"ECE1",0,1,0,0,0,0,0,59,1,0,0,0,0,0,1,2,3,1,1,0,589,1,0,0,1,47
"ALPL",0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
"RAP1GAP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0
"USP48",4,4,2,4,0,0,1,19,8,0,0,0,0,0,19,8,2,0,0,8,239,1,2,1,0,9
"HSPG2",2,0,0,0,0,0,9,21,0,0,0,0,1,0,1,2,1,0,0,0,263,0,0,0,1,193
"CELA3B",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,253,0,0,0,0,0
"CELA3A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0
"RP1-224A6.3",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"LINC00339",2,0,0,0,0,0,0,8,0,0,0,0,0,0,4,4,0,0,0,0,48,1,1,0,1,3
"CDC42",84,14,35,16,3,3,1,143,39,4,3,4,9,3,142,87,17,9,4,27,1881,1,4,5,10,76
"WNT4",0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0
"ZBTB40",1,0,0,0,0,1,0,8,2,0,0,0,1,0,1,2,0,1,0,1,66,0,0,0,0,5
"C1QA",5384,0,658,0,0,0,0,13,0,0,0,0,0,0,4,4,0,2,0,0,4,0,0,0,0,6
"C1QC",3770,0,516,0,0,0,0,6,0,0,0,0,0,0,4,2,1,0,0,0,6,0,0,0,0,5
"C1QB",4718,0,361,0,0,0,0,5,0,0,1,0,0,0,9,3,0,0,0,0,7,0,1,0,0,9
"EPHB2",5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,519,0,0,0,0,0
"KDM1A",2,1,1,0,0,0,0,8,1,0,0,1,2,0,7,3,0,0,1,0,262,0,0,0,1,17
"LUZP1",17,1,3,0,0,0,0,69,7,0,1,0,0,0,31,16,0,2,0,9,561,3,0,1,4,50
"HNRNPR",20,3,19,6,2,1,2,108,31,0,3,1,12,1,88,44,10,7,1,22,905,0,2,5,10,39
