"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Vascular ECs"
"CELSR3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"NCKIPSD",4,0,1,0,0,0,0,8,2,0,0,0,2,0,0,1,0,0,0,0,117,0,0,1,0,7
"IP6K2",11,5,4,1,1,1,3,100,9,1,1,2,4,0,28,19,14,6,2,8,1365,4,1,1,5,25
"PRKAR2A",8,1,2,3,0,1,0,15,3,0,0,1,1,0,14,10,0,1,1,3,372,0,1,1,3,18
"SLC25A20",8,3,3,2,0,1,0,12,7,1,1,1,3,0,6,5,1,1,0,3,245,0,0,0,3,8
"ARIH2OS",2,0,0,0,0,0,0,12,1,0,0,1,1,1,7,5,1,0,0,1,47,0,0,0,1,3
"ARIH2",10,1,7,0,0,1,1,34,1,0,1,1,0,0,20,17,0,0,1,5,306,0,2,0,3,9
"P4HTM",7,0,1,3,0,0,3,66,2,1,1,0,0,0,31,31,3,0,0,6,536,1,2,2,1,24
"WDR6",14,3,4,1,2,0,1,21,1,0,0,0,1,0,17,11,3,2,1,0,400,0,3,0,1,7
"DALRD3",6,2,1,2,0,0,1,48,5,0,2,0,4,2,39,16,3,2,0,5,338,1,1,0,1,8
"NDUFAF3",129,16,27,6,3,1,13,326,37,2,5,2,12,1,152,93,21,16,9,35,2498,4,10,8,16,119
"IMPDH2",42,6,22,6,0,0,6,215,21,0,1,2,9,1,91,45,14,8,2,15,2980,3,5,1,7,47
"RP13-131K19.6",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
"QRICH1",4,1,6,1,1,0,0,10,3,1,0,0,2,0,9,5,0,1,1,0,153,0,1,0,0,6
"QARS",34,3,18,6,0,1,1,70,21,0,1,0,6,1,52,21,9,2,3,11,2196,0,4,3,7,25
"USP19",2,0,2,1,0,0,0,9,1,0,0,1,4,0,2,1,2,0,0,0,192,0,0,0,0,8
"LAMB2",10,0,2,0,0,0,1,58,0,0,0,0,0,0,1,1,3,0,0,0,32,1,0,0,0,25
"CCDC71",2,0,3,3,0,0,0,21,5,1,0,0,1,0,10,6,0,2,0,5,196,0,0,0,0,6
"KLHDC8B",24,0,3,0,1,0,0,23,3,0,0,0,0,0,2,2,3,1,0,0,16,0,0,0,0,26
