"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Regulatory CD4 Tcells","Vascular ECs"
"SPCS1",83,16,60,18,4,8,207,33,18,11,80,82,13,5,17,10,6,1560,162,10,40
"NEK4",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,1,0,0
"TMEM110",6,0,3,0,0,0,5,0,0,0,1,1,1,0,0,0,0,16,0,0,0
"SFMBT1",2,0,1,0,0,0,3,2,0,1,1,1,0,0,0,0,0,41,2,0,0
"RFT1",2,0,3,2,1,0,12,2,0,0,3,3,0,2,0,0,0,76,4,3,7
"PRKCD",15,1,12,1,1,0,3,1,0,1,4,2,1,0,0,0,0,265,3,0,1
"TKT",57,1,35,0,1,3,63,9,2,2,16,17,5,0,1,2,1,1372,8,2,5
"DCP1A",4,0,2,0,0,2,21,1,2,1,5,6,1,2,2,4,1,104,1,0,8
"CACNA1D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0
"CHDH",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,226,0,0,0
"IL17RB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0
"ACTR8",1,0,2,0,0,0,8,1,1,0,0,0,0,0,0,0,1,60,1,0,1
"SELK",315,33,164,12,4,3,172,33,63,10,152,174,5,4,30,13,15,1306,132,21,55
"CACNA2D3",7,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC66",3,0,2,0,0,1,10,0,0,0,3,1,0,0,2,0,1,33,0,1,0
"FAM208A",2,1,4,0,0,0,5,1,0,0,4,6,1,0,0,0,0,35,2,0,4
"ARHGEF3",0,2,0,0,0,0,2,13,0,0,7,12,1,1,4,3,0,4,0,0,5
"APPL1",5,0,6,2,1,2,16,2,1,0,9,6,2,1,4,0,0,178,1,1,5
"PDE12",2,0,1,0,0,0,2,0,1,0,2,5,0,0,0,0,0,42,0,0,0
"ARF4",49,5,38,3,0,5,123,10,13,2,31,36,12,1,9,3,2,663,37,4,32
"DENND6A",2,0,0,0,0,0,1,0,1,1,1,2,0,0,0,1,0,19,0,0,0
"SLMAP",3,0,0,0,0,0,12,4,2,0,3,7,5,0,0,0,1,88,1,0,0
"FLNB",2,0,2,1,0,0,10,0,0,0,1,0,1,0,0,0,0,820,0,0,6
"DNASE1L3",1405,0,300,0,0,0,4,0,0,0,1,3,0,0,0,0,0,3,5,0,2
"ABHD6",4,0,2,0,0,0,2,0,0,0,2,3,1,0,0,0,0,48,0,0,2
"RPP14",4,0,3,1,0,0,16,0,0,0,1,6,1,0,1,0,0,167,1,2,4
"PXK",0,0,4,0,0,1,28,3,0,0,4,1,1,1,0,0,0,16,1,0,6
"PDHB",30,5,18,1,0,3,83,19,3,1,21,21,9,2,0,2,0,768,9,1,15
"KCTD6",3,0,2,0,0,2,9,0,0,0,1,0,2,0,0,0,1,34,0,0,0
"ACOX2",0,0,1,0,0,1,10,0,0,0,0,0,0,0,0,0,0,69,1,0,1
"FAM107A",0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,15
"FAM3D",1,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,4539,0,0,6
"C3orf67",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,0,0
"FHIT",6,0,0,0,0,0,19,2,1,0,1,2,1,0,1,0,0,145,0,0,4
"PTPRG",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,21,0,0,5
"C3orf14",5,0,5,0,0,0,11,0,1,0,0,0,2,0,0,0,0,40,0,0,1
"THOC7",28,1,15,2,1,2,44,5,6,4,37,14,6,3,2,1,2,596,1,2,9
"ATXN7",0,0,2,1,0,0,4,3,0,0,5,2,0,0,0,0,1,66,1,0,1
"PSMD6-AS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"PSMD6",30,3,7,2,1,2,56,9,8,3,26,20,3,0,2,3,0,284,10,2,13
"PRICKLE2",0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,10,0,0,0
"ADAMTS9",0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"MAGI1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,3
"SLC25A26",11,2,5,0,1,0,34,6,2,1,9,7,4,2,4,2,1,325,5,0,2
"LRIG1",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,143,0,0,1
"KBTBD8",0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0
"SUCLG2",12,1,5,2,0,1,54,8,1,2,22,18,5,2,3,2,0,1443,3,0,5
"EOGT",2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0
"TMF1",1,3,3,0,1,0,14,0,0,3,9,6,0,0,0,0,0,104,3,0,0
"UBA3",6,1,11,3,0,1,31,5,2,2,5,10,2,0,2,1,1,126,0,2,4
"ARL6IP5",77,24,35,8,4,3,152,53,19,15,110,118,8,9,18,6,7,580,8,13,35
"LMOD3",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,5,0,0,1
"FRMD4B",23,0,11,0,1,0,2,2,2,0,6,4,0,0,1,1,1,56,0,1,2
"MITF",1,0,1,0,0,0,16,0,7,0,0,0,0,0,0,0,0,1,0,0,0
"FOXP1",131,11,60,3,8,5,174,31,13,6,96,98,8,3,23,7,8,2995,38,12,34
"EIF4E3",2,1,0,0,0,0,7,4,0,0,2,2,0,0,0,0,2,39,0,2,2
"LINC00877",4,0,12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"RYBP",4,1,4,0,0,0,9,1,4,0,2,0,1,0,0,0,0,81,0,0,1
"SHQ1",2,0,0,0,0,0,5,3,0,0,2,3,0,0,2,1,0,36,1,0,1
"GXYLT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
"PPP4R2",6,4,2,1,0,0,15,0,0,0,4,10,1,1,0,0,0,173,2,2,7
"EBLN2",0,0,0,0,0,0,0,3,0,1,1,0,1,0,0,0,0,25,0,0,0
"PDZRN3",0,0,0,0,0,0,13,0,0,0,1,0,3,0,0,0,0,12,0,0,0
"CNTN3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
"RP11-803B1.8",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,1
"LINC00960",1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,46,0,0,0
"ZNF717",0,0,1,0,0,0,7,0,0,0,1,0,0,0,0,0,0,23,0,0,0
"GBE1",2,0,0,0,0,0,9,2,4,0,1,0,4,0,1,0,0,39,0,0,4
"LINC00971",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"CHMP2B",17,2,6,0,0,1,32,8,3,3,10,26,1,1,1,1,1,460,3,7,11
"CGGBP1",11,4,8,2,1,2,47,10,2,1,32,20,7,0,4,0,2,223,13,2,13
"RP11-159G9.5",0,0,0,0,0,0,3,1,0,0,1,0,1,1,0,0,0,15,0,0,0
"ZNF654",1,0,1,0,0,0,4,0,0,0,2,1,0,0,0,0,0,14,0,0,0
"C3orf38",8,1,5,1,0,0,18,7,5,0,6,7,2,0,2,3,2,53,3,3,3
"PROS1",1,0,0,0,0,0,64,0,2,0,0,0,1,0,0,0,0,4,0,0,5
"ARL13B",3,1,2,0,0,0,23,1,2,1,5,2,0,0,0,0,0,12,0,0,5
"STX19",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,1
"DHFRL1",0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,25,0,0,1
"NSUN3",2,2,3,0,0,0,2,0,0,0,1,4,0,0,0,0,1,52,0,1,0
"MTRNR2L12",0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,30,0,0,1
"ARL6",0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6,0,0,2
"CRYBG3",0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"MINA",3,0,1,0,0,1,38,1,3,0,1,0,0,0,0,0,0,45,1,0,3
"CLDND1",9,9,15,13,0,4,59,27,2,1,51,69,7,0,11,4,3,96,6,5,10
"CPOX",0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,47,1,0,0
"GPR15",1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,1,0,0
"ST3GAL6",7,0,9,0,0,1,1,0,2,0,0,0,0,0,0,0,0,2,2,0,4
"DCBLD2",1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,25,0,0,4
"CMSS1",16,0,6,1,1,3,18,0,4,1,13,9,1,0,0,2,1,188,5,0,6
"FILIP1L",7,0,5,0,0,0,99,0,0,0,0,0,4,0,0,0,0,16,0,0,0
"TBC1D23",5,0,0,0,0,0,10,0,1,0,2,6,0,0,0,0,1,54,1,0,1
"NIT2",40,3,9,1,2,0,52,1,1,1,3,9,0,0,4,2,2,449,2,3,6
"TOMM70A",4,1,0,0,0,0,8,0,1,0,7,6,0,1,2,2,0,116,2,0,4
"LNP1",0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,1
"TMEM45A",0,0,0,0,0,1,43,0,0,0,0,0,6,0,0,0,0,1,5,0,2
"TFG",17,3,10,0,2,1,66,10,8,2,7,13,9,2,2,2,0,535,6,2,19
"ABI3BP",0,1,2,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SENP7",1,0,0,0,2,2,10,4,1,0,3,3,0,0,0,0,0,22,2,0,1
"TRMT10C",4,2,5,1,0,0,26,4,3,1,9,7,0,0,0,0,3,195,1,1,5
"PCNP",20,10,13,5,2,6,114,28,6,1,47,22,1,2,14,4,1,266,8,3,23
"ZBTB11",1,1,1,0,0,0,6,0,0,0,0,2,0,0,0,0,0,26,1,0,0
"ZBTB11-AS1",1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,17,0,0,0
"RPL24",399,87,288,34,25,10,1061,141,71,52,525,311,29,44,94,30,18,12390,172,44,157
"CEP97",2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,16,3,0,0
"NXPE3",3,0,0,0,0,0,3,3,0,0,3,4,0,0,0,1,0,5,2,0,0
"NFKBIZ",16,3,27,2,0,1,25,5,45,1,15,8,0,1,0,0,3,226,5,2,12
"ALCAM",3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,20,1,0,1
"CBLB",2,1,0,0,0,0,3,8,0,1,7,10,0,1,2,0,0,66,0,0,3
"BBX",3,6,8,0,0,1,61,7,6,4,14,26,4,1,3,1,1,167,8,2,11
"CD47",50,4,25,2,1,1,68,15,6,6,43,35,4,2,14,5,2,512,17,5,5
"IFT57",3,3,3,0,0,1,43,1,2,2,8,6,5,4,1,0,0,497,9,2,7
"HHLA2",0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,185,0,0,0
"MYH15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0
"KIAA1524",2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29,0,0,0
"DZIP3",0,1,0,3,0,0,5,3,0,0,3,4,0,0,0,1,0,31,0,0,0
"RETNLB",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,445,0,0,0
"TRAT1",0,8,0,4,3,0,0,27,0,0,71,30,0,0,7,0,1,1,0,1,0
"PVRL3",0,0,0,0,0,1,4,4,0,0,2,3,1,0,0,0,0,127,0,0,2
"CD96",0,15,0,1,4,0,0,59,0,0,48,69,0,1,6,5,9,7,0,6,0
"PLCXD2",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,26,0,0,0
"PHLDB2",0,0,0,0,0,0,6,0,0,0,2,0,1,0,0,0,0,6,0,0,0
"ABHD10",2,1,3,0,0,15,3,3,0,0,5,2,0,0,0,0,0,97,0,0,3
"C3orf52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,57,0,0,0
"GCSAM",3,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"RP11-757F18.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"CD200",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,51,0,0,6
"RP11-231E6.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"BTLA",1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
"ATG3",59,4,60,2,0,1,59,13,4,2,26,26,5,2,3,2,0,588,5,3,14
"SLC35A5",8,0,1,2,0,0,17,4,0,1,0,4,4,0,3,0,0,50,1,0,1
"CCDC80",1,0,0,0,0,0,88,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"CD200R1",1,1,2,0,0,0,0,0,0,0,9,3,0,0,0,1,0,1,1,0,0
"GTPBP8",3,0,3,0,0,0,10,0,0,1,5,3,0,1,0,0,1,112,5,1,3
"C3orf17",2,0,2,0,0,0,11,3,0,0,5,3,1,0,2,1,0,42,1,0,0
"BOC",0,0,0,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"SPICE1",2,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,19,0,0,0
"SIDT1",1,1,0,0,0,0,1,1,0,1,2,3,0,2,0,0,2,30,1,0,0
"SIDT1-AS1",0,1,0,0,0,0,0,2,0,0,3,11,0,0,0,0,0,15,2,1,0
"NAA50",9,3,7,3,1,0,19,7,1,2,13,10,4,0,0,0,0,162,5,4,3
"ATP6V1A",10,2,1,1,0,0,2,1,1,1,3,0,0,0,0,0,0,55,1,0,0
"GRAMD1C",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,0,0,0
"ZDHHC23",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0
"QTRTD1",3,0,11,0,0,0,2,4,1,1,1,4,0,0,0,0,0,78,0,0,1
"TIGIT",1,6,0,4,1,0,0,26,0,0,5,31,0,0,3,4,1,0,1,16,0
"RP11-553L6.5",0,0,0,0,0,1,9,0,1,1,3,1,1,0,0,0,0,24,0,0,4
"ZBTB20",3,1,3,0,0,1,28,2,1,4,7,3,3,0,0,0,1,67,1,2,6
"LSAMP",0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B4GALT4",6,0,1,0,0,0,10,1,0,1,3,2,1,0,0,1,0,211,4,0,1
"ARHGAP31",4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,3
"TMEM39A",0,1,0,0,0,0,10,3,2,0,5,1,1,0,0,0,0,32,3,0,3
"POGLUT1",0,2,1,1,0,0,8,2,0,1,6,1,1,0,0,0,0,33,0,0,2
"TIMMDC1",18,3,17,1,0,1,60,8,2,0,14,11,5,1,1,0,1,473,2,4,23
"ADPRH",12,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"POPDC2",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"COX17",105,9,43,5,0,1,50,21,12,4,42,53,3,0,9,8,0,1229,18,9,31
"NR1I2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0
"GSK3B",5,0,3,0,0,0,9,2,2,0,6,8,0,0,0,1,0,81,0,0,3
"LRRC58",6,2,1,0,0,0,8,1,0,0,7,1,1,0,0,0,0,70,0,0,2
"FSTL1",0,0,1,0,0,4,113,0,0,0,0,0,4,0,0,0,0,11,0,0,7
"NDUFB4",103,9,38,2,5,1,172,22,7,7,53,48,17,0,11,6,4,2849,21,10,48
"HGD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0
"RABL3",6,0,2,0,0,0,4,0,1,0,5,3,0,1,0,0,0,85,1,0,5
"GTF2E1",3,0,0,0,0,0,7,2,0,0,2,0,1,0,0,0,0,25,1,0,0
"POLQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
"HCLS1",56,3,46,4,2,0,1,33,2,9,40,48,0,9,2,2,4,17,8,11,9
"GOLGB1",4,3,4,0,0,0,35,0,2,0,5,3,0,0,2,0,1,309,3,0,7
"IQCB1",6,1,7,2,0,0,11,3,0,0,7,6,0,2,2,0,0,113,5,1,3
"EAF2",25,1,10,0,0,0,10,3,1,2,2,3,0,4,1,0,0,46,60,1,2
"SLC15A2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0
"ILDR1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0
"CD86",38,0,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"CSTA",4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC58",5,0,4,0,0,0,9,0,0,1,4,2,0,0,2,1,0,288,1,1,2
"FAM162A",54,4,21,1,0,0,92,8,11,4,45,29,7,4,3,13,3,3653,10,5,19
"WDR5B",0,0,2,0,0,0,3,1,0,2,0,2,1,0,1,0,0,10,0,0,1
"RP11-299J3.8",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,0,0,0
"KPNA1",0,0,0,1,0,0,7,2,0,0,3,3,1,0,1,0,0,46,5,1,1
"PARP9",6,0,4,0,0,1,16,1,0,1,3,2,2,0,0,0,0,37,1,0,1
"DTX3L",2,1,1,0,0,0,6,2,0,0,0,1,0,1,0,0,1,75,0,2,5
"PARP15",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
"PARP14",6,0,3,0,0,0,15,4,1,0,6,2,0,1,0,0,0,44,2,2,4
"HSPBAP1",6,1,6,0,0,1,3,0,0,0,0,1,0,0,0,0,0,32,0,0,4
"DIRC2",2,0,3,0,0,0,4,1,0,0,0,1,1,0,2,0,0,22,0,0,1
"RP11-67L2.2",0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"PDIA5",3,1,0,0,0,0,41,0,2,0,2,0,11,0,0,0,1,93,24,0,5
"SEC22A",1,1,0,2,0,0,7,1,0,0,6,3,0,0,0,0,0,41,1,1,4
"ADCY5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
"MYLK-AS1",0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,9,0,0,0
"MYLK",1,0,0,0,0,0,43,1,0,0,0,0,75,0,0,0,0,41,0,0,6
"CCDC14",2,0,1,3,0,0,13,2,1,0,2,6,0,1,1,0,0,147,0,0,4
"KALRN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0
"UMPS",5,2,7,0,0,0,16,5,0,0,4,2,0,1,0,0,0,180,0,0,1
"ITGB5",13,0,5,0,0,0,20,0,0,0,0,0,0,0,0,0,0,114,0,0,5
"MUC13",0,0,2,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1081,0,0,1
"HEG1",1,0,0,0,0,0,18,1,0,0,1,2,0,0,0,3,0,2,2,0,22
"SLC12A8",0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,30,0,0,0
"ZNF148",2,1,5,1,0,0,20,0,2,1,5,2,3,2,0,3,1,99,1,4,4
"SNX4",8,3,7,0,0,1,19,1,2,0,2,6,2,0,1,1,0,126,1,2,3
"OSBPL11",6,1,2,0,0,0,6,1,0,2,1,2,0,0,0,0,0,27,1,0,0
"RP11-666A20.4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32,0,0,0
"ALG1L",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,88,0,0,0
"SLC41A3",3,1,0,0,0,2,22,0,0,0,2,5,1,1,1,1,0,135,0,2,10
"ALDH1L1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,318,3,0,0
"ZXDC",2,0,3,0,0,0,5,0,0,1,0,0,1,0,1,0,0,68,0,0,0
"TXNRD3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
"CHCHD6",9,1,3,0,0,0,7,1,0,1,0,1,0,0,1,0,0,141,1,0,8
"PLXNA1",3,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,22,0,0,1
"TPRA1",19,1,13,1,0,0,43,7,0,0,5,15,2,0,0,1,1,173,0,0,10
"MCM2",4,2,0,0,0,0,1,3,0,0,0,1,0,0,0,1,0,109,0,0,0
"PODXL2",0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,203,2,0,0
"ABTB1",13,1,2,1,0,0,44,9,1,0,5,13,3,0,1,2,0,77,1,1,13
"MGLL",39,0,3,0,0,0,132,0,0,0,1,5,16,0,0,0,0,1174,1,1,70
"KBTBD12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
"SEC61A1",20,9,8,0,0,0,23,5,4,0,4,5,2,0,1,1,1,440,10,0,3
"RUVBL1",16,0,7,1,0,1,20,3,3,1,8,6,1,2,2,0,0,181,0,2,9
"EEFSEC",3,0,5,0,0,0,11,2,0,0,7,8,1,0,0,2,1,99,5,1,4
"GATA2",0,0,0,0,0,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0,17
"RPN1",41,4,9,0,0,0,46,5,3,3,12,10,1,0,3,0,2,706,23,4,10
"RAB7A",134,15,58,10,1,13,171,26,11,2,44,34,12,3,3,6,4,686,11,2,44
"ACAD9",4,1,2,0,0,0,9,4,1,1,1,2,0,0,0,1,0,192,2,1,2
"KIAA1257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"EFCC1",1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,3
"RP11-434H6.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ISY1",18,2,5,0,1,0,27,5,4,2,13,7,0,4,3,3,0,147,7,3,9
"CNBP",80,29,43,14,3,8,505,63,20,16,130,111,14,8,29,11,6,1719,35,13,77
"COPG1",11,0,1,0,0,0,2,3,2,0,2,3,0,0,2,2,0,216,3,0,2
"HMCES",1,2,2,0,0,0,24,4,1,0,8,4,1,0,0,1,0,274,7,1,5
"H1FX",11,4,9,1,0,0,58,4,0,0,17,5,1,0,1,2,0,447,9,4,7
"H1FX-AS1",2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"MBD4",5,3,13,3,0,0,30,5,1,2,12,20,1,2,1,0,0,99,13,3,11
"IFT122",1,0,0,0,0,0,6,0,0,0,1,0,2,0,0,0,0,90,1,0,0
"PLXND1",6,0,3,1,0,1,23,0,0,0,2,0,0,0,0,0,0,2,0,0,6
"TMCC1",3,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0,0,11,0,0,0
"TMCC1-AS1",3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0,1
"RP11-77P16.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
"PIK3R4",1,1,1,0,0,0,2,1,0,0,3,0,0,0,0,0,0,61,0,0,1
"ATP2C1",3,1,1,0,0,0,16,3,2,0,3,3,0,0,0,0,0,117,0,0,1
"ASTE1",1,0,0,3,0,1,4,3,0,0,7,3,0,1,1,0,0,51,0,0,1
"NEK11",1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,22,0,0,0
"NUDT16",27,2,11,1,0,0,27,2,0,0,4,1,5,0,0,1,0,391,4,1,13
"MRPL3",29,3,12,3,1,0,37,5,1,3,12,18,1,2,6,1,2,575,4,2,5
"ACPP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"DNAJC13",2,0,3,0,0,0,2,1,0,0,0,0,1,0,1,0,0,76,0,0,1
"UBA5",6,1,6,1,0,0,20,2,1,0,9,9,0,1,0,3,0,121,9,2,3
"NPHP3",2,2,1,0,0,1,17,1,0,0,1,1,1,0,0,0,0,140,1,0,3
"BFSP2",0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,4,1,0
"CDV3",24,2,5,1,0,1,15,5,0,0,7,6,2,0,3,1,0,284,14,1,2
"TOPBP1",2,1,1,0,0,0,2,2,0,0,1,2,0,0,0,0,0,43,0,2,0
"SRPRB",19,2,4,0,0,0,29,2,2,0,2,6,1,0,1,3,0,177,17,0,5
"RAB6B",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0
"SLCO2A1",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,62,0,0,18
"RP11-202A13.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
"RYK",5,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,70,0,0,1
"AMOTL2",0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,2,0,0,1
"ANAPC13",15,4,6,1,0,3,68,7,1,3,16,19,4,0,6,0,1,171,7,0,19
"CEP63",6,1,11,1,0,0,14,2,0,1,0,3,3,0,1,0,0,123,1,0,4
"PPP2R3A",0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,43,0,0,1
"MSL2",4,1,1,1,0,0,1,3,0,0,1,1,0,0,0,0,0,38,0,1,2
"PCCB",5,0,3,1,0,0,13,1,0,0,2,2,1,0,0,0,0,319,3,1,1
"STAG1",1,1,1,1,0,0,5,3,1,0,0,3,1,0,0,0,0,78,2,0,3
"SLC35G2",1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,1,0,7
"NCK1",19,0,4,5,0,2,20,7,0,1,20,10,3,0,2,4,0,159,5,4,22
"DBR1",2,1,0,4,0,0,8,2,1,0,3,2,0,0,0,0,0,40,0,0,3
"ARMC8",5,3,2,0,0,2,6,5,1,0,5,8,3,1,1,0,1,83,2,1,7
"MRAS",5,0,3,0,0,0,8,0,0,0,1,1,0,0,0,0,0,0,0,0,2
"CEP70",0,0,0,0,0,1,5,0,1,0,0,1,0,0,0,0,0,116,0,0,0
"FAIM",4,2,0,0,0,0,11,1,3,1,1,3,0,0,0,1,2,109,6,0,7
"PIK3CB",2,1,1,0,0,0,2,0,0,0,3,1,0,0,2,0,0,44,0,0,0
"MRPS22",13,1,6,0,2,0,39,4,3,1,6,8,2,1,1,0,0,451,5,2,11
"COPB2",12,1,9,0,0,1,22,1,4,3,7,13,3,1,0,4,1,223,5,3,8
"RP11-319G6.1",0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,14,0,0,0
"RBP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0
"RBP1",50,0,0,0,0,2,601,0,0,0,1,0,14,0,0,0,0,4,2,0,7
"NMNAT3",1,0,0,0,0,0,17,1,0,0,0,0,1,0,0,1,0,58,0,0,3
"SLC25A36",1,1,4,1,1,0,29,1,0,0,2,5,1,0,2,1,1,159,2,0,5
"ZBTB38",8,2,4,0,0,0,6,2,0,1,8,4,2,0,2,0,1,222,3,3,0
"RASA2",3,0,0,0,0,1,2,2,1,0,3,8,0,0,0,0,0,42,0,1,1
"RNF7",47,9,27,1,1,3,150,20,5,1,36,29,17,2,9,2,1,1792,10,5,17
"ATP1B3",88,2,36,1,1,0,68,9,5,2,20,28,5,1,5,4,1,1163,6,2,21
"TFDP2",5,0,1,0,0,0,19,1,0,0,2,0,1,0,0,0,0,134,0,0,1
