"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Regulatory CD4 Tcells","Vascular ECs"
"RP11-69E11.4",5,0,3,0,0,0,15,0,1,0,5,1,0,0,1,0,0,79,3,0,1
"PABPC4",32,1,19,1,0,1,28,5,2,1,7,11,3,0,4,0,0,263,32,0,8
"PPIE",29,5,18,1,2,0,61,12,5,0,15,19,5,0,6,3,2,410,3,3,12
"BMP8B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0
"OXCT2",7,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,6,2,0,1
"TRIT1",2,2,1,0,0,2,2,3,0,0,1,0,1,0,0,0,0,51,3,0,2
"MYCL",7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0
"MFSD2A",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48,1,0,0
"CAP1",99,15,62,9,5,6,81,51,15,11,64,90,10,9,13,7,3,851,9,5,31
"PPT1",100,5,75,1,0,2,109,14,3,6,15,8,7,1,4,2,1,56,1,2,15
"RLF",1,0,0,0,1,0,1,1,1,0,0,3,0,0,0,0,0,22,1,0,0
"RP1-39G22.7",2,0,0,0,0,0,2,3,0,0,1,1,0,0,2,0,0,66,0,2,0
"ZMPSTE24",6,1,4,0,0,1,10,1,0,0,2,2,2,0,0,1,0,107,4,0,3
"COL9A2",0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29,2,0,0
"SMAP2",16,1,9,0,0,0,8,3,0,0,6,4,0,1,0,1,1,53,1,2,1
"ZFP69",1,0,2,0,0,0,1,0,0,0,2,0,0,0,2,0,0,10,0,0,1
"RP11-656D10.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
"EXO5",5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29,0,1,2
"ZNF684",1,1,1,0,0,2,4,2,1,0,1,1,0,0,0,0,1,30,1,0,2
"RIMS3",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0,0,0
"NFYC",6,1,10,2,0,0,12,4,1,0,6,13,1,0,0,2,2,193,5,2,5
"KCNQ4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
"CITED4",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,28,0,1,0
"CTPS1",1,0,0,0,0,0,1,2,0,0,1,1,0,0,1,0,0,37,0,0,3
"SCMH1",0,0,0,0,0,0,10,0,0,0,0,3,1,0,0,0,0,110,0,1,1
"EDN2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
"HIVEP3",2,0,0,2,0,0,6,2,0,1,0,1,0,0,1,1,0,18,0,0,0
"GUCA2B",3,0,1,0,0,0,2,3,0,1,1,1,0,0,0,0,1,3762,2,0,0
"GUCA2A",14,1,1,2,0,0,8,12,0,0,4,5,0,2,1,0,0,16102,3,1,3
"FOXJ3",0,0,2,0,0,0,9,0,0,0,3,4,0,0,0,0,1,77,1,0,7
"RIMKLA",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,58,1,0,0
"PPCS",47,4,32,4,0,4,64,14,2,1,25,31,5,3,1,4,1,957,5,4,20
"CCDC30",3,0,0,0,0,0,3,3,0,0,2,1,0,0,0,0,0,27,0,0,1
"PPIH",26,3,8,1,0,0,29,7,0,0,16,10,3,2,2,1,0,402,1,1,10
"YBX1",929,37,408,15,13,15,508,135,84,25,253,243,36,11,53,30,17,7848,54,31,141
"C1orf50",9,0,3,1,0,1,25,4,0,0,5,7,1,1,0,0,0,157,0,1,6
"ERMAP",0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,39,0,0,0
"ZNF691",1,0,0,0,0,1,9,1,1,0,0,1,0,0,0,0,1,23,1,0,4
"SLC2A1",0,2,1,0,0,0,3,0,0,0,2,5,1,0,0,2,0,66,2,0,0
"SLC2A1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"FAM183A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"EBNA1BP2",18,3,7,0,0,1,48,14,4,0,13,6,1,3,0,2,2,714,8,1,19
"TMEM125",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,300,1,0,0
"C1orf210",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,376,0,0,0
"TIE1",0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,9
"RP1-92O14.3",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0
"CDC20",12,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,373,0,0,0
"ELOVL1",10,2,9,2,1,0,25,6,1,5,16,23,2,0,3,0,1,369,4,2,3
"MED8",18,1,8,0,1,1,34,5,1,0,6,9,2,0,0,0,0,197,3,1,7
"SZT2",3,0,1,1,0,0,10,1,0,0,3,2,0,0,3,0,0,47,1,1,0
"HYI",8,1,1,0,0,1,66,1,3,1,8,3,1,0,0,0,0,521,17,0,4
"HYI-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"PTPRF",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1125,1,0,0
"KDM4A",0,0,0,0,0,0,13,0,0,0,1,2,0,0,0,0,0,126,3,1,0
