"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Regulatory CD4 Tcells","Vascular ECs"
"AP006222.2",23,3,11,0,1,2,8,130,3,3,0,0,1,4,28,8,6,0,4,0,0,6,281,14,1,4,3,20
"RP4-669L17.10",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"RP11-206L10.9",0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,10,2,0,0,0,0
"LINC00115",0,0,4,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,1,0,0,1,1
"FAM41C",4,0,6,0,0,1,0,7,1,0,0,0,0,0,11,2,1,0,3,0,0,3,57,4,0,1,0,1
"RP11-54O7.3",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMD11",0,0,0,0,0,0,3,180,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"NOC2L",11,4,18,0,2,0,9,138,5,3,1,2,2,3,46,9,3,1,12,0,2,6,971,48,0,7,5,14
"KLHL17",0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1,0,0,0,0
"PLEKHN1",0,0,0,0,0,0,0,4,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,5,0,0,0,0
"RP11-54O7.17",1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
"HES4",13,2,40,2,0,1,8,95,3,1,0,0,0,1,15,5,2,0,3,0,1,2,473,6,5,0,0,18
"ISG15",154,27,156,3,8,14,22,552,59,15,3,1,4,10,379,95,10,1,80,2,10,43,387,125,16,17,47,275
"AGRN",0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,5
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
"C1orf159",1,1,1,0,0,1,1,10,0,0,0,1,0,0,3,0,0,0,3,0,1,1,111,0,0,1,0,2
"RP11-465B22.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,32,0,0,0,0,1
"TNFRSF18",0,0,3,0,0,0,0,1,28,2,3,3,0,0,51,1,0,0,9,0,15,17,4,170,0,0,30,2
"TNFRSF4",2,2,7,0,0,1,2,4,1,7,0,4,1,0,105,15,0,0,29,0,5,15,1,74,0,0,42,46
"SDF4",13,3,26,0,0,2,20,374,3,2,0,0,3,5,57,12,4,0,18,1,3,9,1781,122,0,3,11,58
"B3GALT6",3,0,6,0,0,0,2,16,1,2,0,0,0,0,7,0,0,0,1,0,1,3,93,7,0,0,1,3
"FAM132A",0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,110,0,0,0,0,6
"UBE2J2",6,7,27,0,1,3,6,137,6,1,0,0,2,10,79,8,4,0,17,0,1,8,783,49,2,9,4,18
"ACAP3",0,0,2,0,1,1,1,28,1,1,0,0,0,1,10,0,1,0,3,0,0,0,164,7,0,1,1,2
"PUSL1",3,2,12,0,0,1,3,20,1,1,0,0,0,1,18,5,0,1,2,0,0,2,300,15,0,9,1,4
"CPSF3L",2,3,22,1,0,3,10,131,4,0,2,0,1,5,34,19,2,0,19,0,2,2,1042,29,0,13,4,20
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,13,0,0,0,0
"DVL1",1,0,0,0,0,0,0,12,0,1,0,0,0,0,4,0,0,0,1,0,0,0,247,0,0,1,0,5
"MXRA8",0,1,2,0,0,0,32,459,0,0,0,0,0,1,2,2,9,0,0,0,0,0,0,1,0,0,0,1
"AURKAIP1",55,14,82,2,3,9,27,447,18,3,1,0,4,14,141,40,6,2,48,2,7,14,9393,276,7,44,15,77
"CCNL2",3,2,5,0,0,0,4,102,5,0,1,0,1,7,21,4,0,3,8,0,2,3,592,24,0,4,4,11
"MRPL20",84,14,99,2,3,4,34,382,12,11,0,2,10,14,131,36,7,5,34,1,3,18,3826,242,4,33,10,64
"ANKRD65",0,0,0,0,0,0,2,57,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,13
"VWA1",0,0,0,0,0,0,26,94,0,0,0,0,0,0,0,0,2,0,1,0,0,0,86,0,0,0,0,128
"ATAD3C",0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,30,12,0,0,0,1
"ATAD3B",1,0,4,0,0,0,0,12,1,0,0,0,0,0,5,1,1,0,0,0,0,0,279,2,0,0,0,4
"ATAD3A",1,0,3,0,0,0,1,19,2,0,0,0,0,0,9,0,0,0,1,0,0,0,488,7,0,5,0,6
"SSU72",37,17,72,0,0,6,35,320,16,6,0,2,8,14,144,32,1,4,42,0,6,11,2767,129,3,21,10,67
"AL645728.1",0,1,5,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,1,1,0,0,21,4,0,0,0,0
"C1orf233",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
"RP11-345P4.9",0,0,2,0,0,0,3,25,0,0,0,0,0,0,6,1,1,0,1,0,0,2,56,2,0,1,0,2
"MIB2",5,4,5,0,3,0,1,51,4,2,0,0,1,1,41,5,0,0,15,0,2,2,558,16,0,6,2,4
"MMP23B",0,0,0,0,0,0,0,237,1,0,0,0,0,0,5,1,7,0,0,0,0,1,17,4,0,0,0,0
"CDK11B",4,2,1,0,0,0,3,42,1,0,0,0,1,5,9,3,0,0,2,0,0,1,386,10,1,5,1,5
"RP11-345P4.10",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
"SLC35E2B",1,0,4,0,0,0,4,53,1,1,0,0,0,1,12,3,1,1,4,0,0,0,346,10,0,2,2,5
"CDK11A",0,1,1,0,0,0,3,7,0,0,0,0,0,0,7,1,0,0,1,1,0,0,40,6,0,1,0,1
"SLC35E2",0,1,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,1,0,0,0,0
"NADK",14,0,7,0,0,0,3,29,1,1,0,0,0,3,14,5,0,2,3,0,1,3,558,18,0,5,1,5
"GNB1",19,5,33,0,0,0,11,84,1,0,0,0,0,4,29,10,1,1,9,0,1,5,1127,22,2,8,4,16
"TMEM52",0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,201,25,0,2,0,0
"PRKCZ",0,3,5,1,1,2,5,19,1,0,0,0,1,0,9,2,2,0,4,0,0,0,408,12,0,0,1,7
"RP5-892K4.1",0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,0,1,0,0,0,9,0,0,0,0,0
"SKI",4,4,3,0,0,1,2,74,1,0,0,1,1,1,15,5,1,0,1,0,1,2,191,2,0,0,0,11
"MORN1",0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0,0,1,48,1,0,1,0,1
"RER1",85,15,75,1,5,3,27,493,5,9,1,1,12,13,163,25,7,3,33,0,2,25,3901,306,4,34,20,69
"PEX10",2,2,3,0,0,0,3,33,0,1,0,0,1,2,5,2,1,1,0,1,0,0,236,20,0,1,3,10
"PLCH2",0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,1,0,1,1,8,0,0,0,0,0
"PANK4",1,2,4,1,0,1,4,43,1,1,0,0,0,1,11,2,2,0,1,0,0,1,202,9,0,4,0,0
"HES5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0
"RP3-395M20.12",3,0,7,0,1,1,0,1,1,0,0,0,0,3,18,2,0,0,1,0,0,2,109,3,0,3,1,1
"RP3-395M20.8",2,1,1,0,0,0,2,2,0,0,0,0,0,0,9,2,0,0,0,0,1,0,246,5,0,1,0,6
"TNFRSF14",19,10,23,0,1,1,4,104,3,1,0,0,1,5,77,12,1,4,21,1,1,4,977,68,1,3,6,18
"RP3-395M20.9",0,1,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0,94,1,0,0,1,0
"FAM213B",1,1,2,0,0,1,5,18,0,0,0,0,0,0,5,1,0,0,2,0,0,1,649,4,0,2,1,3
"MMEL1",1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,314,0,0,1,0,2
"PRDM16",0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ARHGEF16",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,1,0,0,0,0
"MEGF6",0,0,0,0,0,0,3,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0
"TPRG1L",1,0,2,0,0,0,1,28,0,0,0,0,0,0,5,0,0,0,2,0,1,0,493,6,0,0,0,5
"WRAP73",2,3,3,1,0,2,1,57,0,1,0,2,1,1,17,5,0,1,4,0,0,1,303,29,0,3,1,7
"TP73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,1,0,0
"TP73-AS1",3,1,0,0,0,0,1,35,0,0,0,0,0,0,4,0,0,0,2,0,0,0,30,2,0,0,0,5
"SMIM1",0,0,0,0,0,0,0,28,1,0,0,0,0,0,3,0,1,0,2,1,0,0,26,25,0,0,1,1
"LRRC47",1,4,6,0,0,1,3,80,2,2,0,0,0,1,18,6,2,1,4,1,0,1,371,20,0,4,4,12
"CEP104",2,0,7,0,1,0,0,21,3,0,0,0,3,0,8,3,0,0,1,0,0,0,168,11,0,2,0,5
"DFFB",0,0,0,0,0,0,0,9,0,0,0,0,0,0,5,1,0,0,2,0,0,0,61,0,0,0,0,1
"C1orf174",3,4,4,1,0,1,4,49,2,0,0,0,0,1,17,3,2,0,2,0,0,1,262,7,0,3,0,2
"NPHP4",1,0,2,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,48,1,0,0,0,2
"KCNAB2",2,3,7,0,0,2,0,12,4,4,1,0,0,5,34,6,0,0,6,0,2,1,6,14,2,2,1,3
"RPL22",234,92,558,6,5,39,88,2712,101,77,11,15,65,218,1375,205,38,39,481,17,39,145,25209,837,34,220,122,323
"RP1-120G22.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
"RNF207",0,2,0,0,0,0,2,10,0,0,0,0,0,0,4,1,0,0,2,0,0,0,87,5,0,0,0,2
"ICMT",4,2,2,0,0,0,7,42,1,1,1,1,0,1,12,3,0,0,2,0,1,1,455,6,0,3,1,13
"GPR153",1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
"ACOT7",6,2,9,1,0,0,3,58,4,1,0,0,9,0,15,9,1,1,6,0,2,1,1217,3,0,4,3,8
"RP1-202O8.3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,1,0,0,0,0
"HES2",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0
"ESPN",0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,408,0,0,1,0,0
"TNFRSF25",0,3,0,1,0,0,1,2,0,6,0,0,0,0,64,1,0,0,24,0,0,3,425,6,0,1,10,1
"PLEKHG5",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,2
"NOL9",2,0,1,0,0,0,0,19,0,0,0,0,1,0,7,2,0,0,2,0,0,0,221,7,0,3,0,3
"ZBTB48",1,1,10,0,1,1,3,31,0,1,0,0,1,1,12,2,0,0,2,0,0,1,162,12,0,0,1,5
"KLHL21",3,1,1,1,0,0,1,32,0,0,0,0,0,0,6,1,1,0,4,0,0,1,70,9,0,0,0,1
"PHF13",0,0,0,0,0,1,1,16,0,0,0,0,0,1,1,0,1,0,1,0,0,0,32,2,0,0,0,1
"THAP3",0,0,0,0,0,2,5,69,9,1,1,0,1,2,9,2,1,0,2,0,0,2,235,12,0,8,0,7
"DNAJC11",0,0,4,1,0,1,2,23,1,0,0,0,0,2,5,1,3,1,2,0,1,2,527,6,0,3,0,5
"RP11-312B8.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0
"CAMTA1",22,10,42,1,2,3,26,276,4,2,0,2,2,4,68,20,4,1,19,1,2,7,3168,97,1,25,7,78
"VAMP3",16,2,16,0,0,0,19,109,2,1,0,0,1,2,11,1,1,0,4,0,0,1,508,19,1,0,1,60
"PER3",0,0,3,0,0,0,2,8,0,0,0,0,0,1,1,0,0,0,2,0,0,0,43,0,0,0,1,2
"UTS2",0,1,0,0,2,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,0,1,3,0,0,0,1,1
"TNFRSF9",0,1,1,1,1,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,1,0,0,0,0,9,0
"PARK7",187,50,303,7,7,15,78,1787,55,21,2,9,21,42,388,83,31,3,113,6,11,48,10651,457,15,128,51,185
"ERRFI1",0,3,1,0,0,0,7,37,0,0,0,0,1,1,7,1,0,0,2,0,0,0,120,1,0,0,1,4
"SLC45A1",0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RERE",1,2,7,0,1,1,2,62,0,1,0,0,0,2,12,1,3,2,1,0,0,1,529,4,0,2,0,14
"ENO1",209,61,309,3,6,19,94,777,67,26,9,9,20,31,596,137,14,7,149,4,13,84,11624,141,16,134,64,107
"ENO1-AS1",0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,1,0,0,1,0,0,0,10,1,0,0,0,1
"SLC2A5",1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,2,0,9,0,0
"GPR157",1,0,3,0,0,0,0,4,0,0,0,0,0,1,2,0,0,0,1,0,0,0,58,1,0,0,0,0
"RP3-510D11.2",0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0
"H6PD",7,3,2,0,0,0,2,76,1,1,0,0,0,1,8,2,1,0,2,0,0,0,400,1,0,1,0,7
"SPSB1",3,0,0,0,0,0,2,32,0,0,0,0,1,2,5,1,4,0,1,0,0,0,129,0,0,3,0,2
"SLC25A33",6,3,25,0,0,0,5,20,2,1,0,0,2,7,7,3,1,0,8,1,1,2,537,26,2,6,0,10
"TMEM201",1,1,0,0,0,0,1,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,88,1,0,0,0,4
"PIK3CD",2,5,7,1,0,1,0,1,2,2,1,1,0,4,32,13,1,0,11,0,0,5,5,0,0,4,2,2
"CLSTN1",2,1,1,0,1,2,9,85,1,0,0,0,0,2,21,4,0,0,3,0,1,3,789,11,0,8,1,12
"CTNNBIP1",9,1,36,0,0,1,7,54,4,1,1,1,2,1,14,5,3,0,8,0,2,3,617,28,2,4,3,31
"LZIC",7,5,10,0,0,2,6,71,0,0,0,0,0,3,30,11,0,0,8,0,1,6,348,23,1,8,3,7
"NMNAT1",1,0,2,0,0,0,0,24,1,0,0,0,0,0,2,0,0,0,1,0,1,0,202,1,0,3,0,4
"RBP7",3,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,1,0,0,102
"UBE4B",4,2,8,0,0,1,0,22,0,0,0,0,0,1,15,3,1,0,8,2,0,0,205,10,1,0,3,5
"KIF1B",2,0,4,0,0,0,4,17,0,0,0,0,0,0,2,0,1,0,0,0,0,1,163,0,0,0,0,1
"PGD",26,0,23,0,0,0,6,78,0,0,0,0,3,1,13,6,1,0,3,0,0,2,929,35,2,6,2,8
"APITD1",2,2,11,0,0,0,1,40,0,1,0,0,0,1,9,0,1,0,1,0,0,0,531,7,1,4,0,19
"CORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"DFFA",6,3,6,0,1,0,4,62,2,0,0,0,0,1,13,2,1,0,4,0,0,1,544,9,0,7,1,27
"PEX14",1,1,0,0,0,0,0,23,2,0,0,0,0,2,4,1,0,0,1,0,1,0,130,5,0,2,1,5
"CASZ1",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,270,0,0,1,0,8
"TARDBP",12,3,13,1,0,2,6,114,8,1,0,0,1,7,41,12,0,0,10,0,0,6,760,35,2,7,4,19
"RP4-635E18.8",0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38,0,0,0,0,1
"SRM",20,9,34,1,0,0,10,237,7,4,0,2,0,10,66,12,0,1,23,0,1,7,884,281,2,7,4,35
"EXOSC10",3,2,9,0,0,0,4,49,4,0,0,0,0,1,17,4,2,0,3,0,0,2,460,5,1,5,1,9
"RP4-635E18.6",0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35,1,0,1,0,1
"MTOR",0,0,2,0,0,0,0,6,1,0,0,0,0,0,1,0,1,0,1,0,0,0,174,3,0,0,0,4
"ANGPTL7",0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBIAD1",3,0,4,1,0,3,8,37,4,2,1,0,1,8,14,4,0,1,6,1,0,1,281,17,0,3,5,1
"FBXO2",0,0,0,1,0,0,0,3,1,0,0,0,0,2,2,1,0,0,1,0,2,0,0,1,0,0,0,0
"FBXO44",1,2,1,1,0,0,7,44,0,0,0,0,0,3,10,5,2,0,0,0,0,0,10,9,0,1,1,3
"FBXO6",5,0,9,1,0,0,0,32,9,1,0,1,0,3,14,4,1,0,1,0,2,3,154,9,0,0,1,3
"MAD2L2",15,7,26,1,1,0,5,157,14,1,0,0,0,4,41,7,1,1,14,0,1,8,190,31,2,19,1,19
"DRAXIN",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0
"AGTRAP",3,8,5,0,3,2,6,161,3,0,0,0,3,3,27,7,2,0,3,0,3,5,437,3,5,1,2,19
"C1orf167",0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1
"MTHFR",5,1,5,0,0,1,0,63,0,0,0,0,0,1,2,0,0,0,0,0,1,0,123,2,0,2,0,5
"CLCN6",1,0,2,0,0,1,0,14,0,0,0,0,0,0,1,1,0,0,0,0,0,0,49,1,0,2,0,2
"NPPA-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
"KIAA2013",10,1,4,0,0,0,3,41,1,0,0,0,0,1,7,0,1,0,2,0,0,0,730,6,0,2,1,6
"PLOD1",3,0,3,0,0,0,4,107,0,0,0,0,0,0,0,0,1,0,0,0,0,0,126,10,0,2,0,6
"MFN2",3,0,4,1,0,0,0,30,1,0,0,0,0,1,7,1,2,0,2,0,0,1,359,6,0,0,0,1
"MIIP",12,4,10,0,0,1,19,45,6,1,0,0,0,4,29,6,1,1,4,1,2,9,351,7,2,1,9,2
"TNFRSF1B",15,7,14,0,1,5,1,31,5,1,0,0,0,4,60,11,0,0,13,0,0,8,26,2,5,1,19,9
"VPS13D",1,2,3,0,0,0,12,19,0,0,0,0,2,0,11,0,0,0,1,0,0,1,221,3,0,0,0,2
"DHRS3",6,2,3,0,0,0,14,18,2,1,0,0,0,0,8,2,0,0,4,0,1,0,318,0,1,0,0,11
"PDPN",0,1,0,0,0,0,18,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRDM2",3,0,2,0,0,0,4,38,1,0,0,0,0,9,20,5,0,0,3,0,0,1,124,18,3,5,3,5
"KAZN",0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,0,0,0,0,7
"TMEM51-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"TMEM51",5,0,7,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,3,0,0,0,1
"EFHD2",53,3,64,2,1,0,0,56,5,2,0,0,0,3,22,6,1,2,4,1,1,8,1249,24,2,2,3,13
"CASP9",2,1,5,0,0,0,1,19,0,2,0,0,0,0,3,1,1,0,1,0,0,0,83,3,2,3,1,2
"DNAJC16",0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80,3,0,0,1,1
"RP4-680D5.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
"AGMAT",1,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,3,0,0,0,567,0,0,6,0,0
"DDI2",0,0,5,0,0,0,0,14,0,1,0,0,0,1,5,3,0,0,3,0,0,1,211,3,0,1,0,3
"PLEKHM2",3,0,4,0,0,0,1,16,0,0,0,0,0,2,3,3,0,0,1,0,0,0,160,0,0,0,1,2
"SLC25A34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0
"TMEM82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0
"FBLIM1",0,2,1,0,0,1,0,225,1,0,0,0,0,1,1,0,3,0,1,0,0,0,533,2,0,0,0,3
"SPEN",4,2,12,0,0,0,0,13,0,0,0,0,0,1,4,1,1,1,4,0,1,0,126,5,1,2,0,3
"ZBTB17",1,0,1,0,0,0,1,8,1,0,0,0,2,1,14,0,2,0,2,0,0,3,121,8,0,1,1,2
"EPHA2",0,0,1,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,6
"RP11-276H7.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"ARHGEF19",0,0,0,0,0,0,2,17,1,0,0,0,0,0,4,2,1,0,3,0,1,0,91,13,0,1,0,5
"RSG1",1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,1,0,0,0,0
"FBXO42",4,0,3,0,0,0,5,11,1,1,0,0,3,1,9,4,0,0,3,0,0,0,103,2,0,2,1,3
"SZRD1",4,9,15,0,2,1,8,120,4,2,1,0,0,1,40,7,4,4,12,0,1,5,686,29,1,12,3,18
"NECAP2",15,11,13,1,0,3,7,154,8,1,0,0,2,12,100,15,1,2,19,0,0,9,473,34,2,10,7,47
"RP4-798A10.7",0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,1,0,0,0,0
"NBPF1",4,0,0,0,0,0,2,87,0,0,0,0,1,0,7,3,6,0,3,0,0,0,351,3,0,2,0,10
"CROCC",1,0,0,0,1,0,1,10,1,0,0,0,0,1,7,0,0,0,2,0,0,1,41,5,0,0,0,1
"RP11-108M9.4",3,2,4,0,0,0,3,36,1,1,0,0,0,0,5,0,0,0,1,0,0,1,247,1,0,0,2,8
"RP11-108M9.6",0,1,0,0,0,0,1,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,4,0,0,0,0
"MFAP2",0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
"ATP13A2",1,1,1,0,0,0,0,7,1,0,0,0,0,0,10,1,0,0,3,0,1,2,236,3,0,0,0,4
"SDHB",67,4,71,0,2,0,28,274,13,6,1,2,5,16,80,16,4,4,30,1,8,10,5717,67,2,28,7,43
"PADI2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,492,0,0,0,0,0
"RCC2",11,0,12,0,0,0,0,27,2,2,0,0,0,1,5,3,0,0,1,0,0,1,733,6,1,5,2,5
"ARHGEF10L",0,0,2,0,0,0,1,5,0,0,0,0,0,2,0,0,1,0,0,0,0,0,866,1,0,1,0,0
"ACTL8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
"IGSF21",1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"ALDH4A1",2,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,64,0,0,0,0,1
"IFFO2",2,0,1,0,0,0,2,7,1,1,0,0,0,0,8,0,0,0,3,0,1,2,41,2,0,1,1,3
"UBR4",1,0,2,0,0,0,1,5,0,0,0,0,1,0,4,0,0,0,2,0,1,0,96,4,0,0,0,1
"RP1-43E13.2",2,0,0,0,0,0,0,18,2,0,0,0,0,0,3,1,0,0,0,0,0,0,34,11,0,0,1,4
"EMC1",0,1,5,0,0,0,3,63,1,0,0,0,0,1,12,0,0,0,3,0,0,1,257,9,0,4,0,4
"MRTO4",14,0,15,0,0,0,2,75,1,0,0,0,4,4,17,0,2,0,6,0,2,0,875,13,1,8,0,15
"AKR7A3",0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,1,0,1,0,0,0,2181,0,0,1,0,0
"AKR7A2",21,5,44,0,1,3,22,372,8,4,0,0,1,9,44,8,20,1,10,0,0,7,3203,56,0,15,5,29
"PQLC2",3,0,4,0,0,1,2,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,8,0,0,0,4
"CAPZB",218,60,207,6,7,19,39,958,42,22,6,4,15,32,460,91,17,9,104,3,9,58,3753,99,4,81,48,150
"MINOS1",106,24,110,2,4,12,33,730,28,10,3,2,10,25,305,59,21,6,108,3,5,35,11808,152,9,51,21,82
"NBL1",4,2,0,0,0,2,1,647,5,1,0,0,0,0,33,9,23,0,6,0,0,3,3387,1,1,1,0,11
"TMCO4",0,1,1,0,0,0,2,18,1,0,0,0,0,1,4,2,0,0,1,0,0,1,224,9,0,2,1,1
"RNF186",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,1,0,0,0,0
"RP11-91K11.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0
"OTUD3",0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,69,1,0,0,0,1
"PLA2G2A",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2513,0,0,0,0,0
"PLA2G2D",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"PLA2G2F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"UBXN10",0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,82,1,0,0,0,0
"CAMK2N1",0,0,0,0,0,0,0,21,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1473,0,0,0,0,1
"MUL1",3,1,2,0,0,0,1,79,0,2,0,0,3,1,12,2,1,0,1,0,1,2,246,21,0,4,1,5
