"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Regulatory CD4 Tcells","Vascular ECs"
"METTL20",1,1,1,0,0,0,1,20,0,0,0,0,0,0,4,0,0,0,0,0,0,1,77,4,0,1,0,3
"AMN1",3,0,4,0,0,1,8,22,0,0,0,0,0,3,15,2,0,1,2,0,0,2,55,3,0,1,1,4
"H3F3C",1,2,9,0,1,0,3,22,0,1,0,1,0,0,8,4,0,0,1,0,0,2,41,22,0,1,1,1
"KIAA1551",2,5,4,0,3,1,1,17,2,5,0,0,0,3,22,12,0,2,9,0,0,4,69,7,0,1,5,7
"BICD1",0,2,1,0,0,0,0,7,0,0,0,0,0,3,7,0,0,0,1,0,0,0,11,7,0,2,0,0
"FGD4",4,0,11,1,0,0,1,18,0,0,0,0,0,0,0,2,0,0,0,0,0,0,281,4,0,0,0,6
"DNM1L",5,1,9,0,1,0,1,27,0,0,0,1,0,3,8,2,0,0,1,0,0,0,221,5,0,2,0,8
"YARS2",4,3,6,0,1,0,1,45,2,0,0,0,1,2,14,5,3,0,4,0,0,2,303,14,0,7,3,7
"PKP2",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,625,12,0,0,0,0
"ALG10",0,0,2,0,0,0,0,2,0,0,0,0,1,0,6,1,0,1,2,0,0,0,21,4,0,1,0,1
"ALG10B",2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,0,0,1,0,1
"CPNE8",2,1,1,0,0,0,0,56,0,0,0,0,1,0,1,0,0,0,0,0,0,0,62,0,0,0,0,7
"RP11-396F22.1",0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,3
"KIF21A",0,1,1,0,0,1,1,10,0,1,0,0,0,2,11,2,0,0,1,0,0,1,338,23,0,0,0,1
"ABCD2",0,1,1,0,0,0,0,0,1,0,0,1,0,1,2,2,0,0,2,0,0,0,0,0,0,0,1,0
"SLC2A13",0,2,2,0,0,0,0,17,0,1,0,0,0,1,4,1,1,0,1,0,0,0,98,2,0,1,0,0
"LRRK2",1,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"CNTN1",0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GXYLT1",2,2,1,0,0,1,0,17,3,0,0,0,1,0,9,2,0,0,1,0,0,0,71,2,0,1,0,4
"YAF2",5,5,7,0,0,2,7,91,3,2,2,0,3,3,45,16,1,0,11,1,0,3,242,25,0,6,7,19
"PPHLN1",15,17,30,2,3,4,9,140,6,3,0,3,3,13,107,25,2,1,30,1,3,8,733,49,2,24,10,14
"ZCRB1",22,6,37,1,3,1,10,283,6,1,1,1,4,9,51,6,5,3,18,0,2,11,1267,84,0,15,6,36
"PRICKLE1",0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
"PUS7L",0,3,1,0,0,0,2,26,4,0,1,0,1,1,12,1,0,0,4,0,1,0,166,8,0,0,0,1
"IRAK4",5,0,6,0,3,0,1,37,0,0,0,0,2,1,19,6,0,0,4,0,0,2,136,14,0,1,3,7
"TWF1",2,0,1,0,0,0,2,51,1,0,1,0,0,3,16,1,1,0,2,0,0,1,401,10,0,2,1,6
"TMEM117",0,0,0,0,0,0,0,7,0,0,0,0,0,1,2,1,1,0,0,0,0,0,23,2,0,0,0,1
"NELL2",0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,2,0,0,1,0,1,0,0,0,0
"ANO6",0,1,3,0,0,0,1,26,0,0,0,0,0,0,3,0,0,0,0,0,0,0,18,3,0,0,1,2
"ARID2",2,1,3,0,0,1,1,13,1,0,0,0,0,1,8,1,1,0,3,0,0,2,108,1,0,2,0,3
"SCAF11",10,5,27,3,1,5,14,140,8,3,1,0,1,12,94,10,1,2,21,0,3,11,712,46,5,13,10,22
