"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Enteric glia cells","Fibroblasts","gdTcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NKT cells","Normal Epithelial cells","Regulatory CD4 Tcells","Vascular ECs"
"AC018506.1",0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0
"AC018737.1",2,0,0,0,28,1,0,0,2,0,0,0,0,5,0,5
"AC019221.4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AC021860.1",0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0
"AC023490.1",0,0,0,0,3,0,0,0,2,0,0,0,0,3,0,1
"AC026806.2",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"AC027307.3",1,0,0,0,5,0,0,0,1,0,0,0,0,3,0,0
"AC027763.2",0,1,1,0,10,0,0,0,0,0,0,0,0,19,0,0
"AC034220.3",7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"AC040977.1",0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0
"AC066593.1",0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
"AC074138.3",0,0,1,0,9,0,0,0,0,0,0,0,0,8,0,0
"AC074212.5",0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0
"AC074389.9",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"AC079210.1",1,0,0,0,6,0,0,0,4,0,0,1,0,7,0,1
"AC079602.1",0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0
"AC084018.1",0,0,1,0,11,0,0,0,1,1,0,0,0,18,0,0
"AC090587.2",1,0,2,0,2,0,0,0,1,0,0,1,0,4,0,1
"AC092295.7",0,0,0,1,6,0,2,0,0,0,0,0,0,2,0,3
"AC093415.2",1,0,0,1,6,0,0,0,0,0,0,0,0,9,0,0
"AC096579.7",20,0,9,2,93,2,2,3,11,4,4,7,0,9,0,15
"AC097500.2",0,0,0,1,9,0,0,0,0,0,0,0,0,9,0,0
"AC106876.2",0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0
"AC108488.3",3,0,2,0,12,0,0,3,1,2,0,1,0,13,0,4
"AC112229.7",0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0
"AC115618.1",0,0,0,2,1,0,1,0,0,0,0,1,0,2,0,3
"AC120194.1",1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0
"AC124789.1",0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,14
