"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Enteric glia cells","Fibroblasts","gdTcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NKT cells","Normal Epithelial cells","Regulatory CD4 Tcells","Vascular ECs"
"AP006222.2",17,0,8,8,90,2,1,0,5,0,8,1,0,29,0,18
"LINC00115",1,1,0,0,2,0,0,0,1,0,0,0,0,2,0,0
"FAM41C",8,0,0,0,7,0,2,0,1,0,0,0,0,11,0,1
"SAMD11",1,0,0,0,117,0,0,0,1,1,5,0,0,0,0,2
"NOC2L",9,1,3,1,62,4,1,0,7,4,2,6,0,88,0,21
"KLHL17",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"HES4",11,0,1,3,57,0,1,0,0,1,8,0,0,40,0,13
"ISG15",59,7,15,8,280,3,3,3,35,10,9,19,1,32,3,94
"AGRN",0,0,0,0,11,0,0,0,1,0,0,0,0,11,0,5
"C1orf159",1,0,0,0,4,0,0,1,0,0,0,0,0,13,0,0
"RP11-465B22.8",0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0
"TNFRSF18",0,0,0,2,5,12,0,0,11,1,0,1,0,0,1,4
"TNFRSF4",5,0,0,5,16,5,0,0,18,5,0,3,0,0,0,87
"SDF4",13,1,7,4,178,2,4,0,6,4,6,5,0,216,5,29
"B3GALT6",7,2,1,0,6,0,0,0,1,0,0,1,0,8,0,0
"FAM132A",0,0,0,0,1,0,0,0,0,0,0,0,0,33,0,10
"UBE2J2",7,1,4,2,74,0,2,0,4,3,7,2,2,98,0,23
"ACAP3",4,0,0,0,19,0,1,0,0,0,0,1,0,14,0,1
"PUSL1",3,1,3,0,19,0,0,0,1,0,1,0,0,28,0,4
"CPSF3L",15,0,8,1,59,2,0,1,7,3,9,1,1,112,0,24
"DVL1",0,1,0,1,3,0,0,0,0,0,0,0,0,30,0,1
"MXRA8",2,0,0,24,271,0,1,0,2,0,8,0,0,1,0,1
"AURKAIP1",50,4,20,19,229,0,2,8,45,6,9,5,1,870,3,55
"CCNL2",5,3,3,5,56,0,3,1,0,0,3,2,0,55,0,3
"MRPL20",43,2,11,9,197,9,4,4,20,3,15,2,3,318,0,42
"ANKRD65",0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,10
"VWA1",1,1,0,10,20,0,0,0,0,0,3,0,0,3,0,135
"ATAD3C",2,0,0,0,11,0,0,0,0,0,0,0,0,10,0,0
"ATAD3B",2,0,0,0,2,0,1,0,0,0,0,0,0,20,1,1
"ATAD3A",2,0,1,0,16,1,2,0,1,0,0,0,0,47,0,8
"SSU72",29,5,16,13,127,2,13,0,25,7,6,14,1,361,6,43
"AL645728.1",1,1,0,0,5,0,0,0,1,0,0,0,0,3,0,2
"C1orf233",1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"RP11-345P4.9",4,0,0,2,17,0,0,0,0,0,0,0,0,7,0,1
"MIB2",1,2,0,0,11,4,0,0,14,4,0,1,0,75,0,9
"MMP23B",0,0,1,0,66,0,0,0,0,1,6,0,0,0,0,0
"CDK11B",3,0,1,1,22,0,0,2,5,0,2,1,0,44,0,7
"SLC35E2B",1,1,2,0,11,0,0,0,1,0,1,0,0,25,0,2
"CDK11A",3,1,0,0,12,1,0,0,2,0,0,1,0,16,0,4
"NADK",19,0,3,1,12,0,0,0,2,0,0,0,0,57,0,5
"GNB1",14,1,10,3,40,0,0,0,7,0,4,6,1,122,0,16
"TMEM52",0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0
"PRKCZ",1,0,0,0,9,0,0,0,1,0,0,0,0,39,0,1
"RP5-892K4.1",0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0
"SKI",2,0,0,2,31,0,0,0,4,0,4,0,0,19,0,6
"MORN1",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"RER1",75,3,9,25,223,10,3,5,26,5,5,2,0,421,3,26
"PEX10",2,0,0,15,10,0,0,0,0,0,0,0,0,31,0,9
"PANK4",0,0,0,0,17,0,0,0,3,0,0,0,0,19,1,1
"RP3-395M20.12",10,0,0,0,0,1,0,0,3,1,0,1,0,20,0,0
"RP3-395M20.8",1,0,0,0,9,1,0,1,2,0,0,0,0,47,0,3
"TNFRSF14",29,3,11,2,108,0,1,3,11,4,2,4,0,134,3,19
"RP3-395M20.9",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"FAM213B",5,1,0,2,18,0,0,1,0,0,0,0,0,71,0,7
"MMEL1",0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
"ARHGEF16",0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
"TPRG1L",1,0,0,0,5,0,0,0,0,0,0,0,0,41,0,2
"WRAP73",5,2,3,2,35,0,1,0,7,1,0,1,0,41,1,4
"TP73-AS1",0,0,0,1,7,0,0,0,0,0,0,1,0,3,0,1
"SMIM1",1,0,0,0,21,0,0,0,3,0,3,0,0,5,0,0
"LRRC47",4,0,0,5,21,0,5,0,4,3,0,0,0,42,1,14
"CEP104",0,0,4,3,17,0,0,0,4,0,6,1,1,10,0,8
"DFFB",0,0,0,0,3,0,0,0,0,0,0,0,0,12,0,0
"C1orf174",0,0,8,4,49,0,3,0,3,0,3,0,0,32,1,4
"KCNAB2",18,3,1,0,2,0,0,0,7,0,0,0,0,0,2,1
"RPL22",223,21,141,22,1708,54,50,47,316,28,24,87,15,3209,35,280
"RNF207",0,0,0,0,5,0,0,0,1,0,0,1,0,9,1,1
"ICMT",7,0,0,0,15,0,0,0,2,0,4,0,0,36,0,4
"ACOT7",9,0,0,2,43,2,7,0,0,4,0,0,0,138,0,8
"HES2",0,0,0,0,1,0,0,0,0,0,0,0,0,47,0,0
"ESPN",0,0,0,1,1,0,0,0,0,0,0,0,0,44,0,0
"TNFRSF25",4,0,0,0,0,0,0,0,9,0,0,2,1,27,0,0
"NOL9",0,0,1,0,6,0,0,0,0,0,0,1,0,16,0,0
"ZBTB48",2,0,1,3,24,0,0,0,0,0,0,0,2,27,0,5
"KLHL21",7,0,0,0,11,0,0,0,0,0,0,1,0,7,0,0
"PHF13",0,0,0,0,1,0,1,0,0,0,2,0,0,8,0,0
"THAP3",3,0,1,2,45,0,0,0,2,0,1,0,0,17,0,9
"DNAJC11",2,0,0,3,20,0,0,0,0,0,0,0,0,44,0,1
"CAMTA1",16,3,2,7,121,3,0,0,11,3,8,2,0,279,0,56
"VAMP3",19,0,14,4,95,0,1,0,5,0,2,3,0,63,0,37
"PER3",2,0,2,0,18,0,0,0,1,0,2,0,0,4,0,3
"PARK7",171,15,67,18,917,22,25,15,80,14,34,22,6,1092,13,176
"ERRFI1",0,0,0,0,31,0,0,0,0,0,0,0,0,6,0,2
"RERE",1,0,1,0,30,0,2,1,2,0,0,0,0,54,0,2
"ENO1",140,13,63,22,332,34,20,6,90,21,18,36,6,1012,14,76
"ENO1-AS1",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1
"SLC2A5",1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"GPR157",1,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0
"H6PD",0,0,0,0,33,0,0,0,0,0,3,0,0,25,0,1
"SPSB1",0,0,0,0,12,0,0,0,1,0,1,0,0,11,0,0
"SLC25A33",6,0,3,0,11,0,0,0,4,0,0,0,0,42,0,8
"TMEM201",1,0,0,0,2,0,0,0,0,0,0,0,0,15,0,0
"PIK3CD",5,0,1,0,3,1,0,1,3,0,0,1,0,0,0,0
"CLSTN1",3,0,1,2,36,0,0,0,1,0,1,0,0,96,0,6
"CTNNBIP1",16,0,4,0,40,1,1,0,8,4,0,0,0,57,1,38
"LZIC",11,0,3,6,39,0,1,0,1,0,0,0,0,43,3,18
"NMNAT1",2,0,0,3,18,0,0,0,0,0,0,0,0,25,0,5
"RBP7",4,0,0,11,2,0,0,0,1,0,0,0,0,0,0,149
"UBE4B",2,0,0,0,10,1,0,0,2,0,4,1,0,17,0,3
"KIF1B",7,0,0,0,6,0,0,0,1,0,0,0,0,18,0,1
"PGD",27,2,2,1,37,0,2,0,2,0,0,0,0,86,0,10
"APITD1",3,1,1,0,7,2,1,0,0,0,2,0,0,35,0,14
"CORT",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15
"DFFA",6,1,2,4,25,2,2,0,5,1,0,1,1,56,0,20
"PEX14",2,2,0,0,20,0,1,0,4,0,0,0,0,10,0,5
"CASZ1",0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
"TARDBP",9,2,4,3,59,0,3,0,4,0,1,3,0,70,0,22
"SRM",27,1,8,2,105,4,3,2,13,4,3,6,1,62,4,35
"EXOSC10",2,0,3,0,16,0,0,0,0,0,0,0,1,48,0,4
"MTOR",1,0,0,0,2,0,0,0,0,1,0,0,0,43,0,3
"UBIAD1",1,0,3,3,15,1,1,0,4,2,1,0,2,28,0,2
"FBXO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"FBXO44",1,1,0,1,53,2,0,0,5,0,0,0,0,1,0,0
"FBXO6",5,0,4,0,24,3,0,0,4,0,1,1,2,7,0,3
"MAD2L2",22,0,14,4,93,3,0,0,11,1,6,4,2,12,0,9
"AGTRAP",11,0,9,7,106,2,1,0,3,4,1,1,1,35,0,19
"C1orf167",1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2
"MTHFR",3,0,1,0,11,0,0,0,1,0,0,1,0,21,0,6
"CLCN6",0,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0
"KIAA2013",7,0,0,1,13,1,0,0,0,0,1,1,0,66,0,1
"PLOD1",6,0,2,4,67,0,0,0,0,0,2,0,0,11,0,7
"MFN2",7,0,1,0,9,0,0,1,0,0,0,1,0,54,0,4
"MIIP",8,1,2,7,33,2,1,1,4,0,0,1,0,20,4,7
"TNFRSF1B",23,1,8,0,12,1,0,1,1,0,0,0,1,8,2,7
"VPS13D",0,0,0,1,5,1,0,0,3,0,0,0,0,12,0,5
"DHRS3",15,0,0,9,12,0,0,0,7,0,0,0,0,40,0,12
"PDPN",0,0,0,2,84,0,0,0,0,0,2,0,0,0,0,0
"PRDM2",4,0,2,0,15,0,0,2,3,0,0,3,0,21,0,2
"KAZN",0,0,0,0,19,0,0,0,0,0,0,0,0,1,0,0
"TMEM51",22,0,2,1,50,0,0,0,0,0,1,0,0,27,0,1
"EFHD2",53,0,28,0,25,0,0,0,6,0,0,0,0,146,1,7
"CASP9",5,0,2,0,11,3,0,0,0,0,0,0,1,3,0,2
"DNAJC16",0,0,1,0,4,0,0,0,0,0,0,0,0,4,0,0
"AGMAT",2,0,1,0,0,0,0,2,0,0,0,0,0,44,0,0
"DDI2",6,0,0,0,10,1,0,0,0,0,0,0,0,21,0,1
"PLEKHM2",6,0,5,0,12,0,0,0,1,0,0,0,1,23,0,2
"SLC25A34",0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
"TMEM82",0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
"FBLIM1",1,0,0,2,89,0,0,0,3,1,0,0,0,77,0,0
"SPEN",2,0,1,0,13,0,0,0,0,0,0,1,2,14,0,8
"ZBTB17",1,0,0,0,7,0,1,2,6,2,1,0,0,9,1,2
"EPHA2",0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0
"ARHGEF19",2,0,0,0,3,0,0,0,1,0,0,0,0,13,0,4
"FBXO42",2,0,0,1,6,0,0,0,1,0,0,0,1,14,0,5
"SZRD1",8,2,2,1,53,1,0,2,7,2,3,2,0,58,1,13
"NECAP2",24,3,15,0,69,3,1,0,16,1,0,7,6,46,5,33
"NBPF1",4,0,2,0,45,0,0,0,1,0,1,0,0,55,0,2
"CROCC",1,0,0,1,3,0,0,0,0,2,0,0,0,9,0,0
"RP11-108M9.4",7,2,3,2,78,1,1,0,0,0,6,1,0,101,0,13
"RP11-108M9.6",0,0,0,0,5,0,0,0,0,2,0,0,0,2,0,2
"MFAP2",0,0,0,0,88,0,0,0,0,0,3,0,0,0,0,2
"ATP13A2",2,0,0,0,4,0,0,0,5,0,0,0,2,20,1,10
"SDHB",48,2,12,12,141,6,2,1,17,2,9,1,0,609,0,34
"PADI2",0,0,3,0,1,0,0,0,0,0,0,0,0,78,0,1
"RCC2",12,0,0,2,8,0,0,0,0,1,0,0,0,77,0,4
"ARHGEF10L",0,0,0,0,1,0,0,0,0,0,0,0,0,72,0,0
"ALDH4A1",0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0
"IFFO2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"UBR4",3,0,1,3,11,0,0,0,0,1,0,0,0,8,0,1
"RP1-43E13.2",4,0,1,0,13,0,0,0,0,4,0,0,0,2,0,1
"EMC1",3,0,1,0,21,0,0,0,1,0,3,0,0,27,0,2
"MRTO4",7,0,2,0,25,2,0,0,3,2,3,3,0,73,0,10
"AKR7A3",0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0
"AKR7A2",31,3,10,6,298,2,1,0,18,0,32,0,3,538,8,43
"PQLC2",2,0,0,0,11,0,0,0,0,0,0,1,0,11,0,5
"CAPZB",249,25,52,12,644,10,11,3,72,16,22,28,6,407,14,91
"MINOS1",58,2,15,12,323,5,13,2,38,6,22,5,3,1141,7,58
"NBL1",7,0,0,0,542,1,0,0,11,0,27,0,0,357,0,5
"TMCO4",0,0,0,0,12,0,0,0,0,1,2,0,0,19,0,0
"RNF186",0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0
"RP11-91K11.2",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"OTUD3",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"PLA2G2A",0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0
"CAMK2N1",0,0,0,0,11,0,0,0,0,0,4,1,0,78,0,0
"MUL1",0,0,0,3,25,0,0,0,1,0,2,1,0,15,0,8
"CDA",0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,7
"PINK1",5,0,3,0,16,0,1,0,1,0,3,0,0,34,0,14
"PINK1-AS",2,0,0,0,1,0,0,0,0,0,0,1,0,9,0,1
"DDOST",54,1,23,3,145,1,2,2,7,0,7,3,1,342,2,27
"HP1BP3",8,1,2,3,62,1,3,0,13,2,4,20,0,96,0,13
"EIF4G3",3,0,0,0,12,0,0,0,0,0,0,0,0,27,0,4
"ECE1",0,0,0,0,41,0,0,0,2,0,2,1,0,36,0,41
"NBPF3",0,0,0,0,11,0,0,0,0,0,0,0,0,5,0,0
"RAP1GAP",0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
"USP48",2,1,6,2,37,1,0,0,4,0,0,1,3,30,0,0
"HSPG2",0,0,0,4,32,0,0,0,0,0,2,0,0,24,0,88
"CELA3B",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"LINC00339",5,0,0,1,13,2,0,0,0,0,0,0,0,12,0,4
"CDC42",28,2,10,2,83,2,0,0,10,6,3,0,0,122,0,28
"WNT4",0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0
"ZBTB40",1,0,0,0,2,0,0,0,3,1,0,0,0,8,0,1
"C1QA",2028,1,372,0,28,1,1,0,8,0,0,0,0,0,0,16
"C1QC",1764,0,316,1,13,0,0,0,4,0,0,0,0,0,0,8
"C1QB",2014,0,267,1,11,0,1,1,5,0,0,2,1,1,0,8
"EPHB2",8,0,1,0,2,0,0,0,0,0,0,0,0,100,0,0
"KDM1A",4,0,0,0,16,0,0,0,1,0,0,0,0,56,0,3
"LUZP1",11,0,0,1,31,0,0,0,3,0,0,0,0,52,0,24
"HNRNPR",8,3,7,3,111,2,9,0,14,7,3,4,1,132,3,27
"ZNF436",0,0,0,1,7,0,0,0,1,0,0,0,0,0,0,2
"TCEA3",0,0,0,0,32,0,0,0,1,0,1,0,0,437,0,1
"ASAP3",0,0,0,0,3,0,0,0,0,0,0,0,0,16,0,0
"E2F2",0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"ID3",28,1,16,142,2440,5,1,4,6,3,19,1,1,918,4,518
"RPL11",987,145,713,79,6631,171,201,293,1404,296,170,531,81,13522,152,1059
"TCEB3",4,0,0,2,23,0,0,0,4,1,1,0,2,16,0,2
"PITHD1",14,4,3,3,54,4,6,0,11,2,1,8,2,62,3,27
"LYPLA2",9,2,8,0,30,2,0,2,18,3,1,1,0,90,0,15
"GALE",6,1,0,0,8,3,0,0,1,0,0,0,0,127,0,6
"HMGCL",7,0,1,2,40,2,0,4,3,0,0,2,0,130,0,7
"FUCA1",155,4,7,0,27,5,0,1,0,0,0,0,1,218,0,22
"PNRC2",2,0,4,0,57,3,0,0,6,0,0,4,0,25,1,4
"SRSF10",6,1,5,5,47,4,0,2,5,7,1,2,0,45,2,8
"IL22RA1",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"STPG1",0,0,1,0,7,0,1,0,0,0,0,0,0,15,0,2
"NIPAL3",1,0,0,0,8,0,0,1,0,0,0,0,0,42,0,1
"RCAN3",0,2,0,2,6,0,0,0,10,5,0,7,0,11,0,0
"SRRM1",28,2,16,6,105,4,2,3,39,3,4,2,0,149,0,28
"CLIC4",3,0,4,22,37,0,0,0,0,0,7,0,0,4,0,64
"RUNX3",15,0,13,0,1,1,2,1,4,4,0,2,0,0,0,0
"SYF2",30,2,25,10,315,8,9,2,33,6,15,12,2,269,5,69
"TMEM50A",39,10,16,18,349,3,3,7,52,18,2,7,0,244,3,95
"TMEM57",1,0,1,0,16,1,0,0,5,0,0,2,0,21,0,4
"LDLRAP1",2,0,1,0,22,0,2,0,2,0,0,1,0,38,1,5
"MAN1C1",0,0,0,0,43,0,0,0,0,0,2,0,0,0,0,0
"SEPN1",4,0,1,0,31,0,0,0,0,0,0,0,0,18,0,13
"MTFR1L",4,0,2,2,70,4,3,0,2,0,5,3,0,30,0,14
"PAQR7",2,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0
"STMN1",243,3,34,32,237,3,31,1,17,6,6,6,0,467,2,68
"PAFAH2",3,0,2,0,10,0,0,0,2,1,0,0,0,27,0,4
"SLC30A2",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"PDIK1L",0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0
"FAM110D",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42
"ZNF593",32,0,11,0,75,0,0,0,8,1,5,0,1,156,0,16
"CNKSR1",0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
"CEP85",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"SH3BGRL3",362,58,244,20,394,83,50,25,405,107,14,122,12,1651,36,136
"UBXN11",1,0,7,0,10,0,0,0,4,1,0,0,0,18,1,2
"CD52",28,51,99,0,4,65,9,85,471,109,0,131,39,1,50,2
"AIM1L",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DHDDS",0,0,0,1,18,0,0,0,2,0,0,1,0,43,1,3
"HMGN2",274,11,64,30,945,9,11,18,69,16,18,18,3,995,11,66
"RPS6KA1",8,1,7,0,1,0,1,1,5,2,0,0,0,90,0,4
"ARID1A",5,0,1,0,15,3,0,0,2,0,1,0,0,41,0,4
"PIGV",2,0,0,0,23,0,0,0,0,0,2,2,0,15,0,3
"ZDHHC18",3,0,1,0,10,2,0,0,4,0,0,0,0,19,0,1
"SFN",0,0,0,0,1,0,0,0,0,0,1,0,0,343,0,0
"GPN2",9,0,2,0,24,0,0,0,2,1,1,0,0,41,0,7
"GPATCH3",4,1,0,0,13,0,0,0,3,0,0,0,0,17,1,5
"NUDC",41,1,15,7,213,4,3,0,10,6,7,6,0,210,1,71
"SLC9A1",2,0,5,0,8,0,0,0,0,0,0,0,0,15,0,3
"WDTC1",4,0,1,1,6,2,0,0,2,0,1,0,0,20,0,1
"TMEM222",1,1,2,4,34,2,1,2,0,2,0,2,0,22,0,7
"SYTL1",0,2,0,0,2,4,0,2,4,5,0,0,0,14,0,0
"MAP3K6",0,2,0,0,8,0,0,0,0,0,1,0,0,8,0,3
"WASF2",55,4,15,7,180,0,6,1,9,5,5,6,2,166,1,47
"AHDC1",0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,2
"FGR",1,0,10,0,0,8,0,0,0,0,0,0,0,0,0,1
"IFI6",21,1,2,14,144,2,0,0,0,5,1,2,0,18,0,28
"FAM76A",0,0,0,2,5,0,0,0,0,0,0,0,0,4,0,0
"STX12",10,0,1,0,53,0,0,0,2,0,5,1,0,52,0,13
"PPP1R8",3,3,0,0,46,1,0,0,3,0,0,2,0,23,0,13
"THEMIS2",12,0,7,0,13,0,0,0,1,0,0,2,2,0,0,1
"RPA2",10,2,3,3,118,3,3,0,19,0,2,7,2,65,1,26
"SMPDL3B",0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,2
"XKR8",0,0,0,1,23,1,0,0,1,0,6,2,0,6,2,2
"EYA3",1,0,0,0,5,0,0,1,0,2,0,0,0,13,0,0
"PTAFR",9,0,9,0,4,0,1,0,0,0,1,0,0,0,0,7
"DNAJC8",20,2,6,17,212,9,3,2,14,1,6,8,2,188,5,49
"ATPIF1",47,11,30,13,369,12,5,8,61,8,16,9,2,1813,7,99
"RP5-1092A3.4",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"SESN2",1,0,0,0,8,0,0,0,0,0,0,0,1,20,0,0
"MED18",0,0,0,0,6,0,0,0,1,0,1,3,0,9,0,1
"PHACTR4",3,0,1,1,19,0,0,0,2,0,1,0,0,38,1,3
"RCC1",3,0,0,1,10,0,0,0,0,0,0,0,1,31,0,2
"TRNAU1AP",9,2,0,3,34,0,0,1,4,3,0,3,0,33,3,16
"SNHG12",31,3,5,2,16,3,30,0,7,0,0,1,0,24,0,2
"TAF12",15,1,8,5,114,5,2,6,15,4,3,5,0,58,0,31
"RAB42",35,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
"GMEB1",4,0,0,1,19,0,0,0,0,0,0,2,0,16,0,3
"YTHDF2",22,3,12,8,77,0,1,0,15,5,1,3,0,113,1,30
"EPB41",3,0,0,0,0,0,0,0,2,1,0,1,7,36,0,2
"SRSF4",6,1,8,4,72,2,5,1,17,9,3,2,0,103,2,37
"MECR",2,1,2,1,34,1,0,0,1,0,1,1,0,52,0,7
"MATN1-AS1",0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0
"LAPTM5",323,9,55,0,4,9,17,21,78,14,0,13,5,0,8,7
"SDC3",20,0,2,6,33,0,0,0,0,0,1,0,0,1,0,5
"PUM1",4,0,1,1,21,0,0,0,3,0,0,0,0,56,0,5
"SNRNP40",13,3,10,6,102,0,3,1,10,1,0,6,0,102,1,22
"ZCCHC17",20,0,7,2,82,0,2,0,4,0,2,2,0,60,1,19
"FABP3",24,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0
"SERINC2",0,0,0,0,1,0,0,0,0,0,0,0,0,414,0,1
"TINAGL1",0,0,0,0,6,0,0,0,0,1,0,0,0,94,0,51
"PEF1",11,2,0,2,103,3,1,0,12,3,0,5,1,69,0,43
"COL16A1",0,0,1,1,39,0,0,0,0,0,2,0,0,5,0,0
"PTP4A2",14,3,9,0,46,2,0,0,28,2,3,2,32,93,3,7
"KHDRBS1",19,2,26,0,208,2,2,3,21,6,4,10,0,201,3,36
"TMEM39B",13,0,4,0,43,2,0,0,3,1,0,0,0,31,0,8
"KPNA6",2,0,5,2,16,0,0,3,1,1,2,1,1,41,1,6
"TXLNA",2,0,1,0,10,0,0,0,1,0,3,0,0,22,0,1
"CCDC28B",0,0,0,2,55,3,0,0,0,1,0,0,0,7,0,7
"IQCC",0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
"TMEM234",3,3,0,0,22,0,0,0,2,2,1,0,0,13,0,8
"EIF3I",50,0,23,6,226,5,7,3,27,7,6,5,0,429,27,60
"FAM167B",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,140
"LCK",2,18,1,0,2,12,0,1,82,16,0,16,2,2,16,4
"HDAC1",5,0,5,1,57,0,0,0,7,2,3,0,0,187,1,25
"MARCKSL1",15,0,9,7,173,3,0,0,10,8,7,3,0,776,0,107
"FAM229A",0,0,0,0,3,0,0,0,0,0,2,0,0,6,0,2
"BSDC1",5,4,0,2,42,0,0,0,6,2,1,0,0,59,0,7
"ZBTB8A",1,0,1,0,18,0,0,0,1,1,0,0,0,16,0,1
"ZBTB8OS",9,3,1,2,41,0,0,3,11,2,4,1,0,78,0,14
"RBBP4",10,1,8,5,112,4,5,3,4,0,2,9,2,100,1,14
"SYNC",0,0,0,0,11,0,0,0,0,4,0,0,0,4,0,2
"KIAA1522",0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,1
"YARS",9,0,5,0,30,2,0,0,3,1,2,1,0,38,0,10
"S100PBP",3,0,2,0,13,0,1,0,0,0,1,0,0,13,0,0
"HPCA",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"TMEM54",1,0,0,0,37,1,0,0,0,0,0,0,0,948,0,3
"RNF19B",5,3,5,0,2,0,0,0,0,0,0,0,0,21,0,0
"AK2",18,0,14,4,122,2,4,1,7,1,3,0,0,375,0,44
"ZNF362",1,0,1,0,15,0,1,0,1,0,0,0,0,5,0,3
"PHC2",12,0,2,1,18,1,0,0,0,0,1,0,0,26,0,5
"CSMD2",0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,4
"SMIM12",19,0,8,3,54,2,1,4,11,3,2,0,1,131,2,24
"GJB3",0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
"ZMYM6",2,0,0,1,43,1,0,1,3,4,2,1,0,14,0,8
"SFPQ",23,5,14,6,83,2,2,2,14,3,5,3,2,180,3,20
"ZMYM4",2,0,0,0,20,0,0,0,0,1,2,0,0,4,0,0
"KIAA0319L",1,0,0,0,11,0,0,0,1,0,0,2,0,24,0,5
"NCDN",1,0,0,0,4,0,0,0,0,1,0,2,0,0,0,1
"RP4-728D4.2",3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"PSMB2",67,3,22,9,267,10,3,1,79,3,8,11,2,341,6,79
"C1orf216",2,2,1,0,16,0,0,0,1,1,0,2,0,0,0,2
"CLSPN",4,0,0,0,1,0,0,0,7,0,0,0,0,20,0,3
"AGO4",1,0,0,1,4,0,0,0,0,0,0,3,0,4,0,0
"AGO1",1,0,2,0,6,1,0,1,0,0,0,0,0,10,0,1
"AGO3",0,0,0,0,15,1,0,0,4,0,0,3,0,14,0,3
"ADPRHL2",9,1,1,2,28,3,0,0,0,0,4,0,0,33,1,11
"TRAPPC3",32,8,10,2,127,1,5,2,14,1,7,3,0,143,0,30
"MAP7D1",9,0,8,1,34,2,0,0,12,5,0,3,0,30,0,11
"THRAP3",17,2,7,1,120,2,0,0,33,4,6,9,0,119,0,18
"SH3D21",4,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0
"EVA1B",46,0,2,0,86,0,0,0,0,0,1,0,0,0,0,20
"STK40",12,0,1,0,10,4,0,0,1,0,0,0,0,32,0,0
"LSM10",32,3,17,3,102,7,0,2,12,4,3,6,0,84,2,26
"OSCP1",0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,1
"MRPS15",31,2,17,1,102,4,0,2,6,4,4,0,3,203,0,34
"ZC3H12A",1,0,5,0,9,1,1,0,8,3,0,0,0,13,2,3
"MEAF6",25,4,8,5,162,8,6,10,32,8,7,17,3,113,4,47
"SNIP1",0,0,1,0,8,0,0,0,4,1,0,2,0,0,0,3
"DNALI1",1,0,0,1,43,0,0,0,0,0,4,0,0,5,0,0
"GNL2",5,0,8,2,24,0,0,0,0,2,1,0,0,61,0,12
"RSPO1",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
