"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Vascular ECs"
"ENTPD6",5,0,4,0,1,0,5,1,1,0,1,0,5,26,1,0,1,6,0,0,3,111,0,10,0,0,1
"PYGB",1,1,0,0,0,2,5,2,0,0,1,0,3,10,1,0,0,1,0,0,1,103,1,5,0,2,3
"ABHD12",36,2,16,0,2,4,20,1,3,0,0,0,3,16,3,0,1,6,1,0,1,59,0,22,1,4,15
"GINS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"NINL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"NANP",1,0,2,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,4,0,0,0,1,3
"ZNF337",2,1,0,0,0,0,4,0,0,0,0,1,1,2,1,0,0,1,0,0,4,7,0,5,0,2,1
"RP13-401N8.1",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"REM1",0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0
"HM13",23,3,23,1,5,5,119,6,4,4,4,1,10,113,17,2,3,23,3,4,10,154,3,246,9,19,28
"ID1",2,0,3,0,3,23,269,2,0,0,0,0,3,26,13,1,1,6,0,0,4,995,5,161,1,3,528
"BCL2L1",6,0,7,2,0,1,19,3,1,0,0,1,2,38,4,1,1,4,0,1,4,38,0,12,0,7,9
"TPX2",3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,11,0,0
"DUSP15",0,0,1,0,0,2,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
"PDRG1",4,0,3,0,1,2,30,2,0,0,0,1,10,26,0,2,0,3,0,0,1,28,0,14,1,5,13
"HCK",43,0,44,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TM9SF4",4,0,1,0,0,0,7,2,0,1,0,0,5,19,6,0,3,2,1,1,1,14,0,16,0,1,3
"PLAGL2",1,0,1,0,0,1,0,0,0,0,0,0,3,8,1,0,0,0,0,0,0,18,0,3,0,0,1
"POFUT1",2,0,0,0,0,1,9,0,1,0,0,0,2,1,0,1,0,1,0,0,1,37,0,1,0,0,2
"KIF3B",0,0,1,0,0,0,8,2,0,0,0,1,0,4,1,0,0,1,0,0,1,27,1,3,0,0,2
"ASXL1",5,1,2,3,1,2,14,2,1,0,1,0,5,28,10,0,3,8,0,0,4,39,2,13,2,1,12
"COMMD7",13,6,20,4,4,5,32,8,9,1,5,6,28,142,30,2,2,24,2,3,18,145,2,37,9,34,46
"MAPRE1",12,2,12,6,2,5,37,4,7,2,4,7,14,107,28,3,2,21,3,5,8,44,2,52,12,11,23
"RP5-1085F17.3",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,2,1,1,0
"CDK5RAP1",4,1,2,2,2,2,6,4,2,0,0,0,4,37,2,0,0,3,0,0,2,30,1,9,2,1,4
"SNTA1",1,0,0,0,0,0,2,2,1,0,1,0,1,9,1,0,0,1,0,0,0,0,0,0,1,2,0
"CBFA2T2",3,6,1,0,1,0,2,5,1,1,0,0,1,31,5,0,3,13,0,0,4,39,0,9,2,5,6
"NECAB3",2,1,0,0,0,1,5,0,0,0,0,0,0,3,0,0,0,1,0,0,0,27,0,14,0,0,0
"ACTL10",0,0,0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,1,0,0,0,2,0,1,0,0,0
"E2F1",2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,15,0,0,2,0,0
"PXMP4",3,0,1,0,1,0,5,1,1,0,0,0,1,6,3,0,0,1,0,0,1,21,0,4,3,2,4
"ZNF341",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,2,0,0,1
"CHMP4B",17,1,9,0,0,7,91,2,1,3,1,2,14,35,11,2,2,10,1,0,5,329,1,38,8,8,26
"RALY",34,21,29,5,4,3,91,19,6,2,0,1,35,135,53,2,4,36,7,3,16,428,2,93,24,21,45
"EIF2S2",26,6,29,1,5,8,73,14,11,2,4,15,36,168,35,4,7,49,4,1,16,252,1,134,14,24,71
"AHCY",21,0,8,0,0,4,29,2,0,0,0,1,5,16,2,1,1,6,1,0,3,205,0,20,3,3,6
"ITCH",0,0,2,1,0,0,4,0,0,0,0,0,2,0,1,0,1,1,0,0,0,11,0,2,0,0,1
"DYNLRB1",55,9,30,1,6,15,213,25,11,4,5,6,43,182,42,11,5,64,2,7,15,324,3,124,8,38,115
"MAP1LC3A",3,1,2,0,0,6,202,0,1,0,1,2,4,10,0,5,0,4,0,0,0,166,11,7,0,1,45
"PIGU",0,0,1,0,0,5,25,0,0,0,0,0,3,19,5,1,1,6,2,0,3,47,1,7,1,2,7
"NCOA6",1,1,0,0,0,0,5,0,1,0,0,0,1,3,1,0,0,2,0,0,1,19,0,1,0,0,2
"TP53INP2",1,0,1,0,0,1,3,1,0,0,0,0,1,1,0,1,0,0,0,0,0,30,1,3,0,2,5
"GGT7",0,0,0,0,0,2,12,0,0,0,0,0,2,7,0,3,0,2,0,0,0,17,0,4,0,0,1
"ACSS2",0,0,2,0,0,0,2,0,1,0,0,0,0,2,1,0,0,0,0,0,0,124,0,2,0,1,7
"GSS",5,2,2,0,0,1,18,2,2,0,0,0,6,24,1,2,0,5,0,0,1,205,0,2,7,0,3
"TRPC4AP",4,0,3,0,0,3,25,2,0,0,0,2,1,15,5,0,0,4,0,1,4,45,0,6,2,0,12
"EDEM2",14,0,6,0,0,2,63,9,0,2,1,4,12,43,8,1,4,10,0,1,1,57,0,79,2,0,6
"PROCR",2,0,1,0,0,0,877,0,0,0,0,3,1,2,1,9,0,0,0,0,0,0,0,4,0,0,29
"MMP24-AS1",27,1,23,2,0,5,106,8,5,1,1,2,22,89,11,1,3,14,1,1,8,246,0,26,5,11,29
"EIF6",36,10,45,0,3,2,151,15,9,0,4,2,40,146,41,3,4,38,4,7,13,774,0,41,16,29,78
"UQCC1",1,0,1,0,0,0,9,0,0,0,0,0,1,15,1,1,0,3,0,0,0,30,0,10,0,1,5
"CEP250",4,0,2,0,0,0,5,0,0,1,0,0,2,7,1,0,2,4,0,1,0,6,0,1,0,0,0
"RP3-477O4.14",3,1,1,0,2,0,1,0,1,0,1,2,5,16,4,0,0,5,1,0,1,0,0,8,0,1,0
"ERGIC3",26,7,33,3,8,2,227,6,6,4,7,3,34,140,33,7,6,40,5,2,7,544,0,159,11,23,53
"SPAG4",0,0,1,0,0,0,6,0,0,1,0,0,1,7,0,0,0,2,0,0,0,5,0,108,0,0,4
"CPNE1",11,11,15,5,3,3,68,11,4,1,3,1,25,101,40,3,4,16,2,3,8,69,2,45,5,6,16
"RBM12",1,1,3,0,1,0,3,0,0,0,0,1,6,13,2,0,2,2,1,1,0,21,0,0,1,2,3
"NFS1",1,1,1,1,0,1,6,0,0,0,0,0,4,6,4,0,2,1,1,0,1,40,0,2,0,3,4
"ROMO1",28,2,12,0,0,1,61,6,6,1,1,2,19,64,7,1,1,20,3,1,10,411,1,39,5,7,15
"RBM39",14,16,42,7,9,3,97,15,14,5,6,11,68,255,55,1,7,60,3,2,16,156,4,125,11,22,58
"PHF20",13,2,3,1,2,3,38,1,2,3,2,1,9,68,18,0,1,19,1,0,5,26,0,9,3,8,11
"SCAND1",82,5,45,5,6,10,177,19,10,4,3,5,44,173,34,12,8,39,6,0,24,508,1,105,14,34,119
"LINC00657",3,2,6,0,0,2,25,3,0,0,0,0,1,38,4,0,0,6,0,0,3,56,0,17,1,1,16
"EPB41L1",0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,0,0,0,0,0
"AAR2",6,0,4,0,1,0,19,0,0,2,0,0,4,12,4,0,0,3,1,0,0,24,0,4,0,1,11
"DLGAP4",7,2,2,0,1,0,15,0,1,0,0,0,7,13,3,2,4,5,0,1,2,27,1,10,2,4,7
"MYL9",0,0,3,1,0,32,456,0,0,0,0,1,5,1,1,121,0,0,0,0,0,0,27,15,0,0,61
"TGIF2",4,0,1,0,1,0,5,4,0,1,0,0,8,10,0,0,1,1,0,1,4,4,0,2,0,0,1
"C20orf24",52,11,39,1,5,8,57,11,3,1,2,8,30,158,36,0,8,35,1,7,11,386,0,81,16,26,46
"SLA2",1,4,0,3,1,0,0,12,4,3,0,0,2,66,16,0,0,8,1,0,5,1,0,2,11,4,0
"NDRG3",4,1,4,3,0,4,10,2,0,0,1,1,3,20,5,1,0,3,0,0,4,22,0,6,3,3,5
"DSN1",4,0,4,0,1,0,7,0,0,0,0,0,4,7,5,0,2,0,0,1,1,27,0,6,3,1,3
"SOGA1",2,0,2,0,0,0,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,9,0,2,0,0,0
"TLDC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0
"SAMHD1",39,3,56,1,4,6,58,6,2,2,0,0,1,56,11,1,0,16,2,1,5,10,1,4,6,8,7
"RBL1",2,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,1,1,0,0,2,2,0,1,0,1,0
"MROH8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RPN2",58,11,37,5,5,18,134,19,6,4,6,7,51,212,40,5,7,55,4,1,15,328,3,335,11,20,82
"MANBAL",8,1,2,0,0,3,63,0,0,1,0,1,4,24,9,3,1,8,0,0,3,92,1,26,0,4,16
"SRC",5,0,4,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,28,0,1,0,0,0
"BLCAP",4,0,10,3,3,0,16,4,3,0,0,0,22,32,13,0,1,11,0,1,2,66,1,17,3,5,6
"CTNNBL1",15,3,12,1,2,0,26,2,2,0,1,13,20,46,8,2,3,17,2,1,4,44,2,17,12,4,15
"TTI1",0,0,2,0,0,1,5,0,0,0,0,2,1,6,1,1,0,3,0,0,0,7,0,3,0,1,2
"RPRD1B",0,0,0,0,0,0,4,0,1,0,0,0,1,7,1,0,0,2,0,0,0,7,0,1,2,1,5
"TGM2",0,0,1,0,0,0,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"KIAA1755",0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RALGAPB",1,0,0,0,0,1,4,1,1,0,0,0,0,7,1,0,0,1,0,0,1,11,0,0,0,0,0
"ACTR5",3,0,0,0,0,1,5,3,0,0,1,0,5,7,1,0,0,5,0,0,0,8,0,5,0,0,0
"PPP1R16B",0,1,1,0,0,0,0,1,0,0,0,0,5,10,3,0,0,0,0,0,6,0,0,4,0,3,14
"FAM83D",0,1,1,0,1,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,21,0,2,9,1,0
"DHX35",0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
"MAFB",34,1,29,0,0,1,66,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,27
