"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Vascular ECs"
"AP006222.2",11,5,5,1,3,5,28,5,3,0,0,2,17,31,5,3,2,8,2,0,4,27,5,5,1,5,10
"RP11-206L10.9",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
"LINC00115",1,0,0,0,1,0,4,0,0,0,1,0,1,7,0,0,0,2,0,0,0,2,0,3,0,1,2
"FAM41C",2,2,1,0,1,0,1,1,0,0,0,0,5,5,1,0,1,1,0,1,1,5,0,0,0,1,0
"SAMD11",0,0,0,0,0,0,81,0,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0,3,0,0,0
"NOC2L",6,3,6,0,2,2,45,3,2,3,1,1,20,60,9,1,6,17,1,0,2,113,0,33,2,10,16
"KLHL17",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
"PLEKHN1",0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,1,0,0,4,0,0,0
"HES4",22,0,9,1,2,8,34,5,0,1,2,1,0,16,5,0,0,5,0,0,5,48,3,2,0,5,7
"ISG15",392,45,232,83,33,50,529,74,37,4,14,17,66,941,176,19,5,97,13,9,59,116,17,342,42,222,389
"AGRN",1,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,6
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"C1orf159",1,0,2,0,0,0,7,1,0,0,0,0,3,6,3,0,1,0,0,0,2,20,0,3,0,3,0
"RP11-465B22.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5
"TNFRSF18",0,3,0,1,3,0,3,20,3,1,11,0,2,73,18,0,0,5,0,5,7,0,0,152,2,82,3
"TNFRSF4",3,0,0,1,3,2,3,3,11,2,6,1,2,113,14,0,0,25,1,1,5,1,0,87,2,89,117
"SDF4",22,4,12,5,4,3,123,9,5,3,2,2,24,103,14,3,2,14,2,0,9,241,1,134,5,10,62
"B3GALT6",4,0,4,0,0,0,8,2,1,0,0,0,4,5,0,0,0,2,0,0,0,10,0,0,0,0,3
"FAM132A",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,30,0,0,0,0,4
"UBE2J2",17,6,6,1,2,4,54,2,2,0,1,0,14,71,9,2,2,17,1,0,7,99,0,34,7,10,14
"ACAP3",1,0,1,0,0,0,4,0,0,0,0,0,2,10,1,0,0,0,0,0,1,15,0,5,1,2,2
"PUSL1",0,0,3,1,1,0,20,1,0,0,0,0,4,13,9,0,1,3,1,0,2,56,0,8,4,5,2
"CPSF3L",9,2,5,0,3,1,49,7,4,1,1,0,15,67,9,1,1,12,1,2,5,130,1,11,5,6,17
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
"DVL1",0,0,2,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,0,2,0,1,6
"MXRA8",0,0,0,0,0,13,195,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,3,1,0,0,0
"AURKAIP1",74,19,57,7,7,14,156,21,7,7,1,4,54,193,44,5,2,62,9,1,22,1231,3,202,22,28,98
"CCNL2",7,1,3,0,1,1,31,8,1,4,2,2,18,29,2,1,1,5,2,2,2,57,0,19,0,6,19
"MRPL20",44,13,37,1,5,10,97,16,10,3,2,11,55,198,37,4,4,53,7,5,29,420,1,132,13,22,49
"ANKRD65",2,0,0,0,0,0,29,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,53
"VWA1",0,0,0,0,0,9,21,0,0,0,0,0,1,0,0,2,0,0,0,0,0,13,0,1,0,0,171
"ATAD3C",1,1,3,0,0,0,3,0,0,0,0,0,2,3,1,0,0,3,0,0,3,1,0,12,0,0,2
"ATAD3B",2,0,1,0,0,0,3,0,0,0,0,0,2,7,5,0,0,4,0,0,1,35,0,3,2,0,3
"ATAD3A",2,0,3,0,0,1,4,0,0,0,0,0,1,8,3,0,1,0,0,1,0,52,0,1,1,0,3
"SSU72",31,13,28,3,7,10,126,16,10,1,8,3,46,227,57,1,11,61,3,6,19,342,2,89,7,43,54
"AL645728.1",1,0,0,0,0,1,1,0,0,0,1,0,3,8,0,0,0,1,0,0,1,0,0,1,0,0,0
"C1orf233",2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0
"RP11-345P4.9",0,1,0,0,0,1,11,0,0,0,0,0,2,3,2,0,0,4,0,0,0,5,0,1,0,0,0
"MIB2",3,4,0,1,1,1,13,4,1,1,3,2,8,55,19,0,0,10,1,3,3,64,0,22,1,5,11
"MMP23B",0,1,0,0,0,1,105,1,0,0,0,1,1,5,3,5,0,2,0,1,3,1,0,1,0,0,0
"CDK11B",3,0,4,0,0,1,6,0,0,0,0,0,1,9,2,0,0,2,0,0,2,40,1,8,2,1,1
"SLC35E2B",2,1,2,0,1,2,18,3,0,0,0,1,2,19,1,0,1,4,0,0,0,38,0,4,0,0,2
"CDK11A",1,1,0,0,1,0,2,1,0,1,0,0,2,5,1,0,1,4,0,0,3,7,0,2,0,0,2
"SLC35E2",0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0
"NADK",26,0,13,0,0,0,10,1,0,0,0,0,6,10,0,1,0,3,0,0,1,68,0,6,1,1,6
"GNB1",20,1,16,0,0,0,22,3,0,0,0,0,5,39,5,2,1,7,0,0,2,121,0,13,3,4,21
"RP1-140A9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"TMEM52",0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,14,0,12,0,0,0
"PRKCZ",0,0,0,0,1,0,7,2,0,0,1,0,2,11,3,1,0,3,0,0,3,68,1,1,2,3,5
"RP5-892K4.1",0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
"SKI",6,0,3,0,2,0,20,2,0,0,1,0,1,10,6,3,0,1,1,0,2,15,0,0,0,0,4
"MORN1",0,0,0,0,0,0,5,0,0,0,0,0,2,2,1,0,0,0,0,0,0,6,0,0,0,0,3
"RER1",52,8,45,12,7,13,130,12,6,5,4,6,34,203,36,2,4,53,2,5,19,508,0,163,25,34,47
"PEX10",1,0,2,0,1,2,22,1,0,1,1,0,3,9,2,0,0,0,0,0,1,25,0,10,1,2,5
"PLCH2",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,1,0,0,0
"PANK4",3,3,0,0,1,1,9,4,2,0,0,1,1,8,2,0,1,4,2,1,2,16,0,4,2,2,4
"RP3-395M20.12",23,1,5,1,2,1,0,3,5,1,0,0,3,22,1,0,0,6,0,0,3,23,0,6,1,5,2
"RP3-395M20.8",1,0,1,1,0,0,1,4,0,0,0,0,2,0,3,1,1,2,0,0,2,32,0,6,0,0,2
"TNFRSF14",37,7,28,5,7,2,76,17,9,1,0,4,44,130,18,2,6,40,2,0,8,153,0,80,5,28,22
"RP3-395M20.9",0,0,0,1,1,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,8,0,4,0,1,0
"FAM213B",4,0,1,0,0,0,3,1,0,0,2,0,3,16,4,0,1,2,0,1,0,85,0,6,0,3,6
"MMEL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,6
"ARHGEF16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,56,0,0,0,0,0
"MEGF6",1,0,0,0,0,1,2,0,0,0,0,1,0,1,1,0,0,3,0,0,1,0,0,0,0,0,1
"TPRG1L",2,0,0,0,0,0,10,1,1,0,0,0,1,8,3,1,0,1,0,0,1,61,0,5,0,0,3
"WRAP73",3,4,5,0,3,1,15,3,3,1,1,2,10,28,6,1,1,8,2,2,5,20,0,19,3,3,6
"TP73-AS1",1,2,1,0,0,1,8,1,0,1,0,0,3,3,0,0,1,0,1,0,0,1,0,3,0,1,2
"SMIM1",0,0,0,0,0,0,11,2,0,0,0,1,2,2,1,0,0,1,0,0,1,1,0,10,0,0,1
"LRRC47",4,1,6,5,0,0,10,4,0,0,0,0,10,25,4,1,0,3,0,0,3,44,1,10,1,1,9
"CEP104",1,0,5,0,0,1,6,0,0,0,1,2,2,12,3,0,1,2,0,0,1,16,0,8,0,0,5
"DFFB",1,0,0,0,0,0,1,0,1,0,0,0,3,13,1,0,0,1,0,0,0,9,0,3,2,0,0
"C1orf174",3,2,5,0,0,0,9,0,0,1,0,3,8,11,3,1,1,7,0,2,1,27,0,8,1,3,3
"NPHP4",2,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,1,0,0,0
"KCNAB2",8,8,9,0,3,0,2,4,1,0,1,2,3,38,3,0,1,15,2,2,5,0,0,9,2,6,1
"RPL22",181,65,256,15,42,16,790,114,72,20,18,33,471,1595,267,25,62,513,67,22,152,2555,5,481,56,210,241
"RP1-120G22.11",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RNF207",0,0,0,0,0,0,6,0,0,0,0,0,0,2,1,0,2,2,0,0,2,10,0,2,0,2,2
"ICMT",3,0,2,2,0,2,8,0,1,1,0,0,2,15,2,2,0,1,0,0,0,43,0,1,3,1,5
"ACOT7",5,1,5,0,0,1,16,5,1,0,3,2,0,19,1,1,0,0,0,0,1,242,0,3,18,4,4
"RP1-202O8.3",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0
"HES2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0
"ESPN",0,0,0,0,0,1,0,0,0,0,1,0,0,4,2,0,0,0,0,0,0,102,0,0,0,0,0
"TNFRSF25",0,1,0,0,5,0,0,1,11,1,7,0,1,137,17,0,0,22,1,0,5,7,0,1,4,18,1
"PLEKHG5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2
"NOL9",0,0,2,0,0,0,3,0,0,0,1,0,1,7,2,0,0,3,0,0,2,13,0,1,0,0,3
"ZBTB48",5,0,4,0,0,0,11,1,0,1,0,5,7,15,4,1,2,3,3,0,0,16,0,6,1,1,1
"KLHL21",2,0,0,0,0,2,9,0,0,0,0,0,1,11,1,0,0,1,0,1,2,6,0,4,0,0,1
"PHF13",0,0,0,0,0,0,4,0,0,0,0,0,0,3,1,0,0,1,0,0,0,5,0,4,2,0,1
"THAP3",3,1,7,0,1,0,23,0,0,0,0,0,6,15,6,1,2,2,0,1,1,22,0,9,0,4,7
"DNAJC11",2,0,1,0,0,0,5,0,0,0,0,0,1,6,2,1,0,1,0,0,2,49,0,5,2,1,3
"RP11-312B8.1",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0
"CAMTA1",15,0,11,2,2,3,79,4,2,1,4,2,10,55,9,2,0,15,0,2,3,341,3,44,6,7,92
"VAMP3",9,0,2,0,0,2,35,2,1,0,0,1,6,31,4,1,1,8,2,0,2,57,0,6,3,3,44
"PER3",0,0,0,0,0,0,5,0,0,0,0,1,1,2,0,1,0,1,0,1,0,3,0,0,0,0,4
"UTS2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3,0
"TNFRSF9",2,0,0,1,2,0,0,0,0,0,0,0,1,2,6,0,0,2,0,5,0,0,0,0,0,7,0
"PARK7",184,36,122,10,24,20,534,50,23,10,8,20,123,548,133,19,22,142,13,15,54,1099,5,269,56,107,193
"ERRFI1",2,1,0,0,1,1,3,0,0,0,0,0,1,7,2,0,0,3,0,0,0,6,0,1,0,2,3
"SLC45A1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2
"RERE",2,0,5,0,1,0,23,0,0,0,1,1,2,13,0,2,0,4,0,0,1,61,0,5,1,1,8
"ENO1",130,33,151,10,25,26,197,56,31,9,23,15,78,628,123,13,15,125,8,20,65,1260,2,72,100,111,110
"ENO1-AS1",0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,6,0,3,0,0,1
"SLC2A5",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,3,0,0,0
"GPR157",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0
"H6PD",0,0,2,0,0,1,19,0,0,0,0,1,1,5,4,0,0,0,0,1,0,33,0,0,0,1,7
"SPSB1",0,0,0,0,0,1,8,0,0,0,0,1,4,2,2,3,2,1,0,0,0,14,0,1,2,3,1
"SLC25A33",2,1,5,1,0,1,4,0,1,0,1,1,7,9,4,1,0,1,1,0,0,67,1,10,1,0,5
"TMEM201",1,0,1,0,0,1,2,0,0,0,0,0,1,3,0,0,0,1,0,1,0,7,0,0,1,0,0
"PIK3CD",4,0,3,0,1,1,2,2,2,1,0,1,4,34,5,0,1,3,1,2,3,0,0,1,0,9,1
"CLSTN1",1,2,4,3,2,1,27,3,1,1,1,0,3,28,5,1,0,10,1,2,4,77,0,6,5,5,21
"CTNNBIP1",14,0,10,0,1,1,12,6,0,0,0,2,9,22,4,0,0,3,0,1,4,77,0,18,2,3,27
"LZIC",6,0,14,0,1,3,10,7,0,0,0,4,3,42,4,0,2,5,0,0,3,37,0,2,1,5,7
"NMNAT1",2,0,1,0,0,0,4,0,1,0,0,0,6,4,2,0,0,1,0,0,1,25,0,3,0,3,5
"RBP7",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,41
"UBE4B",0,0,2,1,0,0,4,0,0,0,0,0,2,11,1,0,0,2,0,0,0,12,0,7,1,0,2
"KIF1B",3,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,30,0,1,0,0,0
"PGD",25,0,15,0,0,0,19,6,0,0,0,4,11,15,1,1,2,2,1,0,1,123,0,12,2,1,5
"APITD1",2,0,3,1,0,1,9,0,0,0,0,0,0,7,0,0,0,1,0,0,0,52,0,4,1,0,8
"DFFA",11,1,3,0,0,1,26,4,0,0,0,0,9,16,2,0,4,5,2,1,2,55,1,14,1,2,22
"PEX14",1,0,1,0,0,1,11,0,0,0,1,0,4,8,1,0,0,5,2,0,3,11,1,9,1,3,1
"CASZ1",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,17,0,1,0,0,2
"TARDBP",3,1,4,2,3,1,19,1,1,0,1,2,18,43,7,1,2,12,0,0,4,79,0,17,1,3,10
"RP4-635E18.8",0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,1,0,0,0,3,0,0,0,0,1
"SRM",27,2,22,0,2,7,51,13,2,1,1,0,28,75,13,2,2,18,4,10,11,79,0,140,10,11,34
"EXOSC10",6,1,1,0,0,0,12,2,1,0,1,0,8,10,3,1,1,6,0,0,0,34,0,4,3,2,6
"MTOR",2,0,2,0,1,0,6,0,0,0,0,0,1,4,2,0,0,1,0,0,0,21,0,4,0,0,5
"UBIAD1",5,0,2,0,0,2,6,0,3,1,0,0,9,31,6,0,2,15,0,0,1,32,0,11,1,2,5
"FBXO2",0,4,0,0,0,0,8,1,0,0,0,0,0,7,2,0,2,2,1,1,1,0,0,5,0,0,2
"FBXO44",2,0,4,2,0,1,12,0,2,0,0,0,6,27,4,2,1,6,0,0,2,1,0,12,0,1,3
"FBXO6",25,8,15,2,3,2,18,9,0,0,0,1,5,23,13,0,2,2,1,1,0,22,1,18,6,4,4
"MAD2L2",9,2,20,2,4,0,63,12,3,2,0,2,16,53,13,1,3,10,0,1,12,20,0,40,5,11,18
"AGTRAP",19,2,8,2,2,5,81,4,1,0,0,6,12,33,15,4,2,12,0,1,3,65,0,3,6,5,33
"C1orf167",0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"MTHFR",4,0,2,2,0,0,15,1,0,0,1,0,0,5,1,0,0,1,0,0,2,13,0,5,0,0,5
"CLCN6",1,2,0,0,0,1,2,1,0,0,0,0,1,2,1,1,1,0,0,0,0,9,0,2,0,4,2
"KIAA2013",0,0,0,0,1,2,11,0,0,0,0,0,2,3,2,1,0,0,0,0,0,84,0,6,2,0,2
"PLOD1",6,0,3,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,17
"MFN2",5,0,0,0,0,2,3,0,1,0,1,0,2,3,0,0,0,1,0,0,1,37,0,2,1,0,4
"MIIP",4,1,8,0,1,4,15,1,2,2,1,2,11,38,5,2,4,4,3,0,1,24,1,14,6,6,5
"TNFRSF1B",15,4,21,2,5,0,11,2,6,0,0,0,11,61,14,0,0,8,0,2,3,3,0,1,4,22,9
"VPS13D",0,1,1,0,0,0,9,2,0,0,0,0,1,12,1,0,0,2,0,0,1,27,0,2,1,0,1
"DHRS3",15,0,4,1,1,4,12,1,2,0,0,0,0,15,3,1,0,6,0,2,4,60,1,0,1,2,18
"PDPN",0,0,0,0,0,5,74,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"PRDM2",4,0,0,0,0,1,7,1,0,1,0,1,7,8,10,0,0,4,0,0,0,12,0,11,0,0,2
"KAZN",0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4
"TMEM51",10,0,5,0,0,0,21,0,0,0,0,0,1,5,0,0,0,0,0,0,0,25,0,1,0,0,2
"EFHD2",44,0,37,1,4,0,19,2,2,0,0,0,9,28,6,0,0,4,0,2,4,157,0,5,6,6,2
"CASP9",0,0,2,0,0,0,4,2,0,0,0,1,2,6,2,0,0,2,0,0,2,15,0,2,1,0,4
"DNAJC16",0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,10,0,0,0,0,0
"AGMAT",0,0,0,0,0,0,1,2,0,0,0,0,6,2,0,0,0,3,0,0,1,88,0,4,0,3,0
"DDI2",1,2,1,0,0,0,5,0,0,0,0,0,1,4,3,0,1,1,0,0,1,13,0,0,0,1,0
"PLEKHM2",8,0,3,0,0,0,13,4,1,0,1,0,1,5,0,0,0,1,0,0,0,19,0,4,0,1,2
"SLC25A34",0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,17,0,0,0,0,0
"TMEM82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,0,0,0,0,0
"FBLIM1",0,0,1,0,0,0,77,0,1,0,0,0,0,2,1,2,0,0,0,0,0,77,0,2,0,0,0
"SPEN",1,0,2,0,0,0,4,0,1,0,1,0,1,5,1,0,1,3,0,0,0,8,0,5,1,2,4
"ZBTB17",3,0,3,0,1,1,10,2,0,1,0,0,4,12,6,1,0,3,0,0,0,14,0,6,0,0,5
"EPHA2",0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3
"ARHGEF19",4,0,0,0,0,0,2,1,1,0,0,0,2,6,1,0,0,1,0,0,2,7,0,5,2,0,1
"RSG1",0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,3,0,0,0,4,0,1,0,1,2
"FBXO42",1,0,1,0,0,0,6,0,0,0,0,0,3,8,2,0,0,3,0,1,1,11,0,3,2,0,1
"SZRD1",16,2,8,0,2,1,36,11,0,1,1,0,14,61,7,1,2,10,0,2,5,74,1,18,7,9,20
"NECAP2",23,7,7,1,5,2,21,6,10,0,4,1,32,112,15,2,3,40,1,1,9,58,0,17,4,12,52
"RP4-798A10.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
"NBPF1",4,0,1,0,0,0,8,0,0,0,0,0,2,10,2,0,0,2,0,2,0,40,0,0,0,0,3
"CROCC",1,0,2,0,1,0,3,0,1,0,1,0,0,8,2,0,0,0,0,0,0,4,1,2,2,0,3
"RP11-108M9.4",7,0,3,0,0,0,15,0,1,0,0,1,3,4,2,0,3,3,0,0,1,30,0,3,0,0,12
"RP11-108M9.6",0,0,2,1,0,0,6,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,0,2,0,1,0
"MFAP2",0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"ATP13A2",8,0,3,0,0,0,2,0,0,2,0,0,0,13,2,0,0,2,0,0,2,28,0,2,0,1,12
"SDHB",64,5,41,1,6,6,77,4,8,3,0,6,37,104,18,4,3,41,1,3,9,730,4,52,17,17,66
"PADI2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0
"PADI4",0,0,0,0,0,0,0,3,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"RCC2",7,0,3,0,0,0,9,0,0,0,0,1,5,10,5,1,2,3,0,0,0,43,0,3,3,0,4
"ARHGEF10L",1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,1,0,1
"ALDH4A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"IFFO2",0,0,0,0,0,0,1,0,0,0,0,1,3,3,1,0,0,1,0,0,1,2,0,1,1,0,3
"UBR4",5,0,1,1,0,3,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,15,0,3,0,0,1
"RP1-43E13.2",1,0,1,0,0,0,2,0,0,0,0,1,0,8,0,0,0,0,0,0,0,5,0,8,0,1,1
"EMC1",3,1,0,1,0,1,8,1,0,1,1,0,2,7,0,1,1,0,0,0,2,21,0,3,0,0,4
"MRTO4",5,0,7,1,1,1,21,1,2,1,0,2,14,22,2,2,2,9,1,1,0,68,2,8,3,1,10
"AKR7A3",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,379,0,1,0,0,0
"AKR7A2",15,1,25,0,3,2,166,8,3,1,3,1,12,65,12,6,1,14,3,1,7,468,1,43,7,8,30
"PQLC2",3,0,4,0,0,2,8,1,0,0,0,0,5,1,0,0,0,2,0,0,0,17,0,4,0,0,2
"CAPZB",210,23,117,15,17,13,389,50,26,13,7,14,83,564,102,18,11,118,12,14,40,383,6,76,57,69,144
"MINOS1",80,6,31,3,7,3,192,17,12,8,4,9,51,245,46,13,7,75,5,2,25,1283,3,66,18,23,50
"NBL1",0,5,0,0,2,1,387,5,1,1,3,0,0,53,8,17,0,6,2,0,5,502,5,0,0,1,15
"TMCO4",2,1,3,0,0,0,5,0,0,0,0,0,2,10,0,0,0,1,0,0,0,13,0,6,0,0,1
"RNF186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0
"RP11-91K11.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"OTUD3",0,0,0,0,1,0,0,1,0,1,0,0,0,3,0,0,1,0,0,0,0,11,0,1,0,0,0
"PLA2G2A",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,533,0,0,0,0,0
"PLA2G2D",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"UBXN10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"CAMK2N1",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,121,0,0,0,0,0
"MUL1",5,0,1,0,0,0,14,1,0,2,0,1,9,20,3,0,2,4,0,0,1,28,0,6,4,2,11
"CDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,17
"PINK1",3,0,1,0,0,3,12,0,0,0,0,0,0,3,1,0,0,3,0,1,0,47,0,13,0,0,15
"PINK1-AS",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,1
"DDOST",35,8,34,4,4,7,125,10,5,6,2,1,36,156,44,8,8,36,2,0,22,328,1,257,13,31,43
"HP1BP3",5,3,4,1,0,2,27,6,0,2,3,3,10,28,5,0,0,7,2,0,7,64,1,16,1,7,15
"EIF4G3",2,0,1,0,0,0,6,0,0,0,0,0,2,5,3,0,0,1,0,0,0,30,1,1,0,2,2
"ECE1",0,0,0,1,2,2,29,1,0,1,0,0,1,7,4,0,1,5,0,1,1,42,1,10,0,0,33
"NBPF3",0,1,1,0,0,0,5,0,0,0,0,0,1,2,1,0,0,0,0,0,0,2,0,0,0,0,2
"ALPL",0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8
"RAP1GAP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
"USP48",8,1,5,1,1,1,14,1,1,0,0,1,12,28,6,0,1,2,0,1,0,46,0,36,1,2,6
"LDLRAD2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"HSPG2",0,0,0,0,0,7,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27,0,0,0,0,112
"CELA3B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"CELA3A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"LINC00339",2,1,1,0,1,0,11,1,2,0,0,1,4,13,0,1,0,6,2,1,0,11,0,4,0,1,6
"CDC42",19,6,26,2,2,3,51,7,9,1,2,2,25,103,25,1,0,28,2,4,16,170,1,28,19,21,22
"WNT4",0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0
"ZBTB40",1,0,0,0,0,2,3,0,1,0,0,0,2,4,1,0,0,0,0,0,0,7,0,4,0,0,2
"C1QA",3788,1,1321,0,0,1,21,2,2,0,0,0,3,27,8,0,0,8,0,1,2,3,0,19,0,4,11
"C1QC",2827,0,844,1,0,2,14,1,0,0,0,0,1,20,10,0,0,1,0,0,0,0,0,10,0,1,10
"C1QB",3092,0,787,0,0,1,20,3,1,0,0,1,2,15,3,1,0,3,0,0,0,2,0,16,0,2,3
"EPHB2",12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0
"KDM1A",2,2,1,0,0,1,20,0,0,0,0,0,3,4,1,0,2,3,0,0,0,59,0,2,0,0,5
"LUZP1",4,0,0,0,2,0,14,0,0,1,0,0,1,24,5,0,1,3,0,0,3,41,0,1,1,3,16
"HNRNPR",15,7,13,4,4,9,67,8,1,3,2,5,22,119,27,1,6,32,2,2,11,160,2,37,14,17,30
