"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Proliferative Bcells","Regulatory CD4 Tcells","Vascular ECs"
"NIPAL3",5,2,6,1,0,1,13,2,1,0,3,18,7,0,0,4,0,253,0,4,6,3,3
"RCAN3",3,4,4,1,1,1,11,0,2,1,2,73,24,0,0,10,4,60,0,4,4,9,0
"RP4-594I10.3",0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,1,0
"NCMAP",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
"SRRM1",38,4,28,3,3,1,226,10,4,5,21,60,36,6,11,12,6,899,2,20,49,5,19
"CLIC4",6,0,2,0,0,10,82,0,0,0,2,1,1,11,3,1,0,32,0,29,63,0,54
"RUNX3",35,4,22,6,5,0,0,14,1,0,5,56,46,0,1,3,10,0,0,3,17,2,1
"SYF2",62,19,45,7,10,12,548,23,3,7,45,142,89,32,28,28,17,1544,4,47,87,19,52
"RP3-465N24.6",2,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0
"TMEM50A",102,17,45,11,2,11,514,28,5,6,15,167,90,22,8,23,20,1344,6,25,33,18,92
"TMEM57",13,1,5,0,1,0,38,4,0,1,0,10,6,1,3,2,2,152,0,9,4,1,7
"LDLRAP1",3,3,0,1,0,2,26,0,0,0,2,25,8,0,0,3,2,298,0,6,0,4,4
"RP11-70P17.1",0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,1,0,10,0,0,1,0,1
"MAN1C1",2,0,0,1,0,0,44,0,0,0,1,4,0,0,0,1,0,0,1,0,0,0,5
"RP1-187B23.1",0,1,0,1,0,0,9,0,0,0,0,17,4,0,0,0,0,0,0,0,0,0,1
"SEPN1",14,0,2,0,0,2,42,0,0,0,0,3,0,3,0,0,0,155,0,0,0,0,31
"MTFR1L",10,2,11,0,1,3,158,1,0,4,1,6,11,6,1,0,2,336,2,3,9,3,16
"AUNIP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,4,0,0
