"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Proliferative Bcells","Regulatory CD4 Tcells","Vascular ECs"
"TSNAX",3,0,12,0,0,2,101,5,3,0,10,17,16,1,2,6,4,190,2,9,21,1,12
"LINC00582",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,20,0,0,0
"DISC1",4,0,5,0,0,0,4,1,0,0,0,4,0,0,0,1,0,22,0,0,0,0,2
"SIPA1L2",8,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,3
"MAP10",1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,9,0,0,7,1,0
"NTPCR",17,2,10,0,2,0,163,5,0,1,5,15,10,7,1,3,0,1000,0,1,11,3,32
"PCNXL2",2,3,2,0,0,0,2,0,0,0,1,7,0,0,0,0,1,47,0,0,0,0,0
"KCNK1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0
"RP5-827C21.4",4,0,2,0,0,1,19,0,0,0,0,4,3,0,1,1,0,45,0,3,2,2,1
"COA6",47,1,18,0,0,0,78,9,1,3,2,31,13,4,4,1,3,1180,1,8,40,2,11
"TARBP1",9,0,5,0,0,2,5,3,0,0,1,3,0,0,0,2,0,223,0,0,0,2,3
"IRF2BP2",23,2,31,0,5,0,76,2,0,0,10,46,11,1,3,12,3,981,0,11,11,3,14
"RP11-443B7.1",4,0,1,0,0,0,5,0,0,0,0,0,0,2,0,0,0,124,0,0,0,0,0
"TOMM20",90,10,42,2,5,7,242,12,8,2,27,107,57,5,16,25,6,2017,4,37,54,16,49
"RBM34",1,2,0,0,1,0,3,1,1,0,0,7,3,0,4,2,0,40,0,2,3,1,1
"ARID4B",19,8,24,1,4,4,211,15,2,2,13,75,40,1,9,10,3,267,0,10,44,3,30
"GGPS1",11,1,12,4,1,4,120,9,3,1,7,29,20,6,2,10,1,249,3,6,17,4,26
"TBCE",4,0,4,0,0,1,27,0,0,3,3,5,1,0,0,0,1,154,2,1,0,0,1
"B3GALNT2",1,0,6,2,0,0,23,0,0,0,0,4,3,2,0,0,0,60,0,2,1,1,1
"GNG4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0
"LYST",7,4,25,1,3,1,62,5,0,0,3,20,9,1,6,1,3,86,1,3,4,4,7
"NID1",1,0,1,0,0,0,113,0,0,0,0,1,0,3,0,0,0,0,1,1,0,0,4
"GPR137B",64,1,17,2,1,4,141,4,0,2,2,12,9,5,2,2,2,18,0,1,10,8,3
"EDARADD",3,1,5,0,0,0,10,0,0,0,0,12,4,0,1,0,1,58,0,0,4,0,0
"LGALS8",17,1,9,1,1,0,32,5,0,0,2,20,7,0,0,8,0,185,0,5,5,2,8
"HEATR1",1,0,0,0,0,0,10,1,0,0,0,7,3,0,1,2,2,63,0,1,1,0,2
"MTR",5,1,3,0,0,0,29,0,0,0,0,6,3,0,0,1,1,81,1,0,1,2,1
"MTRNR2L11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
"RP11-544D21.2",0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,7,0,0,0,0,0
"CHRM3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0
"CHRM3-AS2",0,1,0,0,1,0,0,6,2,0,0,27,10,0,0,6,1,1,0,0,0,5,0
"GREM2",0,0,0,0,0,0,9,0,0,0,0,1,0,7,0,0,0,5,0,0,0,0,0
"FH",15,1,9,0,0,1,72,1,1,2,3,13,10,4,2,4,0,1144,0,9,21,1,5
"KMO",4,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,5,0,0
"OPN3",4,0,9,0,0,0,6,0,0,0,2,6,1,0,1,0,1,123,0,3,2,0,0
"CHML",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,29,0,0,0,0,0
"EXO1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,3,0,1
"CEP170",7,0,7,0,0,0,20,0,0,1,2,3,0,0,1,0,1,11,0,3,3,1,4
"SDCCAG8",21,0,14,0,0,0,86,2,0,6,6,9,4,0,1,3,3,318,0,6,3,2,21
"AKT3",1,0,0,0,0,0,14,0,0,0,1,2,1,0,1,0,0,0,0,3,0,0,4
"ZBTB18",1,0,6,0,0,0,3,0,0,0,0,0,0,0,1,0,0,85,0,1,0,0,1
"ADSS",4,4,8,1,0,1,77,2,5,1,6,42,33,7,5,9,7,294,0,13,14,6,13
"DESI2",11,1,5,0,0,0,107,1,1,0,0,12,6,6,3,0,3,237,0,6,14,0,5
"COX20",45,12,15,1,2,1,174,10,2,3,8,72,43,4,5,9,4,1372,2,16,25,7,6
"HNRNPU-AS1",2,0,3,1,0,1,20,0,0,0,0,6,0,0,0,1,0,50,0,4,6,1,1
"HNRNPU",43,7,47,2,4,2,201,13,3,8,8,68,37,1,16,12,11,971,2,24,70,6,15
"EFCAB2",7,1,4,0,1,0,58,0,1,2,1,4,1,0,0,1,0,126,1,8,5,0,2
"SMYD3",11,0,0,0,0,2,68,3,1,3,0,14,2,3,1,1,0,129,0,5,6,6,6
"TFB2M",4,1,3,0,0,0,41,2,0,0,3,8,5,1,3,0,0,265,0,4,6,0,1
"CNST",4,1,3,0,1,4,18,2,0,0,0,9,4,2,1,3,0,84,0,0,4,3,3
"RP11-439E19.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"RP11-439E19.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
"SCCPDH",24,1,12,0,0,8,82,4,0,1,3,2,8,1,1,3,1,775,0,4,8,1,5
"AHCTF1",3,0,1,0,0,0,13,0,0,0,1,9,1,0,0,0,0,63,0,0,2,0,8
"ZNF695",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
"ZNF670",1,1,0,0,0,2,11,0,0,2,0,1,1,0,0,0,0,24,0,3,2,0,1
"ZNF669",3,0,4,1,0,0,8,3,1,0,0,4,6,0,3,0,1,33,0,4,7,0,0
"ZNF124",5,1,7,1,0,0,4,2,0,0,2,4,2,0,2,3,1,106,0,1,4,0,2
"RP11-488L18.10",0,0,1,0,0,0,1,3,0,0,1,0,0,0,0,0,0,50,0,0,0,0,0
"ZNF496",3,0,3,0,0,0,28,0,0,0,0,1,2,1,0,1,0,81,0,0,1,0,0
"NLRP3",8,0,13,0,2,0,0,0,0,1,2,7,3,0,0,2,2,0,0,0,0,0,0
"TRIM58",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,15,0,0,0,0,0
"LYPD8",1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,3034,0,0,0,0,0
"SH3BP5L",2,1,1,0,0,0,10,0,0,0,0,2,2,1,0,0,0,103,1,2,0,0,4
"ZNF672",19,1,10,0,1,2,26,3,0,1,6,21,10,3,4,1,0,212,0,1,13,1,2
"ZNF692",1,0,2,0,0,0,15,0,0,0,2,5,4,0,1,1,0,175,0,3,11,0,1
"PGBD2",1,0,0,0,0,0,13,2,0,0,0,1,1,2,2,1,1,50,0,2,11,0,2
"FAM110C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0
"SH3YL1",8,1,3,3,0,0,155,3,1,0,5,23,14,2,4,3,2,1103,0,2,2,4,13
"ACP1",64,9,27,1,2,12,527,26,4,1,14,90,58,5,22,12,6,1727,1,41,99,12,38
"FAM150B",0,0,2,0,0,1,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMEM18",27,5,6,0,1,1,162,3,2,2,6,33,13,5,9,5,4,622,0,19,27,2,25
"PXDN",0,0,0,0,0,0,165,0,0,0,0,0,0,6,0,0,0,3,0,0,1,1,13
"TSSC1",17,3,9,1,0,1,47,6,0,0,5,39,17,3,7,5,2,328,0,9,36,3,6
"TRAPPC12",6,1,5,1,0,0,38,1,0,0,2,3,3,1,2,0,0,235,0,6,1,2,4
"TRAPPC12-AS1",0,0,0,1,0,0,4,0,0,0,1,2,0,0,0,1,0,12,0,1,0,0,0
"ADI1",96,8,27,1,7,5,558,8,7,6,2,95,20,12,7,17,7,2187,5,42,36,12,47
"AC142528.1",0,2,0,0,1,0,5,1,0,0,2,3,0,0,1,0,0,6,0,0,1,1,1
"AC108488.4",1,0,1,0,0,2,14,0,0,0,0,0,0,1,0,0,0,6,0,1,0,0,5
"RNASEH1",21,2,3,0,0,0,52,3,0,1,6,17,7,1,3,3,2,226,0,4,23,2,9
"RPS7",1400,333,1375,146,140,51,8186,448,169,91,748,3741,1513,181,538,678,333,51390,41,972,1587,344,494
"COLEC11",0,0,0,0,0,0,250,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1
"CMPK2",5,0,4,0,1,0,5,0,0,1,1,4,1,0,0,1,0,19,0,0,8,0,7
"RSAD2",0,0,1,0,0,0,5,1,0,1,0,3,3,0,0,0,0,17,0,0,2,0,6
"RNF144A",0,0,1,0,0,0,12,0,3,0,0,5,0,0,0,0,0,23,0,0,0,0,2
"AC092580.4",2,12,0,3,1,0,1,51,10,0,0,146,134,0,0,4,10,1,0,0,0,2,0
"AC011747.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
"ID2",128,92,85,40,16,21,770,149,45,22,1,802,540,7,1,41,85,2338,2,10,40,23,125
"KIDINS220",3,0,7,0,0,0,41,2,0,0,0,15,4,1,3,2,0,145,0,1,1,1,13
"MBOAT2",3,0,0,0,0,3,28,0,0,0,0,1,0,1,0,0,1,129,0,0,2,0,0
"ASAP2",3,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0
"ITGB1BP1",57,11,31,4,3,16,314,20,6,6,7,88,48,18,6,12,15,538,1,14,49,11,30
"CPSF3",10,1,7,0,0,0,49,4,0,0,0,7,6,3,0,2,1,275,0,1,14,6,6
"IAH1",58,4,29,4,0,9,276,7,3,1,9,72,27,9,9,9,6,699,3,14,31,5,8
"ADAM17",7,0,4,1,0,0,15,1,0,0,0,3,1,2,3,0,0,43,1,1,7,0,3
"RP11-214N9.1",0,0,0,0,0,0,7,0,0,0,1,1,0,0,0,0,0,28,0,1,1,0,1
"YWHAQ",55,27,56,4,2,12,610,17,18,16,20,194,81,23,10,22,16,1240,3,34,149,23,57
"TAF1B",5,0,8,0,0,1,47,0,0,0,3,4,4,0,0,2,2,36,1,11,16,2,5
"RP11-95D17.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
"GRHL1",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,0,1,1,0,0
"RP11-254F7.2",3,0,0,0,0,0,17,0,0,0,3,1,1,2,0,0,0,5,0,0,0,0,0
"KLF11",7,0,5,0,0,0,57,2,1,0,2,2,0,3,1,2,0,53,0,2,0,0,10
"CYS1",0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"RP11-254F7.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
"RRM2",16,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,386,0,0,112,0,0
"C2orf48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
"HPCAL1",41,9,13,2,3,1,112,10,0,6,16,81,32,1,5,19,3,721,0,15,6,9,73
"ODC1",34,6,11,5,2,4,168,6,8,5,27,78,39,0,8,8,0,913,0,62,112,9,14
"NOL10",6,0,6,0,2,2,50,1,0,1,0,6,2,2,0,2,4,233,0,4,7,4,7
"RN7SL832P",0,0,3,1,0,3,139,2,0,2,0,0,1,0,1,0,0,38,0,0,2,0,11
"ATP6V1C2",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,0,3,0,0,0
"RP11-791G15.2",1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
"PDIA6",187,6,62,3,6,8,923,38,9,6,27,151,75,25,28,29,14,2249,4,315,139,14,109
"RP11-245G13.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"PQLC3",33,5,31,1,1,6,379,4,5,0,8,63,38,18,2,6,4,125,0,21,8,5,14
"ROCK2",3,1,0,0,0,1,47,1,0,0,0,1,0,0,0,0,0,366,0,0,2,0,14
"LINC00570",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
"E2F6",4,0,0,0,1,0,33,1,0,0,2,0,1,3,0,0,1,55,0,2,2,0,4
"LPIN1",8,0,3,2,2,1,27,3,3,0,7,26,18,3,3,7,2,50,0,9,30,0,3
"TRIB2",0,1,0,0,0,1,22,0,0,3,1,16,10,1,6,1,2,1,3,1,4,4,13
"FAM84A",0,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0,0,1029,0,0,0,0,2
"NBAS",8,0,5,0,0,0,21,0,0,0,1,5,4,0,1,1,0,150,0,3,1,0,3
"DDX1",13,2,5,0,0,0,172,2,2,4,2,27,15,11,2,3,1,617,1,7,18,6,15
"AC010745.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"FAM49A",32,0,25,0,0,1,46,0,0,2,4,1,2,0,1,0,0,0,0,8,13,0,0
"VSNL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0
"SMC6",4,0,2,1,0,1,64,6,1,0,7,10,5,1,4,1,2,205,0,6,11,3,5
"GEN1",0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,44,0,0,4,0,0
"KCNS3",1,0,0,0,0,0,198,0,0,0,0,0,0,10,0,0,0,106,1,0,0,0,0
"RDH14",10,0,9,0,0,2,125,5,1,1,10,19,19,2,10,2,1,417,0,11,25,0,18
"OSR1",0,0,0,0,0,0,21,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"LINC00954",1,2,0,0,0,0,6,4,0,0,1,13,1,0,0,1,0,18,0,0,1,3,0
"TTC32",6,3,10,0,1,1,63,4,2,2,7,31,8,4,4,7,4,331,0,10,7,4,11
"WDR35",1,0,0,0,0,0,21,0,0,1,0,4,1,0,0,1,0,7,0,2,0,0,0
"MATN3",0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAPTM4A",230,6,100,2,9,30,2878,19,7,70,41,116,56,78,32,19,12,2528,16,66,20,14,210
"SDC1",3,0,1,0,0,0,25,0,0,0,0,2,0,2,0,2,0,948,0,42,0,0,0
"PUM2",9,0,2,0,0,0,24,2,0,0,3,7,6,0,0,1,1,144,0,1,3,1,2
"RHOB",73,0,13,0,0,20,339,4,0,0,10,3,5,7,4,0,1,881,0,23,1,0,23
"HS1BP3",6,2,2,0,0,0,32,1,0,1,0,1,3,1,0,0,0,103,0,0,0,0,1
"KLHL29",0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ATAD2B",0,2,0,0,0,0,9,0,0,0,0,3,0,0,0,0,1,36,0,1,3,0,0
"UBXN2A",2,2,9,0,1,0,52,1,1,1,3,17,6,2,4,1,1,141,1,2,10,1,4
"MFSD2B",1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,26,0,0,4,0,0
"C2orf44",0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,17,0,0,1,0,0
"FKBP1B",8,0,2,0,0,0,32,3,0,0,1,1,5,0,0,0,4,105,0,1,0,0,3
"FAM228B",6,3,5,0,0,1,100,2,0,0,3,15,9,3,1,1,0,53,0,1,1,0,5
"TP53I3",21,0,21,0,0,1,169,0,0,2,1,2,0,5,0,0,0,1285,1,0,3,0,9
"PFN4",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ITSN2",19,1,21,2,1,1,46,2,2,1,21,48,21,4,5,8,3,142,0,4,49,5,12
"NCOA1",10,0,4,0,0,1,28,2,2,0,0,6,4,0,0,1,1,139,0,0,1,0,1
"PTRHD1",64,3,56,7,3,0,171,8,1,1,27,48,19,4,6,14,2,2308,1,11,43,7,25
"CENPO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,3,0,1
"ADCY3",8,0,0,0,0,0,32,0,0,0,0,1,1,0,0,0,0,68,2,1,0,0,1
"DNAJC27",0,0,0,0,0,0,12,0,0,0,0,0,3,0,2,0,0,27,0,4,1,0,1
"DNAJC27-AS1",0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,27,0,1,0,0,0
"POMC",12,1,3,0,0,0,6,4,1,1,6,9,7,0,4,2,0,4,0,7,6,2,1
"DNMT3A",9,0,1,0,0,1,14,1,2,0,1,10,4,0,5,3,2,122,0,3,2,1,10
"DTNB",6,0,0,0,1,0,16,1,0,0,1,17,4,0,4,3,1,40,0,1,4,2,4
"AC104699.1",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,30,4,0,0
"ASXL2",7,9,5,1,0,0,26,3,0,0,2,5,11,2,1,2,1,118,0,0,4,0,6
"KIF3C",3,0,0,0,0,0,4,0,0,0,0,0,3,1,0,0,1,8,0,0,0,0,1
"RAB10",73,3,40,1,1,7,166,12,3,6,10,79,17,4,6,10,4,754,1,20,32,7,23
"HADHA",56,6,49,2,2,2,305,14,4,6,18,63,40,12,13,12,5,2633,4,19,38,7,25
"HADHB",52,2,27,4,2,13,353,10,1,1,7,54,12,14,9,9,10,1656,0,18,22,9,33
"EPT1",1,1,0,0,1,0,11,0,0,0,0,1,1,1,0,1,0,114,0,2,1,0,0
"C2orf70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
"SLC35F6",11,1,4,0,0,0,27,1,0,0,1,1,0,2,0,1,1,117,0,2,1,0,1
"CENPA",7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,37,1,0
"MAPRE3",1,0,3,0,0,1,28,0,0,1,1,5,1,2,0,1,0,37,0,2,0,0,3
"TMEM214",12,1,3,0,0,0,59,2,0,1,3,6,4,4,0,1,1,274,0,21,3,0,7
"AGBL5",1,2,0,0,0,1,25,0,0,0,0,9,2,1,0,0,0,110,1,0,3,0,3
"OST4",356,45,134,19,15,7,1249,68,24,25,66,577,237,44,44,98,39,6558,5,317,139,48,128
"EMILIN1",5,0,2,0,0,1,1032,0,1,0,0,1,1,37,0,0,0,4,0,0,2,0,2
"KHK",26,1,1,0,1,0,8,2,0,0,0,5,5,0,1,1,3,173,0,6,2,2,5
"PREB",21,2,12,2,3,2,65,7,0,0,1,22,11,10,1,1,1,305,1,28,15,1,5
"SLC5A6",6,0,1,0,0,0,16,0,0,0,0,4,3,1,2,0,0,158,0,0,4,1,2
"ATRAID",148,11,44,2,3,5,1040,26,6,14,21,125,67,32,12,29,9,2386,9,110,27,8,87
"CAD",6,1,1,0,0,0,11,0,0,0,0,3,1,0,0,0,0,144,0,1,0,0,4
"TRIM54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0
"MPV17",45,2,12,0,1,1,186,9,1,3,6,32,25,10,5,9,3,380,4,10,27,3,32
"GTF3C2",3,2,3,1,1,0,26,0,0,1,0,17,4,0,1,3,0,209,0,1,2,1,3
"AC074117.10",2,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,22,0,0,0,0,1
"EIF2B4",15,1,6,0,0,3,73,2,0,0,0,15,8,0,7,1,1,334,2,6,7,1,5
"SNX17",79,6,51,3,2,0,272,17,1,3,12,88,59,5,11,9,13,788,2,23,27,16,31
"ZNF513",5,0,3,0,0,0,7,2,0,0,0,1,0,0,0,0,0,106,0,2,1,0,1
"PPM1G",34,4,19,2,6,1,111,10,4,4,5,53,20,4,3,9,3,954,2,19,69,11,19
"NRBP1",30,5,13,1,4,3,182,8,3,4,13,61,29,9,3,7,1,391,3,19,19,8,17
"KRTCAP3",0,0,0,0,0,0,0,0,1,0,1,4,2,0,0,0,1,3862,0,4,2,0,1
"IFT172",4,0,0,0,0,0,7,1,0,0,0,1,1,0,0,0,1,1262,0,0,0,0,0
"FNDC4",0,0,0,0,0,0,43,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1
"ZNF512",1,0,0,0,0,2,33,2,0,0,0,5,1,0,1,1,0,22,0,1,4,1,1
"CCDC121",4,0,0,0,0,0,14,0,0,0,3,1,1,1,0,1,0,12,0,1,1,0,4
"GPN1",10,5,13,6,2,1,66,5,1,1,3,41,19,2,4,3,2,298,0,4,22,5,12
"SUPT7L",12,3,4,0,0,1,48,1,2,0,2,23,10,3,0,5,2,156,3,2,10,4,12
"SLC4A1AP",6,1,6,0,0,0,57,3,1,2,1,18,7,2,3,1,4,111,0,5,14,0,9
"MRPL33",71,9,21,4,6,4,221,14,6,4,16,70,34,11,13,16,8,1097,3,21,44,8,49
"RBKS",16,1,4,0,0,1,14,0,0,1,0,10,2,0,3,0,0,148,0,3,1,2,3
"BRE",28,4,11,0,0,1,127,6,2,3,8,22,11,6,2,3,0,262,1,5,11,6,22
"FOSL2",58,6,39,0,1,1,66,7,1,1,0,46,32,2,0,6,4,168,0,3,0,3,8
"RP11-373D23.3",1,1,1,0,0,0,3,0,0,0,0,1,3,0,0,0,0,20,0,0,1,0,0
"AC097724.3",0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"PPP1CB",9,23,10,3,3,1,53,0,1,0,5,42,13,1,2,5,1,219,0,5,16,4,7
"TRMT61B",5,4,1,0,0,4,56,3,1,0,2,5,2,0,0,3,3,130,1,5,18,2,7
"WDR43",5,3,4,2,2,0,35,1,0,0,2,17,4,1,1,3,0,170,3,5,10,2,4
"CLIP4",3,2,0,0,0,3,4,0,1,0,3,9,3,0,0,1,1,0,0,0,0,0,0
"YPEL5",154,89,173,31,30,3,247,34,49,13,113,943,355,7,93,176,55,222,1,414,56,55,32
"LBH",2,9,1,2,4,0,232,12,3,0,13,70,54,12,11,14,14,9,4,10,16,11,12
"LCLAT1",0,0,1,0,0,0,9,0,0,0,0,0,1,0,0,0,0,47,0,1,2,0,2
"CAPN13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0
"EHD3",1,0,0,0,0,0,8,0,0,0,6,0,2,0,2,0,0,0,2,1,1,0,1
"XDH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0
"MEMO1",8,1,9,0,0,1,7,1,0,0,0,3,2,1,0,0,1,37,0,0,0,0,1
"DPY30",59,8,23,5,3,0,255,19,6,3,13,77,41,12,12,14,10,1428,1,28,29,14,33
"SPAST",4,0,0,0,0,0,10,0,0,0,0,1,0,2,1,0,1,52,0,1,2,0,0
"RP11-563N4.1",0,0,0,0,0,0,5,0,0,0,0,4,1,0,0,0,1,24,0,0,1,0,0
"SLC30A6",3,0,1,0,0,0,7,1,0,0,0,5,0,0,2,0,0,45,0,0,2,0,0
"YIPF4",18,4,16,0,1,2,183,2,1,0,7,44,31,5,10,9,2,530,1,31,21,8,22
"AL133245.2",1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,21,0,0,0,0,0
"BIRC6",3,1,4,0,0,0,17,2,1,0,0,13,13,5,0,1,2,167,0,6,9,1,5
"TTC27",2,0,1,0,0,1,18,0,0,1,2,6,2,0,0,0,0,87,0,3,4,0,5
"LTBP1",0,0,0,0,0,0,40,0,0,0,0,0,0,15,0,0,0,26,0,0,1,0,2
"RASGRP3",9,0,4,0,1,0,8,0,0,0,4,4,2,0,2,0,0,7,0,11,19,0,11
"FAM98A",4,0,1,1,1,3,62,2,0,1,2,11,4,0,3,1,3,70,0,6,5,0,7
"RP11-490M8.1",0,0,0,0,0,0,30,0,0,0,0,0,0,6,0,0,1,78,0,0,0,0,3
"CRIM1",0,0,0,0,0,0,9,0,0,0,0,1,0,1,0,0,0,89,0,0,0,0,2
"FEZ2",66,1,33,3,3,4,162,11,3,2,8,41,20,23,5,2,4,415,1,6,10,0,51
"STRN",2,0,0,0,0,0,8,0,0,0,0,2,0,1,0,3,0,68,0,0,2,1,3
"HEATR5B",1,0,0,0,0,0,7,0,0,0,0,4,2,0,0,0,1,72,0,3,2,2,1
"GPATCH11",8,0,4,1,0,0,20,2,0,1,2,4,2,0,1,2,0,43,0,3,5,1,1
"EIF2AK2",12,0,12,0,0,3,61,2,2,0,4,30,13,2,6,1,4,170,0,3,12,2,16
"CEBPZ",10,1,3,0,0,5,81,1,2,2,10,21,10,1,4,4,1,303,0,10,16,3,10
"NDUFAF7",1,1,2,0,0,1,38,2,0,0,1,15,9,0,3,4,1,99,0,3,12,1,3
"PRKD3",1,1,3,0,1,0,29,5,1,1,4,9,4,2,4,0,0,39,0,5,16,1,2
"QPCT",1,1,5,0,1,1,8,1,1,2,4,14,8,1,4,2,1,155,0,53,14,0,0
"AC006369.2",0,1,0,0,0,0,0,0,0,0,0,3,4,0,0,1,1,0,0,0,0,0,0
"CDC42EP3",2,1,8,4,4,0,2,9,2,3,9,26,15,9,3,6,7,56,0,10,4,4,24
"RMDN2",0,0,0,1,0,0,15,0,0,0,4,4,2,0,1,0,1,142,0,5,3,0,0
"CYP1B1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
"ATL2",3,0,4,0,1,0,17,1,0,0,0,4,5,0,3,1,1,57,0,1,5,0,0
"HNRNPLL",5,1,9,0,0,3,62,0,2,0,0,46,10,1,0,9,1,132,0,8,8,1,3
"GALM",29,3,15,0,2,0,33,7,0,0,0,42,8,2,2,2,1,833,0,5,8,7,3
"SRSF7",128,66,152,12,19,17,768,39,24,38,67,402,216,23,48,50,44,2456,2,107,284,37,76
"GEMIN6",14,1,5,0,1,2,42,0,1,1,2,9,5,2,2,0,4,256,1,1,9,1,3
"DHX57",3,0,0,0,0,1,11,1,0,1,1,2,0,2,0,0,0,84,0,0,2,1,5
"MORN2",8,0,1,0,0,1,78,0,0,0,1,3,2,0,0,0,0,316,0,6,1,0,1
"SOS1",5,1,2,2,1,0,17,0,0,0,0,9,9,0,0,1,0,81,0,3,1,0,4
"MAP4K3",1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,44,0,1,1,0,2
"AC007246.3",11,0,3,0,0,1,34,1,0,0,0,2,0,4,1,0,1,185,1,4,1,0,3
"THUMPD2",1,2,3,0,0,0,40,4,0,0,3,9,3,1,1,1,0,109,0,0,10,0,0
"SLC8A1",14,0,9,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2
"AC104654.2",0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2orf91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
"PKDCC",0,0,1,0,0,2,70,0,0,0,0,1,0,2,0,0,0,702,2,0,0,0,0
"EML4",17,4,8,0,0,1,28,8,7,1,8,55,26,0,3,12,4,522,0,3,8,3,3
"COX7A2L",90,14,48,8,7,4,631,43,11,3,32,194,103,22,12,36,16,2970,10,91,104,17,67
"MTA3",1,0,1,0,1,0,61,0,1,0,1,2,3,4,0,1,0,289,1,10,19,0,3
