"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Vascular ECs"
"RP11-34P13.7",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0
"AP006222.2",120,0,13,0,0,3,6,60,0,2,0,1,0,56,14,8,13,12,35,1,2,2,8,1,95,1,22,2,5,8
"RP4-669L17.10",1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,5,0,0,0,0,0
"RP11-206L10.9",2,0,1,0,0,0,0,5,0,0,0,0,0,4,1,0,1,1,4,0,0,0,2,0,15,0,1,0,1,0
"FAM87B",2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"LINC00115",2,0,0,0,0,0,0,5,0,1,0,0,0,2,2,0,1,4,6,0,0,0,0,0,11,1,1,0,1,1
"FAM41C",15,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,2,6,0,1,1,2,0,18,0,1,0,1,0
"RP11-54O7.1",0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,2,4,1,0,1,0,0,3,0,1,0,0,0
"SAMD11",4,1,0,0,0,0,11,240,0,0,0,0,0,3,1,1,39,1,1,2,0,1,0,0,58,0,1,0,0,0
"NOC2L",80,13,22,0,1,2,7,100,0,7,0,1,2,140,76,27,7,62,263,13,7,3,58,0,456,4,52,9,23,12
"KLHL17",5,0,0,0,0,0,1,4,0,1,0,0,0,2,0,0,1,1,1,0,0,0,2,1,10,0,0,0,1,0
"PLEKHN1",1,1,0,0,0,0,0,2,0,1,0,2,0,3,5,2,0,1,8,0,0,0,1,0,41,0,2,0,2,0
"RP11-54O7.17",79,0,2,0,0,0,1,3,0,0,0,0,0,0,3,3,0,0,1,0,1,0,1,0,20,1,1,1,0,0
"HES4",702,11,54,1,1,1,22,97,0,10,1,0,1,18,87,31,23,5,174,3,10,4,32,18,265,22,13,1,24,18
"ISG15",925,71,87,5,5,13,96,608,1,46,3,7,0,287,473,261,46,96,646,26,24,18,163,10,1760,52,116,25,142,62
"AGRN",15,1,2,0,0,1,1,16,0,0,0,0,0,5,0,1,0,2,5,0,0,0,1,0,16,1,0,0,1,4
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"C1orf159",11,0,3,0,1,2,0,11,0,0,1,1,0,8,3,0,2,3,14,0,0,0,12,1,37,0,1,0,0,1
"RP11-465B22.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,3,0,0,0,0,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,1,0,2,0,3,0,1,0,0,1
"TNFRSF18",106,8,12,5,4,2,5,33,4,8,2,15,1,40,127,32,5,14,83,1,29,7,5,0,2455,6,16,3,69,7
"TNFRSF4",84,3,5,0,0,0,1,42,6,4,2,6,1,26,215,12,2,13,172,0,5,2,6,1,960,2,12,2,126,24
"SDF4",294,13,29,1,2,1,24,344,1,7,0,2,0,100,89,33,27,39,197,5,8,6,146,2,1364,17,34,7,19,33
"B3GALT6",49,2,2,0,0,1,0,9,0,0,0,1,0,18,9,3,0,9,37,0,0,1,7,1,45,3,2,2,5,5
"FAM132A",1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,41,0,1,0,1,0,0,7
"UBE2J2",108,7,15,1,2,0,16,109,0,3,1,0,1,101,50,28,9,58,157,1,4,2,61,1,540,14,62,7,17,24
"SCNN1D",2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0
"ACAP3",51,3,5,0,0,1,1,35,2,4,0,0,1,29,21,8,5,7,46,0,2,0,17,1,210,2,11,0,4,3
"PUSL1",42,1,5,0,0,0,1,28,0,3,0,1,1,20,12,6,2,8,44,0,1,0,15,0,144,2,9,5,1,3
"CPSF3L",83,6,20,1,1,0,8,103,0,6,2,1,2,78,40,21,16,26,97,5,3,3,65,3,315,5,46,7,14,14
"TAS1R3",1,0,1,0,0,0,0,0,0,0,0,0,0,10,1,1,0,2,1,0,0,0,0,0,93,1,1,0,0,0
"DVL1",17,2,2,0,0,0,2,9,0,3,0,0,0,6,4,2,4,1,8,0,1,1,7,0,50,2,2,0,0,2
"MXRA8",12,2,2,0,1,1,45,387,0,1,0,0,0,9,3,3,43,2,9,0,0,0,2,4,82,0,5,0,0,2
"AURKAIP1",853,37,101,3,5,10,28,344,7,27,3,5,5,428,216,117,43,125,584,21,15,8,707,10,3205,30,295,38,71,56
"CCNL2",61,3,7,1,2,2,7,86,0,2,0,2,0,71,36,18,6,32,137,8,2,2,41,1,303,3,29,1,13,12
"MRPL20",816,37,126,2,5,6,32,335,3,20,2,5,1,497,269,109,35,135,728,27,16,16,356,5,2901,46,282,35,70,53
"RP4-758J18.13",2,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,3,0,4,0,1,0,0,1
"ANKRD65",26,0,7,0,0,0,3,35,0,0,0,0,0,1,0,0,6,0,2,0,0,0,2,0,19,1,0,0,0,22
"VWA1",14,0,1,0,0,0,58,113,0,1,1,0,0,6,2,2,19,1,16,0,0,0,7,0,54,0,0,0,2,204
"ATAD3C",21,0,1,0,1,0,0,10,0,1,0,0,0,8,5,3,3,0,12,0,0,0,1,0,199,1,5,2,1,2
"ATAD3B",35,2,10,0,0,0,0,14,0,0,0,0,0,27,13,5,1,6,34,1,0,1,19,1,62,0,16,5,4,2
"ATAD3A",41,2,5,1,0,0,2,20,0,1,0,2,0,10,6,4,0,6,17,0,1,0,29,1,94,2,13,3,5,3
"SSU72",618,27,98,1,6,9,14,266,1,18,3,4,1,472,210,99,18,154,778,26,16,8,261,3,1766,31,196,28,64,33
"AL645728.1",7,0,0,0,0,1,1,7,0,0,0,0,0,10,6,2,0,2,19,1,0,0,3,0,33,1,2,0,1,2
"C1orf233",27,0,4,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,7,0,0,0,0,1
"RP11-345P4.9",17,2,2,0,1,0,1,18,0,0,0,0,0,14,4,3,2,11,34,0,0,1,3,0,40,0,6,0,2,3
"MIB2",44,12,8,0,3,1,3,25,2,5,0,1,0,42,38,19,5,17,102,2,6,2,37,0,309,0,27,3,10,6
"MMP23B",14,1,2,0,2,1,2,164,0,1,0,0,0,10,5,3,18,2,6,0,1,0,1,1,90,0,4,0,1,2
"CDK11B",49,7,10,0,1,1,6,43,1,4,0,0,0,42,18,13,9,16,80,1,3,1,41,1,160,1,26,3,6,6
"RP11-345P4.10",2,0,0,0,0,0,0,3,0,0,0,0,0,3,2,1,0,2,5,0,0,1,2,0,10,1,0,0,0,0
"SLC35E2B",56,5,4,0,0,2,4,69,0,4,1,0,0,43,40,6,4,20,76,0,1,0,22,2,177,5,12,0,9,9
"CDK11A",10,7,0,1,0,0,2,6,1,0,0,0,0,11,13,9,2,8,29,1,0,0,2,1,39,1,10,0,7,0
"SLC35E2",4,1,0,0,0,0,0,6,0,0,0,0,0,2,0,0,1,2,2,0,0,0,1,0,8,0,0,0,0,1
"NADK",143,3,21,1,0,0,2,28,1,2,0,1,0,65,18,14,1,20,51,1,1,2,44,0,209,9,45,3,5,3
"GNB1",415,14,48,3,1,4,9,99,0,6,3,1,1,128,77,29,15,38,123,6,3,8,64,0,408,31,108,9,22,32
"RP1-140A9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,1,0,5,0,1,0,1,0
"TMEM52",12,0,1,0,0,0,0,2,0,0,0,0,0,4,2,3,0,0,5,0,1,0,5,0,266,0,3,0,2,2
"RP11-547D24.1",1,0,0,0,0,0,0,3,0,0,0,0,0,3,1,1,0,0,8,0,0,0,0,0,9,0,1,0,0,2
"GABRD",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,5
"PRKCZ",18,3,1,0,0,1,0,24,0,1,0,0,0,16,13,1,3,6,30,0,1,0,30,0,100,0,10,0,7,3
"RP5-892K4.1",7,1,1,0,0,0,1,6,0,2,0,0,0,28,12,6,1,7,37,1,1,0,4,0,40,0,3,0,3,0
"SKI",52,2,6,0,0,1,0,42,0,0,1,0,1,23,10,11,4,9,37,1,2,1,12,0,47,4,2,1,1,11
"MORN1",3,0,2,0,0,1,1,6,0,0,0,0,0,7,0,1,0,0,3,0,0,0,3,1,16,0,4,0,0,1
"RER1",428,17,62,5,1,5,19,237,2,11,0,1,2,199,130,71,13,76,259,6,7,9,269,1,1648,18,118,15,34,24
"PEX10",46,0,13,0,0,1,3,36,0,1,1,1,0,31,10,4,2,3,25,0,1,1,16,0,181,2,12,1,4,2
"PLCH2",0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,4,0,7,11,0,1,1,1,0,24,0,3,0,1,0
"PANK4",5,0,0,0,0,0,2,6,0,2,0,0,0,5,2,3,0,4,13,1,0,0,9,0,20,2,2,1,1,4
"RP3-395M20.12",165,6,9,1,0,1,1,7,0,0,0,1,0,37,19,10,3,19,69,5,1,3,18,1,221,8,11,0,6,2
"RP3-395M20.8",36,0,2,0,2,0,0,5,0,1,0,0,0,45,8,4,0,8,18,0,2,0,34,0,130,3,5,1,3,6
"TNFRSF14",663,26,80,1,2,8,7,215,1,13,0,3,2,338,200,64,21,107,515,16,8,6,119,1,2057,21,75,14,82,38
"RP3-395M20.9",2,0,0,0,0,0,0,3,0,0,0,0,0,21,3,1,0,2,15,0,0,0,9,0,35,0,4,1,2,0
"FAM213B",58,4,3,0,0,0,5,16,0,2,0,0,0,15,14,2,5,4,36,1,2,0,65,0,84,1,1,2,2,7
"MMEL1",4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,37,0,2,0,0,0,3,4
"TTC34",1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,5,0,0,0,0,0
"PRDM16",1,0,2,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"ARHGEF16",6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,49,0,10,0,1,0,0,0
"MEGF6",3,0,0,0,0,0,8,5,0,0,0,0,0,2,2,2,1,1,1,1,0,0,0,0,2,0,0,0,0,2
"RP11-46F15.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
"TPRG1L",51,2,3,0,0,0,2,41,0,0,1,0,0,33,9,3,6,4,53,3,2,1,34,0,128,1,10,0,2,10
"WRAP73",29,3,11,1,0,1,1,46,1,2,0,0,0,33,20,11,4,9,46,3,1,2,14,1,168,3,14,3,7,8
"TP73",7,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,2,0,1,0,0,0,24,0,11,0,0,0
"TP73-AS1",15,0,3,0,0,0,1,16,0,0,0,0,0,17,6,3,3,3,12,0,0,0,0,0,45,0,4,1,1,0
"SMIM1",18,1,2,0,0,1,4,27,0,0,0,0,0,17,8,4,2,8,31,0,0,1,2,1,329,1,8,0,2,1
"LRRC47",48,4,5,0,1,1,7,56,1,4,0,0,0,43,21,8,6,22,47,2,1,2,27,2,185,3,14,0,1,10
"CEP104",31,5,12,1,0,1,5,27,0,5,0,0,1,42,16,7,4,15,63,3,0,2,10,0,125,2,18,1,5,5
"DFFB",6,2,1,0,0,0,0,3,0,1,0,1,0,11,4,0,2,1,21,1,0,0,2,0,25,2,4,0,3,2
"C1orf174",54,4,19,0,0,1,3,54,0,4,2,3,2,47,25,12,2,18,79,2,0,4,45,1,170,2,20,9,9,11
"AJAP1",1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0
"NPHP4",9,0,0,0,0,0,0,6,0,0,0,0,0,4,1,0,1,2,2,0,0,0,0,0,7,0,2,0,1,0
"KCNAB2",121,6,13,2,3,2,1,8,2,3,0,0,0,50,34,13,0,15,98,2,3,4,1,0,140,6,24,3,12,4
"RPL22",5848,416,1214,28,54,107,132,3496,31,223,48,35,43,10219,3610,1323,248,3113,16689,573,145,152,2370,24,23028,331,3788,328,1073,460
"RP1-120G22.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0
"RNF207",9,1,2,0,0,0,1,27,0,1,2,0,0,5,11,4,0,1,5,0,0,2,19,0,99,0,4,0,2,4
"ICMT",106,4,7,0,0,0,7,40,0,2,0,0,0,21,26,15,3,6,44,0,0,1,36,4,173,3,22,4,3,14
"LINC00337",2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,4,0,0,0,0,0,9,0,1,0,1,0
"GPR153",4,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,3,0,1,0,0,0
"ACOT7",58,4,11,3,0,1,5,88,0,5,1,1,5,8,31,28,6,4,36,0,1,4,153,0,79,1,31,11,4,8
"RP1-202O8.3",1,0,0,0,0,0,0,3,0,0,1,0,0,0,1,1,0,1,2,0,0,0,0,0,3,0,1,0,3,0
"HES2",4,0,1,0,0,0,0,1,0,1,0,1,0,8,2,0,0,3,8,1,0,0,33,0,15,0,3,0,0,0
"ESPN",1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,68,0,6,0,0,0,1,0
"TNFRSF25",7,7,0,1,0,2,0,2,2,2,1,6,0,17,91,11,0,3,181,5,1,1,10,0,31,1,5,9,28,0
"PLEKHG5",6,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,1,2,2,0,0,1,0,13,0,0,0,1,2
"NOL9",33,1,2,0,0,0,3,29,0,1,0,1,0,34,10,3,1,3,44,1,0,1,15,1,67,1,16,2,2,0
"ZBTB48",27,1,3,0,0,1,1,17,0,0,0,1,0,15,7,9,2,6,25,2,1,0,8,0,69,1,10,1,1,3
"KLHL21",36,1,7,0,0,0,6,16,0,2,0,0,0,12,10,3,1,2,13,0,0,0,1,0,109,1,3,0,1,0
"PHF13",9,0,2,0,0,0,1,12,0,0,0,0,0,4,4,0,1,2,10,0,0,0,1,0,24,0,3,0,1,0
"THAP3",18,1,1,0,0,0,4,48,0,1,0,0,0,24,5,4,6,4,29,0,0,0,14,1,101,2,21,3,2,10
"DNAJC11",41,1,4,0,0,0,3,17,0,1,0,0,0,15,5,2,3,6,26,0,0,1,38,0,63,3,6,0,1,5
"RP11-242F24.1",2,1,0,0,0,1,0,1,0,0,0,0,0,5,2,1,0,0,2,1,0,1,0,0,10,0,3,0,0,1
"RP11-312B8.1",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"CAMTA1",561,25,84,0,3,2,29,235,0,5,1,2,1,213,103,51,32,65,254,6,7,8,435,5,1138,24,179,16,34,66
"VAMP3",264,6,22,0,0,0,23,128,0,4,0,1,0,56,27,10,11,15,69,8,1,1,59,2,258,13,12,0,7,42
"PER3",46,0,2,0,0,0,2,7,0,1,0,1,1,5,7,3,3,2,10,0,0,0,1,0,34,1,2,1,3,4
"RP3-467L1.4",1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0
"UTS2",104,7,15,1,2,2,0,5,0,7,0,0,2,23,31,18,3,6,83,3,0,4,13,0,80,4,9,7,23,1
"TNFRSF9",43,2,3,5,1,0,0,3,1,4,0,0,0,6,5,22,0,2,9,0,10,11,0,0,26,0,2,0,17,0
"PARK7",1150,99,227,16,14,15,49,1129,11,55,2,13,5,868,456,227,106,291,1340,48,32,30,586,12,4256,71,602,83,173,130
"ERRFI1",15,2,0,0,0,0,5,19,0,2,0,0,0,8,14,13,1,0,19,1,0,3,21,0,60,0,2,0,1,2
"SLC45A1",1,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,3,0,1,0,0,0
"RERE",78,2,9,0,0,0,3,51,1,4,0,0,3,55,20,6,6,34,89,2,1,0,56,1,119,5,32,1,13,8
"ENO1",1296,76,301,16,7,16,76,677,7,47,7,13,7,634,645,231,83,228,963,41,19,33,585,3,1507,110,526,152,145,84
"ENO1-AS1",3,1,0,0,0,0,1,2,0,0,0,0,0,1,2,2,1,3,10,0,0,0,1,0,21,0,4,0,1,0
"SLC2A5",12,0,1,0,0,0,0,0,0,0,0,0,0,10,3,0,4,5,3,0,0,0,11,0,60,0,36,0,0,0
"GPR157",16,0,14,0,0,0,0,5,0,0,0,0,0,6,1,1,0,6,9,0,0,0,4,0,39,1,4,0,0,0
"RP3-510D11.2",1,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,7,0,0,0,1,1
"H6PD",39,0,2,0,2,0,0,40,0,0,0,0,0,18,6,5,4,4,23,1,0,0,19,2,45,1,4,0,2,4
"SPSB1",17,0,0,0,0,0,1,33,0,1,0,0,0,31,6,0,12,6,30,0,1,0,18,0,20,0,23,2,11,3
"SLC25A33",113,4,32,2,1,1,4,23,0,2,1,1,0,48,20,9,2,15,38,2,3,2,61,0,293,16,32,2,5,14
"TMEM201",7,2,1,0,0,0,0,5,0,0,0,0,0,2,2,1,0,3,4,0,0,0,5,0,16,1,9,0,0,4
"PIK3CD",42,5,4,0,2,1,0,4,0,2,0,1,0,53,20,12,0,10,76,3,1,1,2,0,27,3,28,3,3,2
"CLSTN1",57,6,6,0,0,2,4,59,0,0,0,0,0,39,36,12,1,7,76,1,1,2,62,0,145,0,19,0,8,11
"CTNNBIP1",142,6,27,1,2,2,4,38,0,3,1,0,0,37,13,14,7,10,46,2,1,3,58,0,249,7,29,3,7,18
"LZIC",79,6,11,1,0,2,6,57,0,3,0,0,0,33,32,9,4,10,70,1,2,3,47,0,142,4,43,3,6,8
"NMNAT1",18,3,7,0,1,1,4,18,0,0,0,0,1,27,8,4,1,6,31,1,0,1,19,0,58,0,9,1,3,4
"RBP7",28,2,1,0,0,0,3,1,0,1,0,0,0,3,1,2,0,1,5,0,0,0,1,1,23,4,2,0,0,57
"UBE4B",34,3,10,0,2,1,1,34,0,3,0,0,0,68,19,5,2,19,60,4,2,1,20,0,210,3,7,2,4,4
"KIF1B",92,1,3,0,0,0,3,19,0,2,0,0,0,13,15,5,2,2,19,1,0,0,38,0,82,2,6,0,0,4
"PGD",279,6,31,0,0,2,4,68,0,3,1,0,0,65,16,9,7,11,77,4,3,1,62,1,407,17,38,6,11,8
"APITD1",32,2,8,1,0,0,2,20,0,2,0,0,0,15,5,0,1,4,16,2,0,0,20,2,82,1,24,3,2,12
"DFFA",65,5,10,2,0,5,3,47,0,4,2,1,0,78,25,20,6,26,85,2,0,1,54,1,218,2,41,7,5,24
"PEX14",21,1,0,0,0,0,2,20,0,3,0,0,0,15,20,3,4,7,27,1,1,0,18,2,88,0,5,1,1,3
"CASZ1",2,1,0,0,0,0,0,0,0,0,0,1,0,7,1,4,1,2,5,0,0,1,21,0,4,0,1,1,0,2
"C1orf127",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"TARDBP",174,14,14,0,3,2,8,100,1,0,1,0,0,158,54,22,8,33,191,8,1,3,79,2,390,9,80,7,14,12
"RP4-635E18.8",8,0,0,0,0,0,0,13,0,0,0,0,0,11,8,1,1,3,28,0,1,0,12,0,31,0,4,0,5,0
"SRM",372,22,70,1,2,3,6,179,2,8,1,2,0,234,111,50,11,69,355,12,12,11,52,3,3161,17,108,29,26,25
"EXOSC10",32,4,7,0,0,1,7,36,0,4,0,0,0,34,14,4,2,17,35,2,0,0,30,0,70,4,18,3,4,6
"RP4-635E18.7",1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1
"RP4-635E18.6",10,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,2,0,1,0,0,0
"MTOR",51,2,4,0,0,1,2,18,0,1,0,0,1,8,14,4,0,2,28,2,0,1,10,0,61,0,8,1,5,5
"ANGPTL7",0,0,0,0,0,0,21,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBIAD1",33,3,7,1,1,2,0,24,0,4,0,0,1,48,17,13,2,16,78,1,0,0,11,0,128,0,20,0,5,2
"FBXO2",1,2,2,0,0,0,0,22,0,1,0,0,0,22,6,5,0,5,14,0,0,0,0,0,81,0,1,0,2,0
"FBXO44",19,2,4,0,1,0,5,24,1,1,0,0,0,30,19,7,4,8,67,2,0,1,1,2,83,0,7,1,5,2
"FBXO6",81,5,14,2,0,0,0,29,0,2,0,0,0,14,13,9,3,8,17,2,0,0,10,0,181,6,1,1,2,2
"MAD2L2",143,3,28,1,2,0,5,102,0,5,0,0,0,48,44,25,5,23,88,3,2,0,10,1,371,14,71,7,8,9
"DRAXIN",10,1,2,0,0,0,0,5,0,2,0,0,1,17,4,8,0,5,10,0,0,0,9,0,26,1,6,0,2,1
"AGTRAP",131,9,12,2,0,1,10,187,1,2,0,1,1,28,24,18,10,12,72,3,6,2,20,1,142,5,11,0,8,22
"C1orf167",1,0,0,0,0,0,0,36,0,3,0,0,0,5,1,2,1,0,1,0,0,0,2,0,9,0,2,1,0,3
"MTHFR",66,1,6,0,0,0,1,25,0,0,0,0,0,23,8,2,2,10,20,3,1,0,1,0,67,5,11,1,1,6
"CLCN6",29,0,3,0,0,0,4,9,0,0,0,0,0,17,3,2,2,4,16,0,0,0,3,0,39,0,12,1,1,1
"NPPA-AS1",4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"KIAA2013",101,2,8,1,1,0,1,25,0,1,1,0,0,45,15,10,3,14,41,3,5,1,44,1,164,3,20,1,7,7
"PLOD1",79,1,9,0,0,0,4,150,0,0,0,0,0,6,4,4,12,2,12,0,0,1,15,0,128,4,5,1,3,12
"MFN2",77,2,3,0,0,0,1,19,0,5,0,1,0,20,13,2,1,4,25,0,0,1,26,0,69,1,6,3,2,3
"MIIP",130,6,13,0,0,1,15,31,0,4,0,0,0,62,30,20,2,21,66,1,1,6,20,0,217,9,29,4,12,4
"TNFRSF8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"TNFRSF1B",343,26,43,0,3,6,0,45,2,8,1,0,0,83,95,55,1,17,159,3,5,5,7,1,131,20,16,6,81,12
"VPS13D",33,0,4,0,0,2,2,16,0,0,0,0,1,23,11,5,0,9,41,1,0,1,19,0,42,0,4,0,6,2
"DHRS3",157,2,12,2,1,3,36,15,0,4,0,1,0,9,21,5,0,1,59,0,3,1,39,0,53,3,3,2,4,17
"HNRNPCL1",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,1,0,0,0,0,1,0,0
"PDPN",55,0,0,0,0,0,26,302,0,0,0,0,0,3,7,2,7,1,6,0,1,0,0,0,68,0,2,0,0,0
"PRDM2",53,6,9,2,1,4,6,55,0,3,3,1,1,205,47,18,5,47,122,12,2,8,11,0,339,1,60,0,8,4
"KAZN",1,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,10,0,1,0,0,12
"TMEM51",157,1,9,0,0,0,0,64,0,0,0,0,0,3,2,1,2,2,5,1,0,0,27,0,57,4,1,0,0,2
"FHAD1",11,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,6,0,0,0,0,0
"RP3-467K16.4",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,8,0,0,0,0,0
"EFHD2",915,9,118,1,3,3,1,63,0,6,0,0,0,68,84,25,2,15,77,0,16,3,113,0,475,46,32,8,19,15
"CASP9",24,1,7,0,0,0,2,9,0,0,0,0,0,14,6,2,3,6,6,0,0,0,6,0,23,2,8,1,1,6
"DNAJC16",36,2,4,0,0,0,0,14,0,0,0,0,0,16,11,3,0,4,24,1,1,0,20,1,60,1,6,0,1,2
"RP4-680D5.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"AGMAT",3,0,4,0,0,0,0,7,0,1,1,0,0,17,6,3,1,10,70,1,0,0,29,0,35,1,9,3,9,0
"DDI2",66,2,11,0,1,1,1,10,0,0,0,1,0,28,9,4,1,12,22,0,1,0,25,0,62,5,13,4,5,4
"PLEKHM2",127,1,3,0,0,0,3,17,0,0,0,0,0,27,12,6,1,6,27,2,0,0,17,0,69,2,7,2,2,1
"SLC25A34",1,1,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,1,0,0,0,12,0,2,0,1,0,0,1
"TMEM82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0
"FBLIM1",19,3,2,0,0,1,2,230,0,0,0,1,0,13,12,2,13,7,18,1,0,1,73,3,53,2,6,1,1,1
"SPEN",54,6,13,0,1,1,1,22,1,1,0,0,0,51,25,14,4,15,80,1,3,2,8,2,137,3,32,1,5,7
"ZBTB17",24,4,4,1,3,0,2,19,1,5,1,0,0,29,9,7,0,4,33,0,0,3,11,0,93,2,14,0,1,3
"EPHA2",3,0,1,0,0,0,3,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,9,1,3,0,2,0,0,7
"RP11-276H7.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ARHGEF19",14,0,0,0,0,0,0,25,1,0,0,0,1,14,8,2,1,8,19,0,1,0,5,0,63,0,1,2,0,1
"RSG1",7,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,0,0,2,0,0,0,3,0,18,0,3,0,2,1
"FBXO42",22,7,5,1,0,0,2,12,1,1,0,0,0,36,7,4,3,10,48,4,0,0,13,0,71,3,7,1,3,2
"SZRD1",239,17,28,2,2,0,8,134,0,13,2,0,2,165,78,48,15,50,189,2,6,5,54,2,448,12,70,11,25,16
"SPATA21",1,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,2,0,0,0,2,0,4,0,1,0,0,0
"NECAP2",266,19,37,1,0,6,9,91,0,9,2,0,1,148,98,32,10,40,273,10,7,0,38,5,335,13,79,5,27,25
"RP4-798A10.2",3,0,0,0,0,0,0,2,0,1,0,1,0,2,2,0,0,2,6,0,0,0,1,0,5,0,3,0,0,0
"RP4-798A10.7",3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,5,0,0,0,6,0,7,0,10,0,0,1
"NBPF1",67,0,5,0,0,0,3,53,0,0,0,0,0,17,8,0,7,1,10,1,0,0,37,0,24,2,10,0,1,7
"CROCC",14,1,1,1,0,0,2,9,0,1,0,0,0,8,12,4,3,1,26,0,1,1,5,0,29,1,4,0,1,2
