"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Vascular ECs"
"ARHGEF3",9,5,0,1,1,1,2,12,0,8,2,0,0,23,27,23,0,5,101,3,4,4,0,0,27,0,4,2,16,7
"IL17RD",4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,3,1,0,0,0,1
"HESX1",4,0,0,0,0,0,0,2,0,1,0,0,0,2,1,0,1,2,0,0,0,0,1,0,8,0,1,0,0,0
"APPL1",189,7,28,0,1,3,7,130,0,4,0,1,0,174,57,21,10,58,137,5,3,2,70,0,321,8,51,1,20,14
"PDE12",57,6,4,0,0,3,1,21,0,1,1,1,0,42,23,10,1,13,77,1,5,2,14,0,150,1,20,1,5,2
"ARF4",372,16,72,4,1,5,33,485,2,20,3,7,3,190,140,68,34,63,341,12,11,15,319,4,3296,25,120,14,25,73
"DENND6A",39,1,3,0,0,0,0,15,0,2,0,0,1,13,5,3,3,1,21,1,0,0,7,0,43,1,8,0,2,5
"RP11-755B10.3",2,1,1,0,0,0,0,2,0,0,0,0,0,5,1,0,0,0,6,0,0,1,2,0,9,0,0,0,1,0
"SLMAP",46,4,10,0,0,1,4,58,1,2,2,1,0,58,19,10,17,20,93,5,2,0,38,0,180,4,21,2,4,5
"FLNB",17,0,2,0,0,0,1,23,1,0,0,1,0,11,7,1,1,7,23,3,2,1,125,1,25,0,7,1,3,10
"DNASE1L3",2517,4,338,1,1,0,1,44,0,1,0,0,1,52,36,14,6,25,42,1,5,1,10,1,524,59,12,1,5,11
"ABHD6",61,1,14,1,0,1,5,7,1,2,0,0,1,30,3,2,0,3,15,0,0,1,7,0,17,5,3,0,0,0
"RPP14",64,10,11,0,0,4,5,43,0,1,1,1,0,62,38,16,4,19,120,0,1,2,37,0,187,7,20,2,9,8
"PXK",47,0,5,0,0,0,4,129,0,1,0,0,1,89,12,7,12,48,42,0,0,0,8,0,114,1,114,2,7,6
"PDHB",105,18,19,1,0,2,17,226,2,5,2,0,1,142,73,29,37,37,204,6,2,6,147,4,413,15,94,13,19,28
"RP11-802O23.3",2,0,1,0,0,0,0,3,0,1,0,0,0,1,0,0,0,2,1,0,0,0,1,0,2,0,4,0,0,0
"KCTD6",12,0,1,0,0,0,3,18,0,0,0,0,0,15,3,2,1,6,12,1,2,0,11,0,36,0,10,1,1,0
"ACOX2",0,0,0,0,0,0,4,19,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,0,2,0,0,0,0,3
"FAM107A",2,0,0,0,0,0,0,42,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,9,1,0,0,1,32
"FAM3D",12,3,1,0,0,0,1,11,0,0,0,0,0,21,2,3,0,8,18,0,1,0,897,0,71,0,6,0,1,13
"C3orf67",5,0,0,0,0,0,0,4,0,1,0,0,0,4,4,2,0,4,6,0,1,0,1,1,12,0,32,0,2,1
"FHIT",98,2,11,0,0,0,0,68,0,1,0,1,0,71,15,1,5,14,276,6,3,2,42,1,480,0,14,3,9,5
"PTPRG",6,0,0,0,0,0,0,54,0,0,0,0,0,2,3,1,4,1,4,0,0,0,16,1,34,1,0,0,0,8
"C3orf14",87,1,4,0,0,0,2,25,0,1,0,0,0,4,3,1,2,1,14,0,0,1,7,1,26,1,17,6,1,2
"CADPS",1,0,1,0,0,0,2,0,0,1,0,0,2,1,1,0,0,2,1,0,0,0,6,0,5,0,15,1,0,0
"SNTN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"C3orf49",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0
"THOC7",368,24,81,2,4,6,19,219,3,14,1,4,1,299,152,48,22,66,361,9,8,4,212,4,810,23,243,25,51,27
"ATXN7",81,8,12,0,1,4,2,29,0,6,1,0,0,67,80,35,0,15,345,13,4,4,22,1,105,3,23,5,11,4
"PSMD6-AS2",2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,1,13,0,0,0,1,0,4,0,1,0,0,1
"PSMD6",108,8,20,2,3,2,15,124,0,7,1,0,1,107,59,36,20,27,146,6,2,1,96,2,486,6,90,11,16,18
"RP11-245J9.4",5,0,1,0,0,0,1,5,0,0,0,0,0,3,1,2,0,2,10,0,0,0,0,0,25,0,1,0,0,0
"RP11-245J9.6",3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0
"PRICKLE2",1,0,0,0,1,0,2,23,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"ADAMTS9",4,1,0,0,0,0,4,51,0,0,0,0,0,1,0,1,4,1,2,1,0,0,2,0,4,0,0,0,0,7
"ADAMTS9-AS2",4,0,0,0,0,0,2,23,0,0,0,0,0,0,0,0,3,0,5,0,0,0,1,0,6,0,1,0,1,2
"MAGI1",0,0,1,0,0,0,1,6,0,0,0,0,0,1,2,0,2,0,2,0,0,0,33,1,6,1,0,0,0,26
"SLC25A26",92,14,17,0,3,3,6,97,0,7,1,2,0,97,101,26,10,37,188,5,4,3,45,1,390,6,46,3,14,10
"LRIG1",2,0,0,0,0,1,0,15,0,1,0,0,0,4,16,3,1,3,34,2,0,0,13,1,19,1,6,0,5,0
