"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Enteric glia cells","Fibroblasts","gdTcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Regulatory CD4 Tcells","Vascular ECs"
"AP006222.2",1,0,2,1,4,29,11,1,0,8,3,1,2,2,206,0,0,2
"RP11-206L10.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"LINC00115",0,0,1,0,0,0,0,0,0,0,1,0,0,0,28,0,0,0
"FAM41C",0,0,1,0,0,1,3,0,0,0,0,0,1,0,34,0,0,0
"SAMD11",0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,1
"NOC2L",0,1,3,0,2,26,13,1,0,9,1,1,1,4,483,3,1,6
"KLHL17",0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,0
"HES4",0,0,9,0,5,17,17,0,0,5,1,2,1,0,303,0,0,10
"ISG15",0,5,45,6,23,110,63,5,0,98,19,6,9,13,840,1,6,66
"AGRN",0,0,0,0,0,2,1,0,0,1,0,0,0,0,73,0,0,3
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0
"C1orf159",0,0,0,0,0,0,2,0,0,0,0,0,0,0,96,0,0,0
"RP11-465B22.8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,202,0,0,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
"TNFRSF18",0,3,1,1,0,0,113,0,0,41,4,3,6,10,7,5,6,0
"TNFRSF4",0,0,1,1,0,0,3,2,0,31,0,1,5,1,1,1,10,32
"SDF4",1,1,4,0,5,90,20,2,0,16,6,2,3,3,1440,7,2,19
"B3GALT6",0,0,4,0,0,5,0,1,0,5,0,0,0,1,64,2,0,1
"FAM132A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,0,0,0
"UBE2J2",0,1,3,1,0,22,14,1,4,18,6,1,3,5,594,2,2,13
"ACAP3",0,0,1,0,1,7,1,0,0,0,2,0,0,1,161,0,0,0
"PUSL1",0,0,0,1,0,9,1,0,0,1,2,0,0,0,220,0,0,0
"CPSF3L",0,2,3,2,2,26,16,0,0,13,3,1,1,3,742,1,19,6
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"DVL1",0,0,0,0,0,6,1,0,0,1,0,0,0,1,191,0,0,1
"MXRA8",0,0,0,0,10,101,0,0,0,0,0,0,0,0,0,0,0,0
"AURKAIP1",1,3,25,1,5,96,53,1,5,42,6,4,3,4,6428,10,3,29
"CCNL2",0,0,1,0,1,13,12,1,0,8,0,0,1,0,497,0,0,8
"MRPL20",1,7,23,4,4,105,36,8,3,46,8,3,2,6,2645,7,1,16
"RP4-758J18.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"ANKRD65",0,0,0,0,0,10,0,0,0,0,0,1,0,1,0,0,0,18
"VWA1",0,0,0,0,12,19,0,0,0,1,0,0,0,0,66,0,0,75
"ATAD3C",0,0,2,0,0,2,3,0,0,3,0,0,1,0,32,0,0,1
"ATAD3B",0,0,0,0,0,3,0,0,0,0,0,0,0,0,157,0,0,1
"ATAD3A",0,0,2,0,0,2,2,0,0,3,0,0,0,0,253,1,0,0
"SSU72",1,7,14,4,4,64,41,3,2,50,8,4,5,7,2169,1,4,7
"AL645728.1",0,0,0,0,0,2,0,0,0,1,0,0,0,0,11,1,0,0
"C1orf233",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
"RP11-345P4.9",0,0,1,1,0,5,1,0,0,1,0,0,1,0,54,0,0,0
"MIB2",1,0,0,2,0,10,15,0,0,12,4,0,2,3,426,2,3,1
"MMP23B",0,0,0,0,0,41,12,0,0,1,0,0,0,0,13,3,0,0
"CDK11B",0,0,1,0,1,13,3,0,0,2,3,0,0,0,329,0,0,0
"RP11-345P4.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
"SLC35E2B",0,0,0,0,1,14,2,0,0,3,1,1,0,1,271,0,0,3
"CDK11A",0,0,1,0,0,3,0,1,0,2,0,1,0,0,48,0,0,1
"SLC35E2",0,0,0,0,0,2,0,0,0,1,0,0,0,0,17,0,0,0
"NADK",1,0,3,1,0,3,6,0,0,2,0,0,0,0,488,0,1,4
"GNB1",0,1,8,0,0,17,13,0,0,10,0,2,0,3,805,0,1,8
"RP1-140A9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
"TMEM52",0,0,0,0,0,1,0,0,0,0,0,0,0,1,133,0,0,0
"PRKCZ",0,1,0,0,0,5,3,0,0,4,1,0,0,2,332,0,0,0
"RP5-892K4.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
"SKI",0,0,0,0,0,15,4,0,1,6,1,2,1,1,97,1,0,5
"MORN1",0,0,0,0,0,2,1,0,0,0,0,0,0,0,38,0,0,0
"RER1",2,5,19,5,4,78,38,3,0,30,18,1,5,3,2444,10,2,25
"PEX10",0,0,2,0,0,5,2,0,0,0,0,0,0,0,182,0,0,0
"PLCH2",0,0,0,0,0,0,2,0,1,0,2,0,0,0,10,0,0,0
"PANK4",0,0,1,1,2,5,6,0,0,3,2,0,0,0,119,0,1,1
"HES5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0
"RP3-395M20.12",0,3,5,0,0,0,3,0,0,3,0,1,1,1,151,0,2,2
"RP3-395M20.8",0,0,0,0,0,1,6,1,0,0,0,0,0,0,435,0,0,2
"TNFRSF14",4,1,10,0,1,20,14,0,0,12,2,5,1,7,926,3,3,3
"RP3-395M20.9",0,0,0,0,0,0,0,0,0,0,0,1,0,0,82,0,0,1
"FAM213B",0,0,0,0,0,3,4,0,0,0,0,0,0,0,546,0,0,2
"MMEL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,0,0,0
"ARHGEF16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,0,0,0
"TPRG1L",0,0,1,0,0,7,1,1,0,0,0,0,0,0,481,0,0,2
"WRAP73",0,1,5,1,0,13,6,0,1,7,1,0,1,0,248,1,0,2
"TP73-AS1",0,0,0,0,0,14,0,0,0,2,0,0,0,0,13,0,0,2
"SMIM1",0,0,0,0,0,8,2,0,0,1,0,0,0,0,12,3,0,0
"LRRC47",0,0,1,1,0,8,5,1,0,5,0,1,0,1,234,0,1,4
"CEP104",0,0,1,0,0,2,2,0,0,2,2,2,1,1,61,0,0,2
"DFFB",0,0,0,0,0,0,1,0,0,0,0,0,0,0,32,0,0,1
"C1orf174",0,1,3,1,0,5,10,0,0,8,0,0,1,0,194,0,0,0
"NPHP4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0
"KCNAB2",0,1,3,0,0,0,8,0,0,12,1,1,1,1,4,0,2,0
"RPL22",16,41,174,21,7,572,297,48,26,450,99,70,22,41,17471,19,31,113
"RP1-120G22.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
"RNF207",0,0,1,0,0,7,0,0,0,0,0,0,0,1,107,0,0,0
"ICMT",0,1,4,2,0,9,0,0,0,6,0,0,1,2,298,0,0,2
"GPR153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0
"ACOT7",1,2,1,0,0,17,16,2,0,7,3,0,0,0,816,0,0,1
"RP1-202O8.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0
"HES2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,267,0,0,0
"ESPN",0,0,0,0,0,0,0,0,0,0,1,0,0,0,485,0,0,0
"TNFRSF25",0,0,0,0,0,0,0,0,0,16,1,3,0,2,119,0,1,2
"PLEKHG5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
"NOL9",0,2,0,0,0,5,0,0,0,0,1,0,0,0,117,0,0,1
"ZBTB48",1,0,2,0,1,5,1,0,0,6,0,3,1,0,157,1,1,3
"KLHL21",0,0,0,0,0,3,2,0,0,0,1,0,0,0,49,0,0,0
"PHF13",0,0,0,0,0,4,2,0,0,0,1,0,0,0,38,0,0,0
"THAP3",0,0,0,0,0,20,4,2,0,7,0,2,0,0,163,0,0,5
"DNAJC11",0,0,0,0,0,4,1,0,0,0,0,0,0,0,341,0,2,1
"RP11-312B8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
"CAMTA1",0,0,13,0,7,36,15,1,0,20,1,0,2,2,1973,0,0,26
"VAMP3",1,0,7,0,5,20,4,1,0,5,3,0,0,0,492,0,0,17
"PER3",0,1,0,0,2,4,3,1,0,0,0,0,0,0,43,0,0,1
"UTS2",0,2,3,0,0,0,11,1,0,8,2,0,1,4,82,0,0,0
"PARK7",8,17,54,6,4,312,103,14,6,105,30,14,7,16,5484,19,18,81
"ERRFI1",0,0,0,0,0,2,0,0,0,1,0,0,1,1,85,0,1,3
"RERE",0,0,0,0,0,9,2,0,0,8,1,0,1,1,297,0,2,3
"ENO1",17,20,88,8,30,176,317,16,1,236,46,20,18,35,7418,3,19,48
"ENO1-AS1",0,0,0,0,0,1,0,0,0,1,2,0,0,1,13,0,0,0
"SLC2A5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0
"GPR157",0,0,0,0,0,1,0,0,0,0,0,1,0,0,31,0,0,1
"H6PD",0,0,1,0,1,6,1,0,0,0,0,0,0,0,101,0,0,0
"SPSB1",0,0,0,0,0,7,1,0,1,0,0,0,0,0,115,0,0,0
"SLC25A33",0,0,2,0,0,1,2,1,0,4,0,0,0,0,376,0,2,1
"TMEM201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0
"PIK3CD",0,2,3,0,0,1,8,1,0,4,2,0,0,0,1,0,1,3
"CLSTN1",0,0,3,2,1,21,4,0,0,3,0,2,0,0,788,0,0,10
"CTNNBIP1",0,0,7,0,0,10,7,0,0,10,0,0,1,2,378,0,0,9
"LZIC",0,1,0,0,0,11,3,0,0,4,5,0,1,0,323,0,2,1
"NMNAT1",0,0,0,0,0,5,0,0,0,0,0,0,0,0,156,0,0,1
"RBP7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,7
"UBE4B",0,0,3,0,1,7,1,0,0,9,1,0,0,0,90,2,0,0
"KIF1B",0,0,0,0,0,5,0,0,0,0,1,0,0,0,85,0,0,1
"PGD",0,0,4,0,0,12,3,0,0,1,0,0,1,2,519,2,2,5
"APITD1",0,0,2,0,0,6,1,0,0,5,0,0,0,0,225,0,0,4
"DFFA",0,2,0,0,1,13,5,0,2,6,1,2,1,0,348,0,3,12
"PEX14",0,0,0,1,0,1,2,0,0,1,1,0,0,0,109,0,2,0
"CASZ1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,214,0,0,0
"TARDBP",0,0,3,0,1,14,9,0,0,6,4,0,0,0,384,2,2,7
"RP4-635E18.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
"SRM",4,1,11,1,4,61,28,2,2,23,3,5,4,2,553,8,1,17
"EXOSC10",0,0,0,0,1,9,3,0,0,7,1,0,0,1,267,1,0,6
"RP4-635E18.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
"MTOR",0,0,0,0,0,3,1,0,0,1,0,0,0,0,139,0,0,0
"UBIAD1",0,2,0,1,0,8,4,0,0,1,0,0,1,0,156,0,0,5
"FBXO2",0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
"FBXO44",0,1,1,1,0,1,5,0,0,3,1,0,1,1,14,0,0,1
"FBXO6",0,2,2,0,0,6,9,0,0,13,3,0,5,0,80,0,2,0
"MAD2L2",0,3,7,1,0,24,44,0,0,13,5,2,2,3,177,1,0,8
"DRAXIN",0,0,0,0,0,0,3,0,0,0,1,0,1,1,6,0,0,0
"AGTRAP",0,2,5,0,3,53,17,3,0,16,7,0,2,7,306,0,1,12
"C1orf167",0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,0,1
"MTHFR",0,0,1,0,0,8,2,0,0,3,0,0,0,0,105,0,0,1
"CLCN6",0,0,0,0,0,4,0,0,0,0,0,0,0,0,48,0,0,2
"NPPA-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"KIAA2013",2,0,0,0,0,5,1,0,0,0,0,1,1,0,560,0,0,4
"PLOD1",0,0,2,0,0,23,2,0,0,1,0,0,0,1,103,0,0,5
"MFN2",0,0,1,0,1,6,1,0,0,2,1,0,0,1,200,0,1,3
"MIIP",0,3,5,1,1,12,7,0,2,12,0,1,3,0,208,0,1,0
"TNFRSF1B",0,0,7,3,0,7,11,1,0,14,2,0,0,2,26,0,2,8
"VPS13D",0,0,0,1,0,6,3,0,0,4,0,0,1,0,130,0,0,2
"DHRS3",0,0,1,0,6,11,4,0,0,3,0,0,0,1,346,0,0,12
"PDPN",0,0,0,0,1,39,0,0,0,0,0,0,0,0,0,0,0,0
"PRDM2",0,0,2,0,0,8,5,0,2,9,2,2,2,2,83,0,1,1
"KAZN",0,0,0,0,1,6,0,0,0,0,0,0,0,0,29,0,0,1
"TMEM51",0,1,2,0,0,20,0,0,0,0,0,0,0,0,248,0,0,0
"EFHD2",3,0,9,0,0,9,5,1,0,6,0,1,0,1,1136,0,0,1
"CASP9",0,0,0,0,0,0,4,3,0,2,0,0,1,0,52,0,0,0
"DNAJC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0
"RP4-680D5.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
"AGMAT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0
"DDI2",0,0,3,0,0,2,1,0,0,1,0,0,0,0,101,0,0,1
"PLEKHM2",0,1,2,0,0,4,0,0,0,0,0,0,0,0,132,0,0,0
"SLC25A34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0
"TMEM82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,0,0
"FBLIM1",0,1,0,0,0,59,2,0,0,0,0,0,0,0,809,1,0,3
"SPEN",0,0,0,0,0,3,2,0,0,6,2,0,1,0,89,0,3,0
"ZBTB17",0,0,0,0,0,0,1,2,0,3,1,0,0,0,93,0,0,3
"EPHA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0
"RP11-276H7.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
"RP11-276H7.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"ARHGEF19",0,1,0,0,0,6,0,1,0,2,1,1,1,0,71,0,0,2
"RSG1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
"FBXO42",0,0,1,1,0,4,1,0,0,0,1,1,0,0,85,0,0,1
"SZRD1",0,1,4,0,4,19,14,2,0,11,3,1,2,4,495,0,2,3
"NECAP2",2,0,8,0,2,20,14,4,0,27,4,5,3,2,341,4,3,22
"RP4-798A10.7",0,0,0,0,0,2,0,0,0,0,1,0,0,0,25,0,0,0
"NBPF1",1,0,0,0,0,19,1,0,0,4,0,0,1,0,345,0,0,2
"CROCC",0,0,0,0,0,5,3,0,0,1,0,0,0,0,43,1,0,0
"RP11-108M9.4",0,0,1,0,0,13,0,0,0,2,2,0,0,0,253,0,0,3
"RP11-108M9.6",0,0,0,0,0,1,0,0,0,1,1,0,0,0,17,0,0,0
"MFAP2",0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,1
"ATP13A2",0,0,0,0,0,0,0,0,0,2,0,0,0,0,219,0,0,0
"SDHB",0,4,17,1,4,43,24,1,3,25,4,4,3,4,3732,3,4,17
"PADI2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,516,0,0,0
"RCC2",0,0,1,0,0,7,1,0,0,2,2,1,0,1,299,0,1,3
"ARHGEF10L",0,0,0,0,0,0,2,0,0,1,0,0,0,0,540,0,0,0
"ALDH4A1",0,0,1,0,0,2,0,0,0,0,0,0,0,0,36,0,0,0
"IFFO2",0,0,0,0,1,1,2,0,0,0,1,0,0,0,20,1,0,2
"UBR4",0,0,0,0,0,6,0,0,0,3,0,0,0,0,82,0,0,1
"RP1-43E13.2",0,0,1,2,0,4,0,0,0,0,0,0,0,0,29,0,0,0
"EMC1",0,0,1,0,0,5,1,0,0,2,0,0,0,0,118,0,0,2
"MRTO4",0,0,7,0,0,17,8,1,0,9,1,2,4,0,485,1,0,4
"AKR7A3",0,0,0,0,0,3,0,0,0,0,0,0,0,0,2105,0,0,0
"AKR7A2",2,1,7,0,2,122,26,0,0,22,2,0,1,0,2380,1,1,9
"PQLC2",0,0,2,0,0,4,1,0,1,1,1,0,0,0,101,0,0,0
"CAPZB",9,18,64,9,9,271,134,15,4,189,19,13,9,27,3051,2,19,71
"MINOS1",6,8,24,0,3,115,46,7,0,54,10,3,3,13,6674,1,3,14
"NBL1",0,3,0,0,0,326,9,0,0,13,4,0,2,1,2729,0,0,3
"TMCO4",0,0,0,0,2,10,5,0,0,1,0,0,0,1,170,0,0,0
"RNF186",0,0,0,0,0,0,1,0,0,0,1,0,0,0,1271,0,0,0
"RP11-91K11.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0
"OTUD3",0,0,1,0,0,3,0,0,0,0,0,0,0,0,48,0,0,0
"PLA2G2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4203,0,0,0
"UBXN10",0,0,0,0,0,0,0,1,0,0,0,0,0,0,55,0,0,0
"CAMK2N1",0,0,0,0,0,8,1,0,0,3,0,0,0,0,1397,0,0,0
"MUL1",0,0,0,1,0,13,2,0,0,4,3,0,1,0,154,0,0,1
"CDA",0,0,0,0,0,0,1,0,0,0,0,0,0,0,565,0,0,4
"PINK1",0,0,3,0,2,13,4,0,0,1,0,0,0,0,499,2,0,12
"PINK1-AS",0,0,0,0,0,1,1,1,0,0,0,0,0,0,24,0,0,0
"DDOST",1,5,22,2,7,79,28,5,2,37,5,3,0,7,1941,9,3,13
"HP1BP3",0,0,4,0,1,12,3,5,0,5,5,1,3,2,493,0,0,8
"EIF4G3",0,0,0,0,0,8,3,0,0,3,0,0,0,2,220,0,0,2
"ECE1",0,0,0,0,0,30,0,0,0,4,0,0,1,0,481,0,1,16
"NBPF3",0,0,0,0,0,6,1,0,0,0,0,0,0,0,19,0,0,0
"RAP1GAP",0,0,0,0,0,0,1,0,0,0,0,0,0,0,183,0,0,0
"USP48",0,0,2,0,1,6,4,1,0,3,1,1,1,0,243,3,0,4
"HSPG2",0,0,0,0,4,35,0,0,0,1,0,0,0,0,203,0,0,56
"CELA3B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0
"CELA3A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0
"LINC00339",0,0,0,0,0,1,5,0,0,1,2,0,0,1,58,0,0,2
"CDC42",4,4,17,1,3,39,46,5,1,41,13,6,3,5,1395,2,12,21
"WNT4",0,0,0,0,0,23,0,0,0,0,0,0,0,0,3,0,0,0
"ZBTB40",0,0,0,0,1,2,1,0,0,2,0,0,0,0,42,0,0,1
"C1QA",137,0,275,0,0,4,0,0,0,1,0,0,0,0,5,1,0,2
"C1QC",108,0,163,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0
"C1QB",155,0,188,0,0,5,0,0,0,0,1,1,0,0,3,0,0,1
"EPHB2",0,0,0,0,0,1,1,0,0,0,0,0,0,0,538,0,0,0
"KDM1A",0,0,2,0,0,6,1,0,0,4,1,0,0,0,264,0,0,1
"LUZP1",0,1,2,1,0,27,5,1,1,15,3,2,1,0,464,0,0,25
"HNRNPR",1,2,5,0,1,38,31,6,3,30,5,4,2,5,960,0,1,9
"ZNF436",0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
"RP5-1057J7.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
"TCEA3",1,0,0,0,0,21,2,0,0,2,0,1,0,0,3709,0,0,0
"ASAP3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0
"E2F2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0
"ID3",0,0,6,0,38,423,88,0,1,3,1,0,0,6,6632,1,1,220
"RPL11",65,164,868,83,37,2442,1256,161,112,1961,390,257,139,209,77598,67,132,438
"TCEB3",0,0,0,0,1,6,5,1,0,8,2,0,1,0,163,0,0,1
"PITHD1",2,4,9,2,1,21,9,4,0,20,6,1,2,1,454,0,0,8
"LYPLA2",0,2,3,2,0,13,29,1,1,26,4,1,0,4,791,2,0,9
"GALE",0,0,3,0,0,1,12,0,1,2,1,0,0,0,1158,0,0,1
"HMGCL",0,0,5,0,1,14,14,1,1,8,2,0,1,0,1204,1,1,4
"FUCA1",18,0,5,0,0,1,26,0,1,6,1,1,0,2,1317,0,0,2
"CNR2",0,0,1,0,0,1,1,0,2,0,0,0,0,0,2,0,0,0
"PNRC2",0,0,1,0,0,3,5,1,0,9,3,0,0,0,110,0,1,2
"SRSF10",0,0,2,0,1,24,6,0,1,4,3,1,1,2,249,0,0,4
"RP11-293P20.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"MYOM3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"IL22RA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0
"IFNLR1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0
"STPG1",0,0,0,0,0,2,0,0,0,2,0,0,0,0,162,0,0,2
"NIPAL3",0,2,4,1,0,8,6,0,0,1,0,0,1,0,249,0,0,2
"RCAN3",0,2,1,0,0,5,8,0,0,26,5,2,1,5,72,0,0,0
"NCMAP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
"SRRM1",1,4,8,1,6,53,12,2,5,25,2,3,5,6,803,0,2,7
"CLIC4",0,0,0,0,1,16,0,2,1,2,0,0,0,0,18,2,0,17
"RUNX3",0,2,10,4,0,0,22,0,1,28,6,1,4,2,4,0,0,0
"SYF2",0,11,13,2,4,87,49,14,3,49,14,6,7,7,1635,3,4,21
"RP3-465N24.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
"TMEM50A",1,5,14,8,12,97,36,3,2,48,8,8,3,4,1295,0,7,44
"TMEM57",0,0,4,0,0,2,2,0,0,2,0,0,0,0,116,0,0,0
"LDLRAP1",0,0,1,0,0,11,2,0,0,10,0,0,1,0,230,0,0,2
"RP11-70P17.1",0,0,1,0,0,2,0,0,0,2,0,0,0,0,11,0,0,0
"SEPN1",2,0,1,0,0,17,0,0,0,3,0,0,0,0,91,0,0,10
"MTFR1L",0,0,0,0,2,32,9,4,2,7,0,2,3,2,318,1,0,3
"STMN1",0,2,10,0,5,69,12,18,0,10,5,2,16,1,2543,1,0,16
"PAFAH2",0,0,1,0,0,1,2,0,0,4,3,0,0,1,191,0,1,0
"SLC30A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
"PDIK1L",0,0,0,0,0,0,1,0,0,0,1,0,0,0,37,0,0,0
"FAM110D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"ZNF593",0,0,7,0,0,27,13,1,0,10,0,1,1,2,966,5,2,8
"CNKSR1",0,0,0,0,0,4,0,0,0,0,0,0,1,0,275,0,0,0
"CEP85",0,0,0,0,0,0,0,1,0,0,0,0,0,0,35,0,0,0
"SH3BGRL3",27,83,217,30,3,236,758,73,14,842,184,93,41,127,15007,10,54,76
"UBXN11",0,1,3,0,0,5,4,0,0,10,1,0,1,2,159,0,0,4
"CD52",6,65,79,22,0,5,628,16,17,744,173,68,12,154,16,4,38,1
"AIM1L",0,1,0,0,0,0,1,0,0,0,0,0,0,0,49,0,0,0
"ZNF683",0,0,0,0,0,0,3,0,0,0,9,0,0,0,1,0,0,0
"DHDDS",0,0,4,0,0,10,7,1,0,5,1,1,1,3,371,0,0,2
"HMGN2",0,5,39,2,11,181,64,5,1,89,17,10,13,15,6262,4,6,20
"RPS6KA1",0,2,5,1,0,1,13,0,1,8,2,0,1,1,570,0,0,0
"ARID1A",0,0,4,0,0,6,3,0,0,5,0,0,0,1,232,0,2,0
"PIGV",0,0,0,0,0,8,2,0,0,1,1,0,0,0,171,0,1,0
"ZDHHC18",0,0,0,0,0,2,1,0,0,4,0,1,0,0,135,0,0,1
"SFN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3308,0,0,0
"GPN2",1,0,3,0,0,6,9,1,0,2,1,3,0,2,258,0,1,7
"GPATCH3",2,0,1,1,1,4,7,0,0,2,1,0,0,0,79,0,0,0
"NUDC",1,1,13,2,2,80,35,5,1,36,7,6,3,1,1733,6,1,20
"NR0B2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0
"SLC9A1",0,0,1,0,0,2,2,0,0,0,2,0,0,0,188,0,0,0
"WDTC1",0,0,2,0,0,1,1,0,0,0,1,0,0,0,172,0,0,0
"TMEM222",0,1,2,0,1,29,7,0,0,3,0,1,0,3,240,0,2,3
"SYTL1",0,1,1,0,0,0,8,0,1,25,2,3,0,4,44,4,0,0
"MAP3K6",0,0,0,0,0,6,1,0,0,0,0,0,0,0,34,1,1,1
"WASF2",0,3,15,0,1,113,14,1,0,19,10,2,2,2,1154,0,1,24
"AHDC1",0,0,0,0,0,10,1,0,0,1,0,0,0,1,42,0,0,3
"FGR",0,1,6,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
"IFI6",2,2,5,0,1,34,12,2,0,11,3,0,1,1,62,3,0,37
"FAM76A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
"STX12",0,0,3,0,0,15,2,1,1,5,1,0,0,1,243,2,0,2
"PPP1R8",0,0,2,0,0,10,8,1,1,2,2,0,0,1,167,1,0,3
"THEMIS2",1,0,15,0,0,12,0,0,1,3,2,0,2,2,0,1,0,2
"RPA2",2,6,3,0,1,37,32,0,0,26,10,1,4,4,398,2,3,9
"SMPDL3B",0,0,0,0,0,0,0,0,0,0,0,0,1,0,513,0,0,1
"XKR8",0,0,0,0,1,7,8,1,0,7,2,0,2,2,100,0,3,3
"EYA3",0,0,2,0,0,4,4,0,0,1,0,0,0,0,84,0,1,2
"PTAFR",2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"DNAJC8",1,5,13,1,1,89,39,8,1,22,10,4,3,6,973,3,0,19
"ATPIF1",4,6,25,2,14,96,63,7,1,49,8,9,6,6,10869,8,8,46
"RP5-1092A3.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
"SESN2",0,1,5,1,0,1,2,0,0,0,1,1,0,0,169,0,0,0
"MED18",0,0,0,0,0,4,2,0,0,1,0,0,0,0,90,0,0,0
"PHACTR4",0,0,5,0,0,4,1,0,0,1,0,0,0,0,285,0,1,4
"RCC1",0,0,2,1,0,2,1,0,0,1,0,1,1,0,217,0,0,3
"TRNAU1AP",2,3,5,0,2,14,11,0,0,9,1,0,0,0,240,0,1,6
"SNHG12",1,5,7,3,0,9,8,1,1,27,4,1,3,0,231,3,1,0
"TAF12",0,6,9,0,2,57,37,1,0,27,9,2,2,1,430,1,1,9
"RAB42",2,0,1,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0
"RP11-442N24--B.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
"GMEB1",1,0,2,0,0,4,1,0,0,3,0,0,0,1,94,0,0,1
"YTHDF2",0,1,7,0,0,19,16,5,0,25,4,4,4,0,547,2,3,11
"EPB41",0,0,0,0,0,0,2,0,0,9,1,1,0,2,255,0,1,0
