"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Enteric glia cells","Fibroblasts","gdTcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Regulatory CD4 Tcells","Vascular ECs"
"RPL13A",48,324,1183,148,68,4713,2500,193,250,3635,738,465,244,448,154902,213,252,580
"RPS11",6,24,169,13,13,520,257,21,23,377,79,38,25,48,17921,21,25,83
"FCGRT",18,1,111,0,3,175,15,0,0,5,2,0,0,3,9038,1,0,33
"RCN3",0,0,0,0,0,40,0,0,0,0,1,0,0,0,202,0,0,4
"NOSIP",0,3,9,2,0,72,43,2,2,61,7,14,1,10,2453,1,1,38
"PRRG2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,252,0,0,0
"PRR12",0,0,1,0,0,3,1,0,0,1,0,0,0,0,53,2,0,1
"RRAS",1,0,1,0,1,43,2,0,2,4,2,0,0,1,248,0,0,18
"SCAF1",0,0,0,0,1,4,2,0,0,4,0,0,0,1,186,0,0,0
"IRF3",0,2,1,1,0,26,15,0,0,19,6,1,2,3,473,1,4,6
"BCL2L12",0,1,1,0,0,13,10,0,1,13,1,4,0,2,398,0,0,1
"PRMT1",0,4,20,0,2,111,37,6,1,47,8,6,3,6,1876,2,3,31
"ADM5",0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2
"CPT1C",0,0,0,0,0,9,0,0,0,1,0,0,0,0,5,1,0,5
"AP2A1",0,0,3,0,0,11,14,0,0,3,1,0,1,1,333,1,1,2
"FUZ",0,1,1,0,1,4,2,0,0,1,1,1,0,0,99,0,0,3
"MED25",0,0,4,1,0,4,2,0,0,6,1,0,0,0,211,1,0,1
"PTOV1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
"PTOV1",0,0,1,1,1,49,5,1,0,5,2,0,0,2,592,0,0,3
"PNKP",0,1,6,1,0,14,13,0,0,6,1,1,4,2,338,4,2,6
"AKT1S1",0,0,1,0,1,21,2,0,0,3,1,1,1,0,348,0,1,1
"TBC1D17",0,1,2,0,2,14,2,0,0,5,0,1,1,1,209,0,2,5
"IL4I1",1,0,1,0,0,0,0,0,0,21,1,0,0,1,0,0,1,0
"NUP62",0,0,3,1,0,5,7,0,0,7,1,0,0,0,265,2,2,2
"ATF5",0,0,5,0,0,5,0,0,0,7,0,0,0,1,149,1,0,2
"VRK3",0,3,6,1,0,12,13,0,1,14,2,2,2,4,500,3,1,8
"ZNF473",0,0,0,0,0,0,1,0,0,0,0,1,0,0,30,0,0,0
"IZUMO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"MYH14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1425,0,0,0
"NR1H2",0,1,7,2,1,34,14,3,1,15,1,6,0,4,462,2,2,16
"NAPSA",1,0,9,0,0,1,5,0,1,0,0,0,0,0,10,0,0,0
"POLD1",0,0,1,0,0,4,2,0,0,2,0,0,0,2,144,0,1,0
"SPIB",0,0,3,0,0,2,1,0,0,0,0,0,0,0,594,0,0,0
"FAM71E1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0
"EMC10",0,2,3,2,2,19,18,0,2,13,3,2,2,1,871,1,0,11
"JOSD2",1,4,6,2,8,48,13,2,0,21,4,0,5,1,906,1,3,6
"CLEC11A",0,0,2,0,2,159,0,0,0,0,0,0,0,0,90,0,0,0
"C19orf48",1,0,0,0,0,10,5,0,1,4,3,0,0,0,943,2,0,0
"KLK1",0,0,0,0,0,0,3,0,3,0,0,0,0,0,4835,0,0,0
"KLK15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0
"AC011523.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0
"KLK3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0
"KLK4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0
"KLK11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
"KLK12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
"CTU1",0,0,0,0,0,7,0,0,0,2,0,0,0,0,73,0,0,0
"CD33",1,0,26,0,0,1,0,3,0,0,0,0,0,0,7,1,0,0
"VSIG10L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"ETFB",3,0,13,3,5,104,72,4,0,45,13,3,1,14,6920,2,3,43
"CLDND2",0,0,0,0,0,5,2,0,0,0,0,0,0,0,70,0,0,1
"NKG7",0,35,2,56,0,0,591,0,0,41,127,0,123,90,13,0,1,0
"SIGLEC10",3,0,7,0,0,3,2,2,1,0,0,0,0,0,6,0,0,1
"SIGLEC5",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ZNF577",0,0,0,0,1,2,1,0,0,0,0,0,0,2,56,0,0,1
"ZNF613",0,0,0,0,0,3,1,0,1,1,0,0,0,0,16,0,0,0
"ZNF649",0,0,0,0,0,6,2,0,0,0,0,0,0,0,36,1,0,2
"ZNF350",0,1,0,0,0,1,3,0,0,6,1,1,0,0,62,0,1,0
"ZNF615",0,0,0,0,1,1,1,0,1,1,0,0,0,0,18,0,0,0
"ZNF614",0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,1
"ZNF432",0,0,0,0,0,4,1,0,0,2,0,0,0,0,18,0,1,0
"ZNF841",0,0,0,0,0,1,0,0,0,0,0,0,1,0,12,0,1,0
"ZNF616",0,0,0,0,0,2,1,0,0,0,0,0,0,0,19,0,0,0
"ZNF836",0,0,0,0,0,5,2,0,0,2,0,1,0,0,28,0,0,2
"PPP2R1A",2,4,12,5,4,82,22,3,0,25,6,0,4,3,2125,2,6,37
"ZNF766",0,0,0,0,0,2,7,1,0,7,1,0,0,0,109,0,0,1
"ZNF480",0,0,1,0,0,3,18,3,0,13,1,1,0,0,230,0,1,2
"ZNF880",0,0,1,0,0,3,11,0,0,8,0,1,0,1,56,0,0,2
"ZNF528",0,1,0,0,0,1,1,0,0,0,2,0,0,0,18,0,0,1
"ZNF808",0,0,0,0,0,1,0,0,0,4,0,0,0,0,25,0,0,0
"ZNF701",0,1,1,0,0,5,6,0,0,1,1,0,0,1,92,1,2,0
"ZNF83",0,0,4,0,0,14,5,1,0,4,2,3,2,2,92,0,0,1
"ZNF611",0,0,0,0,0,1,1,0,0,3,0,0,1,0,43,0,0,0
"ZNF600",0,2,1,1,0,2,5,0,0,6,0,0,1,0,113,0,0,0
"ZNF28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0
"ZNF468",0,0,0,0,0,0,6,0,0,1,2,0,0,0,81,0,0,0
"ZNF320",0,0,0,0,1,3,3,0,0,1,1,0,0,0,69,0,0,0
"CTD-2331H12.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
"ZNF816",0,0,1,0,0,2,4,0,1,0,1,1,1,1,72,0,1,1
"ZNF160",0,0,4,0,1,7,4,0,0,1,2,0,0,0,74,0,0,1
"ZNF415",0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0
"ZNF347",0,0,0,0,0,1,1,0,0,5,0,0,0,0,18,0,0,0
"ZNF665",0,0,0,0,0,1,0,1,0,1,0,0,1,0,16,0,0,1
"ZNF677",0,1,1,0,3,10,2,0,0,3,0,0,0,6,23,0,0,2
"ZNF525",0,0,3,0,0,2,0,0,0,0,0,0,0,0,36,0,0,0
"ZNF845",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
"ZNF765",0,0,0,0,0,2,0,0,0,1,0,0,0,0,16,0,0,1
"ZNF761",0,1,0,0,0,6,1,0,0,2,1,0,0,0,63,0,0,0
"ZNF813",0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
"ZNF331",0,12,26,7,2,7,18,2,4,112,13,9,9,15,50,3,5,1
"MYADM",0,5,16,3,2,25,12,15,0,59,7,4,5,3,246,2,0,6
"CACNG8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0
"NDUFA3",3,5,11,2,1,63,22,7,0,21,8,6,2,8,2497,5,1,19
"TFPT",4,0,9,0,3,10,9,1,0,18,3,0,0,1,285,0,0,15
"PRPF31",1,4,9,0,1,32,22,2,0,17,2,0,2,1,669,0,1,8
"CNOT3",0,1,1,0,0,7,3,1,0,5,0,1,0,2,215,0,0,3
"LENG1",0,0,3,0,0,20,16,2,1,15,6,6,2,3,293,0,2,3
"TMC4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1201,0,0,0
"MBOAT7",0,1,9,0,0,7,4,6,0,8,0,1,0,2,637,0,0,5
"TSEN34",1,5,12,0,2,74,14,1,0,5,5,2,2,2,1147,2,0,9
"RPS9",31,87,573,55,15,1990,776,49,64,1005,217,116,76,132,66539,96,78,323
"LILRB3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"LAIR1",0,1,6,0,0,0,12,7,2,17,5,0,0,3,0,1,0,0
"LENG8-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"LENG8",0,0,3,1,2,13,5,0,0,7,2,0,0,1,391,2,0,1
"LENG9",0,0,0,0,0,4,2,0,0,2,0,0,0,0,254,0,0,2
"CDC42EP5",0,0,0,0,4,25,1,0,0,0,0,0,0,0,2241,0,0,13
"LILRB1",0,0,1,0,0,0,2,0,2,0,0,0,0,0,2,0,0,1
"KIR2DL3",0,0,0,0,0,0,21,0,0,0,0,0,0,2,0,0,0,0
"NLRP7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"NLRP2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,0,0,0
"RDH13",0,0,2,0,0,0,3,0,0,1,3,0,0,0,233,0,0,0
"EPS8L1",0,0,0,0,0,0,5,0,0,0,0,0,0,0,164,0,0,1
"PPP1R12C",0,0,2,0,0,9,1,0,0,4,0,0,0,0,214,0,2,2
"TNNI3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
"SYT5",0,0,0,0,0,0,0,0,0,2,0,0,2,1,19,0,0,0
"PTPRH",0,0,0,0,0,0,1,0,0,0,0,0,0,0,494,0,0,0
"CTD-2587H24.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
"TMEM86B",1,1,0,0,0,1,0,0,0,1,0,0,0,0,32,0,0,2
"PPP6R1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
"HSPBP1",2,0,0,1,3,13,14,0,0,11,3,0,1,3,706,0,1,6
"BRSK1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
"TMEM150B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0
"COX6B2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0
"TMEM238",0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0
"RPL28",31,128,449,51,24,1345,723,74,65,1173,212,121,78,139,44292,31,71,198
"UBE2S",0,4,13,7,1,20,4,0,5,61,7,0,1,1,549,1,6,3
"ISOC2",2,1,8,0,3,54,15,0,0,4,2,1,4,1,2452,4,0,13
"ZNF628",0,1,1,0,0,0,1,0,0,6,2,0,0,0,38,0,0,0
"NAT14",0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0
"SSC5D",0,0,3,0,1,10,0,0,0,0,0,0,0,0,1,0,0,0
"ZNF579",0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0
"FIZ1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,57,0,0,0
"ZNF524",1,1,6,0,1,17,7,0,0,11,3,1,0,1,704,0,2,4
"ZNF865",0,0,0,0,0,4,0,0,0,2,1,0,0,0,66,0,0,0
"ZNF784",0,0,0,0,0,1,0,0,0,1,0,0,0,0,74,0,0,0
"ZNF580",1,0,6,0,1,40,16,3,0,4,2,0,0,0,457,0,0,10
"ZNF581",0,1,7,0,0,21,4,0,2,6,7,0,0,3,355,1,0,3
"CCDC106",0,0,2,0,0,4,0,0,0,1,1,0,0,1,150,1,0,3
"U2AF2",0,0,2,0,0,9,4,0,0,9,4,0,2,0,407,2,0,2
"EPN1",0,0,4,0,0,11,5,0,1,6,0,1,0,1,1147,2,0,9
"ZNF787",0,0,1,0,0,1,0,0,0,0,0,0,0,0,188,0,0,1
"ZNF444",0,0,0,0,0,9,3,0,0,1,1,4,0,1,287,0,0,4
"ZSCAN5A",2,0,2,0,0,2,1,0,0,1,0,0,0,0,63,0,2,4
