"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Vascular ECs"
"AP006222.2",137,0,14,0,1,0,3,52,3,1,0,1,0,6,21,4,3,5,0,2,0,58,39,2,0,0,0,9
"RP4-669L17.10",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
"RP11-206L10.9",7,0,2,0,0,0,0,5,0,0,0,1,0,1,4,1,0,0,0,0,0,8,5,1,0,0,0,0
"LINC00115",2,0,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,2
"FAM41C",34,2,6,0,0,0,0,5,0,0,0,0,1,0,6,1,0,1,0,0,0,13,12,0,0,0,0,1
"RP11-54O7.1",3,0,2,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,9,0,0,0,0,1,0
"SAMD11",2,1,0,0,0,0,1,207,0,0,0,1,0,0,0,0,19,0,0,0,0,0,2,0,0,0,0,1
"NOC2L",67,4,28,2,1,0,2,133,4,8,2,6,0,10,77,24,4,13,1,10,4,267,152,7,3,3,11,22
"KLHL17",1,1,0,0,0,0,0,3,0,1,0,1,0,0,3,0,0,0,0,1,0,4,6,1,0,0,0,1
"PLEKHN1",1,1,0,0,1,0,0,8,1,0,0,1,0,0,4,6,0,0,0,0,0,0,8,0,0,0,0,0
"RP11-54O7.17",71,0,10,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,1,0,1
"HES4",234,0,51,0,0,0,3,88,5,4,2,1,1,0,23,7,10,2,0,1,0,85,8,42,0,0,1,23
"ISG15",918,16,169,17,4,7,20,552,35,24,16,19,6,11,430,142,14,56,1,29,19,149,396,375,16,32,40,229
"AGRN",7,0,3,0,0,0,1,30,1,0,0,0,0,0,1,1,0,1,0,1,1,40,2,1,0,0,1,5
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
"C1orf159",17,0,6,0,0,0,1,23,0,1,0,1,1,0,12,0,2,2,0,0,1,49,15,0,1,1,0,4
"RP11-465B22.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0
"TTLL10",1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0
"TNFRSF18",6,0,3,2,0,0,0,2,21,10,5,35,1,0,105,10,0,11,0,43,6,2,618,7,10,0,59,5
"TNFRSF4",23,0,6,0,0,1,0,1,5,9,6,27,0,1,148,3,0,30,0,11,0,1,387,14,21,0,86,93
"SDF4",269,9,87,1,0,2,8,522,11,16,1,9,5,11,122,37,7,28,0,16,1,583,755,20,2,4,15,66
"B3GALT6",41,1,12,0,1,0,0,17,1,2,0,1,0,1,12,3,0,5,1,2,0,45,18,4,1,0,0,3
"FAM132A",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,81,1,0,0,0,0,11
"UBE2J2",121,5,58,2,1,1,4,150,8,5,0,4,5,6,81,35,4,22,1,10,5,229,223,11,4,7,7,27
"ACAP3",32,1,9,0,1,1,0,57,1,0,3,0,1,1,14,5,1,8,0,2,1,61,82,3,3,1,2,4
"PUSL1",28,0,17,2,0,0,0,42,0,1,1,1,0,1,16,6,1,4,0,3,0,90,63,4,2,0,4,7
"CPSF3L",71,6,39,3,0,1,4,149,7,3,1,2,0,8,64,23,5,11,1,5,1,287,142,10,4,1,4,36
"TAS1R3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,32,0,0,0,0,0
"DVL1",18,0,2,0,0,0,1,16,0,0,0,0,0,2,1,0,2,0,0,0,0,99,7,0,0,0,0,3
"MXRA8",6,0,1,0,0,0,12,672,1,0,0,0,0,1,0,1,31,0,0,0,0,0,3,0,0,1,0,2
"AURKAIP1",682,13,174,3,6,3,10,453,28,13,5,12,12,27,215,84,17,47,2,28,7,2592,1155,60,5,8,28,83
"CCNL2",42,0,24,1,0,1,5,152,5,3,2,5,1,9,55,16,7,10,1,3,1,172,96,5,1,1,6,27
"MRPL20",754,9,230,7,4,1,20,383,17,13,4,9,10,33,245,96,21,55,0,30,3,1539,875,49,6,7,24,107
"ANKRD65",5,0,1,0,0,0,0,31,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,18
"VWA1",1,0,1,0,0,0,16,118,0,0,0,0,0,0,0,0,6,0,0,0,0,28,1,0,0,0,0,261
"ATAD3C",21,0,1,0,0,0,0,7,1,0,0,0,0,1,11,1,0,0,0,2,1,16,130,0,0,0,1,3
"ATAD3B",25,3,13,0,0,0,2,27,0,1,0,2,0,4,15,7,1,1,1,3,0,91,36,7,3,0,2,3
"ATAD3A",42,0,21,0,0,0,0,31,0,1,0,0,1,3,10,7,0,4,0,3,1,132,71,3,1,3,3,12
"SSU72",616,10,160,7,2,3,9,347,20,11,3,9,4,29,205,86,10,41,5,24,7,1041,547,31,8,9,31,80
"AL645728.1",8,1,4,0,0,0,0,12,0,1,0,1,0,1,4,3,1,2,0,0,0,19,14,0,0,0,0,2
"C1orf233",25,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
"RP11-345P4.9",32,1,5,0,0,0,3,26,0,0,0,0,0,0,9,0,2,4,0,1,1,22,16,0,0,0,0,1
"MIB2",28,3,11,4,2,2,3,54,15,4,0,5,1,3,73,31,3,17,0,13,2,181,112,4,2,1,7,11
"MMP23B",3,1,0,0,1,0,1,299,4,1,0,0,0,0,6,6,13,0,0,2,0,10,18,0,0,1,0,0
"CDK11B",26,0,10,2,0,0,1,52,5,4,0,1,0,4,20,10,3,4,0,2,0,168,44,1,0,2,3,18
"RP11-345P4.10",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"SLC35E2B",49,4,11,1,1,1,3,91,4,4,0,2,0,7,48,11,4,4,0,3,2,181,65,0,3,2,6,14
"CDK11A",7,0,3,1,0,0,0,12,1,1,0,0,0,2,12,9,0,1,0,2,1,23,18,1,2,1,0,2
"SLC35E2",2,0,0,0,0,0,0,9,0,0,0,0,0,0,1,5,1,0,0,0,0,4,2,0,0,0,0,0
"NADK",182,2,43,1,1,0,1,51,0,2,1,2,0,3,17,9,0,4,0,2,0,209,62,16,0,1,1,14
"GNB1",445,4,117,0,2,1,7,138,8,5,0,7,3,5,75,23,10,17,0,6,3,486,117,28,4,3,7,44
"TMEM52",0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,37,41,1,0,0,1,0
"RP11-547D24.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,2,1,0,0,0,0,0
"PRKCZ",7,1,3,1,0,1,3,25,1,3,0,2,0,2,12,12,1,1,0,0,0,122,49,2,0,2,3,6
"RP5-892K4.1",9,0,6,0,0,0,0,15,2,0,0,0,1,2,9,5,1,1,0,2,0,33,11,3,0,0,1,4
"SKI",48,1,8,0,0,0,1,54,4,3,0,0,1,1,11,7,1,3,0,5,0,37,4,1,0,0,1,7
"MORN1",1,0,4,0,0,0,0,8,0,0,0,0,0,3,4,0,1,0,0,1,0,13,13,0,0,0,0,3
"RER1",486,10,123,0,2,3,9,366,20,20,4,5,4,17,143,57,16,33,0,12,4,1032,730,35,2,2,13,38
"PEX10",59,0,8,0,0,0,3,31,1,1,0,2,2,1,10,0,2,0,0,0,1,78,53,6,0,0,1,6
"PLCH2",0,1,0,0,0,0,0,0,0,1,0,0,0,1,10,3,0,1,0,3,0,0,25,0,0,0,2,0
"PANK4",4,1,4,0,0,0,0,34,0,0,0,0,0,0,12,3,1,3,0,0,0,24,19,2,1,0,1,5
"HES5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
"RP3-395M20.12",168,1,45,0,0,1,0,2,1,1,1,1,0,5,37,10,0,6,0,6,1,54,15,19,0,0,5,1
"RP3-395M20.8",17,1,1,0,0,0,0,8,0,1,0,1,0,0,8,4,0,2,0,3,0,135,23,0,0,0,1,6
"TNFRSF14",603,10,135,2,3,4,7,265,7,14,7,8,3,28,195,54,6,45,1,7,1,394,546,66,2,1,37,49
"RP3-395M20.9",1,0,0,1,0,0,0,0,0,0,0,0,0,1,7,3,0,3,0,0,0,35,8,1,0,0,1,0
"FAM213B",53,0,6,0,0,0,2,16,1,0,0,1,0,3,17,3,1,2,0,2,0,240,18,1,0,0,1,12
"MMEL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,111,0,0,0,0,1,2
"ARHGEF16",2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,159,2,0,0,0,0,0
"MEGF6",7,0,0,0,1,0,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1
"TPRG1L",43,0,10,0,1,0,0,49,2,1,0,1,0,2,14,9,1,0,0,0,0,211,32,0,0,1,1,11
"WRAP73",23,0,23,1,4,0,5,77,5,2,0,1,1,4,41,12,1,8,1,4,5,122,86,5,1,1,4,16
"TP73",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,1
"TP73-AS1",15,0,7,0,0,0,3,33,0,1,0,0,0,3,3,0,2,2,0,2,1,0,12,1,0,0,0,5
"SMIM1",7,1,3,0,0,0,0,19,0,0,0,2,3,0,4,1,0,0,0,1,0,14,108,1,0,0,0,2
"LRRC47",36,1,23,0,1,1,1,102,1,4,1,0,3,4,39,21,4,6,0,3,1,144,88,2,2,1,2,23
"CEP104",38,2,9,0,0,0,1,35,0,2,0,1,1,1,26,10,1,4,0,2,0,93,38,4,1,1,1,8
"DFFB",5,0,3,1,0,0,0,10,0,1,0,0,0,0,6,2,0,0,0,0,0,31,11,0,1,0,4,3
"C1orf174",75,1,27,1,1,0,3,74,2,1,1,3,2,4,30,8,0,3,0,3,1,135,53,8,2,0,6,12
"AJAP1",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"NPHP4",7,0,1,0,0,0,0,9,1,0,0,0,0,0,1,0,0,0,0,0,0,11,3,1,0,0,0,4
"KCNAB2",142,7,33,0,3,2,0,4,4,4,0,0,0,2,54,16,0,8,0,4,0,1,37,6,2,2,12,1
"RPL22",5286,150,2640,46,29,42,64,4366,171,213,69,162,125,508,3112,911,126,836,41,171,75,12559,5820,435,66,42,356,610
"RP1-120G22.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0
"RNF207",5,0,4,0,0,0,0,9,0,0,0,3,0,0,11,1,0,1,0,0,0,29,19,3,0,0,0,2
"ICMT",88,0,11,0,0,0,1,59,6,3,1,0,0,1,17,9,3,2,1,2,1,197,50,4,0,5,1,10
"LINC00337",1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0
"GPR153",0,0,1,0,0,0,1,22,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0
"ACOT7",65,1,14,5,1,0,3,87,5,0,0,0,17,0,27,22,1,3,0,4,1,485,21,6,5,4,5,3
"RP1-202O8.3",1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,1,0
"HES2",1,0,1,0,0,0,0,5,0,0,0,0,0,0,1,1,0,1,0,0,0,152,2,0,0,0,0,1
"ESPN",1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,178,0,0,0,0,0,0
"TNFRSF25",7,4,0,0,0,1,0,2,0,8,4,24,1,0,116,10,0,23,0,0,1,52,3,0,3,1,20,4
"PLEKHG5",7,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,11,1,0,0,0,0,2
"NOL9",21,1,10,0,1,0,0,36,2,1,0,1,0,3,14,2,1,3,0,1,1,87,26,2,0,0,0,10
"ZBTB48",27,0,18,0,0,0,0,36,3,2,2,2,1,1,19,7,2,3,0,1,1,46,34,4,0,0,2,7
"KLHL21",37,2,8,0,1,0,1,27,0,1,0,0,1,1,9,7,2,1,0,0,0,18,27,2,0,1,2,5
"PHF13",10,0,2,0,0,0,0,15,0,0,0,0,0,0,6,2,1,1,0,0,0,12,9,0,0,0,0,3
"THAP3",21,0,7,0,1,0,1,82,1,3,0,0,0,2,8,5,2,1,0,2,0,55,49,2,1,0,1,6
"DNAJC11",21,2,7,0,0,0,0,21,1,0,0,0,0,3,9,2,0,1,0,3,0,141,27,3,0,1,1,1
"RP11-242F24.1",2,0,0,0,0,0,0,3,0,0,0,0,0,1,3,0,0,0,0,0,0,9,2,1,0,0,0,0
"RP11-312B8.1",2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
"CAMTA1",771,8,151,2,1,3,14,275,4,7,3,11,8,12,104,41,26,18,1,8,4,2052,472,42,8,6,15,143
"VAMP3",257,1,55,2,0,0,7,206,1,3,0,3,0,2,28,10,12,5,0,3,0,271,52,11,1,2,3,76
"PER3",82,1,13,0,0,0,4,74,1,0,0,0,0,0,6,1,3,1,0,0,0,56,9,1,0,0,0,17
"UTS2",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,2,0,13,0,0,0,3,0
"TNFRSF9",5,6,3,1,0,0,0,0,2,0,0,0,0,0,2,6,0,1,0,1,0,0,0,1,1,0,11,0
"PARK7",1042,27,420,19,7,11,39,1351,62,45,12,26,16,52,403,184,45,84,6,54,29,2263,1373,104,37,20,75,178
"ERRFI1",22,0,4,0,0,0,0,33,0,0,0,0,1,2,9,8,0,0,1,1,0,73,9,0,0,0,2,14
"SLC45A1",2,0,0,0,0,0,1,5,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,3
"RERE",50,0,14,0,1,0,2,89,1,1,0,3,3,1,15,3,2,5,0,4,0,230,22,6,0,0,1,17
"ENO1",1358,29,650,23,12,14,33,699,79,58,19,46,22,54,784,263,41,136,6,59,22,2641,652,224,53,42,106,162
"ENO1-AS1",1,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,9,14,2,0,0,0,0
"SLC2A5",8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,32,24,0,0,0,0,0
"GPR157",7,0,11,0,0,0,0,6,1,0,0,0,0,1,2,1,1,2,0,2,0,49,9,9,0,0,0,2
"RP3-510D11.2",2,0,0,0,0,0,0,11,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1
"H6PD",41,0,6,0,0,0,0,54,2,1,0,0,0,0,10,4,2,3,0,0,0,108,12,1,0,0,0,5
"SPSB1",6,1,1,0,0,0,0,37,0,0,0,0,0,2,5,1,4,0,0,0,1,57,7,1,2,0,1,1
"SLC25A33",121,2,99,1,0,0,0,24,2,1,0,1,1,9,27,5,2,9,0,4,0,204,79,12,1,1,1,9
"TMEM201",4,1,4,0,0,0,0,7,0,0,0,0,0,0,2,0,0,1,0,0,0,18,2,0,1,0,0,3
"PIK3CD",34,1,31,2,1,0,0,2,4,2,0,1,0,1,24,14,1,5,0,7,0,2,5,7,0,1,6,1
"CLSTN1",20,2,9,0,2,2,3,102,6,3,0,1,2,9,34,8,2,14,0,5,0,264,39,5,0,1,8,13
"CTNNBIP1",237,3,71,0,0,1,1,38,4,0,0,2,1,1,28,13,2,1,1,8,1,215,91,5,0,2,4,24
"LZIC",80,2,21,2,1,0,1,65,2,6,0,0,1,7,28,17,3,9,0,2,1,142,48,12,1,2,7,8
"NMNAT1",20,2,8,0,1,0,1,26,2,0,0,1,0,1,9,6,0,3,0,0,0,120,16,2,0,0,2,3
"RBP7",19,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,151
"UBE4B",50,1,12,0,0,0,1,34,1,3,0,1,0,1,21,11,0,1,0,3,0,94,43,1,1,3,1,5
"KIF1B",84,0,5,0,0,1,2,36,0,0,0,0,0,1,4,6,1,2,0,0,0,158,15,1,0,0,0,2
"PGD",269,1,76,0,0,0,1,56,4,2,1,2,1,3,19,5,0,3,0,2,0,238,136,18,1,1,4,22
"APITD1",28,0,8,0,0,0,0,22,0,0,0,0,0,0,5,2,2,1,0,0,0,93,27,0,4,5,0,11
"DFFA",76,3,19,0,1,0,2,92,5,2,1,2,1,7,27,17,4,4,0,3,0,178,67,5,2,2,2,44
"PEX14",14,1,5,0,0,0,2,28,1,0,0,1,0,2,7,5,3,2,0,2,1,38,29,5,1,0,0,10
"CASZ1",4,0,4,0,0,0,0,0,0,0,1,1,0,1,3,0,0,0,0,1,0,141,1,1,0,0,0,8
"C1orf127",10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0
"TARDBP",160,5,54,1,0,2,7,160,5,8,2,7,2,19,87,25,6,11,0,5,2,400,136,9,2,5,7,33
"MASP2",0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"RP4-635E18.8",10,0,4,0,0,1,0,6,0,2,0,1,0,1,11,4,0,2,0,1,2,41,5,1,0,0,0,1
"SRM",275,4,100,2,1,2,8,207,11,5,2,4,3,15,90,39,8,25,1,14,0,340,1390,13,12,2,14,29
"EXOSC10",33,1,13,0,0,0,4,38,2,0,0,0,2,1,19,4,3,1,0,2,0,124,34,2,1,2,2,4
"RP4-635E18.6",8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0
"MTOR",32,0,7,0,0,1,0,24,0,0,1,0,1,1,5,2,1,1,0,2,0,70,11,4,1,1,1,3
"UBIAD1",30,2,11,1,1,2,2,28,4,2,1,1,0,5,31,9,0,3,1,2,0,66,52,1,0,0,0,5
"FBXO2",2,3,0,0,1,0,0,4,1,1,0,0,0,1,9,13,0,2,0,0,0,0,25,0,0,0,1,0
"FBXO44",15,0,9,0,0,0,0,41,3,2,1,0,0,4,19,11,3,0,0,3,0,5,33,0,0,1,2,3
"FBXO6",74,2,38,1,0,1,1,35,6,3,2,0,0,1,24,15,0,3,0,5,1,31,75,37,2,5,2,1
"MAD2L2",169,5,68,3,1,0,3,153,7,2,1,1,1,6,50,28,4,6,2,10,1,59,124,23,2,6,7,19
"DRAXIN",13,2,1,0,0,0,0,13,2,2,0,1,0,2,6,5,0,3,0,1,2,26,15,0,0,0,4,1
"AGTRAP",131,5,34,1,4,0,2,331,4,4,1,0,1,3,58,38,5,7,0,17,3,87,32,15,4,1,4,27
"C1orf167",1,0,0,0,0,0,1,53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,1,2
"MTHFR",67,1,16,0,0,0,3,105,3,0,0,0,0,2,11,7,1,3,0,4,1,67,21,9,0,0,0,9
"CLCN6",22,0,7,0,0,0,1,20,1,1,0,0,0,0,5,1,0,2,0,0,0,21,8,1,0,0,1,4
"NPPA-AS1",4,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,1,0,0,0,0
"KIAA2013",104,1,21,0,1,0,3,72,2,2,1,1,0,5,13,9,5,2,0,4,0,340,73,5,1,2,2,5
"PLOD1",86,0,16,0,1,0,1,198,0,0,0,0,0,1,6,2,8,0,0,1,1,36,78,4,0,0,0,20
"MFN2",68,1,14,0,0,0,1,20,1,1,0,1,1,0,7,1,5,1,0,0,0,179,18,4,0,0,4,4
"MIIP",85,1,16,0,0,0,3,32,4,1,0,1,2,4,28,14,2,6,0,4,0,87,54,7,0,2,5,5
"TNFRSF8",4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,5,1
"TNFRSF1B",269,9,104,4,3,3,1,57,14,12,2,1,0,8,82,42,3,16,1,6,0,10,16,30,8,1,43,17
"VPS13D",36,2,12,1,0,0,3,30,0,0,0,1,1,1,7,3,2,1,0,2,0,84,6,1,0,0,2,3
"DHRS3",164,3,22,1,2,0,26,30,3,0,0,9,0,0,38,5,0,4,0,15,0,152,0,1,1,0,0,44
"HNRNPCL1",2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,3,0,0,0,1,0
"PDPN",3,0,1,0,0,0,11,259,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
"PRDM2",50,5,20,2,0,0,1,45,1,3,1,5,3,24,27,14,2,9,0,4,0,82,63,1,1,4,5,3
"KAZN",2,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,1,0,0,0,0,22,0,0,0,0,0,7
"TMEM51",158,0,29,0,0,0,0,75,0,0,0,0,1,0,0,1,1,0,0,0,0,104,14,9,0,0,0,2
"FHAD1",2,0,1,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"EFHD2",940,1,235,1,0,1,1,58,3,8,1,1,0,1,73,22,0,11,0,13,1,698,107,84,9,7,11,10
"CASP9",15,0,14,0,0,0,0,14,1,0,0,0,0,2,3,2,0,0,0,1,0,23,22,3,0,0,2,2
"DNAJC16",43,0,9,0,0,0,0,28,1,2,0,1,0,2,8,1,2,3,0,2,0,114,27,2,2,0,2,3
"RP4-680D5.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
"AGMAT",2,1,1,0,0,0,0,4,1,0,0,0,0,2,4,2,1,2,0,0,0,214,13,1,0,1,5,1
"DDI2",86,1,20,1,0,0,0,31,1,1,1,3,1,3,9,7,0,1,0,1,1,151,13,3,2,1,2,10
"PLEKHM2",154,1,16,0,0,0,1,38,0,4,0,1,1,2,9,2,1,1,0,1,0,49,17,6,0,0,1,6
"SLC25A34",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,38,0,0,0,0,0,1
"TMEM82",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,86,1,0,0,0,0,0
"FBLIM1",10,0,2,0,1,1,0,358,2,0,2,0,0,0,7,1,5,2,0,0,0,282,8,2,0,0,0,3
"SPEN",64,1,22,1,0,0,0,32,1,1,3,1,0,2,36,14,2,9,0,2,3,71,41,4,3,2,4,6
"ZBTB17",17,1,16,1,0,2,1,36,2,3,0,1,1,0,14,3,2,5,1,1,0,40,28,3,0,0,4,7
"EPHA2",5,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,31,1,0,0,0,0,6
"ARHGEF19",6,0,1,0,0,0,0,15,3,1,1,1,0,1,10,1,0,1,0,1,0,20,23,1,0,0,0,7
"RSG1",17,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,1,0,0,1,1
"FBXO42",30,1,12,1,0,1,2,28,4,1,0,4,2,4,20,15,1,4,0,1,0,47,30,5,0,0,8,3
"SZRD1",175,10,40,3,1,1,4,135,8,6,2,1,2,15,94,37,8,19,0,14,4,255,131,15,3,8,9,22
"NECAP2",259,1,72,1,5,2,2,120,3,10,0,8,4,17,109,33,6,20,0,10,1,163,76,37,5,4,5,43
"RP4-798A10.2",1,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
"RP4-798A10.7",1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,11,4,0,0,0,0,1
"NBPF1",63,1,2,0,0,0,0,79,3,0,0,0,0,1,9,4,4,1,0,0,0,167,9,1,0,0,0,7
"CROCC",11,0,0,1,0,0,2,19,1,1,1,0,1,0,12,2,1,1,0,0,0,22,13,0,0,0,3,6
"RP11-108M9.4",33,0,9,0,0,0,1,28,1,1,0,1,1,1,4,3,0,3,0,0,0,100,6,3,0,0,1,4
"RP11-108M9.6",0,0,1,0,0,0,0,26,1,0,0,0,0,0,1,1,1,0,0,1,0,3,2,0,0,0,0,0
"MFAP2",3,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,3
"ATP13A2",75,2,6,0,0,0,1,10,1,2,0,0,0,1,13,6,1,3,0,2,0,88,20,11,0,0,1,14
"SDHB",453,2,133,6,1,3,12,189,4,7,1,8,4,17,91,45,5,22,1,10,2,1400,308,39,7,1,13,39
"PADI2",14,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0
"RCC2",130,1,27,0,0,0,0,32,1,0,1,2,1,1,8,3,1,2,0,1,0,212,27,3,0,1,3,10
"ARHGEF10L",19,0,2,0,0,0,2,12,0,0,0,0,0,0,0,0,1,0,0,0,0,236,2,3,0,0,0,0
"IGSF21",60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALDH4A1",5,0,6,0,0,0,0,5,0,0,1,0,0,1,1,0,0,1,0,0,0,12,9,0,0,2,0,1
"IFFO2",4,1,1,0,0,0,0,5,1,1,1,0,0,0,16,1,0,0,0,3,0,14,14,0,0,0,1,2
"UBR4",20,1,8,0,0,0,1,24,2,0,0,0,0,1,8,3,0,2,0,0,0,42,14,1,0,0,0,4
"RP1-43E13.2",6,0,4,0,0,0,0,23,0,1,1,0,0,0,3,0,0,2,0,1,0,11,47,0,0,0,0,2
"EMC1",33,0,7,1,0,0,2,54,3,0,0,0,1,3,15,8,1,3,0,0,1,88,26,2,0,0,5,8
"MRTO4",53,0,31,1,0,0,1,71,2,5,0,0,0,5,48,6,2,13,0,4,4,176,59,2,2,2,7,14
"AKR7A3",0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,2,1,0,0,0,874,3,0,0,0,0,2
"AKR7A2",206,2,92,2,1,0,11,368,7,5,8,10,2,5,73,32,36,14,0,9,2,976,182,10,0,4,9,39
"PQLC2",29,0,7,0,0,0,1,23,0,0,0,0,0,2,2,0,0,0,0,0,0,25,17,3,0,0,1,0
"CAPZB",1811,26,461,16,5,9,19,1052,42,57,21,23,11,41,559,207,32,95,3,48,14,992,338,133,23,35,76,117
"MINOS1",1364,14,257,8,3,4,14,621,24,26,13,12,23,23,259,89,57,57,1,26,10,5553,475,66,7,10,34,77
"NBL1",87,4,0,1,2,0,3,1665,9,5,0,3,1,3,40,19,63,5,0,5,0,1470,11,7,0,1,0,26
"TMCO4",21,0,11,0,0,1,0,23,2,1,1,0,0,0,11,3,0,2,0,1,4,79,56,0,0,0,2,5
"RNF186",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,2,0,0,0,0,0
"RP11-91K11.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
"OTUD3",5,0,1,0,0,1,0,12,1,1,0,0,0,1,5,3,0,0,0,0,0,28,11,0,1,0,0,3
"PLA2G2A",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,481,0,0,0,0,0,0
"PLA2G2D",8,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,1
