"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Vascular ECs"
"TNIK",16,2,0,2,2,2,0,46,2,3,1,3,5,0,38,9,5,13,0,1,0,155,9,0,2,1,3,0
"PLD1",33,1,1,0,0,0,0,26,0,0,0,0,0,0,2,0,0,1,0,0,0,133,2,0,0,0,0,2
"FNDC3B",132,1,12,1,0,0,3,175,1,1,0,0,0,0,8,5,3,1,0,0,0,152,277,10,0,0,2,20
"TNFSF10",71,2,89,0,0,1,6,561,5,7,0,4,18,6,58,11,3,10,0,15,0,405,47,70,0,4,3,329
"NCEH1",140,0,8,0,0,0,1,2,0,0,0,1,0,1,3,1,0,0,0,1,0,96,8,3,0,0,0,3
"ECT2",21,0,4,0,0,0,0,3,1,0,0,0,0,0,2,0,1,0,0,0,0,102,5,0,0,1,0,1
"NAALADL2",0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,1,0,0,0,0,97,0,0,0,0,0,1
"TBL1XR1",179,4,53,1,1,2,3,113,4,6,2,9,0,10,63,23,5,14,0,7,2,635,99,20,3,0,4,12
"LINC00501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"KCNMB2",0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ZMAT3",68,1,11,0,0,0,1,108,1,2,0,2,0,5,21,10,1,4,0,0,0,60,12,1,1,0,5,8
"PIK3CA",44,0,10,0,0,0,2,38,0,1,0,0,3,2,15,2,1,4,0,5,0,59,4,2,0,0,1,18
"KCNMB3",2,0,3,0,0,0,1,5,0,0,0,1,0,0,2,0,1,0,0,0,0,10,6,0,0,0,0,6
"ZNF639",49,1,5,0,0,0,1,52,1,2,1,3,0,8,19,13,1,3,0,1,1,83,26,0,0,0,5,8
