"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Proliferative Bcells","Regulatory CD4 Tcells","Vascular ECs"
"ZNF28",0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,98,0,1,0,0
"ZNF468",0,0,0,0,0,0,2,0,0,2,1,4,0,0,1,0,0,0,0,63,0,2,2,1
"ZNF320",0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,104,0,0,0,1
"ZNF816",1,0,0,0,0,0,7,0,2,0,1,2,1,0,0,0,0,1,0,61,0,0,0,0
"ZNF160",0,0,0,0,2,1,3,3,0,1,2,3,0,0,0,2,0,0,0,74,0,0,0,0
"ZNF415",0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,19,0,0,0,0
"ZNF347",0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,16,0,0,0,0
"ZNF665",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0
"ZNF677",0,0,0,1,1,0,16,2,0,0,4,6,4,2,0,1,1,0,0,45,0,0,0,0
"ZNF525",0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,27,0,0,0,0
"ZNF845",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0
"ZNF765",0,0,1,0,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,25,1,2,0,0
"ZNF761",0,0,0,0,0,0,5,2,0,0,1,1,0,0,0,0,0,0,0,67,0,0,1,0
"ZNF813",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
"ZNF331",25,38,119,3,50,0,14,35,33,14,63,255,62,0,35,83,11,7,17,56,8,5,47,4
"MYADM",7,6,31,3,7,1,45,6,14,20,5,131,12,2,7,25,1,7,4,424,7,1,2,3
"PRKCG",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0
"NDUFA3",10,4,14,1,2,2,27,12,2,2,11,31,7,1,3,11,1,1,1,1596,7,3,7,2
"TFPT",10,0,10,0,4,0,8,9,1,2,4,19,0,0,0,5,0,0,4,237,0,3,3,4
"PRPF31",2,3,5,2,2,0,45,3,1,2,7,30,6,6,2,6,0,1,0,533,3,11,5,3
"CNOT3",0,0,3,0,0,0,12,5,0,0,1,4,1,0,0,0,0,0,0,174,0,0,1,1
"LENG1",3,2,11,0,2,0,27,6,2,1,13,25,5,0,3,3,2,1,1,340,5,6,3,1
"TMC4",2,0,3,0,0,0,3,1,0,0,0,0,0,0,1,1,0,1,0,1601,1,0,0,1
"MBOAT7",1,0,13,0,0,0,4,3,1,2,0,4,0,0,0,3,0,0,0,528,0,1,1,1
"TSEN34",8,0,19,0,1,0,56,6,4,4,10,14,3,3,1,4,3,0,0,1216,2,5,5,3
"RPS9",297,161,1024,38,148,9,1990,409,106,74,751,2238,275,62,402,705,103,43,115,53972,247,338,284,94
"LILRB2",2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAIR1",9,1,14,0,0,0,0,0,1,2,2,17,2,0,3,6,0,1,5,1,0,0,0,0
"LENG8",3,0,2,0,0,0,14,4,0,0,5,4,2,0,3,2,1,0,0,438,1,0,2,1
"LENG9",0,0,1,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,201,0,0,0,0
"CDC42EP5",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,410,0,0,0,0
"LILRA2",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LILRB1",2,0,7,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,2,0,0,0,0
