"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Enteric glia cells","Fibroblasts","gdTcells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"RP11-1348G14.8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATXN2L",9,2,3,3,52,2,1,8,2,2,9,0,2,0,2,35,3,2,5,4,15,3
"RP11-24N18.1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"TUFM",33,5,28,38,418,3,6,26,7,12,13,3,4,2,2,407,12,26,50,4,64,24
"SH2B1",2,1,1,2,57,0,2,0,2,3,1,1,1,0,0,35,2,4,2,1,11,5
"RP11-22P6.2",2,0,0,1,7,1,1,0,0,1,0,0,0,1,1,2,0,1,0,0,3,0
"ATP2A1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ATP2A1-AS1",0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,4,1,1,0,0,1,0
"RABEP2",5,2,1,0,43,0,0,1,3,1,3,0,0,0,1,33,0,3,5,0,8,1
"CD19",0,0,1,0,6,0,0,0,12,0,0,0,0,0,0,0,0,3,0,0,1,0
"NFATC2IP",13,1,11,8,113,3,7,8,6,12,12,2,1,1,5,104,5,10,20,5,43,12
"RP11-264B17.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP11-264B17.4",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPNS1",14,2,4,5,112,0,4,25,3,2,1,1,1,0,1,26,2,2,17,0,15,3
"LAT",1,5,0,0,7,1,0,73,0,18,22,0,3,3,5,2,1,0,1,7,1,1
"RP11-426C22.5",3,0,4,1,25,0,0,3,0,0,1,0,0,0,0,1,0,0,5,0,1,0
"RP11-426C22.4",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-426C22.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"RP11-426C22.6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
