"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Enteric glia cells","Fibroblasts","gdTcells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"RP11-34P13.7",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FO538757.2",11,1,1,5,86,2,1,6,3,7,3,1,1,0,1,46,2,3,7,0,17,3
"AP006222.2",4,0,3,8,86,1,1,0,0,0,1,0,2,1,0,11,5,0,0,0,10,11
"RP4-669L17.10",1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"RP11-206L10.9",2,0,1,2,15,1,0,1,0,0,0,1,0,0,1,9,0,0,1,0,3,2
"FAM87B",0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"LINC00115",2,0,0,2,5,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,1
"FAM41C",0,0,1,1,8,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,1,1
"RP11-54O7.1",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.3",0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"SAMD11",0,0,0,0,132,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
"NOC2L",6,2,1,4,123,0,2,3,1,7,2,2,1,1,1,65,2,6,7,0,17,6
"KLHL17",2,1,0,0,7,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1
"PLEKHN1",0,0,1,0,1,0,0,2,0,1,0,0,0,0,1,2,0,1,1,0,1,0
"PERM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"RP11-54O7.17",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,2,7
"HES4",0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,5,3,1,0,0,2,8
"ISG15",78,13,14,28,442,12,12,23,5,28,37,4,8,1,5,120,40,13,121,5,132,40
"AGRN",5,0,1,5,17,0,6,1,0,0,0,0,1,0,0,28,2,1,2,0,32,3
"RP11-54O7.18",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"RNF223",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"C1orf159",0,0,0,1,13,0,1,1,1,1,0,0,0,0,1,16,0,0,1,0,7,0
"RP11-465B22.8",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,1,0
"TTLL10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0
"TNFRSF18",1,3,0,0,8,13,0,12,0,10,4,0,4,2,9,6,0,10,1,35,2,1
"TNFRSF4",7,0,0,0,19,1,3,16,0,25,0,0,7,0,2,1,2,11,1,30,79,1
"SDF4",7,3,7,10,278,0,1,7,2,5,2,2,0,0,0,100,3,10,6,3,39,5
"B3GALT6",0,0,2,3,12,1,0,1,0,1,0,0,0,0,0,4,2,0,3,1,7,1
"FAM132A",2,0,2,2,7,0,0,1,0,0,0,0,0,0,0,26,0,0,1,0,15,0
"RP5-902P8.12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBE2J2",7,0,7,9,149,0,3,5,0,5,6,3,0,1,0,47,2,5,7,0,19,9
"RP5-902P8.10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCNN1D",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"ACAP3",3,0,0,3,78,2,0,0,0,0,1,2,1,0,0,29,1,2,2,0,7,3
"PUSL1",1,0,2,1,25,1,1,2,0,3,2,2,0,0,1,20,0,0,3,0,3,2
"CPSF3L",2,1,4,3,96,0,2,2,2,2,2,2,0,0,1,60,4,4,7,1,16,3
"CPTP",1,2,0,3,31,0,3,1,0,0,2,0,0,0,1,29,0,3,1,0,7,3
"TAS1R3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"DVL1",1,1,2,1,29,0,1,0,0,0,0,1,0,0,0,24,1,1,0,0,7,3
"MXRA8",0,0,0,22,525,0,0,0,0,1,0,5,0,0,0,3,8,1,0,0,2,3
"AURKAIP1",32,4,11,33,512,6,15,25,6,17,15,4,7,3,2,485,20,30,46,2,76,47
"CCNL2",4,1,3,6,111,2,3,8,2,5,5,1,0,2,0,44,6,3,5,1,23,5
"MRPL20",34,3,18,28,515,4,13,42,8,24,15,9,3,1,3,290,21,25,33,5,100,47
"RP4-758J18.13",1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0
"ANKRD65",0,0,0,1,65,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,28,1
"RP4-758J18.10",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VWA1",0,0,0,13,14,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,107,1
"ATAD3C",0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12,0
"ATAD3B",2,1,0,1,14,0,0,0,2,0,1,0,0,1,0,49,1,2,4,0,11,2
"ATAD3A",0,0,1,3,23,0,0,0,1,2,0,1,0,0,0,47,2,2,6,0,3,2
"TMEM240",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SSU72",11,2,11,12,226,3,9,18,3,15,10,2,0,2,1,107,7,8,21,4,39,11
"RP5-832C2.5",1,1,0,1,7,1,1,3,0,6,2,1,0,1,0,11,0,0,4,0,0,2
"C1orf233",1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0
"RP11-345P4.9",1,0,1,3,16,0,0,0,1,1,0,0,0,1,1,6,0,0,4,0,3,0
"MIB2",4,2,2,5,45,1,0,0,2,7,6,0,2,0,2,32,1,3,1,0,7,3
"MMP23B",1,0,0,0,542,0,0,1,0,1,1,4,0,0,0,2,1,2,0,0,1,0
"CDK11B",13,4,3,10,99,2,2,7,5,10,7,4,2,0,5,87,7,4,24,2,25,23
"RP11-345P4.10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0
"SLC35E2B",3,1,0,4,86,0,2,3,4,9,3,2,0,0,1,17,1,7,3,0,6,3
"RP11-345P4.7",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"CDK11A",3,5,4,9,45,2,2,2,3,8,6,1,3,1,0,51,1,4,14,2,6,7
"SLC35E2",2,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0
"NADK",6,0,4,3,38,3,2,3,1,1,1,0,0,0,2,40,1,1,18,2,10,1
"GNB1",24,1,13,22,249,5,21,28,1,18,10,6,2,2,2,95,6,3,38,2,72,15
"RP1-140A9.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"TMEM52",0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,16,0,0,0,0,1,0
"CFAP74",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-547D24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GABRD",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,1
"RP11-547D24.3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"PRKCZ",0,0,1,2,35,0,5,0,0,2,0,0,0,0,0,20,0,1,0,1,5,2
"RP5-892K4.1",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"FAAP20",19,2,15,19,329,2,11,13,7,18,12,2,1,3,1,98,14,8,27,4,55,30
"SKI",6,0,4,11,137,2,6,11,2,2,3,1,1,2,1,14,3,1,6,1,21,9
"MORN1",0,0,1,0,7,0,0,0,1,1,0,0,0,0,0,7,1,0,0,0,3,0
"RER1",30,6,13,18,393,2,11,22,10,13,9,4,4,3,3,196,12,17,43,1,48,25
"PEX10",4,0,2,8,44,0,2,2,3,1,0,0,0,0,0,15,0,1,3,0,9,4
"PLCH2",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"PANK4",0,0,1,0,10,0,0,1,0,1,0,0,0,0,1,9,1,0,1,0,6,3
"HES5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0
"RP3-395M20.12",9,1,3,1,0,1,4,0,2,7,2,0,1,1,0,18,3,4,6,0,4,8
"RP3-395M20.8",1,4,1,0,7,1,0,3,2,5,1,0,1,0,0,59,0,2,0,0,4,0
"TNFRSF14",26,7,10,3,125,3,8,11,3,13,8,2,2,2,1,86,4,7,34,3,32,5
"RP3-395M20.9",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"FAM213B",2,0,0,4,17,1,2,0,0,1,3,0,0,1,0,48,1,0,5,0,8,1
"MMEL1",0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,27,0,0,2,0,0,0
"TTC34",1,0,0,0,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"LINC00982",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4
"PRDM16",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,3,13
"RP11-22L13.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ARHGEF16",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,41,1,0,0,0,4,0
"MEGF6",0,0,0,11,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"RP11-46F15.2",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"TPRG1L",2,1,2,0,64,0,0,3,2,1,1,0,0,1,0,31,1,0,4,0,9,9
"WRAP73",3,1,2,5,55,0,2,6,0,3,1,0,0,0,1,16,0,1,3,1,10,3
"TP73",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"RP5-1092A11.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"TP73-AS1",0,0,0,0,20,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2
"SMIM1",2,0,0,1,39,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,1,2
"LRRC47",1,0,2,1,34,1,0,3,0,0,0,2,0,0,0,23,0,0,5,0,7,2
"CEP104",7,0,3,2,49,1,1,5,2,6,4,0,1,0,2,30,2,4,11,1,9,8
"DFFB",0,1,0,1,5,0,0,0,0,0,1,0,0,0,0,7,0,0,3,0,2,0
"C1orf174",6,0,4,1,75,1,2,7,1,1,4,1,0,1,0,36,2,1,6,0,14,6
"LINC01134",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NPHP4",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0
"KCNAB2",9,5,10,0,10,1,0,3,4,6,8,0,5,0,1,1,1,1,14,6,2,0
"RPL22",288,66,218,126,4264,54,175,410,172,315,172,35,56,23,44,2347,87,160,464,57,601,259
"RP1-120G22.11",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"RNF207",1,0,0,0,14,0,0,0,0,3,1,0,0,0,0,12,0,3,0,0,0,2
"ICMT",7,1,3,2,70,1,3,5,0,0,2,3,0,0,0,34,1,1,2,3,15,4
"LINC00337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"GPR153",0,0,0,1,43,1,0,1,0,2,0,1,0,0,0,6,0,0,0,0,0,0
"ACOT7",3,2,0,3,42,1,1,29,0,4,7,2,0,0,2,60,0,1,0,0,12,3
"RP1-202O8.3",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"HES2",2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,35,0,0,0,0,1,0
"ESPN",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
"TNFRSF25",1,0,1,0,2,0,0,0,0,11,5,0,1,0,1,18,0,0,0,3,8,0
"PLEKHG5",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,11,1
"NOL9",3,0,1,3,37,0,0,3,1,4,2,0,1,0,0,29,2,0,6,1,8,2
"ZBTB48",1,0,0,3,21,0,0,6,0,2,0,0,0,0,0,10,1,1,2,1,2,1
"KLHL21",0,0,0,2,29,0,0,2,0,1,1,2,0,0,1,7,1,0,1,0,3,1
"PHF13",2,0,0,1,33,0,0,2,0,1,2,3,1,0,0,10,2,0,0,0,5,1
"THAP3",6,1,1,3,69,1,1,0,0,1,0,0,1,0,0,13,2,3,3,1,9,1
"DNAJC11",1,0,2,1,12,0,0,1,1,0,0,0,0,0,0,20,0,2,1,0,4,1
"CAMTA1",26,1,21,40,264,0,11,19,5,11,4,4,1,1,2,206,19,13,38,4,108,77
"RP11-338N10.2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VAMP3",13,1,9,18,133,0,4,13,0,4,3,1,0,0,0,39,9,0,17,0,57,9
"PER3",9,0,1,10,132,0,0,6,0,1,1,2,0,0,0,5,4,0,0,0,21,4
"RP3-467L1.4",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UTS2",0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"TNFRSF9",8,0,0,0,1,2,0,13,0,0,7,1,0,0,0,1,0,0,0,9,0,0
"PARK7",63,12,25,70,1369,9,26,51,16,46,39,10,3,5,8,346,35,25,58,14,161,71
"ERRFI1",1,2,0,1,222,2,5,1,0,2,2,3,0,0,0,78,2,1,4,0,5,7
"RP11-431K24.1",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SLC45A1",0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"RERE",9,2,2,13,146,2,6,7,8,4,2,4,1,2,2,67,7,3,10,2,32,15
"RP5-1115A15.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENO1",90,15,43,51,947,11,14,44,12,72,29,6,4,1,9,601,7,8,106,17,139,32
"ENO1-AS1",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0
"SLC2A5",3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0
"GPR157",3,0,4,1,21,0,0,1,2,0,0,1,1,0,0,10,0,0,5,0,3,2
"MIR34AHG",1,0,0,0,18,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0
"RP3-510D11.2",1,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
"H6PD",4,0,5,4,127,0,1,6,1,3,3,1,0,0,0,15,1,0,3,0,18,2
"SPSB1",0,0,0,0,64,0,1,1,1,0,0,0,0,0,0,13,1,0,1,0,12,1
"SLC25A33",3,0,1,0,2,0,0,1,1,2,0,0,0,0,1,21,1,2,2,0,5,2
"TMEM201",0,1,0,0,1,0,3,1,0,0,0,0,0,0,0,12,0,1,0,0,7,0
"PIK3CD",2,0,1,0,3,3,0,1,2,3,3,0,0,2,2,0,0,1,8,1,0,2
"PIK3CD-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"PIK3CD-AS2",0,0,0,1,5,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0
"CLSTN1",6,2,0,11,101,1,4,3,0,5,1,3,2,0,0,64,3,1,4,2,35,3
"CTNNBIP1",3,1,0,1,17,0,2,1,0,2,1,0,1,0,0,15,0,2,4,0,4,2
"LZIC",4,1,1,11,99,0,4,7,4,2,8,2,3,2,0,31,2,0,9,0,9,9
"NMNAT1",3,1,4,5,28,0,2,3,0,2,0,0,1,0,0,21,0,0,3,0,5,3
"RBP7",2,0,3,12,3,0,1,0,0,0,0,0,0,0,0,2,0,0,28,0,243,0
"UBE4B",2,1,2,5,43,1,1,3,1,2,2,1,0,1,1,17,0,2,5,0,10,1
"KIF1B",10,4,2,13,100,0,1,1,0,1,1,2,1,0,1,24,3,1,14,0,27,10
"PGD",7,1,4,4,155,0,1,4,0,1,2,0,0,0,0,59,0,3,26,0,9,2
"RP4-736L20.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"APITD1-CORT",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"APITD1",0,0,0,1,22,0,0,1,1,0,0,0,0,0,0,23,0,0,0,2,5,0
"CORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"DFFA",4,0,1,6,122,1,4,3,2,6,1,2,1,0,0,44,2,1,5,0,30,9
"PEX14",2,0,1,1,19,1,0,0,0,1,0,0,0,0,0,13,0,0,1,0,6,0
"CASZ1",0,1,0,0,0,0,2,1,0,0,1,1,0,0,0,39,0,0,0,0,5,2
"TARDBP",7,3,4,10,143,1,3,12,3,6,6,0,3,1,0,108,3,4,10,0,28,5
"RP4-635E18.9",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MASP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"RP4-635E18.8",0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"SRM",6,0,3,7,116,1,1,3,0,6,3,3,2,0,1,37,2,9,3,2,10,2
"EXOSC10",1,0,2,2,60,2,1,2,1,1,1,1,0,0,0,34,3,1,5,0,7,0
"RP4-635E18.7",0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"RP4-635E18.6",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"MTOR",4,1,3,5,29,0,0,0,2,3,2,0,1,0,0,19,2,1,2,1,12,4
"ANGPTL7",0,0,0,27,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBIAD1",3,2,1,3,20,0,0,3,2,1,3,0,2,0,0,18,1,1,1,1,4,6
"FBXO2",0,0,0,0,9,1,0,0,1,2,0,0,0,0,1,0,0,0,0,2,0,0
"FBXO44",0,0,1,1,38,2,0,0,1,1,2,1,0,1,0,4,0,2,0,0,1,0
"FBXO6",4,1,2,2,25,2,0,1,0,2,4,0,0,1,3,9,0,0,7,1,6,1
"MAD2L2",7,2,8,3,87,1,2,2,0,8,10,0,0,2,0,12,4,2,9,0,14,6
"DRAXIN",0,0,0,1,3,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"AGTRAP",13,0,1,6,254,2,2,9,1,4,3,2,0,2,2,17,1,0,25,0,18,4
"C1orf167",0,0,0,0,56,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3
"MTHFR",9,2,8,1,142,2,3,5,1,1,1,0,0,0,0,39,0,4,10,0,11,7
"CLCN6",1,0,0,2,22,0,1,1,0,0,1,0,0,0,0,11,5,1,3,0,1,2
"NPPA-AS1",1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0
"NPPA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"KIAA2013",9,0,1,5,70,1,2,3,1,2,3,2,1,0,0,82,4,2,7,0,15,3
"PLOD1",3,0,2,4,97,0,0,0,0,0,0,1,0,0,0,12,8,1,8,0,27,2
"MFN2",4,2,2,2,28,0,5,3,0,2,2,2,0,0,0,34,2,0,4,0,9,3
"MIIP",2,0,0,17,34,0,3,5,1,5,2,0,2,1,1,23,0,2,4,1,5,5
"TNFRSF8",1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0
"TNFRSF1B",48,6,15,4,53,4,0,0,3,18,13,1,2,2,2,8,1,1,111,28,20,0
"VPS13D",2,3,3,5,53,1,0,3,1,2,1,0,1,0,0,20,3,0,5,0,16,10
"DHRS3",12,1,2,27,304,1,0,2,0,3,1,0,1,2,0,24,1,0,4,0,12,7
"RP11-474O21.5",0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"C1orf158",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PDPN",0,0,1,21,181,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"PRDM2",5,6,5,9,157,7,7,19,9,16,12,4,4,0,5,29,5,2,9,1,9,9
"KAZN",0,0,0,0,113,0,1,3,0,0,0,1,0,0,0,6,3,0,0,1,16,4
"TMEM51-AS1",1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3
"TMEM51",9,0,0,0,47,0,3,0,0,0,0,0,0,0,0,20,1,0,1,0,0,17
"FHAD1",0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,2,3
"RP3-467K16.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"EFHD2",32,1,41,2,94,2,2,12,5,7,7,0,3,2,1,125,0,0,72,2,43,2
"CTRC",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CASP9",1,0,1,4,24,0,0,1,0,0,0,0,0,0,0,5,1,0,3,0,2,2
"DNAJC16",2,1,0,3,39,1,3,4,2,2,1,1,1,0,0,18,0,0,1,1,6,2
"RP4-680D5.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"AGMAT",1,1,1,0,2,1,0,0,1,0,1,0,0,0,0,32,2,1,0,2,0,0
"RP4-680D5.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"DDI2",4,0,3,4,85,1,2,1,2,5,2,1,0,0,1,27,1,0,10,1,14,6
"RP4-680D5.9",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PLEKHM2",6,0,6,2,70,0,2,2,0,2,2,3,1,0,0,10,1,1,6,0,12,6
"SLC25A34",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"TMEM82",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0
"FBLIM1",0,1,0,4,83,0,2,2,1,1,5,3,0,0,0,115,11,1,3,0,17,6
"UQCRHL",2,1,1,0,27,0,1,9,0,0,0,0,0,0,1,63,1,2,4,1,6,3
"FLJ37453",3,0,6,3,15,0,0,3,0,1,0,1,0,0,0,10,2,3,4,0,5,2
"SPEN",7,2,4,5,85,3,3,15,3,7,5,1,2,0,0,74,3,10,11,2,12,7
"ZBTB17",0,0,1,0,28,0,1,3,1,2,3,1,0,0,0,11,0,0,1,0,5,1
"C1orf64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"HSPB7",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,20
"CLCNKA",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CLCNKB",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM131C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"EPHA2",0,0,0,0,7,0,5,1,0,1,0,0,0,0,0,64,5,0,1,0,44,5
"RP11-276H7.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0
"RP11-276H7.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0
"ARHGEF19",0,0,0,1,13,0,0,2,0,1,1,0,0,1,0,6,1,1,0,0,0,0
"RSG1",2,0,0,1,8,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0
"FBXO42",3,2,0,4,44,1,2,0,1,1,0,0,1,1,1,13,1,3,4,0,6,2
"SZRD1",7,4,2,8,95,2,5,7,5,5,6,3,2,0,2,62,5,4,12,1,31,18
"NECAP2",15,0,8,2,99,1,4,4,3,16,5,2,3,1,2,36,1,3,13,3,35,1
"RP4-798A10.2",0,0,0,1,4,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"RP4-798A10.7",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
"NBPF1",2,0,0,2,22,0,0,1,0,0,1,0,0,0,0,7,0,0,2,0,7,1
"CROCC",0,1,3,0,17,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0
"RP11-108M9.4",5,0,3,1,66,0,3,5,1,1,1,1,0,0,0,24,0,0,10,0,9,3
"RP11-108M9.6",0,0,0,0,6,0,0,0,1,0,1,0,0,0,0,10,0,3,1,0,1,0
"MFAP2",0,0,1,0,146,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
"ATP13A2",8,2,1,1,11,0,2,1,1,3,1,0,0,0,1,36,0,0,1,0,10,3
"SDHB",13,1,8,19,164,2,4,19,3,6,6,1,2,0,2,166,3,3,27,2,24,15
"PADI2",0,0,0,0,4,0,0,2,0,1,0,0,0,0,0,64,0,0,0,0,0,0
"PADI1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"PADI4",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"RCC2",8,2,2,2,30,0,2,5,3,1,4,1,0,0,0,70,2,4,11,1,16,3
"ARHGEF10L",3,0,4,1,31,0,0,1,0,0,0,1,0,0,0,52,1,0,8,0,1,11
"IGSF21",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALDH4A1",1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,3,3
"IFFO2",0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,2,0,0,2,0,1,1
"UBR4",16,3,4,7,136,0,2,7,1,4,3,3,1,1,0,41,4,2,16,2,18,10
"RP1-43E13.2",0,0,0,1,16,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1
"EMC1",1,1,3,3,64,0,1,1,0,2,2,1,0,1,0,21,0,0,5,1,12,3
"MRTO4",6,0,1,2,77,0,3,5,2,3,0,0,1,0,0,70,2,2,4,0,19,4
"AKR7A3",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,114,1,0,1,0,1,0
"AKR7A2",10,4,6,15,301,1,7,3,1,4,6,3,0,1,1,116,6,8,13,4,29,11
"PQLC2",0,0,0,1,13,0,0,0,0,2,1,0,1,0,0,5,0,0,1,0,2,1
"CAPZB",111,12,41,28,776,9,15,35,12,39,28,11,10,7,8,211,18,15,94,9,104,42
"MINOS1",39,8,42,33,815,6,13,44,11,31,23,13,8,6,3,501,20,16,86,3,106,71
"NBL1",2,0,0,1,419,0,3,1,0,1,4,14,0,0,0,154,3,1,2,0,19,9
"TMCO4",1,1,2,2,36,1,4,1,0,1,0,0,0,1,0,21,0,3,2,0,2,0
"RNF186",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0
