"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Double-Negative Tcells","Fibroblasts","Follicular CD4 Tcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP11-34P13.7",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FO538757.2",12,10,3,4,8,1,18,1,1,1,4,2,2,9,0,3,2,20,1,2,4,4,4,64,24
"AP006222.2",12,9,1,1,1,0,8,1,0,0,2,1,2,2,1,0,0,35,0,2,0,1,1,28,25
"RP4-669L17.10",3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
"RP11-206L10.9",0,1,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,5,2,1,1,0,0,6,2
"LINC00115",0,1,0,1,0,0,1,0,0,0,1,0,0,4,0,0,1,2,0,2,1,0,0,6,3
"FAM41C",2,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,3,0,0,0,0,1,2,2
"RP11-54O7.1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-54O7.3",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"SAMD11",0,14,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
"NOC2L",14,15,2,0,6,3,22,2,4,2,4,1,4,12,1,3,2,31,5,4,3,5,5,87,49
"KLHL17",0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,6,2
"PLEKHN1",1,1,1,0,3,0,2,0,0,0,1,0,0,3,2,0,0,0,3,0,0,0,0,10,3
"RP11-54O7.17",5,2,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,18,0,2,0,0,0,3,8
"HES4",1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,14,0,0,0,0,0,1,4
"ISG15",277,270,12,29,41,1,137,17,36,1,120,9,76,84,6,7,12,863,8,17,23,22,57,422,399
"AGRN",7,12,0,0,0,0,16,0,0,1,2,0,1,1,0,0,0,122,1,0,0,1,1,77,176
"RNF223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"C1orf159",2,1,0,0,1,0,3,0,0,0,1,0,0,2,0,0,0,2,2,1,0,0,0,18,6
"RP11-465B22.8",0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,45,3
"TTLL10",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,17,0
"TNFRSF18",9,1,2,0,52,0,5,23,7,0,16,0,22,21,6,2,1,5,7,0,32,10,131,13,9
"TNFRSF4",17,5,0,1,3,0,8,13,9,0,11,2,17,1,10,0,1,3,5,0,19,5,110,11,235
"SDF4",33,22,2,2,4,0,27,1,1,1,7,1,6,6,0,0,1,39,3,2,1,2,8,125,87
"B3GALT6",8,2,1,0,1,0,3,0,1,0,0,0,1,1,1,0,0,7,0,1,1,1,0,10,17
"FAM132A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,50,54
"RP5-902P8.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"UBE2J2",22,22,3,2,3,0,18,2,1,0,9,1,4,4,0,0,0,34,3,0,4,8,5,86,54
"RP5-902P8.10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCNN1D",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACAP3",6,5,0,0,0,0,7,1,0,0,4,0,2,3,0,0,0,24,4,0,2,2,3,21,15
"PUSL1",2,4,1,1,0,0,5,0,0,0,2,1,0,3,0,0,0,12,2,0,2,0,2,32,8
"CPSF3L",12,10,0,1,4,0,18,2,0,0,7,1,3,7,0,2,0,24,0,2,2,3,0,68,43
"CPTP",6,3,1,1,1,0,3,0,0,0,1,0,2,2,0,1,1,5,3,0,1,1,0,33,21
"TAS1R3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"DVL1",2,3,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,4,4,1,0,0,1,45,19
"MXRA8",0,123,0,0,0,0,72,0,1,0,1,0,0,0,0,0,0,105,0,0,0,0,0,2,1
"AURKAIP1",112,80,7,18,20,2,90,6,4,2,29,5,23,47,0,7,6,183,41,18,18,15,17,742,262
"CCNL2",6,17,3,3,8,2,32,2,1,1,10,1,4,8,1,1,0,40,3,4,1,5,2,87,71
"MRPL20",138,64,9,23,16,2,98,5,7,2,25,10,16,32,7,4,8,144,16,16,8,15,17,444,215
"RP4-758J18.13",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1
"ANKRD65",1,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,45
"VWA1",1,0,0,1,2,0,8,0,0,0,1,1,0,0,0,0,0,5,0,1,0,0,1,25,470
"ATAD3C",1,1,1,0,1,0,5,0,0,0,1,0,0,1,0,0,0,1,2,1,0,0,0,2,48
"ATAD3B",10,4,0,1,1,1,4,0,0,0,4,0,0,2,0,1,0,7,1,1,2,1,3,21,14
"ATAD3A",4,4,2,3,2,0,4,0,1,0,0,1,1,2,0,2,0,25,0,1,0,0,1,44,21
"TMEM240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
"SSU72",60,46,2,9,15,0,44,2,3,2,14,5,11,24,3,6,7,76,6,6,2,10,15,192,100
"RP5-832C2.5",0,1,2,0,1,1,0,0,0,0,1,2,3,8,1,2,0,1,2,1,1,2,2,5,2
"C1orf233",3,2,1,0,0,0,1,0,0,0,2,0,0,0,0,0,1,2,0,0,0,1,0,10,1
"RP11-345P4.9",2,2,1,0,1,0,3,0,0,0,0,1,0,0,0,2,0,4,0,0,0,0,0,4,3
"MIB2",5,9,3,0,7,0,6,3,1,0,2,0,9,8,1,5,0,6,4,2,2,0,1,55,19
"MMP23B",0,25,0,0,0,0,28,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
"CDK11B",31,28,4,2,11,1,19,5,3,3,10,5,12,18,3,4,3,41,3,4,8,13,6,140,61
"RP11-345P4.10",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"SLC35E2B",12,14,1,2,4,0,18,0,4,0,8,3,2,7,0,2,0,13,6,1,3,2,3,63,34
"CDK11A",15,13,2,3,9,0,17,5,0,0,7,0,9,13,1,2,2,16,3,3,0,6,3,54,31
"SLC35E2",0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,0,3,3
"NADK",32,4,0,1,0,0,10,0,1,0,1,1,0,2,0,0,0,10,0,1,1,4,0,91,29
"GNB1",114,61,4,15,10,3,43,7,6,2,16,6,19,24,3,2,5,179,7,15,7,12,10,260,302
"RP1-140A9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"TMEM52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"CFAP74",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11
"RP11-547D24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"GABRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,137
"PRKCZ",2,3,1,1,1,0,1,0,2,0,0,2,1,4,0,0,0,1,1,0,0,1,1,55,10
"RP5-892K4.1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"RP11-181G12.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
"FAAP20",42,47,4,8,20,4,67,3,2,2,23,4,11,20,1,3,2,122,8,6,6,8,7,175,108
"SKI",9,26,3,2,3,0,27,2,0,0,6,0,5,5,0,1,1,38,3,2,3,2,5,27,64
"MORN1",1,1,0,0,0,0,2,0,0,0,1,0,0,2,0,1,0,1,0,1,0,1,1,12,2
"RER1",124,55,5,9,26,1,57,3,5,0,24,4,11,24,2,1,3,141,11,11,10,16,14,377,132
"PEX10",4,8,1,1,1,0,7,0,0,0,1,0,1,0,0,0,0,18,1,2,1,1,1,21,25
"PLCH2",0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,1,0,0,0,0,0,4,1
"PANK4",0,2,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,4,0,1,0,0,0,7,2
"HES5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0
"RP3-395M20.12",28,2,1,0,5,1,0,0,0,1,1,0,1,2,0,1,0,19,1,1,1,1,5,22,9
"RP3-395M20.8",4,2,0,0,0,0,2,0,0,0,7,2,1,2,0,3,1,1,2,1,0,0,2,51,11
"TNFRSF14",67,25,2,1,6,2,27,2,3,1,20,3,8,6,4,6,4,39,9,2,4,4,7,122,65
"RP3-395M20.9",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,2
"FAM213B",12,3,1,0,2,0,4,0,0,0,1,0,2,2,1,0,0,13,5,2,1,1,1,66,23
"MMEL1",2,1,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,38,3
"TTC34",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"LINC00982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
"PRDM16",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP11-22L13.1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARHGEF16",0,1,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,3,2,0,0,0,0,60,2
"MEGF6",3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TPRG1L",12,3,0,0,3,0,7,0,0,0,3,0,1,3,0,0,0,10,0,0,0,1,1,56,28
"WRAP73",9,10,2,0,4,0,8,1,2,0,0,3,2,7,0,1,2,10,1,1,3,3,5,34,25
"TP73",1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,1,1,1,1,1
"TP73-AS1",1,4,0,0,2,0,7,0,0,0,0,0,1,3,0,0,0,4,0,0,0,0,0,3,10
"SMIM1",0,1,0,0,1,0,6,0,0,0,13,0,0,1,0,0,0,1,1,0,0,0,0,3,0
"LRRC47",4,3,1,0,2,0,6,0,2,0,2,1,2,2,0,1,0,9,0,0,1,3,0,46,18
"CEP104",12,13,1,2,6,1,12,0,0,0,3,3,4,10,0,2,2,28,1,1,4,2,1,39,37
"DFFB",1,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,2,0,0,1,0,0,9,2
"C1orf174",6,13,0,0,3,1,6,1,1,0,6,0,3,4,0,1,2,20,2,0,3,2,4,47,15
"LINC01134",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0
"RP13-614K11.2",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AJAP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"NPHP4",5,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,1,7,3
"KCNAB2",27,0,2,2,7,1,2,3,1,0,0,3,7,12,2,4,3,4,1,1,7,4,5,9,6
"CHD5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RPL22",683,469,65,167,183,12,805,29,35,36,328,105,193,256,56,39,44,927,126,129,74,76,105,3673,1421
"RP1-120G22.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RNF207",3,15,0,1,3,0,9,2,0,1,0,0,3,0,1,0,0,7,0,0,2,0,3,17,7
"ICMT",16,15,0,0,0,0,17,1,0,1,7,0,1,4,0,1,0,39,3,0,1,3,0,58,63
"LINC00337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"GPR153",1,4,0,0,1,0,5,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,1,24,3
"ACOT7",23,8,0,1,7,2,9,2,0,0,45,0,6,13,0,0,1,20,0,1,7,9,4,112,78
"RP1-202O8.3",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0
"HES2",1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,75,13
"ESPN",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,49,1
"TNFRSF25",2,2,2,0,13,2,6,4,4,0,1,0,19,9,2,2,2,1,0,0,12,1,11,40,28
"PLEKHG5",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,14,46
"NOL9",8,7,2,1,2,0,5,0,0,0,0,2,1,1,0,0,1,12,1,2,3,2,0,34,26
"ZBTB48",6,5,1,0,4,0,5,0,0,0,2,3,1,2,1,0,1,6,1,0,0,2,1,20,6
"KLHL21",9,9,0,0,0,1,5,1,1,0,2,0,1,2,0,1,0,6,3,0,2,0,3,13,10
"PHF13",2,5,1,0,1,0,10,0,1,0,3,0,1,1,0,1,0,10,1,1,2,0,0,10,8
"THAP3",7,6,0,1,2,0,7,0,0,1,3,0,1,2,0,2,2,9,3,0,1,2,1,20,19
"DNAJC11",5,2,0,0,2,0,4,0,0,1,0,0,1,2,1,0,1,4,2,0,0,3,0,35,13
"RP11-312B8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"CAMTA1",93,52,4,19,6,1,57,4,1,0,20,11,9,19,1,3,1,139,7,16,11,5,7,393,236
"RP11-338N10.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP11-338N10.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"VAMP3",47,31,2,5,6,0,27,0,2,2,9,1,1,5,1,1,0,52,4,2,0,0,2,119,134
"PER3",7,9,0,1,1,0,17,1,2,0,4,0,1,4,0,0,0,11,2,0,0,0,1,22,14
"RP3-467L1.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UTS2",0,0,1,0,3,0,0,0,1,0,69,0,1,0,0,1,0,0,0,0,0,0,3,2,0
"TNFRSF9",24,1,1,1,50,0,3,0,2,0,55,0,4,15,0,1,0,0,1,0,5,15,27,4,2
"PARK7",242,175,17,27,88,2,255,18,17,2,74,20,41,84,7,13,15,316,20,22,39,48,36,775,407
"ERRFI1",11,43,0,1,0,0,24,0,2,0,1,0,1,1,0,1,0,66,1,0,0,1,1,97,15
"RP11-431K24.1",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
"SLC45A1",1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"RERE",15,22,2,1,3,2,29,0,1,2,13,0,6,4,2,2,1,35,3,1,2,3,2,134,68
"ENO1",422,183,12,34,59,2,120,14,11,2,47,13,35,74,8,10,10,330,16,50,35,58,72,910,365
"ENO1-AS1",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0
"CA6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"SLC2A5",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
"GPR157",4,1,0,1,0,0,7,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,19,1
"MIR34AHG",7,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,2
"RP3-510D11.2",0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4
"H6PD",5,22,2,0,2,0,33,0,1,0,4,0,1,7,1,2,2,7,1,0,3,0,2,39,25
"SPSB1",1,13,1,0,2,0,11,0,0,0,2,0,1,2,0,0,0,7,1,0,2,0,0,21,14
"SLC25A33",6,2,0,2,4,0,0,0,0,0,4,2,1,1,1,0,0,2,1,0,1,0,0,23,6
"TMEM201",2,1,0,0,1,0,0,0,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,6,7
"PIK3CD",5,1,4,4,10,0,0,3,2,0,5,1,11,8,2,2,2,3,0,1,3,1,5,5,2
"PIK3CD-AS1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"PIK3CD-AS2",2,2,0,0,1,1,3,0,0,0,0,0,0,1,0,0,1,2,3,0,0,0,1,1,1
"CLSTN1",11,13,3,2,7,0,24,0,0,1,2,0,3,7,2,2,2,27,4,1,3,3,3,126,92
"CTNNBIP1",7,4,2,3,2,0,3,0,0,1,0,0,2,0,1,2,2,9,1,2,2,0,1,27,17
"LZIC",25,9,2,1,7,0,14,1,2,0,6,2,6,13,0,0,0,31,0,1,4,4,2,65,20
"NMNAT1",9,7,0,0,1,0,10,0,0,0,1,0,0,1,0,0,0,4,0,1,1,0,1,33,15
"RBP7",1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,2,246
"UBE4B",10,5,0,1,1,0,12,0,0,0,8,3,3,4,0,1,0,8,2,0,3,2,3,26,40
"KIF1B",23,10,0,1,2,0,21,0,2,1,1,0,3,3,0,1,0,35,0,3,0,0,4,67,95
"PGD",96,14,0,6,5,0,17,2,0,0,10,0,2,5,2,2,0,25,6,11,2,4,0,124,38
"APITD1-CORT",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
"APITD1",8,2,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,4,0,0,1,3,1,24,11
"CORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"DFFA",16,15,1,3,5,0,17,2,0,3,9,0,1,20,2,0,3,45,3,3,0,3,1,88,94
"PEX14",4,3,0,0,1,0,6,0,1,0,1,0,2,1,1,0,0,8,0,0,0,0,0,16,16
"CASZ1",1,0,0,0,4,0,0,1,0,0,2,0,3,3,0,2,0,4,0,0,1,2,0,71,5
"RP4-734G22.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"C1orf127",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TARDBP",32,24,5,0,10,0,26,1,3,2,7,8,12,26,1,2,3,47,4,4,2,6,4,151,74
"MASP2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP4-635E18.8",0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
"SRM",14,10,2,2,7,0,17,1,1,0,9,3,1,6,0,0,1,19,7,5,4,2,2,68,29
"EXOSC10",10,8,0,1,8,0,9,1,0,1,5,2,3,7,2,0,1,16,1,0,4,4,0,60,25
"RP4-635E18.7",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP4-635E18.6",2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,3,2
"MTOR",9,10,1,5,1,1,12,3,0,0,4,0,1,2,1,1,2,22,0,0,3,2,3,26,39
"ANGPTL7",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBIAD1",5,4,3,0,1,0,4,0,0,0,3,0,1,1,0,0,1,8,2,0,2,3,0,30,10
"FBXO2",1,2,0,1,5,0,2,0,0,0,0,1,5,3,0,1,0,3,0,0,0,0,1,43,4
"FBXO44",6,5,0,1,9,0,8,0,0,0,2,0,5,10,0,1,0,2,3,1,1,2,3,9,4
"FBXO6",27,17,2,1,5,0,5,0,0,1,0,0,1,5,0,1,1,3,2,1,2,4,3,37,3
"MAD2L2",21,11,4,5,16,1,18,0,0,0,6,0,4,22,0,1,3,18,5,3,8,14,4,25,45
"DRAXIN",0,0,0,0,7,0,0,0,1,0,0,0,1,6,0,0,1,0,0,0,0,5,0,2,1
"AGTRAP",49,40,2,0,13,0,35,0,0,0,9,0,3,9,0,4,0,15,1,4,2,0,4,48,38
"C1orf167",0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-56N19.5",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MTHFR",13,5,1,4,0,0,14,1,0,2,3,2,0,2,0,0,2,13,2,1,1,0,0,54,24
"CLCN6",5,2,0,0,0,0,3,1,0,0,2,0,0,2,1,2,1,9,1,0,0,0,0,24,14
"NPPA-AS1",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,2,1
"KIAA2013",21,11,1,3,8,1,16,3,1,0,3,1,5,11,1,2,2,22,4,0,3,3,1,136,58
"PLOD1",27,37,1,0,2,0,26,0,1,0,3,0,0,4,0,3,0,79,1,1,1,0,0,23,94
"MFN2",13,8,0,0,1,0,6,0,0,0,2,0,1,2,0,0,1,12,1,3,0,2,2,44,22
"MIIP",23,8,2,2,5,1,6,3,3,1,9,1,4,10,0,0,0,19,0,2,4,3,3,40,19
"TNFRSF8",0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0
"TNFRSF1B",66,6,4,10,20,1,10,4,8,1,0,2,9,39,2,8,3,2,4,24,21,11,47,28,48
"VPS13D",8,8,3,0,1,0,13,0,0,2,6,0,4,3,1,2,1,18,1,0,1,2,6,40,33
"DHRS3",30,11,3,1,0,0,33,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,74,46
"RP11-474O21.5",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PDPN",25,202,0,0,0,0,87,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0
"PRDM2",15,26,6,1,19,0,38,3,6,0,17,15,16,33,3,4,8,31,15,1,6,5,15,50,47
"RP11-344F13.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAZN",0,4,0,0,0,0,28,0,0,0,6,0,0,1,0,0,0,14,0,0,0,0,0,15,22
"TMEM51-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"TMEM51",35,11,0,3,0,0,9,0,0,0,0,0,0,1,0,0,0,6,0,3,0,1,0,39,11
"C1orf195",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FHAD1",12,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,3
"RP3-467K16.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP3-467K16.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"EFHD2",132,20,2,29,14,2,16,6,5,3,15,2,13,12,3,14,3,25,1,16,13,12,20,200,48
"CTRC",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CASP9",8,2,1,0,2,0,3,0,0,0,0,0,1,2,0,0,0,7,1,1,2,0,0,15,14
"DNAJC16",9,6,2,1,2,0,15,1,0,0,2,0,3,1,0,3,1,13,3,0,0,0,0,45,17
"RP4-680D5.8",0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"AGMAT",0,0,2,0,2,0,0,1,1,0,0,1,2,4,1,0,0,2,0,0,0,1,0,41,1
"RP4-680D5.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DDI2",28,21,1,1,8,0,16,0,2,0,6,3,4,16,5,2,1,25,3,1,5,2,6,82,148
"PLEKHM2",26,8,0,1,7,0,13,1,0,0,2,1,0,5,0,1,0,29,1,1,3,0,1,32,46
"SLC25A34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-169K16.4",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7
"TMEM82",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"FBLIM1",4,47,1,0,0,0,41,0,0,3,0,0,1,3,0,1,2,152,0,0,1,0,1,109,98
"UQCRHL",16,5,1,0,5,0,5,0,1,0,6,0,2,4,0,0,0,17,2,3,1,2,1,64,14
"FLJ37453",5,3,1,0,1,1,5,0,0,0,4,0,1,4,1,1,0,9,2,2,0,0,1,37,24
"SPEN",32,18,0,2,15,1,21,2,4,0,13,4,6,17,1,3,1,33,12,4,8,9,6,90,73
"ZBTB17",6,4,0,0,3,0,8,1,0,0,2,0,2,2,0,0,0,9,1,3,1,0,0,11,16
"HSPB7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"EPHA2",3,3,1,0,0,0,2,0,0,0,1,0,0,2,0,0,0,10,0,0,0,0,2,101,47
"RP11-276H7.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-276H7.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"ARHGEF19",1,8,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,3,1,0,2,0,0,6,5
"RSG1",2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0
"FBXO42",13,9,2,1,4,0,2,0,1,0,3,0,4,5,1,1,2,10,2,2,0,0,4,21,19
"SZRD1",34,28,1,0,8,1,17,6,3,1,10,4,9,12,0,2,3,51,1,5,7,7,7,82,60
"NECAP2",56,32,5,3,13,0,23,3,6,1,11,3,9,13,2,3,1,41,4,1,10,3,4,70,90
"RP4-798A10.2",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2
"RP4-798A10.7",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"RP4-798A10.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NBPF1",4,5,0,0,0,0,8,0,0,0,4,0,0,2,0,0,0,5,1,0,1,0,0,16,9
"CROCC",2,9,0,0,2,0,4,0,0,2,1,1,0,1,0,0,0,5,0,0,0,0,0,3,7
"RP11-108M9.4",10,7,0,0,0,0,9,0,0,3,5,0,0,1,0,1,0,3,0,0,0,0,0,20,26
