"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Double-Negative Tcells","Fibroblasts","Follicular CD4 Tcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"WFDC2",2,2,0,0,1,0,5,0,1,0,1,1,3,2,2,0,0,4,4,0,1,1,1,1365,9
"WFDC10B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"WFDC3",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,2,52,1
"DNTTIP1",29,11,1,10,1,0,14,2,1,0,8,4,3,4,0,0,2,21,1,3,1,7,1,277,45
"UBE2C",46,8,0,9,5,0,9,0,0,0,3,1,2,8,1,0,2,14,2,2,23,99,2,389,84
"TNNC2",1,1,1,0,5,0,4,0,0,0,1,2,1,2,0,0,0,5,0,1,1,0,2,136,8
"SNX21",0,5,0,0,1,0,12,0,0,0,1,0,0,0,0,0,0,11,1,0,1,0,0,19,11
"ACOT8",5,3,1,2,4,0,9,1,1,0,4,0,3,4,2,1,1,10,0,0,1,1,1,89,18
"ZSWIM3",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,6
"ZSWIM1",0,1,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,1,11,1
"SPATA25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NEURL2",0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,4,1,0,0,0,0,10,2
"CTSA",198,53,3,5,6,0,52,1,0,1,4,3,11,10,4,1,0,75,5,5,4,5,6,260,79
"RP3-337O18.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PLTP",49,29,0,0,0,1,120,0,0,1,0,1,0,0,0,0,0,25,2,0,0,0,0,3,2
"PCIF1",8,7,0,3,8,0,8,0,2,0,4,1,2,3,1,0,0,13,0,0,1,3,1,28,30
"ZNF335",7,3,0,2,5,0,4,0,0,1,4,2,2,5,2,1,1,4,1,2,2,0,2,24,24
"MMP9",476,4,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,23,1,3,1,0,0,7,5
"RP11-465L10.10",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC12A5",31,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,6
