"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"TMC7",0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,18,19,0
"RP11-626G11.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
"RP11-626G11.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"COQ7",17,17,5,1,21,2,0,12,4,2,8,7,48,22,37,0,13,11,6,3,15,10,5,5,19,25,26,37,33,3
"ITPRIPL2",36,56,1,3,14,0,0,26,1,0,7,1,10,7,10,2,0,1,0,0,61,8,8,0,10,7,2,35,66,1
"RP11-626G11.3",1,4,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,2,2,0
"SYT17",3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,4,5,1
"TMC5",1,2,0,0,1,0,0,0,0,1,0,1,1,2,2,0,2,0,0,0,1,0,0,1,0,2,2,151,4,0
"CTA-363E6.5",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CTA-363E6.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"CTA-363E6.7",0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"GDE1",36,35,3,2,12,0,0,15,4,0,12,6,9,18,14,1,3,1,2,0,29,6,3,3,15,13,16,160,40,0
"CCP110",13,11,2,2,7,0,0,3,1,1,4,1,8,13,8,0,3,4,0,0,16,1,5,3,20,15,6,21,14,3
"C16orf62",15,19,0,0,4,0,0,6,1,0,1,1,5,4,6,0,2,1,1,0,14,3,3,1,3,1,4,33,37,0
"AC002550.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0
"KNOP1",26,39,3,5,14,1,2,15,1,2,6,6,21,6,6,1,8,6,0,0,83,3,5,2,19,8,16,103,110,3
"AC002550.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"IQCK",0,5,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,1,0,0,17,1,0,0,0,0,0,6,34,1
"CTD-2380F24.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"GPRC5B",0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,73,0
"ACSM5",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ACSM2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
"ACSM3",3,1,0,0,0,1,0,0,0,0,0,2,10,0,0,0,4,0,0,0,0,0,0,0,0,0,2,16,1,0
"ACSM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"THUMPD1",25,26,1,1,17,0,0,9,2,0,6,13,26,24,11,0,14,5,1,4,29,6,4,2,24,15,31,58,33,0
"ERI2",3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,3,0,1,1,2,3,1,21,2,0
"AC004381.6",2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,2,0,2,2,0
"DCUN1D3",9,6,0,0,0,0,0,3,0,0,1,1,4,3,3,0,1,0,0,0,13,3,4,0,1,1,1,14,40,1
"LYRM1",10,8,0,0,7,0,0,8,2,0,0,2,10,10,3,0,4,3,0,3,15,4,3,5,6,9,10,27,48,2
"DNAH3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"CTC-508F8.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"TMEM159",14,24,1,0,6,0,0,21,0,0,1,2,9,4,10,2,6,1,0,1,9,4,2,2,5,11,8,15,16,5
"ANKS4B",1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,40,1,0
"CRYM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,1,0
"CRYM-AS1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0
"NPIPB3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"METTL9",30,55,3,4,27,1,2,33,8,1,23,9,34,19,39,3,10,9,0,2,75,13,16,10,33,22,58,126,195,4
"IGSF6",478,0,0,24,0,0,0,0,0,0,1,0,3,1,1,0,0,0,1,0,2,0,56,0,0,2,2,3,0,0
"OTOA",67,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1
"RP11-645C24.5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"NPIPB4",0,1,0,0,0,0,0,1,2,0,1,1,3,0,4,0,1,2,1,1,2,0,1,1,1,2,2,5,6,0
"UQCRC2",104,61,7,6,22,6,2,25,7,1,13,21,40,36,33,2,13,13,4,1,84,11,13,18,41,19,59,350,123,5
"CTD-2649C14.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"C16orf52",2,12,1,0,4,0,1,3,0,0,0,0,6,3,4,0,2,2,0,1,10,3,0,0,1,4,11,15,19,1
"SDR42E2",6,10,0,1,0,2,0,4,0,0,1,2,10,6,2,0,3,3,2,0,4,3,0,0,0,1,5,7,5,0
"EEF2K",14,4,0,0,4,1,1,3,1,0,2,5,8,4,2,0,2,3,0,0,4,7,2,0,5,1,8,15,31,1
"POLR3E",11,8,1,1,7,1,1,2,2,1,6,0,13,13,7,1,1,9,0,2,8,10,1,3,6,3,19,32,20,2
"CDR2",8,13,4,0,6,0,0,9,3,0,4,0,4,9,3,0,0,6,1,2,13,4,2,0,12,7,15,20,15,1
"RP11-21M24.3",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"RP11-21M24.2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0
"NPIPB5",17,6,2,1,17,1,0,5,3,0,5,2,24,11,14,1,5,6,2,1,12,6,1,1,10,9,20,38,41,0
"RP11-105C19.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
"HS3ST2",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USP31",4,9,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,6,1,0,0,4,1,3,16,27,3
"SCNN1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0
"COG7",3,9,1,0,3,0,0,3,1,0,1,2,4,1,2,0,2,1,0,0,5,5,0,0,5,2,10,17,16,0
"CTD-2270L9.4",4,3,0,0,1,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,3,2,0,0,0,0,2,5,6,0
"GGA2",34,11,1,3,11,1,1,7,0,1,3,0,57,12,14,0,17,3,1,0,15,7,7,21,16,12,13,27,20,0
"EARS2",3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,0,1,1,0,9,0,0
"UBFD1",6,18,0,1,2,0,0,5,0,0,0,2,6,4,4,0,2,1,0,0,14,1,2,3,2,0,4,37,26,0
"NDUFAB1",95,70,2,9,32,2,3,37,8,3,11,19,25,32,38,3,8,12,3,1,126,37,21,19,45,34,48,430,175,7
"PALB2",6,3,0,0,2,0,0,3,1,0,0,1,4,1,4,1,0,0,1,0,4,2,0,1,1,4,2,14,3,0
"DCTN5",14,19,1,3,14,1,0,7,3,0,10,3,11,6,11,0,6,4,1,1,21,3,2,2,15,12,14,50,33,0
"PLK1",3,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,3,2,0,5,10,31,2,42,5,0
"ERN2",2,0,0,0,2,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,30,0,0
"CHP2",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16,1,0
"PRKCB",29,0,3,3,14,2,0,1,3,2,10,16,121,17,20,0,37,10,6,3,3,13,21,16,18,15,39,5,2,0
"RBBP6",56,43,3,2,24,1,2,30,10,1,16,9,53,25,25,4,14,2,5,4,68,17,17,4,30,27,53,124,144,5
"TNRC6A",15,31,3,1,14,1,0,31,5,1,3,9,24,10,15,1,12,10,5,1,31,7,4,5,17,11,32,60,57,2
"CTD-2515A14.1",0,1,1,0,0,0,0,3,1,0,2,3,1,0,1,0,0,0,0,2,1,1,0,0,1,1,1,0,1,0
"SLC5A11",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"ARHGAP17",21,11,0,1,4,0,1,4,2,0,1,1,21,3,4,0,10,2,0,0,57,1,4,2,5,6,12,30,56,3
